layer,neuron_idx,score
0,2421,-0.849089503288269
0,2608,0.843413770198822
0,2399,0.8352947235107422
0,1078,0.8185407519340515
0,445,0.815984845161438
0,2568,0.8083547353744507
0,1036,-0.8082553744316101
0,2454,0.7858040928840637
0,584,0.7831917405128479
0,208,-0.7788374423980713
0,907,0.7786245346069336
0,1698,0.77313232421875
0,1472,0.7728956341743469
0,1177,-0.7705335021018982
0,539,-0.769427478313446
0,1043,-0.7689990997314453
0,321,0.7679317593574524
0,2095,0.7670856714248657
0,187,0.7648210525512695
0,2062,0.763062059879303
0,2457,0.762498676776886
0,2833,0.7620924711227417
0,1484,0.7603980898857117
0,559,0.7590092420578003
0,1863,0.7587840557098389
0,2298,0.7584579586982727
0,2510,0.7564376592636108
0,2253,-0.7560818195343018
0,2888,-0.7520459294319153
0,1948,-0.7519760131835938
0,763,0.7515652179718018
0,555,0.75107741355896
0,2009,0.747888445854187
0,371,0.7461106777191162
0,74,-0.7458015084266663
0,1026,0.7445851564407349
0,43,-0.7419394254684448
0,72,0.7415065765380859
0,2205,0.741220235824585
0,1609,0.740501880645752
0,797,0.7385055422782898
0,2110,-0.7358474135398865
0,997,0.7351371645927429
0,212,0.7332322597503662
0,1120,0.7307175993919373
0,1227,-0.7289362549781799
0,2697,0.726220428943634
0,1703,0.7255942225456238
0,1213,0.7241708040237427
0,800,-0.7232294082641602
1,1786,0.8637373447418213
1,536,0.8605444431304932
1,2566,0.8554478883743286
1,689,0.8515324592590332
1,2561,0.8494782447814941
1,2257,-0.8445900678634644
1,283,0.8394687175750732
1,70,0.8385175466537476
1,1216,0.8370084166526794
1,2364,0.8188740015029907
1,649,-0.8184155821800232
1,2327,0.8109897971153259
1,2116,-0.8107870817184448
1,852,-0.8066005110740662
1,2778,0.8045305609703064
1,2695,-0.8002880811691284
1,2187,-0.7974268198013306
1,2374,-0.797263503074646
1,1674,0.7964162230491638
1,1031,-0.7946664094924927
1,874,0.7926517128944397
1,1980,-0.7924045920372009
1,706,-0.7921345829963684
1,2467,0.7919079065322876
1,1754,-0.7872936725616455
1,844,0.7867591381072998
1,1929,0.7850274443626404
1,2347,-0.784994900226593
1,777,0.7840457558631897
1,1442,0.7807306051254272
1,660,-0.7784094214439392
1,3041,0.7782250046730042
1,557,-0.7768449783325195
1,487,-0.7744287848472595
1,1629,0.7742879390716553
