layer,neuron_idx,score
0,1933,2.5166406631469727
0,1994,2.3156306743621826
0,759,1.9857920408248901
0,2361,-1.9366735219955444
0,1271,1.8306148052215576
0,800,1.7987654209136963
0,67,1.7317439317703247
0,1556,-1.7008986473083496
0,2921,1.6737295389175415
0,318,-1.6696308851242065
0,2209,1.6670678853988647
0,2342,-1.5952152013778687
0,767,1.539159893989563
0,1275,-1.5241938829421997
0,2919,1.5095064640045166
0,2428,-1.4787932634353638
0,2185,-1.4106203317642212
0,1852,-1.4007285833358765
0,638,-1.3976099491119385
0,2536,-1.385292410850525
0,310,-1.3784998655319214
0,33,1.3762825727462769
0,694,1.3446449041366577
0,700,1.317441463470459
0,2704,-1.3035997152328491
0,282,1.2644611597061157
0,1154,-1.2408592700958252
0,845,-1.2102291584014893
0,494,1.2083176374435425
0,978,-1.1847084760665894
0,1401,-1.182320237159729
0,49,1.179829716682434
0,511,1.1655806303024292
0,1779,-1.1599944829940796
0,1765,1.1322436332702637
0,748,-1.1203721761703491
0,1143,1.1201753616333008
0,1614,-1.0926249027252197
0,1127,-1.0884901285171509
0,2027,-1.0645575523376465
0,1044,1.0572693347930908
0,671,1.0507590770721436
0,2908,1.045851707458496
0,662,1.04169499874115
0,169,1.0296965837478638
0,469,-1.0240678787231445
0,117,-1.0217891931533813
0,2750,1.009649634361267
0,1908,1.0066685676574707
0,1035,-1.0054939985275269
1,478,1.6973187923431396
1,1974,-1.648107886314392
1,1515,-1.4829529523849487
1,1908,1.3562382459640503
1,2809,-1.1344598531723022
1,2955,-1.0772122144699097
1,278,1.063031554222107
1,527,-1.061919093132019
1,2745,-1.0388281345367432
1,516,1.020756721496582
1,1527,1.0150799751281738
1,455,-1.0107160806655884
1,735,-0.994934618473053
1,1256,0.991824209690094
1,2582,-0.9683449268341064
1,1447,0.962266743183136
1,3010,-0.946570873260498
1,229,-0.9390832781791687
1,1185,-0.9240995049476624
1,465,-0.9231663346290588
1,1290,0.9055001139640808
1,300,0.9052450656890869
1,809,0.9003535509109497
1,2635,-0.8887160420417786
1,861,-0.8856074810028076
1,1318,0.8834924697875977
1,1926,0.8791297078132629
1,148,0.8780258893966675
1,1398,0.8732727766036987
