2025-12-29 13:21:30,875 INFO __main__: Last token ids: [318, 257, 1332]
2025-12-29 13:21:30,875 INFO __main__: Last decoded tokens: [' is', ' a', ' test']
2025-12-29 13:22:32,617 INFO __main__: Last token ids: [318, 257, 1332]
2025-12-29 13:22:32,617 INFO __main__: Last decoded tokens: [' is', ' a', ' test']
2025-12-29 13:43:25,762 INFO __main__: Last token ids: [318, 257, 1332]
2025-12-29 13:43:25,763 INFO __main__: Last decoded tokens: [' is', ' a', ' test']
2025-12-29 13:43:27,425 INFO __main__: Last token ids: [318, 257, 1332]
2025-12-29 13:43:27,425 INFO __main__: Last decoded tokens: [' is', ' a', ' test']
2025-12-29 13:43:27,453 INFO __main__: Last token ids: [257, 2392, 1332]
2025-12-29 13:43:27,453 INFO __main__: Last decoded tokens: [' a', ' longer', ' test']
2025-12-29 13:44:40,094 INFO __main__: Last token ids: [318, 257, 1332]
2025-12-29 13:44:40,095 INFO __main__: Last decoded tokens: [' is', ' a', ' test']
2025-12-29 13:44:41,454 INFO __main__: Last token ids: [318, 257, 1332]
2025-12-29 13:44:41,454 INFO __main__: Last decoded tokens: [' is', ' a', ' test']
2025-12-29 13:44:41,483 INFO __main__: Last token ids: [257, 2392, 1332]
2025-12-29 13:44:41,483 INFO __main__: Last decoded tokens: [' a', ' longer', ' test']
2025-12-29 13:53:28,565 INFO src.capture: Last token ids: [450, 893, 7617]
2025-12-29 13:53:28,565 INFO src.capture: Last decoded tokens: [' ab', 'ys', 'mal']
2025-12-29 13:53:30,364 INFO src.capture: Last token ids: [373, 38324, 4680]
2025-12-29 13:53:30,364 INFO src.capture: Last decoded tokens: [' was', ' atro', 'cious']
2025-12-29 13:53:30,475 INFO src.capture: Last token ids: [1998, 373, 12659]
2025-12-29 13:53:30,475 INFO src.capture: Last decoded tokens: [' experience', ' was', ' awful']
2025-12-29 13:53:30,590 INFO src.capture: Last token ids: [1998, 373, 7818]
2025-12-29 13:53:30,590 INFO src.capture: Last decoded tokens: [' experience', ' was', ' terrible']
2025-12-29 13:53:30,619 INFO src.capture: Last token ids: [1998, 373, 12361]
2025-12-29 13:53:30,620 INFO src.capture: Last decoded tokens: [' experience', ' was', ' horrible']
2025-12-29 13:53:30,649 INFO src.capture: Last token ids: [1998, 373, 35483]
2025-12-29 13:53:30,649 INFO src.capture: Last decoded tokens: [' experience', ' was', ' dreadful']
2025-12-29 13:54:19,660 INFO src.capture: Last token ids: [450, 893, 7617]
2025-12-29 13:54:19,660 INFO src.capture: Last decoded tokens: [' ab', 'ys', 'mal']
2025-12-29 13:54:20,624 INFO src.capture: Last token ids: [373, 38324, 4680]
2025-12-29 13:54:20,625 INFO src.capture: Last decoded tokens: [' was', ' atro', 'cious']
2025-12-29 13:54:20,740 INFO src.capture: Last token ids: [1998, 373, 12659]
2025-12-29 13:54:20,740 INFO src.capture: Last decoded tokens: [' experience', ' was', ' awful']
