top_k,method,metric,mean,ci_low,ci_high
0,linear,accuracy,0.6458333134651184,0.5,0.7708333134651184
0,normal,accuracy,0.6458333134651184,0.5,0.7708333134651184
0,pca,accuracy,0.6458333134651184,0.5208333134651184,0.7708333134651184
0,random,accuracy,0.6458333134651184,0.5,0.7708333134651184
5,linear,accuracy,0.75,0.625,0.875
5,normal,accuracy,0.6458333134651184,0.5,0.7708333134651184
5,pca,accuracy,0.4375,0.2916666567325592,0.5833333134651184
5,random,accuracy,0.6458333134651184,0.5,0.7708333134651184
10,linear,accuracy,0.75,0.625,0.875
10,normal,accuracy,0.6458333134651184,0.5,0.7916666865348816
10,pca,accuracy,0.1666666716337204,0.0625,0.2916666567325592
10,random,accuracy,0.625,0.4791666567325592,0.75
20,linear,accuracy,0.875,0.7708333134651184,0.9583333134651184
20,normal,accuracy,0.6458333134651184,0.5,0.7708333134651184
20,pca,accuracy,0.7083333134651184,0.5833333134651184,0.8333333134651184
20,random,accuracy,0.5416666865348816,0.3958333432674408,0.6875
40,linear,accuracy,0.8541666865348816,0.75,0.9375
40,normal,accuracy,0.6458333134651184,0.5,0.7708333134651184
40,pca,accuracy,0.5833333134651184,0.4375,0.7291666865348816
40,random,accuracy,0.6666666865348816,0.5416666865348816,0.7916666865348816
60,linear,accuracy,1.0,1.0,1.0
60,normal,accuracy,0.6458333134651184,0.5208333134651184,0.7916666865348816
60,pca,accuracy,0.4166666567325592,0.2708333432674408,0.5625
60,random,accuracy,0.8541666865348816,0.75,0.9583333134651184
80,linear,accuracy,1.0,1.0,1.0
80,normal,accuracy,0.6458333134651184,0.5,0.7708333134651184
80,pca,accuracy,0.1041666641831398,0.02083333395421505,0.1875
80,random,accuracy,1.0,1.0,1.0
100,linear,accuracy,1.0,1.0,1.0
100,normal,accuracy,0.6458333134651184,0.5208333134651184,0.7708333134651184
100,pca,accuracy,0.7916666865348816,0.6666666865348816,0.8958333134651184
100,random,accuracy,0.8125,0.7083333134651184,0.9166666865348816
