top_k,method,metric,mean,ci_low,ci_high
0,linear,nll,0.4503975212574005,0.3973277807235718,0.5046381950378418
0,normal,nll,0.4503975212574005,0.39378318190574646,0.5019297003746033
0,pca,nll,0.4503975212574005,0.3957245647907257,0.5051460862159729
0,random,nll,0.4503975212574005,0.39938482642173767,0.5039727687835693
5,linear,nll,0.49575912952423096,0.43635284900665283,0.5581533312797546
5,normal,nll,0.4503975212574005,0.3931236267089844,0.5015879273414612
5,pca,nll,0.3791145384311676,0.3138417899608612,0.46078380942344666
5,random,nll,0.44967731833457947,0.3936879634857178,0.5089318156242371
10,linear,nll,0.5149781107902527,0.4542131721973419,0.5830169320106506
10,normal,nll,0.4503975212574005,0.4023943245410919,0.5043660998344421
10,pca,nll,0.8335393071174622,0.5344681143760681,1.1712393760681152
10,random,nll,0.44809743762016296,0.3940068185329437,0.5123841166496277
20,linear,nll,0.5617358684539795,0.5030474066734314,0.6271690130233765
20,normal,nll,0.4503975212574005,0.40124163031578064,0.5071622729301453
20,pca,nll,0.5097107291221619,0.3813515603542328,0.6430320143699646
20,random,nll,0.38417503237724304,0.33961060643196106,0.432241827249527
40,linear,nll,0.5743616223335266,0.526935338973999,0.6195211410522461
40,normal,nll,0.4503975212574005,0.39448991417884827,0.5065813660621643
40,pca,nll,0.5894266963005066,0.4376072883605957,0.7530750632286072
40,random,nll,0.4291671812534332,0.36268457770347595,0.499530553817749
60,linear,nll,0.597873866558075,0.5536535382270813,0.6443065404891968
60,normal,nll,0.4503975212574005,0.3958057463169098,0.5054114460945129
60,pca,nll,0.8455371856689453,0.6726390719413757,1.038499355316162
60,random,nll,0.529266893863678,0.4349170923233032,0.6236065030097961
80,linear,nll,0.6317575573921204,0.5818231701850891,0.6852766871452332
80,normal,nll,0.4503975212574005,0.40063750743865967,0.5080199837684631
80,pca,nll,0.8185493350028992,0.6607992053031921,0.9750741124153137
80,random,nll,1.1314905881881714,0.8086597323417664,1.463539481163025
100,linear,nll,0.6273022294044495,0.5817088484764099,0.6770117282867432
100,normal,nll,0.4503975212574005,0.3963228762149811,0.500001847743988
100,pca,nll,0.8773381114006042,0.6250912547111511,1.1401984691619873
100,random,nll,0.7654617428779602,0.6488440632820129,0.8921645283699036
