,layer,G,left_out
0,0,0.9914436340332031,sentence.1
1,1,0.9885387039846845,sentence.1
2,2,0.9735005564159818,sentence.1
3,3,0.9634869015879102,sentence.1
4,4,0.9478532489803102,sentence.1
5,5,0.9454676608244578,sentence.1
6,6,0.9391461080975003,sentence.1
7,7,0.9215569247802099,sentence.1
8,8,0.9015098975764381,sentence.1
9,9,0.8781987660461001,sentence.1
10,10,0.8401208602719836,sentence.1
11,11,0.7749931083785163,sentence.1
12,0,0.9916374517811669,sentence.10
13,1,0.9884265727467008,sentence.10
14,2,0.9735930065313975,sentence.10
15,3,0.9627919726901584,sentence.10
16,4,0.9476934274037679,sentence.10
17,5,0.9456259591711892,sentence.10
18,6,0.9393990288178126,sentence.10
19,7,0.9207245508829752,sentence.10
20,8,0.8997378895680109,sentence.10
21,9,0.8749776780605316,sentence.10
22,10,0.8341066009468503,sentence.10
23,11,0.7702183988359239,sentence.10
24,0,0.9917533579799864,sentence.2
25,1,0.9886677364508311,sentence.2
26,2,0.9741247759924995,sentence.2
27,3,0.9658710840675566,sentence.2
28,4,0.9536556088262134,sentence.2
29,5,0.9510984073082606,sentence.2
30,6,0.9456032961606979,sentence.2
31,7,0.9277406069967482,sentence.2
32,8,0.9080090688334571,sentence.2
33,9,0.8849918941656748,sentence.2
34,10,0.8464335285955005,sentence.2
35,11,0.789015058014128,sentence.2
36,0,0.9909568412436379,sentence.3
37,1,0.9876622888776991,sentence.3
38,2,0.971857057677375,sentence.3
39,3,0.9617489278316498,sentence.3
40,4,0.9476475318272909,sentence.3
41,5,0.9450148542722067,sentence.3
42,6,0.9388353245125877,sentence.3
43,7,0.921918037864897,sentence.3
44,8,0.9034943398502138,sentence.3
45,9,0.882886528968811,sentence.3
46,10,0.8492227031124963,sentence.3
47,11,0.7953156580527624,sentence.3
48,0,0.9916392316420873,sentence.4
49,1,0.9886168158716626,sentence.4
50,2,0.9732398357656267,sentence.4
51,3,0.9627767784727944,sentence.4
52,4,0.9478553616338306,sentence.4
53,5,0.9453106506003274,sentence.4
54,6,0.9388925714625252,sentence.4
55,7,0.9212824271784888,sentence.4
56,8,0.9017918076780107,sentence.4
57,9,0.8793688532378938,sentence.4
58,10,0.8403119163380729,sentence.4
59,11,0.7870124727487564,sentence.4
60,0,0.9912665983041128,sentence.5
61,1,0.9883036547236972,sentence.5
62,2,0.972474980685446,sentence.5
63,3,0.962505567404959,sentence.5
64,4,0.9486537608835433,sentence.5
65,5,0.9463877280553182,sentence.5
66,6,0.9396956049733691,sentence.5
67,7,0.922635856601927,sentence.5
68,8,0.9030971460872226,sentence.5
69,9,0.8786524732907613,sentence.5
70,10,0.8385955111847984,sentence.5
71,11,0.7740707414017783,sentence.5
72,0,0.9928274403015772,sentence.6
73,1,0.9911014868153466,sentence.6
74,2,0.977572061949306,sentence.6
75,3,0.9691045929988226,sentence.6
76,4,0.9550024420022964,sentence.6
77,5,0.9526390367084079,sentence.6
78,6,0.9468182259135776,sentence.6
79,7,0.9322491983572642,sentence.6
80,8,0.9152159227265252,sentence.6
81,9,0.896584196223153,sentence.6
82,10,0.8612509369850159,sentence.6
83,11,0.8083321766720878,sentence.6
84,0,0.9909780952665541,sentence.7
85,1,0.9877993663152059,sentence.7
86,2,0.9723377674818039,sentence.7
87,3,0.9615135457780626,sentence.7
88,4,0.9474681384033627,sentence.7
89,5,0.9444835599925783,sentence.7
90,6,0.9372807625267241,sentence.7
91,7,0.9191985776027044,sentence.7
92,8,0.8993478367726008,sentence.7
93,9,0.8759512404600779,sentence.7
94,10,0.8360843459765116,sentence.7
95,11,0.7742065191268921,sentence.7
96,0,0.991102644138866,sentence.8
97,1,0.9878327896197637,sentence.8
98,2,0.9715931299659941,sentence.8
99,3,0.9613217098845376,sentence.8
100,4,0.9464171379804611,sentence.8
101,5,0.9433859371476703,sentence.8
102,6,0.9369311233361562,sentence.8
103,7,0.9183700415823195,sentence.8
104,8,0.8977617257171207,sentence.8
105,9,0.8732571817106671,sentence.8
106,10,0.8332906464735667,sentence.8
107,11,0.7687445018026564,sentence.8
108,0,0.991187216507064,sentence.9
109,1,0.9882073882553313,sentence.9
110,2,0.9721296429634094,sentence.9
111,3,0.9619057840771146,sentence.9
112,4,0.94655831820435,sentence.9
113,5,0.944090281923612,sentence.9
114,6,0.9372904565599229,sentence.9
115,7,0.918236255645752,sentence.9
116,8,0.8969634258084827,sentence.9
117,9,0.8729096485508813,sentence.9
118,10,0.834038582113054,sentence.9
119,11,0.776788420147366,sentence.9
