metric,mean_sent,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_sent,n_null,layer_from,layer_to
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,0,1
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,1,2
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,2,3
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,3,4
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,4,5
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,5,6
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,6,7
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,7,8
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,8,9
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,9,10
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,10,11
mean_angle,0.35918079286813737,0.3413546913862228,0.017826101481914547,0.01739214403182267,0.01827555581182238,0.0,10.651160682419404,100,100,0,1
mean_angle,0.36984021961688995,0.35554752707481385,0.014292692542076102,0.013309163428843007,0.015259106963872908,0.0,3.8697156440492204,100,100,1,2
mean_angle,0.33909669786691665,0.3544737109541893,-0.015377013087272628,-0.016356789372861433,-0.014308498203754403,0.0,-4.108577674864793,100,100,2,3
mean_angle,0.33101667106151583,0.3363042023777962,-0.005287531316280347,-0.006984794378280664,-0.003520180307328691,0.0,-0.8567571307874708,100,100,3,4
mean_angle,0.31336758226156236,0.3234317633509636,-0.010064181089401214,-0.011016083098947995,-0.009004521079361415,0.0,-2.827696178210414,100,100,4,5
mean_angle,0.31655189841985704,0.3490071654319763,-0.03245526701211926,-0.0341662626937032,-0.03067814115434887,0.0,-5.371288144982325,100,100,5,6
mean_angle,0.31366316199302674,0.33874334454536437,-0.025080182552337627,-0.02625301464647052,-0.023788743138313296,0.0,-5.751377496271697,100,100,6,7
mean_angle,0.34997061103582383,0.351094613969326,-0.0011240029335021773,-0.0026869905069470596,0.0004761926457285708,0.178,-0.2028827014608228,100,100,7,8
mean_angle,0.39821279913187024,0.3571132570505142,0.04109954208135602,0.036560734704136816,0.04596444062888623,0.0,2.41285301527306,100,100,8,9
mean_angle,0.43229147881269453,0.37923125088214876,0.05306022793054577,0.045972891181707415,0.060276136033236984,0.0,2.046225864482467,100,100,9,10
mean_angle,0.425605571269989,0.43002456814050677,-0.004418996870517777,-0.007630665540695197,-0.001215384148061296,0.012,-0.37715507875129584,100,100,10,11
max_angle,0.45249555438756944,0.391577650308609,0.060917904078960416,0.05998750877380369,0.06174565657973292,0.0,19.086706193625307,100,100,0,1
max_angle,0.4371443220973015,0.41156665325164793,0.025577668845653545,0.024269076175987704,0.026851409249007727,0.0,5.490687614553231,100,100,1,2
max_angle,0.43632457286119464,0.43008894711732865,0.006235625743865991,0.004681574724614629,0.007930197656154627,0.0,1.081327512871617,100,100,2,3
max_angle,0.4256683486700058,0.4262731346487999,-0.0006047859787940979,-0.0034617355242371876,0.002380439355969457,0.71,-0.056559234779989885,100,100,3,4
max_angle,0.3761453449726105,0.3663738933205605,0.009771451652050012,0.00857669895142316,0.010795999445021121,0.0,2.4114335242373772,100,100,4,5
max_angle,0.3593886896967888,0.41497771710157394,-0.05558902740478516,-0.0583932836279273,-0.05256944841891528,0.0,-5.1698801449934155,100,100,5,6
max_angle,0.3549147918820381,0.38748604148626326,-0.03257124960422514,-0.034746249087154873,-0.030476933047175418,0.0,-4.222217214940118,100,100,6,7
max_angle,0.38313366323709486,0.4222391334176063,-0.03910547018051147,-0.041143501445651036,-0.03708200223743916,0.0,-5.213045063265707,100,100,7,8
max_angle,0.6042226040363312,0.402837495803833,0.20138510823249822,0.1795653520748019,0.22304379923641676,0.0,2.4956575131281906,100,100,8,9
max_angle,0.6608982083201408,0.4378616869449615,0.22303652137517926,0.19077287854999306,0.2568522660061717,0.0,1.8782101794610118,100,100,9,10
max_angle,0.6193900346755982,0.6429153007268905,-0.02352526605129235,-0.03558385561406615,-0.011340897902846266,0.002,-0.5249234834201909,100,100,10,11
