metric,mean_sent,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_sent,n_null,layer_from,layer_to
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,0,1
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,1,2
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,2,3
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,3,4
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,4,5
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,5,6
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,6,7
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,7,8
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,8,9
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,9,10
k_used,5.0,5.0,0.0,0.0,0.0,2.0,,100,100,10,11
residual_fro,0.8062331044673919,0.7632288599014282,0.043004244565963745,0.042017339527607,0.0440283335149288,0.0,11.329501834962029,100,100,0,1
residual_fro,0.8300878578424453,0.7937683087587356,0.03631954908370971,0.03410749058425418,0.03849822300672533,0.0,4.366635505294222,100,100,1,2
residual_fro,0.7653396928310394,0.7956640094518661,-0.030324316620826686,-0.03255727460980419,-0.027901547774672512,0.0,-3.6160627827959075,100,100,2,3
residual_fro,0.7465579152107239,0.7562991625070572,-0.0097412472963333,-0.01363027162849903,-0.00561123859882364,0.0,-0.6887680965629713,100,100,3,4
residual_fro,0.7041657137870788,0.7225940674543381,-0.018428353667259256,-0.020526826336979893,-0.016135659560561087,0.0,-2.3734165071119997,100,100,4,5
residual_fro,0.7096156477928162,0.7803511482477188,-0.07073550045490262,-0.07462077526748183,-0.06668455637991424,0.0,-5.1559673101463215,100,100,5,6
residual_fro,0.7008897984027862,0.7583867144584656,-0.057496916055679415,-0.060134339794516614,-0.05464729981124397,0.0,-5.8836521091797005,100,100,6,7
residual_fro,0.780478423833847,0.786892459988594,-0.006414036154747005,-0.009878773659467686,-0.002915955737233206,0.0,-0.5242270386959137,100,100,7,8
residual_fro,0.9152197295427322,0.797723588347435,0.11749614119529728,0.10301438535749914,0.1322885154783726,0.0,2.2798178325197016,100,100,8,9
residual_fro,0.9953684377670288,0.8484714692831039,0.14689696848392486,0.12478290276229377,0.1691829408705235,0.0,1.8339433654986053,100,100,9,10
residual_fro,0.9715020132064819,0.9903095299005509,-0.018807516694068993,-0.027306896060705143,-0.00994565057754518,0.0,-0.5953911261528242,100,100,10,11
