metric,mean_sent,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_sent,n_null,layer,level_from,level_to
G,0.9873816445678001,0.9847075078454283,0.0026741367223718226,0.002244776722043454,0.0030863636008685025,0.0,1.736176569693417,100,100,0,1,2
G,0.9895658415177511,0.9895464588730107,1.9382644740328914e-05,-0.00025597268057961364,0.00028953344219987683,0.888,0.019784044118566265,100,100,0,2,3
G,0.9904801194417098,0.9891253986372834,0.0013547208044263348,0.0010638464616759546,0.0016437648352886412,0.0,1.2767814956087171,100,100,0,3,4
G,0.9898696460525194,0.9892035074990894,0.0006661385534300068,0.00035736078332568587,0.0009715313985943691,0.0,0.5840408008239244,100,100,0,4,5
G,0.9868923434979385,0.9903040894695692,-0.003411745971630631,-0.0037107407298470453,-0.0031324299170621905,0.0,-3.267388160456229,100,100,0,5,6
G,0.9881030190019381,0.9881007540453046,2.2649566334687066e-06,-0.00032729277814178557,0.0003460669918905812,0.982,0.0018993169246819244,100,100,0,6,7
G,0.9900096805729562,0.9902448331041943,-0.00023515253123806978,-0.0004822354630819342,2.6793040465214447e-05,0.096,-0.24436958077522275,100,100,0,7,8
G,0.9880591045376801,0.9908661225665181,-0.002807018028837982,-0.0030537668880606357,-0.0025358135862364795,0.0,-2.998126262011459,100,100,0,8,9
G,0.9882537819738425,0.9894477825339826,-0.0011940005601400738,-0.0014799836265661863,-0.0009012747171734226,0.0,-1.1218838549363026,100,100,0,9,10
G,0.9862697743636276,0.9827285600162687,0.0035412143473588786,0.0029748156968328497,0.0041170871584659706,0.0,1.7182982313334112,100,100,1,1,2
G,0.9892402385525287,0.9879785538684753,0.0012616846840534102,0.0008768958344109346,0.001677903414458398,0.0,0.861139319873616,100,100,1,2,3
G,0.9893203220438387,0.9872350630944683,0.0020852589493703944,0.001688822679671287,0.002509505392433953,0.0,1.3917507695226186,100,100,1,3,4
G,0.9894904823535018,0.9876263000851587,0.001864182268343062,0.0015090934830405106,0.00223846766342001,0.0,1.4108385970846655,100,100,1,4,5
G,0.9873075233291067,0.9881439409322208,-0.0008364176031141479,-0.0011711080108723544,-0.00046554352622191485,0.0,-0.6548849446793721,100,100,1,5,6
G,0.9859033416793461,0.986599923751657,-0.0006965820723108251,-0.0011725930220788188,-0.00028731311623546313,0.002,-0.4352425265031317,100,100,1,6,7
G,0.9891011723303607,0.987809134955444,0.001292037374916677,0.0008672766016000893,0.0016937655399361401,0.0,0.8535263996065432,100,100,1,7,8
G,0.9848688894931287,0.9886238030502722,-0.0037549135571435244,-0.004183403394666882,-0.003356569592134312,0.0,-2.430618691946468,100,100,1,8,9
G,0.9850308982914402,0.9865244741264789,-0.0014935758350387296,-0.001990440016429118,-0.0010221282524837312,0.0,-0.8375746985828142,100,100,1,9,10
G,0.9664943823639364,0.9689155191746022,-0.0024211368106658027,-0.0038196847876623696,-0.0010890278659051594,0.0,-0.5009475098772593,100,100,2,1,2
G,0.9748204177859283,0.9758989899333507,-0.001078572147422352,-0.0020394998796997715,-0.0001553599716181272,0.024,-0.3245470412285876,100,100,2,2,3
G,0.9760842680618876,0.9738125067400553,0.0022717613218323773,0.0010783103756606294,0.0034442295825316267,0.0,0.524936493289514,100,100,2,3,4
