layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,5,,0.3402148485183716,0.38998183608055115,[0.2914183  0.31553406 0.34861004 0.35552996 0.38998184],0
1,2,5,,0.35646289587020874,0.41113394498825073,[0.3229792  0.33342728 0.35333285 0.36144122 0.41113394],0
2,3,5,,0.35174795985221863,0.42697393894195557,[0.29252142 0.30920634 0.33970937 0.3903288  0.42697394],0
3,4,5,,0.3332463204860687,0.4267781376838684,[0.27070358 0.31490943 0.31679583 0.3370446  0.42677814],0
4,5,5,,0.3207983672618866,0.36451661586761475,[0.28519154 0.30320618 0.3137645  0.33731306 0.36451662],0
5,6,5,,0.3463621437549591,0.4123101234436035,[0.31091878 0.32229835 0.33460414 0.3516793  0.41231012],0
6,7,5,,0.33745044469833374,0.3815273940563202,[0.28801307 0.30283645 0.34390017 0.3709751  0.3815274 ],0
7,8,5,,0.3478376269340515,0.42873427271842957,[0.28984416 0.31326163 0.34308976 0.36425823 0.42873427],0
8,9,5,,0.35739952325820923,0.3994385302066803,[0.31880137 0.3307489  0.33972746 0.39828134 0.39943853],0
9,10,5,,0.38040852546691895,0.42931070923805237,[0.3174948  0.3487843  0.39077064 0.4156822  0.4293107 ],0
10,11,5,,0.4359653890132904,0.6552198529243469,[0.3101088  0.34155524 0.36892122 0.5040218  0.65521985],0
0,1,5,,0.34331414103507996,0.3942643404006958,[0.29519516 0.31680483 0.35080546 0.35950089 0.39426434],1
1,2,5,,0.35568714141845703,0.4052712023258209,[0.32493615 0.3291266  0.35483253 0.36426926 0.4052712 ],1
2,3,5,,0.3599105775356293,0.4425249695777893,[0.2981974  0.32417092 0.34422073 0.3904389  0.44252497],1
3,4,5,,0.34253811836242676,0.44281190633773804,[0.274927   0.31807432 0.3279952  0.34888214 0.4428119 ],1
4,5,5,,0.32787615060806274,0.36890485882759094,[0.29310083 0.3061324  0.32483268 0.34640986 0.36890486],1
5,6,5,,0.3527386784553528,0.4169369637966156,[0.3195942  0.32526925 0.33740795 0.36448503 0.41693696],1
6,7,5,,0.34305471181869507,0.39713066816329956,[0.2932677  0.30651072 0.34572524 0.3726392  0.39713067],1
7,8,5,,0.3521038293838501,0.41763290762901306,[0.29584864 0.31738845 0.34943303 0.3802161  0.4176329 ],1
8,9,5,,0.35894304513931274,0.41303613781929016,[0.32054046 0.32917252 0.34984595 0.38212022 0.41303614],1
9,10,5,,0.3831713795661926,0.4313635528087616,[0.31961164 0.3506608  0.3996592  0.41456163 0.43136355],1
10,11,5,,0.43502768874168396,0.5986906886100769,[0.31256863 0.331236   0.38561714 0.54702604 0.5986907 ],1
0,1,5,,0.34023863077163696,0.39126405119895935,[0.2930901  0.31445745 0.34967652 0.35270497 0.39126405],2
1,2,5,,0.35580238699913025,0.4121067523956299,[0.32246503 0.3307041  0.35328513 0.360451   0.41210675],2
2,3,5,,0.35354843735694885,0.43051424622535706,[0.29520458 0.30940703 0.3430536  0.3895627  0.43051425],2
3,4,5,,0.33407062292099,0.4210215210914612,[0.2745546  0.31482607 0.32079595 0.33915496 0.42102152],2
4,5,5,,0.32187899947166443,0.3659854531288147,[0.28737426 0.303542   0.31380293 0.33869046 0.36598545],2
5,6,5,,0.3488074839115143,0.41437482833862305,[0.31323743 0.32316172 0.33806148 0.3552019  0.41437483],2
6,7,5,,0.33900147676467896,0.38431990146636963,[0.2880479  0.30653837 0.34029132 0.37580997 0.3843199 ],2
7,8,5,,0.3512590229511261,0.42648544907569885,[0.29658577 0.3181111  0.34805244 0.3670604  0.42648545],2
8,9,5,,0.3586842119693756,0.40226981043815613,[0.32077232 0.33029118 0.34293362 0.3971541  0.4022698 ],2
9,10,5,,0.3770357668399811,0.42596355080604553,[0.310275   0.34555915 0.38977122 0.41360983 0.42596355],2
10,11,5,,0.42609626054763794,0.6311354041099548,[0.31285286 0.33412737 0.35022032 0.5021452  0.6311354 ],2
0,1,5,,0.34227830171585083,0.39271628856658936,[0.29127014 0.31793496 0.35006064 0.35940957 0.3927163 ],3
1,2,5,,0.35685285925865173,0.41316381096839905,[0.32016248 0.3341788  0.35328823 0.36347106 0.4131638 ],3
2,3,5,,0.35553795099258423,0.42698976397514343,[0.2959547  0.31541342 0.34450886 0.39482304 0.42698976],3
3,4,5,,0.3400149345397949,0.4342702329158783,[0.2783144  0.32154006 0.32190838 0.3440416  0.43427023],3
4,5,5,,0.32482853531837463,0.3643876910209656,[0.2903965  0.30762014 0.32190236 0.339836   0.3643877 ],3
5,6,5,,0.3513733744621277,0.42321211099624634,[0.31852418 0.3258328  0.33587307 0.35342482 0.4232121 ],3
6,7,5,,0.34037744998931885,0.3847282826900482,[0.2938284  0.30354697 0.34559944 0.37418407 0.38472828],3
7,8,5,,0.3546304404735565,0.433284193277359,[0.29616576 0.3156506  0.35288143 0.37517023 0.4332842 ],3
8,9,5,,0.3637058436870575,0.40970444679260254,[0.3285975  0.33479068 0.34397    0.40146673 0.40970445],3
9,10,5,,0.3827424943447113,0.43652909994125366,[0.32423696 0.35598448 0.38231823 0.41464362 0.4365291 ],3
10,11,5,,0.4353860318660736,0.6520826816558838,[0.30242828 0.33613575 0.36976162 0.51652193 0.6520827 ],3
0,1,5,,0.34066134691238403,0.3942413628101349,[0.29030052 0.31436434 0.3460208  0.35837984 0.39424136],4
1,2,5,,0.3518628180027008,0.4051652252674103,[0.32165208 0.32588494 0.34876424 0.35784757 0.40516523],4
2,3,5,,0.35525816679000854,0.43556493520736694,[0.29037902 0.3147362  0.3433965  0.39221415 0.43556494],4
3,4,5,,0.3349713683128357,0.4364481568336487,[0.26687816 0.31166992 0.32124665 0.33861402 0.43644816],4
4,5,5,,0.32352906465530396,0.3676556944847107,[0.28556165 0.30418083 0.32138538 0.33886173 0.3676557 ],4
5,6,5,,0.3503907322883606,0.425525963306427,[0.31725243 0.32050243 0.3301833  0.35848942 0.42552596],4
6,7,5,,0.3412308096885681,0.3942651152610779,[0.29014555 0.2997566  0.34980524 0.37218168 0.39426512],4
7,8,5,,0.351274311542511,0.4290735125541687,[0.29305276 0.31566885 0.3427464  0.37582994 0.4290735 ],4
8,9,5,,0.3579685389995575,0.4098869562149048,[0.32375598 0.32846114 0.3435146  0.38422403 0.40988696],4
9,10,5,,0.38243958353996277,0.4295036792755127,[0.32715026 0.34916535 0.38975018 0.4166285  0.42950368],4
10,11,5,,0.4375467896461487,0.6312411427497864,[0.30676603 0.33344057 0.37508598 0.5412003  0.63124114],4
0,1,5,,0.34193605184555054,0.39294111728668213,[0.29400843 0.31625602 0.3511132  0.35536143 0.39294112],5
1,2,5,,0.3548770844936371,0.40791112184524536,[0.3225972  0.32779348 0.3528552  0.36322856 0.40791112],5
2,3,5,,0.35312047600746155,0.4345547556877136,[0.29381132 0.313722   0.33635035 0.38716403 0.43455476],5
3,4,5,,0.33426928520202637,0.42533186078071594,[0.27299485 0.31225622 0.31841376 0.3423498  0.42533186],5
4,5,5,,0.32066261768341064,0.36376282572746277,[0.28590527 0.30177137 0.31042156 0.341452   0.36376283],5
5,6,5,,0.348153293132782,0.40605542063713074,[0.30971462 0.3228359  0.34664115 0.35551932 0.40605542],5
6,7,5,,0.3370627462863922,0.38737961649894714,[0.28503197 0.30391723 0.33783334 0.37115148 0.38737962],5
7,8,5,,0.34981366991996765,0.41392961144447327,[0.29491597 0.3142053  0.35052508 0.3754925  0.4139296 ],5
8,9,5,,0.3496555685997009,0.3874310255050659,[0.3075727  0.33014065 0.33949196 0.38364163 0.38743103],5
9,10,5,,0.3775438368320465,0.4449390769004822,[0.3122632  0.3369213  0.39022696 0.40336865 0.44493908],5
10,11,5,,0.4121280610561371,0.6021389961242676,[0.3083392  0.319774   0.36568338 0.46470475 0.602139  ],5
0,1,5,,0.3408910930156708,0.3893400728702545,[0.29341322 0.31535193 0.35290575 0.3534446  0.38934007],6
