layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,6,0.9,0.3409824073314667,0.39117884635925293,[0.2908832  0.3141268  0.33689696 0.35152906 0.36127955 0.39117885],0
1,2,6,0.9,0.36140573024749756,0.4341411590576172,[0.30332434 0.32991734 0.34729812 0.35332838 0.40042502 0.43414116],0
2,3,6,0.9,0.3563622236251831,0.42694225907325745,[0.29155084 0.29293162 0.32598138 0.38761795 0.41314927 0.42694226],0
3,4,6,0.9,0.3330304026603699,0.42503058910369873,[0.26011786 0.29251087 0.31671718 0.33155826 0.37224773 0.4250306 ],0
4,5,6,0.9,0.31962156295776367,0.38842201232910156,[0.26169854 0.2973913  0.29761925 0.3346439  0.33795434 0.388422  ],0
5,6,6,0.9,0.3354969024658203,0.3825068771839142,[0.2766922  0.30930427 0.32632533 0.3488408  0.36931178 0.38250688],0
6,7,6,0.9,0.3494393527507782,0.44306251406669617,[0.28090608 0.3023316  0.33431488 0.36477685 0.37124416 0.4430625 ],0
7,8,7,0.9,0.34366610646247864,0.4326852858066559,"[0.28449985 0.3000816  0.3118926  0.3480133  0.35612434 0.37236586
 0.4326853 ]",0
8,9,7,0.9,0.35484328866004944,0.4389038681983948,"[0.30982977 0.31889912 0.33166352 0.33841443 0.362485   0.3837074
 0.43890387]",0
9,10,7,0.9,0.3874349296092987,0.5074322819709778,"[0.29709765 0.33379698 0.36517498 0.37990874 0.40537414 0.4232596
 0.5074323 ]",0
10,11,8,0.9,0.45903730392456055,0.8352817893028259,"[0.29750967 0.31762365 0.32856664 0.34792486 0.39710137 0.496219
 0.6520715  0.8352818 ]",0
0,1,6,0.9,0.3426881730556488,0.3908599615097046,[0.29448566 0.31504986 0.33829036 0.35423985 0.3632034  0.39085996],1
1,2,6,0.9,0.36083707213401794,0.43335476517677307,[0.30634058 0.32447895 0.34753653 0.3548317  0.39847985 0.43335477],1
2,3,6,0.9,0.3611811399459839,0.4357738196849823,[0.29528427 0.30368114 0.32924572 0.38722447 0.41587743 0.43577382],1
3,4,6,0.9,0.33870816230773926,0.4304152727127075,[0.2620338  0.29823023 0.32542384 0.34087875 0.37526718 0.43041527],1
4,5,6,0.9,0.3238537013530731,0.3882712125778198,[0.2700303  0.29692066 0.30186903 0.34207696 0.3439541  0.3882712 ],1
5,6,6,0.9,0.3425915241241455,0.38683363795280457,[0.28785333 0.31348205 0.32486126 0.36154756 0.3809712  0.38683364],1
6,7,6,0.9,0.3521696627140045,0.4391629993915558,[0.2887828  0.30447543 0.34437293 0.36123604 0.37498784 0.439163  ],1
7,8,6,0.9,0.3476558029651642,0.4261445701122284,[0.291875   0.3054311  0.32608038 0.35678026 0.3796235  0.42614457],1
8,9,6,0.9,0.35198280215263367,0.4128907322883606,[0.3170418  0.3228729  0.33247295 0.35184535 0.374773   0.41289073],1
9,10,7,0.9,0.3902612626552582,0.526129424571991,"[0.2979063  0.33738795 0.36960688 0.3812683  0.3971872  0.4223428
 0.5261294 ]",1
