layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,6,0.9,0.8347529768943787,"[[ 0.9888473  -0.08527923  0.11751488  0.00687335 -0.02766527 -0.01691134]
 [ 0.09131099  0.9944763  -0.0385852  -0.02357412  0.024188    0.00703175]
 [-0.11553606  0.04998022  0.98777187 -0.03425444 -0.05829809 -0.06235494]
 [-0.00721803  0.02409639  0.03747076  0.99684954  0.06179303  0.02087843]
 [-0.02013499  0.02572128 -0.06888396  0.06593037 -0.98354447 -0.149938  ]
 [ 0.00609134 -0.00199231  0.05347108 -0.01295816 -0.15515395  0.98633623]]",0
1,2,6,0.9,0.8864927887916565,"[[ 9.8426354e-01  6.7846753e-02 -1.6301897e-01 -6.7984266e-03
  -8.8018656e-04  2.4929561e-05]
 [-3.2687899e-02  9.7556919e-01  2.1068901e-01 -4.8148654e-02
  -4.3449327e-03 -2.1660261e-02]
 [ 1.7324163e-01 -1.9817694e-01  9.6096247e-01  5.3387027e-02
   5.9583455e-02  2.9393196e-02]
 [-4.7287913e-03  5.8792587e-02 -4.5933161e-02  9.9482125e-01
   6.6864520e-02 -1.6465805e-02]
 [ 9.1878176e-03 -1.1610461e-02  5.3081863e-02  7.0480652e-02
  -9.9573338e-01  2.2596836e-02]
 [-6.1166529e-03  2.8214704e-02 -2.5661077e-02  1.2188851e-02
   2.1779023e-02  9.9894196e-01]]",0
2,3,6,0.9,0.8781262636184692,"[[ 0.99166393  0.07942583 -0.07805176  0.04464793  0.01610071  0.0441516 ]
 [-0.07767272  0.9927841  -0.03468648 -0.05637909 -0.0579823  -0.02455312]
 [ 0.07425448  0.04038595  0.9902128  -0.07478857  0.04267452  0.07013844]
 [-0.04749563  0.06063821  0.06904076  0.990432    0.07619875  0.05038678]
 [-0.02256061  0.05093872 -0.05205013 -0.07905565  0.9931101   0.0408585 ]
 [-0.04786414  0.01297592 -0.06861144 -0.04504845 -0.04983595  0.9941429 ]]",0
3,4,6,0.9,0.8219254612922668,"[[ 0.9819633   0.18331335  0.01054554  0.02555011 -0.03292945 -0.01720928]
 [-0.1837928   0.98187757 -0.00616923 -0.02888734 -0.03433307 -0.00924091]
 [-0.01059354  0.00466466  0.99741554 -0.01988831  0.04203202 -0.05353614]
 [-0.02948227  0.025395    0.01819808  0.9982911   0.03902019  0.00686631]
 [ 0.02644652  0.03758266 -0.04669291 -0.0376493   0.99413383 -0.07738469]
 [ 0.01696122  0.0152829   0.05001666 -0.01070991  0.07839379  0.99534756]]",0
4,5,6,0.9,0.7854138612747192,"[[ 0.97166747  0.20989634  0.09923762  0.04204946  0.00862549  0.01073474]
 [-0.21207549  0.97675127  0.00163719  0.01883838 -0.0143415   0.02043953]
 [-0.09225088 -0.0196889   0.9885033  -0.07230271 -0.06047453 -0.07126281]
 [-0.04699034 -0.02865968  0.08280537  0.97783864  0.16198051  0.08779489]
 [-0.010131    0.0143722   0.05059477 -0.17170368  0.98234034  0.05153914]
 [-0.00808711 -0.02202175  0.05994802 -0.08365964 -0.0695166   0.99198   ]]",0
5,6,6,0.9,0.8224198222160339,"[[ 0.9938188   0.10427654  0.03546049 -0.00246346 -0.00407374 -0.0130512 ]
 [-0.10771055  0.9884541   0.10105072  0.01027084  0.00152852 -0.03221438]
 [-0.02477425 -0.10422104  0.991772   -0.0603243   0.02814951 -0.02193293]
 [ 0.00212415 -0.01562635  0.06015767  0.9976234  -0.0226761   0.01912277]
 [ 0.00653947  0.00729873 -0.0215665   0.02012412  0.98178476  0.18743677]
 [ 0.00783807  0.03041919  0.02890507 -0.02433038 -0.18647555  0.98123014]]",0
6,7,6,0.9,0.8606876134872437,"[[ 0.98202026  0.15567437  0.08976036  0.02712144 -0.05092336 -0.00399449]
 [-0.15590668  0.9874511  -0.01063518  0.00241883 -0.0035782  -0.02239995]
 [-0.08444247 -0.00301772  0.98696107 -0.12766653  0.03667149 -0.03353639]
 [-0.03667346 -0.00720787  0.12380485  0.99128586  0.01826676 -0.01714716]
 [ 0.05332519  0.01176879 -0.03393114 -0.0120387   0.9978539   0.00305928]
 [-0.0031966   0.02250181  0.03548066  0.0129282  -0.00179498  0.99902666]]",0
7,8,7,0.9,0.9127023816108704,"[[ 9.79623258e-01 -1.74241588e-01  9.72636044e-02  4.53097542e-04
   2.17909086e-02 -4.01580054e-03  5.15752379e-03]
 [ 1.48655772e-01  9.63009000e-01  2.13426858e-01  1.56247206e-02
   6.67967200e-02 -6.16855826e-03 -1.48337055e-02]
 [-1.29977793e-01 -1.92675009e-01  9.71192122e-01 -2.92865876e-02
  -2.55776439e-02  3.54023874e-02  1.63749990e-03]
 [-9.94803291e-03 -2.76905354e-02  2.28914917e-02  9.87461686e-01
   1.22841701e-01  9.10021961e-02 -1.25765763e-02]
 [-3.25386487e-02 -6.08574785e-02  2.12733331e-03 -1.32905424e-01
   9.84410226e-01  9.18546766e-02  8.27921368e-03]
 [ 1.34281507e-02  2.05968898e-02 -3.52480449e-02 -7.69931823e-02
  -1.01187751e-01  9.90826190e-01  1.57973077e-02]
 [-2.70330836e-03  1.53349275e-02  1.90175325e-03  1.50183458e-02
  -4.08783322e-03 -1.54027510e-02  9.99637187e-01]]",0
8,9,7,0.9,0.9399262070655823,"[[ 9.93388891e-01 -5.43062426e-02  8.15718323e-02  4.43389080e-02
  -3.76820415e-02  2.36638269e-04 -1.37638319e-02]
 [ 4.95219193e-02  9.95739102e-01  9.37861390e-03  5.34273535e-02
  -3.63055468e-02  3.26463394e-02 -2.69253142e-02]
 [-8.13998282e-02 -4.17932263e-03  9.96416867e-01 -1.15591176e-02
  -3.28111649e-03 -4.76228306e-03  1.85150132e-02]
 [-4.00613919e-02 -4.41200808e-02  8.76764767e-03  9.80651021e-01
   1.85589865e-01 -6.48536161e-03 -1.44797871e-02]
 [ 4.63002026e-02  3.83726656e-02  6.00614492e-03 -1.80319712e-01
   9.74237502e-01  1.19523786e-01 -2.01972090e-02]
 [-7.22094532e-03 -3.62785086e-02  2.92168744e-03  2.69232392e-02
  -1.13711469e-01  9.90964949e-01  5.43748997e-02]
 [ 1.73028968e-02  2.83178110e-02 -1.70252044e-02  1.13840932e-02
   2.71775331e-02 -5.07156961e-02  9.97581363e-01]]",0
9,10,7,0.9,1.0310568809509277,"[[ 0.98223865 -0.08033924 -0.14696568 -0.07928681  0.01364931  0.00846813
  -0.0246894 ]
 [ 0.03288121  0.94975513 -0.30452275  0.01192702 -0.02573534  0.05778939
  -0.00237392]
 [-0.16625807 -0.29536372 -0.9384023  -0.03945204 -0.04183351 -0.00517702
   0.03444101]
 [-0.07498611  0.0311685   0.03244656 -0.9683809   0.23019212  0.0021287
  -0.03997786]
 [-0.00486114 -0.00290842 -0.05221594  0.2278614   0.9596288   0.15486406
  -0.02121911]
 [-0.00901854 -0.05550157  0.02361429 -0.03550379 -0.14834124  0.98508966
   0.05112123]
 [ 0.02750415  0.01451235  0.02703763 -0.03274025  0.03899136 -0.04661417
   0.9967631 ]]",0
10,11,8,0.9,1.3711228370666504,"[[ 9.5789301e-01  2.4942750e-01  1.3765732e-02 -3.4787849e-02
  -8.8494740e-02 -9.1716498e-03  2.4036942e-02 -1.0165717e-01]
 [ 1.1495764e-01 -3.3593422e-01 -9.1468585e-01  5.8858350e-02
   9.0066358e-02  5.4166742e-02  1.3666761e-01  6.3988373e-02]
 [ 2.1772903e-01 -8.9364594e-01  3.6432478e-01  1.7821431e-02
  -8.5236654e-02 -2.4565961e-02  1.1419629e-01  5.6041335e-03]
 [ 3.0988498e-02  3.1495903e-02  4.0450834e-02  9.9153954e-01
   2.1112354e-02 -6.2810190e-02 -9.4178654e-02  4.6073005e-04]
 [-8.8641323e-02  5.3917464e-02 -7.4344255e-02  5.4652464e-02
  -9.4150817e-01  2.3817882e-01  1.6293401e-01  1.0491535e-01]
 [ 3.4811661e-02 -2.9980613e-02  6.7008004e-02  3.8400061e-02
   2.0150545e-01  9.6064329e-01 -1.6125400e-01 -4.9819261e-02]
 [ 8.2300171e-02 -1.0176681e-01 -7.0949830e-02 -8.0719680e-02
  -1.3152239e-01 -8.9769244e-02 -8.5460985e-01  4.6433389e-01]
 [-7.0832379e-02 -1.0572027e-01 -1.1722017e-01 -2.9664870e-02
  -1.7890032e-01 -6.9355369e-02 -4.1943458e-01 -8.6973822e-01]]",0
0,1,6,0.9,0.838677167892456,"[[-0.9892299  -0.07833091  0.11979963  0.00537157  0.02521729 -0.01648626]
 [-0.08327343  0.995651   -0.02992838 -0.01558374 -0.02335613  0.00777756]
 [ 0.11863308  0.04076202  0.9872916  -0.04732037  0.06141785 -0.05923312]
 [ 0.00878401  0.01674564  0.04953711  0.99761486 -0.04173028  0.01454831]
 [ 0.01738648  0.02434094 -0.07169588  0.04646147  0.98269165 -0.16162708]
 [-0.00604358 -0.00297533  0.0491264  -0.00974552  0.16619885  0.9847965 ]]",1
1,2,6,0.9,0.8849910497665405,"[[-0.9822714  -0.0835081   0.16777512  0.00409956 -0.00147501  0.001355  ]
 [-0.05276296  0.980922    0.18051115 -0.04066009 -0.00407327 -0.02746052]
 [ 0.17924002 -0.16512057  0.96632457  0.04838081  0.06044761  0.02881772]
 [-0.00783104  0.04917032 -0.04487511  0.9942651   0.08294604 -0.00800448]
 [-0.01170348  0.00861765 -0.05307631 -0.08614888  0.9940174  -0.03846204]
 [-0.00580508  0.03258426 -0.02555834  0.00213211  0.03710216  0.9984339 ]]",1
