layer,level_from,level_to,G,boot_id
0,1,2,0.9830971956253052,0
0,2,3,0.9886682459286281,0
0,3,4,0.9881831918443952,0
0,4,5,0.9877127607663473,0
0,5,6,0.9896848513966515,0
0,6,7,0.9873627395856948,0
0,7,8,0.9893844326337179,0
0,8,9,0.9902827938397726,0
0,9,10,0.989097189335596,0
1,1,2,0.9809969379788354,0
1,2,3,0.9866355231830052,0
1,3,4,0.9857494093122936,0
1,4,5,0.9861315063067845,0
1,5,6,0.9868891522997901,0
1,6,7,0.9852544636953444,0
1,7,8,0.9865496101833525,0
1,8,9,0.9879098846798852,0
1,9,10,0.9850091054326012,0
2,1,2,0.9643235689117795,0
2,2,3,0.9722515117554438,0
2,3,4,0.9692385650816417,0
2,4,5,0.9744263717106411,0
2,5,6,0.9759828646977743,0
2,6,7,0.9739246850921994,0
2,7,8,0.9767928407305763,0
2,8,9,0.9765479933647883,0
2,9,10,0.9709220131238302,0
3,1,2,0.9512737336612883,0
3,2,3,0.9592199070113046,0
3,3,4,0.9581430781455267,0
3,4,5,0.965230867976234,0
3,5,6,0.9623089546249026,0
3,6,7,0.9576926486832755,0
3,7,8,0.9620723951430548,0
3,8,9,0.9642912149429321,0
3,9,10,0.9537024895350138,0
4,1,2,0.9399873046647935,0
4,2,3,0.9470755770092919,0
4,3,4,0.9478034746079218,0
4,4,5,0.9542079312460763,0
4,5,6,0.9499711990356445,0
4,6,7,0.947087531998044,0
4,7,8,0.9486423106420607,0
4,8,9,0.9546145683243161,0
4,9,10,0.9308251142501831,0
5,1,2,0.9246148637362889,0
5,2,3,0.9338432947794596,0
5,3,4,0.9388825212206159,0
5,4,5,0.9440761151767912,0
5,5,6,0.9443280952317374,0
5,6,7,0.9433545129639762,0
5,7,8,0.9413784600439525,0
5,8,9,0.9493672251701355,0
5,9,10,0.9280415347644261,0
6,1,2,0.912622522740137,0
6,2,3,0.9195340928577241,0
6,3,4,0.930324449425652,0
6,4,5,0.9337566182726905,0
6,5,6,0.9337681560289293,0
6,6,7,0.9368009993008205,0
6,7,8,0.9344226207051959,0
6,8,9,0.9401633256957644,0
6,9,10,0.9153370545023963,0
7,1,2,0.8962846511886233,0
7,2,3,0.9078333065623329,0
7,3,4,0.9144442563965207,0
7,4,5,0.9132492684182667,0
7,5,6,0.9148856883957273,0
7,6,7,0.9163328494344439,0
7,7,8,0.9273456789198375,0
7,8,9,0.9286470498357501,0
7,9,10,0.9006478843234834,0
8,1,2,0.8724363417852492,0
8,2,3,0.8908483215740749,0
8,3,4,0.9001964614504859,0
8,4,5,0.8962247087841942,0
8,5,6,0.8888063430786133,0
8,6,7,0.8962882813953218,0
8,7,8,0.9247861561321077,0
8,8,9,0.9197319547335306,0
8,9,10,0.8896417220433553,0
9,1,2,0.8516300604456947,0
9,2,3,0.8649855937276568,0
9,3,4,0.8742261585735139,0
9,4,5,0.8758804883275714,0
9,5,6,0.8586766577902294,0
9,6,7,0.865244638352167,0
9,7,8,0.910288223198482,0
9,8,9,0.913451353708903,0
9,9,10,0.8676171274412245,0
10,1,2,0.8218785950115749,0
10,2,3,0.8252831697463989,0
10,3,4,0.8430265841029939,0
10,4,5,0.853318506763095,0
10,5,6,0.8215211317652747,0
10,6,7,0.8187660631679353,0
10,7,8,0.881431363877796,0
10,8,9,0.9085945543788728,0
10,9,10,0.8642039043562753,0
11,1,2,0.7586254335585094,0
11,2,3,0.7650136124520075,0
11,3,4,0.7881750606355213,0
11,4,5,0.8505925167174566,0
11,5,6,0.7686986866451445,0
11,6,7,0.7717558826719012,0
11,7,8,0.8552031886009943,0
11,8,9,0.8996278473309108,0
11,9,10,0.8745618632861546,0
0,1,2,0.9837518831094106,1
0,2,3,0.9876144925753275,1
0,3,4,0.9869676232337952,1
0,4,5,0.9872060120105743,1
0,5,6,0.9884214897950491,1
0,6,7,0.9863826433817545,1
0,7,8,0.9897931814193726,1
0,8,9,0.9898674090703329,1
0,9,10,0.9881818989912668,1
1,1,2,0.9797298312187195,1
