layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,5,,0.8092897534370422,"[[ 0.99890286 -0.00991884  0.02748691 -0.01334877 -0.03407257]
 [ 0.0126863   0.98748547 -0.01484175  0.15608576  0.01133331]
 [-0.0251332   0.00486577  0.99683017  0.06305256  0.04121308]
 [ 0.01235455 -0.1565112  -0.06014547  0.985401   -0.02681588]
 [ 0.03532403 -0.0159566  -0.04166784  0.02164215  0.99814475]]",0
1,2,5,,0.8327330946922302,"[[ 0.9836877   0.1783278   0.00771396 -0.00343694 -0.02205108]
 [-0.1732156   0.96638376 -0.09907158 -0.14331357  0.07579467]
 [-0.03246238  0.14977449  0.8850162   0.43959364  0.00418368]
 [ 0.00900132 -0.08445155  0.45481986 -0.886383    0.01584229]
 [ 0.03492709 -0.06882717 -0.00323935  0.02306494  0.996745  ]]",0
2,3,5,,0.7634707093238831,"[[ 9.97210741e-01  6.36846572e-02 -4.56478307e-03 -2.73637939e-02
  -2.73004677e-02]
 [-6.07128218e-02  9.95226800e-01 -1.26794465e-02  4.72304001e-02
   5.87040335e-02]
 [ 6.49948255e-04  1.73226465e-02  9.92771506e-01 -1.17665842e-01
   1.60928201e-02]
 [ 2.96727810e-02 -4.20865379e-02  1.18644662e-01  9.91214573e-01
  -2.76637636e-02]
 [ 3.16815004e-02 -5.82803786e-02 -1.21062277e-02  2.58621890e-02
   9.97388780e-01]]",0
3,4,5,,0.7466429471969604,"[[ 0.9936059   0.10352062 -0.01274603 -0.03735234 -0.021749  ]
 [-0.10365691  0.99402237 -0.02518711  0.01596236 -0.0168985 ]
 [ 0.02065822  0.02238948  0.9611129   0.2739705   0.01655574]
 [ 0.03379317 -0.0194705  -0.27337614  0.96036565 -0.03797621]
 [ 0.02082538  0.01796112 -0.02703004  0.03143156  0.9987618 ]]",0
4,5,5,,0.7010487914085388,"[[ 9.9650496e-01  5.9466738e-02  4.8781480e-03 -2.9669505e-02
  -5.0373733e-02]
 [-5.7632387e-02  9.9309778e-01 -9.5356666e-02  3.6608830e-02
   1.4689324e-03]
 [-1.1770473e-02  9.4773382e-02  9.9506611e-01  3.4888117e-03
  -2.6658628e-02]
 [ 2.9799365e-02 -3.5090309e-02 -8.7405677e-04  9.9814200e-01
  -3.9904483e-02]
 [ 5.1281996e-02  2.6695111e-03  2.6943350e-02  3.8468268e-02
   9.9757570e-01]]",0
5,6,5,,0.7074601650238037,"[[ 9.9108040e-01 -1.3019723e-01  1.4633219e-02 -2.4331894e-02
   1.4426499e-03]
 [ 1.3038124e-01  9.9094290e-01  2.2485949e-02  2.1237891e-02
  -8.7358728e-03]
 [-1.1541544e-02 -2.5764417e-02  9.6781254e-01  2.5004831e-01
   4.2170282e-03]
 [ 2.5040934e-02 -1.8510809e-02 -2.5010091e-01  9.6756017e-01
  -1.7525541e-02]
 [ 1.9679526e-04  8.6305542e-03 -8.2908003e-03  1.6126463e-02
   9.9979830e-01]]",0
6,7,5,,0.6981346607208252,"[[ 0.9978786  -0.05027908 -0.02703536  0.0310581  -0.00383487]
 [ 0.04743857  0.9957156  -0.0578028   0.04175178  0.03486406]
 [ 0.03800428  0.06652126  0.95499074 -0.2853423  -0.0265156 ]
 [ 0.02320776  0.02086525 -0.28699854 -0.9564946   0.04214125]
 [-0.00220662  0.03408623 -0.03940135 -0.03146371 -0.9981437 ]]",0
7,8,5,,0.7756535410881042,"[[ 9.9792868e-01  4.2368703e-02 -1.6752347e-02  4.3169364e-02
   1.4105020e-02]
 [-4.4000622e-02  9.9657059e-01  4.3023400e-02  5.5299368e-02
   1.3892307e-03]
 [ 2.7828367e-02 -2.7131958e-02  9.6918237e-01 -2.4313238e-01
   7.8534922e-03]
 [-3.5343129e-02 -6.5694369e-02  2.4160783e-01  9.6718794e-01
   2.4664938e-02]
 [-1.3367302e-02 -1.4865691e-04 -1.3400025e-02 -2.2641793e-02
   9.9956447e-01]]",0
8,9,5,,0.8887904286384583,"[[ 0.99957156 -0.01536554 -0.01215943  0.01971611  0.00916416]
 [ 0.01404369  0.99794763 -0.00351752  0.06231805  0.00271613]
 [ 0.01513695  0.01289358  0.9876554  -0.1547461   0.01396322]
 [-0.01822264 -0.06065275  0.15584488  0.9853722  -0.02726287]
 [-0.00991165 -0.00440562 -0.00942594  0.02868967  0.9994851 ]]",0
9,10,5,,1.0010738372802734,"[[ 9.9924731e-01 -3.3717938e-03 -5.7665160e-04 -1.0066050e-03
   3.8627815e-02]
 [ 2.5565713e-03  9.9512440e-01  9.4455302e-02 -1.8160321e-02
   2.1666074e-02]
 [-8.5269340e-04  9.0994120e-02 -9.8688251e-01 -1.3282599e-01
   1.1806708e-02]
 [ 3.6727550e-04  3.0087309e-02 -1.3038422e-01  9.9086106e-01
   1.6999319e-02]
 [ 3.8696576e-02  2.3043552e-02 -1.1858260e-02  1.4861145e-02
  -9.9880433e-01]]",0
