layer,level_from,level_to,G,boot_id
0,1,2,0.9873694209825425,0
0,2,3,0.9892286232539585,0
0,3,4,0.9898403797830854,0
0,4,5,0.9893630345662435,0
0,5,6,0.9865053806986127,0
0,6,7,0.9871080461002532,0
0,7,8,0.9893299312818618,0
0,8,9,0.9875797175225758,0
0,9,10,0.9873142696562267,0
1,1,2,0.9855422462735858,0
1,2,3,0.9884923469452631,0
1,3,4,0.9884539984521412,0
1,4,5,0.9886655523663476,0
1,5,6,0.9865057298115322,0
1,6,7,0.9843532726878211,0
1,7,8,0.9875475139844985,0
1,8,9,0.983981986840566,0
1,9,10,0.9836008463587079,0
2,1,2,0.9614629035904294,0
2,2,3,0.9709160810425168,0
2,3,4,0.9715434114138285,0
2,4,5,0.9793577449662345,0
2,5,6,0.9729646898451305,0
2,6,7,0.9694825098628089,0
2,7,8,0.9728007799103147,0
2,8,9,0.9631557975496564,0
2,9,10,0.9693921861194429,0
3,1,2,0.9254702187719799,0
3,2,3,0.9573808624630883,0
3,3,4,0.9498948540006366,0
3,4,5,0.960175735609872,0
3,5,6,0.9464553935187203,0
3,6,7,0.9502924652326674,0
3,7,8,0.9522042132559276,0
3,8,9,0.9438871287164234,0
3,9,10,0.9514388385273161,0
4,1,2,0.902708025205703,0
4,2,3,0.9460307388078599,0
4,3,4,0.9347578343890962,0
4,4,5,0.9521304170290629,0
4,5,6,0.9349626217569623,0
4,6,7,0.9402350811731248,0
4,7,8,0.9383744455519176,0
4,8,9,0.9342780368668693,0
4,9,10,0.9384334172521319,0
5,1,2,0.8919198002134051,0
5,2,3,0.9384543328058153,0
5,3,4,0.9264694310369945,0
5,4,5,0.9438210385186332,0
5,5,6,0.9241933056286403,0
5,6,7,0.930647197223845,0
5,7,8,0.9261506682350522,0
5,8,9,0.9185405203274318,0
5,9,10,0.9254253166062492,0
6,1,2,0.8813903473672413,0
6,2,3,0.9243542807442802,0
6,3,4,0.9275395075480143,0
6,4,5,0.934231045700255,0
6,5,6,0.9091952698571342,0
6,6,7,0.9200523978187924,0
6,7,8,0.9147424470810663,0
6,8,9,0.9097903030259269,0
6,9,10,0.9166983649844215,0
7,1,2,0.8628716043063572,0
7,2,3,0.9013372319085258,0
7,3,4,0.909842278276171,0
7,4,5,0.9167920492944264,0
7,5,6,0.897643160252344,0
7,6,7,0.906096909727369,0
7,7,8,0.9040216207504272,0
7,8,9,0.8912196045830136,0
7,9,10,0.9042803332919166,0
8,1,2,0.8454661454473223,0
8,2,3,0.8769451039178031,0
8,3,4,0.8953283599444798,0
8,4,5,0.8922273488271804,0
8,5,6,0.8802863189152309,0
8,6,7,0.8832716459319705,0
8,7,8,0.8827145752452669,0
8,8,9,0.8726114772614979,0
8,9,10,0.8860570845149812,0
9,1,2,0.8130776797022138,0
9,2,3,0.8464800857362293,0
9,3,4,0.8788971191360837,0
9,4,5,0.8704972778047834,0
9,5,6,0.8620020463353112,0
9,6,7,0.864182730515798,0
9,7,8,0.8652910476639157,0
9,8,9,0.8527880963825044,0
9,9,10,0.8638664569173541,0
10,1,2,0.779587671870277,0
10,2,3,0.7977405871663775,0
10,3,4,0.843294810681116,0
10,4,5,0.8385018848237538,0
10,5,6,0.8309790662356785,0
10,6,7,0.8328217267990112,0
10,7,8,0.8306441903114319,0
10,8,9,0.8212048837116787,0
10,9,10,0.8288749286106655,0
11,1,2,0.7760474653471083,0
11,2,3,0.7367608802659171,0
11,3,4,0.8006675129845029,0
11,4,5,0.7909002275693984,0
11,5,6,0.7913315409705752,0
11,6,7,0.815470692657289,0
11,7,8,0.7585339262371972,0
11,8,9,0.781879240558261,0
11,9,10,0.7527080121494475,0
0,1,2,0.9848366181055704,1
0,2,3,0.9884853959083557,1
0,3,4,0.9889522095521291,1
0,4,5,0.9875677327315012,1
0,5,6,0.9837101101875305,1
0,6,7,0.9850526750087738,1
0,7,8,0.9898485044638315,1
0,8,9,0.9881595273812612,1
0,9,10,0.9877015153566996,1
1,1,2,0.9825475017229716,1
1,2,3,0.9878678818543752,1
1,3,4,0.9865685403347015,1
1,4,5,0.9865364134311676,1
1,5,6,0.9844101071357727,1
1,6,7,0.9838504592577616,1
1,7,8,0.9886269470055898,1
1,8,9,0.9840816656748453,1
1,9,10,0.9830172459284464,1
2,1,2,0.9598461588223776,1
2,2,3,0.972123771905899,1
2,3,4,0.973166803518931,1
2,4,5,0.9793683489163717,1
2,5,6,0.9703011512756348,1
2,6,7,0.97076416015625,1
2,7,8,0.9768240948518118,1
2,8,9,0.9614827434221903,1
2,9,10,0.9675304094950358,1
3,1,2,0.9246016045411428,1
3,2,3,0.9597203135490417,1
3,3,4,0.9594563941160837,1
3,4,5,0.9662550290425619,1
3,5,6,0.9478735526402792,1
3,6,7,0.9567028085390726,1
3,7,8,0.9597235520680746,1
3,8,9,0.9470282991727194,1
3,9,10,0.9547167420387268,1
4,1,2,0.9089326560497284,1
4,2,3,0.9511686066786448,1
4,3,4,0.9488514065742493,1
4,4,5,0.9575226306915283,1
4,5,6,0.9365490873654684,1
4,6,7,0.9463334580262502,1
4,7,8,0.9470181961854299,1
4,8,9,0.9352659781773885,1
4,9,10,0.943432996670405,1
5,1,2,0.8918812374273936,1
5,2,3,0.9457359413305918,1
5,3,4,0.9397653837998708,1
5,4,5,0.9527417421340942,1
5,5,6,0.9302774469057719,1
5,6,7,0.9417363504568735,1
5,7,8,0.9334045946598053,1
5,8,9,0.9163447121779124,1
5,9,10,0.9286328256130219,1
6,1,2,0.8808596233526865,1
6,2,3,0.9301040271917979,1
6,3,4,0.9375637173652649,1
6,4,5,0.9463641246159872,1
6,5,6,0.9187688132127126,1
6,6,7,0.9335092008113861,1
6,7,8,0.9220484892527262,1
6,8,9,0.9074373245239258,1
6,9,10,0.9211833079655966,1
7,1,2,0.873040109872818,1
7,2,3,0.9136808415253957,1
7,3,4,0.9209216237068176,1
7,4,5,0.9343253175417582,1
7,5,6,0.9034380515416464,1
7,6,7,0.9243055184682211,1
7,7,8,0.9144048591454824,1
7,8,9,0.883692334095637,1
7,9,10,0.9115623335043589,1
8,1,2,0.859964499870936,1
8,2,3,0.8924348652362823,1
8,3,4,0.9098924895127615,1
8,4,5,0.9159465034802755,1
8,5,6,0.8875383337338766,1
8,6,7,0.9052135149637858,1
8,7,8,0.8951266705989838,1
8,8,9,0.8646355370680491,1
8,9,10,0.8924078047275543,1
9,1,2,0.8306112289428711,1
9,2,3,0.8661973575750986,1
9,3,4,0.894682397445043,1
9,4,5,0.8998605807622274,1
9,5,6,0.8696945309638977,1
9,6,7,0.8874567647775015,1
9,7,8,0.8723564942677816,1
9,8,9,0.840660959482193,1
9,9,10,0.8641759554545084,1
10,1,2,0.7974531650543213,1
10,2,3,0.8252375721931458,1
10,3,4,0.8671278655529022,1
10,4,5,0.8831027646859487,1
10,5,6,0.850572019815445,1
10,6,7,0.8626920481522878,1
10,7,8,0.831595778465271,1
10,8,9,0.8061422407627106,1
10,9,10,0.8291186491648356,1
11,1,2,0.7165339688460032,1
11,2,3,0.7603381971518198,1
11,3,4,0.8381300667921702,1
11,4,5,0.8379674653212229,1
11,5,6,0.8239286641279856,1
11,6,7,0.8558313647905985,1
11,7,8,0.7431415220101675,1
11,8,9,0.7607173720995585,1
11,9,10,0.747879147529602,1
0,1,2,0.9879703209513709,2
0,2,3,0.9900535231544858,2
0,3,4,0.9904511599313646,2
0,4,5,0.9898659246308463,2
0,5,6,0.9868576810473487,2
0,6,7,0.9877132972081503,2
0,7,8,0.990457608586266,2
0,8,9,0.9890778093110948,2
0,9,10,0.9885430137316386,2
1,1,2,0.9858790522529965,2
1,2,3,0.9892027718680245,2
1,3,4,0.988905341852279,2
1,4,5,0.9893127963656471,2
1,5,6,0.986923703125545,2
1,6,7,0.9852681500571114,2
1,7,8,0.9885291513942537,2
1,8,9,0.985916447071802,2
1,9,10,0.9851721752257574,2
2,1,2,0.9612748566127959,2
2,2,3,0.9714161782037645,2
2,3,4,0.9726835858254206,2
2,4,5,0.9799475982075646,2
2,5,6,0.973004142443339,2
2,6,7,0.9715340364547003,2
2,7,8,0.9745068748792013,2
2,8,9,0.9652389827228728,2
2,9,10,0.9709032291457766,2
3,1,2,0.9236784861201331,2
3,2,3,0.9573164695785159,2
3,3,4,0.9506661466189793,2
3,4,5,0.9604618776412237,2
3,5,6,0.9473966700690133,2
3,6,7,0.9537649750709534,2
3,7,8,0.9547862665993827,2
3,8,9,0.9463541706403097,2
3,9,10,0.9536614503179278,2
4,1,2,0.9010165390514192,2
4,2,3,0.9460865741684323,2
4,3,4,0.9352558908008394,2
4,4,5,0.9526538706961132,2
4,5,6,0.9369167061079116,2
4,6,7,0.9431604090191069,2
4,7,8,0.9408306507837205,2
4,8,9,0.9365410861514863,2
4,9,10,0.941355498064132,2
5,1,2,0.8900349310466221,2
5,2,3,0.939061286903563,2
5,3,4,0.9278980635461354,2
5,4,5,0.9454218574932644,2
5,5,6,0.9277485154923939,2
5,6,7,0.9338309594563076,2
5,7,8,0.9290269840331304,2
5,8,9,0.9208330284981501,2
5,9,10,0.9283272822697958,2
6,1,2,0.8802567606880551,2
6,2,3,0.9238422995521909,2
6,3,4,0.9286003964287894,2
6,4,5,0.9377025791576931,2
6,5,6,0.9148367700122652,2
6,6,7,0.92414029723122,2
6,7,8,0.9169604579607645,2
6,8,9,0.9137525586854844,2
6,9,10,0.92157686040515,2
7,1,2,0.8615890542666117,2
7,2,3,0.9015279241970607,2
7,3,4,0.9102478907221839,2
7,4,5,0.920881660211654,2
7,5,6,0.9022944853419349,2
7,6,7,0.9099903873034886,2
7,7,8,0.9068472357023329,2
7,8,9,0.8955095098132179,2
7,9,10,0.9081817099026271,2
8,1,2,0.8447258103461492,2
8,2,3,0.8766252143042428,2
8,3,4,0.8949498420669919,2
8,4,5,0.8964138627052307,2
8,5,6,0.8846274614334106,2
8,6,7,0.8873243558974493,2
8,7,8,0.8849757739475795,2
8,8,9,0.8754324771109081,2
8,9,10,0.8887479872930617,2
9,1,2,0.8117619951566061,2
9,2,3,0.8448660175005595,2
9,3,4,0.8780905462446666,2
9,4,5,0.8758889436721802,2
9,5,6,0.8663529526619684,2
9,6,7,0.8682247769264948,2
9,7,8,0.8666393529801142,2
9,8,9,0.857103339263371,2
9,9,10,0.8658880421093532,2
10,1,2,0.7786790700185866,2
10,2,3,0.7948075901894343,2
10,3,4,0.8424957735197884,2
10,4,5,0.8466280017580304,2
10,5,6,0.8392055063020616,2
10,6,7,0.8359501844360715,2
10,7,8,0.8295818624042329,2
10,8,9,0.8265205848784674,2
10,9,10,0.8300385304859706,2
11,1,2,0.7735672394434611,2
11,2,3,0.7327888097081866,2
11,3,4,0.798416691167014,2
11,4,5,0.7955301460765657,2
11,5,6,0.7924654654094151,2
11,6,7,0.818846773533594,2
11,7,8,0.7495027752149672,2
11,8,9,0.7853242556254069,2
11,9,10,0.756847219807761,2
0,1,2,0.987845508257548,3
0,2,3,0.9894818822542827,3
0,3,4,0.9901159048080445,3
0,4,5,0.9893685579299927,3
0,5,6,0.9864377856254578,3
0,6,7,0.9881481568018595,3
0,7,8,0.9897883892059326,3
0,8,9,0.9875622153282165,3
0,9,10,0.9878273248672486,3
1,1,2,0.9872751792271932,3
1,2,3,0.989263923962911,3
1,3,4,0.9892177820205689,3
1,4,5,0.9896207531293233,3
1,5,6,0.9874956687291463,3
1,6,7,0.9855753501256307,3
1,7,8,0.9888021230697632,3
1,8,9,0.9847167531649271,3
1,9,10,0.9853262027104696,3
2,1,2,0.9662237246831258,3
2,2,3,0.9732283473014831,3
2,3,4,0.974003255367279,3
2,4,5,0.9811555584271748,3
2,5,6,0.9750430623690287,3
2,6,7,0.9710460344950358,3
2,7,8,0.9740389307339986,3
2,8,9,0.9633515079816183,3
2,9,10,0.9708960970242818,3
3,1,2,0.9346837639808655,3
3,2,3,0.9614554365475972,3
3,3,4,0.952818222840627,3
3,4,5,0.9646034399668376,3
3,5,6,0.952149506409963,3
3,6,7,0.9538912256558736,3
3,7,8,0.9565593838691712,3
3,8,9,0.9464622497558594,3
3,9,10,0.955207626024882,3
4,1,2,0.9118003726005555,3
4,2,3,0.952318298816681,3
4,3,4,0.9375348210334777,3
4,4,5,0.957097852230072,3
4,5,6,0.9407518148422241,3
4,6,7,0.9453635613123575,3
4,7,8,0.941353690624237,3
4,8,9,0.9373990853627523,3
4,9,10,0.9436101913452148,3
5,1,2,0.9013397812843322,3
5,2,3,0.9458290934562683,3
5,3,4,0.9286274592081706,3
5,4,5,0.9488118290901184,3
5,5,6,0.9291364749272665,3
5,6,7,0.9310973087946574,3
5,7,8,0.9279553373654683,3
5,8,9,0.9232522090276082,3
5,9,10,0.931796940167745,3
6,1,2,0.8965574304262797,3
6,2,3,0.9353073636690775,3
6,3,4,0.9308525085449219,3
6,4,5,0.9392329414685567,3
6,5,6,0.913738465309143,3
6,6,7,0.9216341813405354,3
6,7,8,0.9190331061681112,3
6,8,9,0.9185531139373779,3
6,9,10,0.9239712993303935,3
7,1,2,0.8816282153129578,3
7,2,3,0.9206760048866272,3
7,3,4,0.9175037225087483,3
7,4,5,0.927973747253418,3
7,5,6,0.909650731086731,3
7,6,7,0.9107784668604533,3
7,7,8,0.90936865011851,3
7,8,9,0.9047103126843771,3
7,9,10,0.9121254841486613,3
8,1,2,0.8710999011993408,3
8,2,3,0.9038886427879333,3
8,3,4,0.903578766187032,3
8,4,5,0.9099916219711304,3
8,5,6,0.8954262137413025,3
8,6,7,0.896211298306783,3
8,7,8,0.8907020370165507,3
8,8,9,0.88879953622818,3
8,9,10,0.9021915793418884,3
9,1,2,0.8503826856613159,3
9,2,3,0.8793659726778666,3
9,3,4,0.8899983525276184,3
9,4,5,0.893575382232666,3
9,5,6,0.8784572958946228,3
9,6,7,0.8842186808586121,3
9,7,8,0.8756456971168518,3
9,8,9,0.8762914299964905,3
9,9,10,0.8931775013605754,3
10,1,2,0.8322158734003703,3
10,2,3,0.847567367553711,3
10,3,4,0.8696938951810201,3
10,4,5,0.8676637609799703,3
10,5,6,0.8498409430185954,3
10,6,7,0.8619828502337138,3
10,7,8,0.8495983123779297,3
10,8,9,0.8562875469525655,3
10,9,10,0.8682665189107259,3
11,1,2,0.8367099523544311,3
11,2,3,0.8189609050750732,3
11,3,4,0.829728877544403,3
11,4,5,0.8246224602063497,3
11,5,6,0.8199197729428609,3
11,6,7,0.8497418999671936,3
11,7,8,0.7793170015017191,3
11,8,9,0.8343801101048788,3
11,9,10,0.8243796308835347,3
0,1,2,0.9844231685002645,4
0,2,3,0.9874430656433105,4
0,3,4,0.988388204574585,4
0,4,5,0.9878910263379415,4
0,5,6,0.9844753185908,4
0,6,7,0.9853344241778056,4
0,7,8,0.9880134026209514,4
0,8,9,0.9853410402933757,4
0,9,10,0.9850456595420838,4
1,1,2,0.982679545879364,4
1,2,3,0.9862230976422628,4
1,3,4,0.9862638235092163,4
1,4,5,0.986795163154602,4
1,5,6,0.9845024784406026,4
1,6,7,0.9818328022956848,4
1,7,8,0.9859944899876912,4
1,8,9,0.980678403377533,4
1,9,10,0.9808354059855143,4
2,1,2,0.9554788947105408,4
2,2,3,0.9668135444323221,4
2,3,4,0.9667180418968201,4
2,4,5,0.9764959375063579,4
2,5,6,0.9694393038749695,4
2,6,7,0.9641323447227478,4
2,7,8,0.9680949807167053,4
2,8,9,0.9542455037434896,4
2,9,10,0.9632053891817729,4
3,1,2,0.9177556117375691,4
3,2,3,0.9517797191937765,4
3,3,4,0.9436494509379069,4
3,4,5,0.9588519175847371,4
3,5,6,0.9437061905860901,4
3,6,7,0.9448066910107931,4
3,7,8,0.9470353205998738,4
3,8,9,0.9346124013264974,4
3,9,10,0.9448251644770305,4
4,1,2,0.8979934295018513,4
4,2,3,0.9434966365496318,4
4,3,4,0.9301658789316813,4
4,4,5,0.9507224678993225,4
4,5,6,0.9308222850163778,4
4,6,7,0.9351919968922933,4
4,7,8,0.93210821946462,4
4,8,9,0.9233577013015747,4
4,9,10,0.9336080153783163,4
5,1,2,0.8833253582318624,4
5,2,3,0.9359059015909831,4
5,3,4,0.9201433738072713,4
5,4,5,0.9415366967519124,4
5,5,6,0.9192125638326009,4
5,6,7,0.9227283875147502,4
5,7,8,0.9195554415384929,4
5,8,9,0.9060633222262064,4
5,9,10,0.9191304842631022,4
6,1,2,0.8743288477261861,4
6,2,3,0.9219117681185405,4
6,3,4,0.9231884320576985,4
6,4,5,0.931699546178182,4
6,5,6,0.9028354128201802,4
6,6,7,0.9123385032018025,4
6,7,8,0.9076318939526876,4
6,8,9,0.8975181937217712,4
6,9,10,0.9114895621935527,4
7,1,2,0.8582925279935201,4
7,2,3,0.9056243697802225,4
7,3,4,0.9078083634376526,4
7,4,5,0.9184232592582703,4
