metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
residual_fro,0.8936153376102447,0.8357579845190048,0.05785735309123985,0.05669821596145627,0.05922650116682058,0.0,12.513433279280536,100,100,0,1,0.0
residual_fro,0.8993010795116425,0.8845603144168854,0.01474076509475708,0.012680702716112107,0.01705611529946323,0.0,1.9116776721720277,100,100,1,2,0.0
residual_fro,0.8342013198137284,0.8842537766695022,-0.050052456855773864,-0.052546362191438684,-0.04753973336517815,0.0,-5.493802150241378,100,100,2,3,0.0
residual_fro,0.8556833136081695,0.8271751689910889,0.028508144617080622,0.017143270879983928,0.039893971592187806,0.0,0.6871233548563263,100,100,3,4,0.0
residual_fro,0.9132164198160172,0.7897027212381363,0.12351369857788086,0.11461264409124854,0.13288871076703068,0.0,3.739378147835228,100,100,4,5,0.0
residual_fro,0.849277350306511,0.829005879163742,0.02027147114276895,0.016558620706200608,0.023767604827880897,0.0,1.510182335397684,100,100,5,6,0.0
residual_fro,0.8649418216943741,0.8618774080276489,0.003064413666725163,-0.00010983890295035156,0.006433763876557385,0.058,0.2517742439091602,100,100,6,7,0.058
residual_fro,0.9550231862068176,0.8906613570451737,0.0643618291616439,0.05789159455895419,0.0712011054605245,0.0,2.5790926375927405,100,100,7,8,0.0
residual_fro,0.9668532001972199,0.927542639374733,0.03931056082248685,0.03114160279929645,0.04721144810318952,0.0,1.408846802221152,100,100,8,9,0.0
residual_fro,1.159479979276657,1.082061008810997,0.07741897046566004,0.056347681000828806,0.09804392699897287,0.0,1.03262710097378,100,100,9,10,0.0
residual_fro,1.5565731942653656,1.413053320646286,0.14351987361907947,0.10407515671849271,0.1785338680446148,0.0,0.9983775779821307,100,100,10,11,0.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,0,1,1.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,1,2,1.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,2,3,1.0
k_used,6.33,6.0,0.33000000000000007,0.2400000000000002,0.4299999999999997,0.0,0.9875342427465569,100,100,3,4,0.0
k_used,6.9,6.0,0.9000000000000004,0.8300000000000001,0.96,0.0,4.221374183841088,100,100,4,5,0.0
k_used,6.98,6.0,0.9800000000000004,0.9500000000000002,1.0,0.0,9.849873095629206,100,100,5,6,0.0
k_used,7.0,6.02,0.9800000000000004,0.9500000000000002,1.0,0.0,9.849873095629206,100,100,6,7,0.0
k_used,7.18,6.58,0.5999999999999996,0.47999999999999954,0.71,0.0,1.3498466170534154,100,100,7,8,0.0
k_used,7.7,6.84,0.8600000000000003,0.74975,0.9799999999999995,0.0,2.0620513449303153,100,100,8,9,0.0
k_used,8.29,7.33,0.9599999999999991,0.8200000000000003,1.0999999999999996,0.0,1.8607949577432763,100,100,9,10,0.0
k_used,9.49,7.62,1.87,1.6597499999999994,2.0999999999999996,0.0,2.268466398104919,100,100,10,11,0.0
