layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles
0,1,6,0.9,0.3620171546936035,0.46960049867630005,[0.30306402 0.31600872 0.3362875  0.35968095 0.38746133 0.4696005 ]
1,2,6,0.9,0.3638974726200104,0.4384411871433258,[0.28074825 0.33485216 0.36480442 0.37595317 0.38858566 0.4384412 ]
2,3,6,0.9,0.33514904975891113,0.43026238679885864,[0.2683377  0.2926084  0.30842736 0.34117886 0.37007964 0.4302624 ]
3,4,7,0.9,0.34379905462265015,0.46279430389404297,"[0.27165794 0.27740392 0.29184538 0.32148594 0.35334095 0.4280649
 0.4627943 ]"
4,5,7,0.9,0.3359082341194153,0.5058732032775879,"[0.25248766 0.26548007 0.29250115 0.31823608 0.34722367 0.3695559
 0.5058732 ]"
5,6,7,0.9,0.31597059965133667,0.3978734314441681,"[0.25558373 0.26289457 0.2862863  0.31686166 0.33716497 0.3551294
 0.39787343]"
6,7,7,0.9,0.3219636380672455,0.39315152168273926,"[0.2698188  0.28328326 0.29136604 0.31473887 0.32270962 0.37867725
 0.39315152]"
7,8,8,0.9,0.3487294912338257,0.40577495098114014,"[0.29977676 0.31315503 0.32650006 0.33626997 0.3499454  0.3703271
 0.3880868  0.40577495]"
8,9,8,0.9,0.3442336320877075,0.39771246910095215,"[0.29815477 0.31446785 0.3207398  0.32706642 0.34385473 0.36992356
 0.38194948 0.39771247]"
9,10,9,0.9,0.4057724177837372,0.6687068343162537,"[0.3080997  0.33560026 0.3515547  0.3569171  0.36771506 0.40356708
 0.40902293 0.4507682  0.66870683]"
10,11,11,0.9,0.4636152982711792,1.0451550483703613,"[0.27238446 0.30242768 0.3176971  0.34042758 0.35244    0.36792243
 0.37620163 0.43981555 0.5407161  0.74458075 1.045155  ]"
