layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95
0,90,0.3193126618862152,0.1869608610868454,0.14071407914161682,0.11901221424341202,0.08179304003715515,0.0678672343492508,0.04054027050733566,0.03397998958826065,0.0009745122515596449,0.0006554879364557564,6,6,7
1,90,0.3614026606082916,0.1829608529806137,0.13003647327423096,0.11867129802703857,0.07270023226737976,0.057119496166706085,0.036189258098602295,0.030341284349560738,0.001153274322859943,0.0007549422443844378,5,6,7
2,90,0.3712814152240753,0.18811143934726715,0.12708991765975952,0.11186078190803528,0.06402285397052765,0.05102231353521347,0.0334736667573452,0.031203249469399452,0.0026762911584228277,0.002167481929063797,5,6,8
3,90,0.3467053174972534,0.19954080879688263,0.12587672472000122,0.11163033545017242,0.06356127560138702,0.051294080913066864,0.03310451656579971,0.03100748360157013,0.005284756422042847,0.0038242919836193323,6,7,8
4,90,0.32445335388183594,0.20365242660045624,0.12817233800888062,0.11529061943292618,0.06304587423801422,0.05216124653816223,0.03422122076153755,0.03220733255147934,0.006094657350331545,0.003569351276382804,6,7,8
5,90,0.316895067691803,0.2082478553056717,0.12654975056648254,0.11249169707298279,0.06284896284341812,0.05153400078415871,0.037581607699394226,0.02974691241979599,0.006065093446522951,0.004247642122209072,6,7,9
6,90,0.31523558497428894,0.2085351049900055,0.12561862170696259,0.10964067280292511,0.06303510814905167,0.04911695048213005,0.03908442705869675,0.028735414147377014,0.006449365057051182,0.004943233449012041,6,7,10
7,90,0.29689180850982666,0.2159394770860672,0.12981069087982178,0.10663376748561859,0.06292325258255005,0.04880383983254433,0.038588281720876694,0.02707178145647049,0.0073120673187077045,0.005175965838134289,6,8,13
8,90,0.272002249956131,0.22300103306770325,0.1251951903104782,0.1071665957570076,0.06300626695156097,0.05486387386918068,0.039379965513944626,0.026087656617164612,0.009162926115095615,0.005723521579056978,7,8,16
9,90,0.2707320749759674,0.22047463059425354,0.12224661558866501,0.1007709950208664,0.06091248244047165,0.055235788226127625,0.038803793489933014,0.024629350751638412,0.011245625093579292,0.007872913964092731,7,9,19
10,90,0.27141281962394714,0.2059343308210373,0.11907201260328293,0.09194882959127426,0.06587719172239304,0.05116334557533264,0.037684161216020584,0.024201778694987297,0.015403448604047298,0.011637372896075249,8,11,21
11,90,0.31657272577285767,0.17418543994426727,0.10952109098434448,0.07750952988862991,0.06178973615169525,0.042696963995695114,0.03778330609202385,0.030676255002617836,0.019833551719784737,0.01646479219198227,8,12,21
