layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,left_out
0,81,0.31907764077186584,0.18727535009384155,0.1405949592590332,0.11905022710561752,0.08197146654129028,0.06791821867227554,0.04053854942321777,0.03398117795586586,0.000924517516978085,0.0006225829129107296,6,6,7,sentence.1
1,81,0.36089855432510376,0.18347938358783722,0.13003793358802795,0.11856039613485336,0.07305985689163208,0.05714235454797745,0.03619321063160896,0.03030444122850895,0.0011709533864632249,0.0007339275325648487,5,6,7,sentence.1
2,81,0.3703387379646301,0.18862472474575043,0.12745246291160583,0.1116480901837349,0.06434213370084763,0.05129116028547287,0.033578209578990936,0.031248200684785843,0.002738080220296979,0.0019489144906401634,5,6,8,sentence.1
3,81,0.3460286259651184,0.19970272481441498,0.12593016028404236,0.11132189631462097,0.06383981555700302,0.05154542252421379,0.033158283680677414,0.031053468585014343,0.005788282956928015,0.0034671295434236526,6,7,8,sentence.1
4,81,0.32402729988098145,0.20352722704410553,0.12847183644771576,0.11503691971302032,0.0629783347249031,0.05227784439921379,0.034209080040454865,0.032155804336071014,0.006656034383922815,0.003759108716621995,6,7,8,sentence.1
5,81,0.316776305437088,0.2080637663602829,0.12685222923755646,0.11244721710681915,0.06265132874250412,0.05141337215900421,0.03728971630334854,0.02959701605141163,0.006621698848903179,0.004356480203568935,6,7,9,sentence.1
6,81,0.3155025839805603,0.2084636092185974,0.1253252774477005,0.10947772860527039,0.06297236680984497,0.04898626357316971,0.03879610821604729,0.028593849390745163,0.006929005030542612,0.0049992832355201244,6,7,10,sentence.1
7,81,0.29669925570487976,0.21575000882148743,0.1295367032289505,0.10663335025310516,0.06284929811954498,0.04874173179268837,0.03846762329339981,0.02682787925004959,0.0077817183919250965,0.005378369241952896,6,8,13,sentence.1
8,81,0.2717899680137634,0.22229783236980438,0.1247798427939415,0.10762878507375717,0.06271423399448395,0.05503951758146286,0.03937781974673271,0.02572864666581154,0.009683559648692608,0.006179632619023323,7,8,16,sentence.1
9,81,0.27091705799102783,0.21903440356254578,0.12146468460559845,0.10186731815338135,0.061333611607551575,0.054824043065309525,0.03871935233473778,0.024170132353901863,0.011656609363853931,0.008480984717607498,7,9,18,sentence.1
10,81,0.27159416675567627,0.20444470643997192,0.11837369203567505,0.09284907579421997,0.06642554700374603,0.05038604512810707,0.03751624375581741,0.023719588294625282,0.015721749514341354,0.012564224191009998,8,11,21,sentence.1
11,81,0.3212320804595947,0.1713540405035019,0.10802067816257477,0.07915123552083969,0.06081749498844147,0.04204738885164261,0.03677424043416977,0.030326474457979202,0.02033088728785515,0.01706746593117714,9,12,21,sentence.1
0,81,0.31929779052734375,0.18665234744548798,0.14102983474731445,0.11915615200996399,0.08173429220914841,0.06790303438901901,0.04056244716048241,0.03397049382328987,0.0010662791319191456,0.0006973795825615525,6,6,7,sentence.10
1,81,0.3609622120857239,0.18244661390781403,0.13035282492637634,0.11896717548370361,0.07272879034280777,0.0573890283703804,0.03624185919761658,0.03041146695613861,0.0012730259913951159,0.0008396247867494822,5,6,7,sentence.10
2,81,0.3709360659122467,0.1873103231191635,0.12737339735031128,0.11211735755205154,0.06416789442300797,0.05122742801904678,0.0334952287375927,0.031240560114383698,0.00293325399979949,0.0023502076510339975,5,6,8,sentence.10
3,81,0.3463886082172394,0.1987210214138031,0.1261570155620575,0.11163114011287689,0.06380466371774673,0.0513729527592659,0.03310781344771385,0.030937666073441505,0.005621581804007292,0.004178950097411871,6,7,8,sentence.10
4,81,0.32408756017684937,0.2029532939195633,0.12841001152992249,0.11512923985719681,0.06348717212677002,0.05224902555346489,0.034292273223400116,0.03204530477523804,0.00644683139398694,0.0038732385728508234,6,7,8,sentence.10
5,81,0.3163088262081146,0.2067582756280899,0.12703146040439606,0.1127130538225174,0.0635819137096405,0.051594413816928864,0.03774531930685043,0.029663527384400368,0.006265255156904459,0.004345305729657412,6,7,9,sentence.10
6,81,0.3150976598262787,0.2068878710269928,0.126464381814003,0.10941455513238907,0.06364164501428604,0.049223870038986206,0.03926626965403557,0.028704822063446045,0.006001291796565056,0.0053251986391842365,6,7,10,sentence.10
7,81,0.2968704104423523,0.21355748176574707,0.13047091662883759,0.10635644942522049,0.063694067299366,0.049032699316740036,0.03881048038601875,0.027206020429730415,0.00675529520958662,0.005624953657388687,6,8,13,sentence.10
8,81,0.2716059386730194,0.22051334381103516,0.12615634500980377,0.10665140300989151,0.06379523873329163,0.05500459298491478,0.03947603330016136,0.0263220202177763,0.008442427031695843,0.006212098058313131,7,8,16,sentence.10
