layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,5,,0.4669795632362366,0.6188011765480042,[0.39415586 0.40683067 0.43179116 0.48331898 0.6188012 ],0
1,2,5,,0.6056897640228271,0.6976111531257629,[0.5199322  0.565891   0.5837511  0.6612633  0.69761115],0
2,3,5,,0.5821958780288696,0.7805989384651184,[0.48286733 0.53505504 0.5455845  0.5668736  0.78059894],0
3,4,5,,0.4807887077331543,0.5766692161560059,[0.39633378 0.4489067  0.4735313  0.50850254 0.5766692 ],0
4,5,5,,0.5177162885665894,0.6936580538749695,[0.43500885 0.46033075 0.4955774  0.5040065  0.69365805],0
5,6,5,,0.5444682240486145,0.8791109919548035,[0.41577238 0.45539185 0.47940776 0.49265808 0.879111  ],0
6,7,5,,0.5107865333557129,0.6020314693450928,[0.43103227 0.47993782 0.50358003 0.537351   0.60203147],0
7,8,5,,0.6025645136833191,0.8515386581420898,[0.4655851  0.48770115 0.58892417 0.61907345 0.85153866],0
8,9,5,,0.7088035345077515,1.0174585580825806,[0.53552604 0.5999876  0.6292067  0.76183885 1.0174586 ],0
9,10,5,,0.6111524701118469,0.9027490615844727,[0.4389033  0.4690433  0.55060947 0.6944571  0.90274906],0
10,11,5,,0.7817907333374023,1.3966282606124878,[0.44749063 0.56353545 0.602755   0.8985443  1.3966283 ],0
0,1,5,,0.4479244351387024,0.6032085418701172,[0.37744728 0.38859305 0.41904172 0.45133144 0.60320854],1
1,2,5,,0.6093763113021851,0.6948851346969604,[0.5321502  0.56892365 0.5860314  0.6648914  0.69488513],1
2,3,5,,0.5837904810905457,0.7799468040466309,[0.48789078 0.5368256  0.5463219  0.56796736 0.7799468 ],1
3,4,5,,0.48361557722091675,0.5749630928039551,[0.40844256 0.44471303 0.47959253 0.5103667  0.5749631 ],1
4,5,5,,0.5489717721939087,0.7974789142608643,[0.43862313 0.48801664 0.501776   0.51896405 0.7974789 ],1
5,6,5,,0.589712381362915,1.0259631872177124,[0.43344587 0.4889876  0.4933261  0.50683916 1.0259632 ],1
6,7,5,,0.5339527130126953,0.643770158290863,[0.44196218 0.458123   0.5337656  0.59214246 0.64377016],1
7,8,5,,0.6191073656082153,0.8822822570800781,[0.46903554 0.5408677  0.5794151  0.6239364  0.88228226],1
8,9,5,,0.6998876333236694,1.0180305242538452,[0.54670864 0.6000824  0.6040197  0.730597   1.0180305 ],1
9,10,5,,0.5904062390327454,0.8672598600387573,[0.43761587 0.4728533  0.52508605 0.6492158  0.86725986],1
10,11,5,,0.768699049949646,1.3878796100616455,[0.46833208 0.53473485 0.65088016 0.8016684  1.3878796 ],1
0,1,5,,0.4519188404083252,0.6076167225837708,[0.38179785 0.39339012 0.41717947 0.45961013 0.6076167 ],2
1,2,5,,0.6018653512001038,0.698964536190033,[0.51402545 0.56104314 0.57779413 0.6574994  0.69896454],2
2,3,5,,0.581868588924408,0.7820549607276917,[0.4813774  0.5357208  0.5390385  0.5711515  0.78205496],2
3,4,5,,0.4878212809562683,0.5856784582138062,[0.39862576 0.45108306 0.48236555 0.5213534  0.58567846],2
4,5,5,,0.5243930816650391,0.72437584400177,[0.43337378 0.46498597 0.49140748 0.5078222  0.72437584],2
5,6,5,,0.5453425645828247,0.8746300339698792,[0.4182196  0.45702395 0.48257416 0.4942651  0.87463003],2
6,7,5,,0.5198577642440796,0.6329979300498962,[0.43748337 0.47980085 0.49536452 0.5536422  0.63299793],2
7,8,5,,0.6118065118789673,0.863935112953186,[0.47514868 0.5135282  0.5841002  0.62232023 0.8639351 ],2
