layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,boot_id
0,90,0.24591319262981415,0.2228536754846573,0.19749747216701508,0.11850991100072861,0.08078503608703613,0.05408478528261185,0.034627292305231094,0.018763165920972824,0.010418472811579704,0.003439861349761486,5,6,7,0
1,90,0.2905893921852112,0.20001685619354248,0.173970565199852,0.10463402420282364,0.07044705003499985,0.052820734679698944,0.028444506227970123,0.015666581690311432,0.012739474885165691,0.006934624630957842,6,7,10,0
2,90,0.2565903663635254,0.21944786608219147,0.16932664811611176,0.1086089015007019,0.07349855452775955,0.055215008556842804,0.02696133777499199,0.015942176803946495,0.010050122626125813,0.008860567584633827,6,7,11,0
3,90,0.2590370178222656,0.22698412835597992,0.15381160378456116,0.10367658734321594,0.0701959952712059,0.05724228546023369,0.023500977084040642,0.016377251595258713,0.014051772654056549,0.009686651639640331,6,8,13,0
4,90,0.2518603205680847,0.2302454262971878,0.1586473137140274,0.10182999819517136,0.07288282364606857,0.057591117918491364,0.024245934560894966,0.016694387421011925,0.011228445917367935,0.009109297767281532,6,8,13,0
5,90,0.23647257685661316,0.2232312560081482,0.1552821844816208,0.10482441633939743,0.08050981163978577,0.057767413556575775,0.024916496127843857,0.016458608210086823,0.015282776206731796,0.010194823145866394,6,9,14,0
6,90,0.25145137310028076,0.20314911007881165,0.1502932906150818,0.10119103640317917,0.08237064629793167,0.05759241059422493,0.023157717660069466,0.01760372705757618,0.01489000953733921,0.011269203387200832,7,9,15,0
7,90,0.2870912551879883,0.2034028023481369,0.13552746176719666,0.0943216010928154,0.0703820213675499,0.049584582448005676,0.024828853085637093,0.017181942239403725,0.015211259946227074,0.011738519184291363,7,10,16,0
8,90,0.3476290702819824,0.1721571832895279,0.12094991654157639,0.08100467920303345,0.07591874897480011,0.04629893973469734,0.023251527920365334,0.01966884173452854,0.01237418968230486,0.010885221883654594,7,10,16,0
9,90,0.29044339060783386,0.2617065906524658,0.11205322295427322,0.07538819313049316,0.06556540727615356,0.04476708173751831,0.02027091570198536,0.018087275326251984,0.013636045157909393,0.009863004088401794,7,9,16,0
10,90,0.47067663073539734,0.17030994594097137,0.0910162404179573,0.05620571970939636,0.0533328615128994,0.03251311555504799,0.017937006428837776,0.014518755488097668,0.01083194650709629,0.009345448575913906,6,8,14,0
11,90,0.5563428401947021,0.12008819729089737,0.07652124762535095,0.05075230821967125,0.043663062155246735,0.025978965684771538,0.021359501406550407,0.011810203082859516,0.010659821331501007,0.008876852691173553,6,8,14,0
0,90,0.24552154541015625,0.22518518567085266,0.19531510770320892,0.11827189475297928,0.08120057731866837,0.05375232547521591,0.034314703196287155,0.018764398992061615,0.013284054584801197,0.003412577323615551,5,6,7,1
1,90,0.298071950674057,0.2025080919265747,0.17446549236774445,0.10748729109764099,0.07159969210624695,0.05336668714880943,0.0289827398955822,0.016147924587130547,0.013301828876137733,0.006890497170388699,5,6,8,1
2,90,0.26174500584602356,0.22175781428813934,0.171942800283432,0.11272071301937103,0.07539907097816467,0.05554920434951782,0.028009919449687004,0.016375312581658363,0.01246105507016182,0.008438913151621819,6,7,9,1
3,90,0.26577746868133545,0.2290063500404358,0.15886516869068146,0.10494881868362427,0.07324259728193283,0.05844151973724365,0.02532484382390976,0.01809059828519821,0.015420467592775822,0.008759945631027222,6,7,10,1
4,90,0.25422826409339905,0.23308955132961273,0.16425472497940063,0.10225285589694977,0.07585328817367554,0.05865946784615517,0.026810942217707634,0.017719168215990067,0.013024134561419487,0.009915949776768684,6,7,10,1
5,90,0.2633429169654846,0.21510055661201477,0.16232208907604218,0.10485554486513138,0.0807187482714653,0.06015097722411156,0.025557391345500946,0.015771951526403427,0.013200744986534119,0.009071479551494122,6,7,10,1
6,90,0.2520151138305664,0.21291838586330414,0.15765808522701263,0.10023115575313568,0.08604805916547775,0.05882694572210312,0.0252730380743742,0.01907537877559662,0.015905296429991722,0.012005465105175972,6,8,12,1
7,90,0.29256224632263184,0.22394686937332153,0.14132753014564514,0.09492918848991394,0.07001856714487076,0.047879908233881,0.02294188365340233,0.0194222554564476,0.01656981371343136,0.010947881266474724,6,8,12,1
8,90,0.37323957681655884,0.1779109537601471,0.12564629316329956,0.08034457266330719,0.07342691719532013,0.04501597210764885,0.02178676798939705,0.015765519812703133,0.013757453300058842,0.010781005956232548,6,8,12,1
9,90,0.3038497567176819,0.27847084403038025,0.11845578253269196,0.07800374925136566,0.060259200632572174,0.03974394500255585,0.01884615235030651,0.015826992690563202,0.01251862570643425,0.01223046239465475,6,8,12,1
10,90,0.5168563723564148,0.17557193338871002,0.09150682389736176,0.05320104956626892,0.043449368327856064,0.02889757603406906,0.014049581252038479,0.011030714958906174,0.008473564870655537,0.007662706542760134,5,6,10,1
11,90,0.6268300414085388,0.11428523808717728,0.06985461711883545,0.0422510951757431,0.034635111689567566,0.02250402793288231,0.015337850898504257,0.010864594019949436,0.009321939200162888,0.007043170277029276,4,6,10,1
