layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,6,0.9,1.1632400751113892,"[[ 9.25207615e-01 -2.01470360e-01 -2.94587374e-01  1.03718907e-01
  -2.47207247e-02  7.24580288e-02]
 [ 2.47140035e-01  9.51692879e-01  1.60263330e-01  4.57745083e-02
  -3.59227397e-02  6.42837584e-02]
 [ 2.43668064e-01 -2.26435319e-01  9.41538334e-01  2.77690757e-02
  -5.43947937e-03  4.53650467e-02]
 [-1.06940374e-01 -1.25757176e-02 -9.49787907e-04  9.89542961e-01
   6.96432367e-02 -6.60256594e-02]
 [ 4.83245030e-02  3.17351818e-02  6.10171584e-03 -6.87466711e-02
   9.93711710e-01 -6.65681511e-02]
 [-9.88285914e-02 -3.53855602e-02 -3.16483080e-02  4.95450385e-02
   7.58663788e-02  9.89832759e-01]]",0
1,2,7,0.9,1.5961198806762695,"[[ 0.95527387  0.11917493 -0.25895712 -0.04625005  0.0271445  -0.05438834
   0.01887939]
 [-0.13994616  0.98313946 -0.07263221  0.07928675  0.00421046 -0.00689449
   0.04716786]
 [-0.25097057 -0.1055892  -0.9607963  -0.01739475  0.03744465 -0.03203457
  -0.00206844]
 [ 0.04889768 -0.07578139 -0.01860867  0.9914605   0.0896005  -0.01009347
   0.01989917]
 [-0.01198092  0.00818099  0.03643177 -0.08338206  0.9787455   0.1682211
  -0.07258517]
 [ 0.0453777   0.00534773 -0.05192564  0.02028357 -0.15968765  0.9822539
   0.0669466 ]
 [-0.01694191 -0.04739985  0.01290084 -0.03023515  0.07982612 -0.05239621
   0.99361366]]",0
2,3,7,0.9,1.546211838722229,"[[ 0.9707374  -0.18047938 -0.13706154  0.00320252 -0.02103026 -0.03232124
  -0.0693761 ]
 [ 0.1778363   0.97727555 -0.02407175  0.0880198   0.06015553 -0.03672656
  -0.00349737]
 [ 0.13821106  0.0038448   0.9877177  -0.04677817 -0.03417331 -0.04403402
   0.0012501 ]
 [-0.00430583 -0.0902921   0.05951096  0.9665667   0.17814535  0.14782341
  -0.0211806 ]
 [ 0.02117272 -0.0409052   0.02611746 -0.2010621   0.9721897   0.10773994
  -0.00310774]
 [ 0.0476081   0.04805645  0.02638732 -0.12062494 -0.1329192   0.9787338
   0.06774983]
 [ 0.0648654  -0.01447486 -0.01132988  0.02875083  0.01466651 -0.0654831
   0.9950502 ]]",0
3,4,8,0.9,1.403617262840271,"[[-0.9140959   0.39045364 -0.08679318 -0.03929979 -0.02268104 -0.00988352
   0.04375694  0.01924308]
 [ 0.40049788  0.90152663 -0.09849349 -0.12042731 -0.0080951   0.04314922
   0.01392251  0.02293987]
 [-0.04009277  0.1326524   0.98777205  0.03799357  0.01521548 -0.00628012
   0.00415889 -0.05805605]
 [ 0.01081964  0.12192953 -0.05698997  0.98551035  0.09320525  0.01496368
  -0.0239267  -0.03246748]
 [ 0.01277465 -0.01045138  0.01850541  0.09349441 -0.9749979   0.18829626
  -0.01134709  0.06662437]
 [-0.02738159 -0.03623709  0.00630678 -0.02633332  0.18403512  0.9787531
   0.06835032 -0.02656307]
 [ 0.03657171 -0.02375988 -0.0046458   0.02754459 -0.02565053 -0.06553515
   0.9937822  -0.06900621]
 [-0.00742831  0.01858227 -0.05848647 -0.03294568 -0.07316796 -0.00831638
  -0.06998685 -0.9923571 ]]",0
4,5,8,0.9,1.5943323373794556,"[[ 0.9745627   0.12125904 -0.1256812   0.03203572  0.10530976 -0.03078937
  -0.07467792  0.03296707]
 [ 0.1318012  -0.9861182   0.02944613  0.04018553 -0.00583035 -0.02558936
   0.0826683  -0.0139462 ]
 [ 0.1118844   0.03498736  0.9859857   0.00251968  0.02040344  0.02413009
  -0.09341338  0.06602344]
 [-0.06557899  0.0206616  -0.01248507  0.97010213  0.20706663  0.03370789
  -0.08121765  0.05838913]
 [ 0.08868629  0.01026459 -0.01010273  0.19052944 -0.95497984  0.1637087
  -0.11427893  0.06147441]
 [ 0.03378403 -0.00829623 -0.00671578 -0.03936912  0.1345568   0.96897286
   0.15713663 -0.12445471]
 [ 0.05625768  0.08552225  0.05449611  0.07528543 -0.07800177 -0.08509992
   0.9068831   0.38094625]
 [ 0.06217506  0.06105611  0.08886277  0.11284938 -0.09698782 -0.15403835
   0.33478084 -0.9091546 ]]",0
5,6,9,0.9,1.7304705381393433,"[[ 0.8767758   0.41516638  0.0444684   0.10958728 -0.00963318 -0.09506736
   0.04420045  0.13078298 -0.12932757]
 [-0.4552111   0.8757225   0.06451283  0.04300541 -0.04454858 -0.07438675
   0.00615609  0.06645747 -0.08893222]
 [-0.0573891  -0.13873051  0.94212264  0.21999943  0.02025248 -0.08145213
   0.01095851  0.14460479 -0.11571569]
 [-0.07430092 -0.05411996 -0.23105475  0.94193065  0.21485949 -0.00343088
   0.05290453 -0.04420481  0.00114832]
 [ 0.05399598  0.04027202  0.07424867  0.21237442 -0.84254086  0.32356313
  -0.11331384 -0.25273448  0.23143855]
 [ 0.0542934   0.12246742  0.11174291 -0.04569158  0.37653553  0.9053398
  -0.02696912 -0.07162259 -0.01426788]
 [-0.06036153 -0.06907339 -0.06647782 -0.01494681 -0.21026489  0.15206605
   0.90327036  0.257207   -0.19378968]
 [ 0.04799499  0.1041279   0.1036709  -0.01288411  0.17316984 -0.07065791
   0.2345487   0.12754579  0.93256575]
 [ 0.05850115  0.07961024  0.14040245 -0.05411033  0.15967013 -0.16227387
   0.3325833  -0.89676464 -0.03119849]]",0
6,7,9,0.9,1.747725248336792,"[[ 0.93319553  0.35174868 -0.00623151  0.01704168  0.0010877  -0.02229411
  -0.05832455 -0.02748857  0.02084034]
 [-0.33390045  0.9128015  -0.16140336 -0.08454695 -0.01792262 -0.00920549
   0.13813652  0.00413594 -0.05098855]
 [-0.04628558  0.14350013  0.9728803   0.04163819  0.06183713 -0.09942611
   0.08361199 -0.06923983 -0.05950605]
 [-0.03418168  0.05020454 -0.06006953  0.97471976 -0.16123216 -0.08638892
   0.05858329 -0.01669841 -0.07385447]
 [-0.01767507  0.02305438 -0.07092322  0.16096053  0.9789026   0.03777638
  -0.04478331 -0.08050733  0.00731263]
 [-0.00449414 -0.0459864  -0.10516351 -0.09145084  0.04074342 -0.98210704
   0.04431023 -0.09554216 -0.03400813]
 [-0.08007931  0.10864317  0.07319101  0.04297911  0.0019973  -0.10219437
  -0.838559    0.5087224  -0.0463926 ]
 [ 0.08648067 -0.06797354 -0.00499788 -0.02686     0.09593957 -0.02913392
   0.47190973  0.7653104  -0.41073358]
 [ 0.0110377  -0.02972247 -0.04831413 -0.06252088 -0.02719101  0.06939703
  -0.19298837 -0.36612263 -0.90327513]]",0
7,8,10,0.9,2.323906421661377,"[[ 9.58855629e-01 -1.08415991e-01  1.21193916e-01  1.23315556e-02
   2.12335661e-02 -1.56786442e-02  2.21996784e-01 -1.08151883e-02
  -3.63513567e-02 -5.08328751e-02]
 [-1.02856487e-01 -9.84909415e-01  3.96053046e-02 -2.91897375e-02
   1.23647982e-02  1.00376420e-02 -5.12766354e-02  1.17382906e-01
   1.43248718e-02 -9.30400938e-03]
 [-7.56870434e-02  5.89151233e-02  9.73600328e-01 -7.33452886e-02
  -1.07358158e-01  4.70319800e-02 -1.50675148e-01  2.33577490e-02
   8.87342915e-03  2.14060266e-02]
 [-5.17407358e-02 -2.99978312e-02  9.35887769e-02  9.74842191e-01
   6.95847869e-02 -1.66579168e-02  5.53256460e-02 -7.84445181e-02
  -1.21029038e-02 -1.51216716e-01]
 [ 1.71088614e-02  2.05093808e-02  7.63719231e-02 -7.36060590e-02
   9.61915076e-01 -1.22233406e-01 -2.03956857e-01 -4.62520011e-02
   5.27913012e-02 -3.59163545e-02]
 [-2.47933879e-03 -6.62806164e-03  2.42246762e-02  3.19298101e-03
  -1.34484202e-01 -9.87574279e-01 -4.76066880e-02  1.64523441e-02
   6.65367860e-03  5.81602529e-02]
 [ 3.27074453e-02 -9.67605561e-02 -2.33446211e-02 -8.75719786e-02
  -1.12069108e-01 -1.99310086e-03 -2.59624034e-01 -9.18214023e-01
   4.34897561e-03 -2.41349980e-01]
 [-4.76985089e-02  4.35911119e-02 -6.30395021e-04 -1.26149073e-01
  -2.64757052e-02 -4.87268455e-02 -4.16179420e-03  2.52791882e-01
  -2.32045189e-01 -9.26859975e-01]
 [-2.00726986e-01 -4.43776287e-02  1.14483662e-01 -8.41133371e-02
   1.52897179e-01 -5.22709824e-02  6.80402040e-01 -2.38635197e-01
  -6.16985977e-01  1.04319312e-01]
 [-1.32949263e-01 -1.14849033e-02  8.37590694e-02 -8.49329755e-02
   5.49896620e-02 -4.25378345e-02  5.89991927e-01 -1.14139304e-01
   7.48920143e-01 -2.02806383e-01]]",0
8,9,9,0.9,2.1735999584198,"[[ 0.9018796  -0.08663788 -0.22639519  0.17312658  0.00339963  0.17007515
   0.17243317  0.17857292 -0.08556251]
 [-0.01270193  0.8452213   0.19005173  0.35407782  0.03757967 -0.0595456
   0.30662918  0.15218522  0.04253522]
 [ 0.22649953 -0.20390454  0.9385951   0.00473812  0.15109704  0.01336119
  -0.01679504 -0.03992577  0.03539433]
 [-0.02981008  0.00449576 -0.14879751 -0.08701825  0.9830306  -0.01824411
   0.04736324  0.0103055   0.01862532]
 [ 0.13605377  0.28041872  0.05190404 -0.8801847  -0.07638277  0.0807545
   0.2941913  -0.06337313 -0.1500504 ]
 [-0.12751184  0.07886659  0.01736103  0.08478872  0.02724657  0.95660836
  -0.04472789 -0.22334535  0.04800632]
 [ 0.19711007  0.12381782 -0.05901533  0.1187076   0.01389776 -0.21123518
  -0.00473869 -0.9390424  -0.04007396]
 [-0.15231217 -0.32829005 -0.032614    0.07910505 -0.04767281 -0.00192274
   0.81573325 -0.08603273  0.43197984]
 [-0.19349417 -0.1689316   0.04452217  0.18654217  0.01882253  0.02779511
   0.34601676 -0.01222775 -0.8810437 ]]",0
9,10,8,0.9,1.7847481966018677,"[[ 4.25913185e-01  8.89014542e-01 -1.48584498e-02 -1.23088896e-01
  -9.15220194e-03 -8.08273181e-02 -7.80885741e-02  1.28356861e-02]
 [ 8.48923862e-01 -4.04526651e-01  2.55266786e-01  1.31330118e-01
   1.53716598e-02 -8.95558149e-02 -1.48727313e-01 -5.38649447e-02]
 [-2.05503285e-01  1.05272919e-01  9.58339989e-01 -1.17730260e-01
  -7.56373107e-02 -2.80030654e-03  8.72539356e-02 -3.26825678e-02]
 [-2.66197249e-02  1.71760499e-01  1.02175951e-01  8.26114178e-01
   3.46811831e-01  3.83310199e-01  6.35694116e-02  7.50929639e-02]
 [ 3.98273245e-02  3.27821709e-02 -3.63455489e-02  2.81673372e-01
  -9.28344727e-01  1.99058905e-01  7.25395009e-02  9.98384878e-02]
 [ 1.02456890e-01 -4.09806892e-02  4.97080327e-04 -4.07023430e-01
   5.42763062e-02  8.85135233e-01 -1.89055130e-01 -1.64648890e-03]
 [-9.82168615e-02 -2.32840385e-02  6.46277517e-02  1.35404337e-02
   1.15571767e-02 -1.09402001e-01 -5.92920244e-01  7.88539410e-01]
 [ 1.82361960e-01 -4.61626537e-02 -1.62731837e-02 -1.61509171e-01
   9.36852768e-02  5.87750115e-02  7.53372312e-01  5.98716855e-01]]",0
