layer,level_from,level_to,G,boot_id
0,1,2,0.9721360462052482,0
0,2,3,0.9769719981011891,0
0,3,4,0.9778519840467543,0
0,4,5,0.9794217802229381,0
0,5,6,0.9649931760061354,0
0,6,7,0.928372615859622,0
0,7,8,0.9451416730880737,0
0,8,9,0.9788469388371422,0
0,9,10,0.9682865682102385,0
1,1,2,0.8893930855251494,0
1,2,3,0.9206001503126962,0
1,3,4,0.9279409561838422,0
1,4,5,0.9307655805633182,0
1,5,6,0.9280686917759123,0
1,6,7,0.918248060203734,0
1,7,8,0.9397459569431487,0
1,8,9,0.9174966301236834,0
1,9,10,0.9162783934956505,0
2,1,2,0.8791438199224926,0
2,2,3,0.9009152423767817,0
2,3,4,0.9155173301696777,0
2,4,5,0.9219274804705665,0
2,5,6,0.9192662920270648,0
2,6,7,0.9023488135564894,0
2,7,8,0.919322011016664,0
2,8,9,0.9024123208863395,0
2,9,10,0.9006313199088687,0
3,1,2,0.8586757324990772,0
3,2,3,0.882815230460394,0
3,3,4,0.9011248889423552,0
3,4,5,0.9119949539502462,0
3,5,6,0.9136615111714318,0
3,6,7,0.86806701478504,0
3,7,8,0.8824140230814616,0
3,8,9,0.8999281440462384,0
3,9,10,0.8712847630182902,0
4,1,2,0.8582619627316793,0
4,2,3,0.8751908001445589,0
4,3,4,0.8853664937473479,0
4,4,5,0.9111262815339225,0
4,5,6,0.9197979115304493,0
4,6,7,0.8843880749884105,0
4,7,8,0.8955615503447396,0
4,8,9,0.8965921401977539,0
4,9,10,0.8715672776812599,0
5,1,2,0.8420203697113764,0
5,2,3,0.8444059916904995,0
5,3,4,0.8654716525759015,0
5,4,5,0.8987061494872683,0
5,5,6,0.90974113487062,0
5,6,7,0.868936592624301,0
5,7,8,0.8615847258340745,0
5,8,9,0.8228888994171506,0
5,9,10,0.8673783370426723,0
6,1,2,0.8198661719049726,0
6,2,3,0.8265321141197568,0
6,3,4,0.8335600325039455,0
6,4,5,0.8792759236835298,0
6,5,6,0.8832117290723891,0
6,6,7,0.842932505267007,0
6,7,8,0.8680946912084307,0
6,8,9,0.856579874243055,0
6,9,10,0.8360999169803801,0
7,1,2,0.8176102609861464,0
7,2,3,0.8073844654219491,0
7,3,4,0.8241847838674273,0
7,4,5,0.8627120682171413,0
7,5,6,0.8522092756770906,0
7,6,7,0.8197116312526521,0
7,7,8,0.847101214386168,0
7,8,9,0.8587150346665156,0
7,9,10,0.8282581142016819,0
8,1,2,0.8319006704148793,0
8,2,3,0.7780230896813529,0
8,3,4,0.7950348485083807,0
8,4,5,0.8290285837082636,0
8,5,6,0.8349671959877014,0
8,6,7,0.7959889797937303,0
8,7,8,0.8275541663169861,0
8,8,9,0.8553695849009922,0
8,9,10,0.8370494530314491,0
9,1,2,0.7778219722566151,0
9,2,3,0.7075608401071458,0
9,3,4,0.7319542850766864,0
9,4,5,0.7885209747723171,0
9,5,6,0.849575624579475,0
9,6,7,0.8429041788691566,0
9,7,8,0.8248808071726844,0
9,8,9,0.8430163377807254,0
9,9,10,0.7798110672405788,0
10,1,2,0.7545975929214841,0
10,2,3,0.6234886802378155,0
10,3,4,0.6672294948782239,0
10,4,5,0.7774893669855028,0
10,5,6,0.8300044962338039,0
10,6,7,0.809944144317082,0
10,7,8,0.8230474648021516,0
10,8,9,0.7078896179085686,0
10,9,10,0.7460083734421503,0
11,1,2,0.5041523605939888,0
11,2,3,0.383735656915676,0
11,3,4,0.5021517298938263,0
11,4,5,0.866083250159309,0
11,5,6,0.7921675188200814,0
11,6,7,0.8277943985802787,0
11,7,8,0.6870142065343403,0
11,8,9,0.6283069621948969,0
11,9,10,0.45566304540261626,0
0,1,2,0.972597599029541,1
0,2,3,0.9750171303749084,1
