layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,5,,0.5003411769866943,0.643989086151123,[0.42144412 0.44396412 0.46957362 0.52273494 0.6439891 ],0
1,2,5,,0.6200264692306519,0.7164242267608643,[0.5241745  0.5778455  0.630691   0.65099686 0.7164242 ],0
2,3,5,,0.6200924515724182,0.8018434047698975,[0.49731633 0.57012165 0.6035937  0.627587   0.8018434 ],0
3,4,5,,0.4825131893157959,0.5329768061637878,[0.4358783  0.45278466 0.48040894 0.51051724 0.5329768 ],0
4,5,5,,0.5386694073677063,0.7276288866996765,[0.43312347 0.4807926  0.52242565 0.5293764  0.7276289 ],0
5,6,5,,0.5387474298477173,0.7659949660301208,[0.43108633 0.4780103  0.4786581  0.5399873  0.76599497],0
6,7,5,,0.5156037211418152,0.7428529262542725,[0.41749752 0.44767588 0.47568417 0.49430832 0.7428529 ],0
7,8,5,,0.5524410009384155,0.6901980042457581,[0.4659096  0.50075364 0.52446944 0.5808744  0.690198  ],0
8,9,5,,0.6412875056266785,0.9180399775505066,[0.51207316 0.5618407  0.58164096 0.63284284 0.91804   ],0
9,10,5,,0.5628791451454163,0.7561680674552917,[0.42102066 0.47330555 0.5386761  0.62522537 0.75616807],0
10,11,5,,0.7027168273925781,1.292561650276184,[0.4247437 0.5048068 0.6323134 0.6591586 1.2925617],0
0,1,5,,0.48149019479751587,0.6130479574203491,[0.40426016 0.42717293 0.4577253  0.5052446  0.61304796],1
1,2,5,,0.6181616187095642,0.7127403616905212,[0.52285945 0.57474685 0.6206155  0.65984595 0.71274036],1
2,3,5,,0.6171458959579468,0.8059157729148865,[0.4948872  0.56403923 0.5982826  0.62260455 0.8059158 ],1
3,4,5,,0.4942258298397064,0.5453106164932251,[0.4494065  0.46319333 0.47914732 0.53407145 0.5453106 ],1
4,5,5,,0.5875540375709534,0.96590256690979,[0.44863534 0.47304344 0.50593776 0.54425097 0.96590257],1
5,6,5,,0.5452231168746948,0.7958759665489197,[0.4442316  0.47660318 0.48067158 0.528733   0.79587597],1
6,7,5,,0.563801646232605,0.9792596101760864,[0.41734478 0.44114387 0.46786365 0.5133962  0.9792596 ],1
7,8,5,,0.5401393175125122,0.6440480351448059,[0.47897598 0.48922193 0.5238647  0.56458586 0.64404804],1
8,9,5,,0.6446216702461243,0.9078103303909302,[0.5110762  0.5618526  0.5888275  0.6535419  0.90781033],1
9,10,5,,0.5692382454872131,0.753871738910675,[0.44625896 0.47995707 0.5506623  0.61544114 0.75387174],1
10,11,5,,0.7196194529533386,1.29861319065094,[0.4421139  0.5359946  0.6487423  0.67263347 1.2986132 ],1
0,1,5,,0.4873124063014984,0.6298736333847046,[0.40868738 0.43197143 0.45285004 0.51317966 0.62987363],2
1,2,5,,0.6127694845199585,0.7098920941352844,[0.52149594 0.5720055  0.61789453 0.64255935 0.7098921 ],2
2,3,5,,0.61632239818573,0.8018132448196411,[0.4865577  0.571001   0.59643155 0.62580854 0.80181324],2
3,4,5,,0.48751401901245117,0.5403339862823486,[0.4455143  0.45726782 0.47857878 0.5158752  0.540334  ],2
4,5,5,,0.5473232269287109,0.7721031904220581,[0.43676645 0.48695436 0.5108211  0.5299708  0.7721032 ],2
5,6,5,,0.5318895578384399,0.7357831001281738,[0.43385583 0.47686166 0.48381576 0.5291314  0.7357831 ],2
6,7,5,,0.5118090510368347,0.7003719210624695,[0.41550192 0.4536711  0.4714057  0.51809466 0.7003719 ],2
7,8,5,,0.5536930561065674,0.6947939991950989,[0.4662233  0.5049344  0.51920724 0.5833065  0.694794  ],2
8,9,5,,0.646584689617157,0.9461032748222351,[0.51769453 0.5426516  0.58521646 0.64125746 0.9461033 ],2
9,10,5,,0.5630636215209961,0.7376681566238403,[0.4344426  0.47529435 0.5431959  0.6247172  0.73766816],2
10,11,5,,0.6929134130477905,1.2946507930755615,[0.43125847 0.49066234 0.57810825 0.66988695 1.2946508 ],2
0,1,5,,0.48850017786026,0.6355090737342834,[0.40934038 0.42961144 0.45507258 0.5129674  0.6355091 ],3
1,2,5,,0.6131728291511536,0.709471583366394,[0.5209401 0.5743111 0.6108912 0.6502499 0.7094716],3
2,3,5,,0.6119711399078369,0.7954797148704529,[0.4835421  0.55932444 0.5986076  0.6229017  0.7954797 ],3
3,4,5,,0.48321977257728577,0.5400236248970032,[0.4377073  0.43959767 0.48543027 0.51334    0.5400236 ],3
4,5,5,,0.578515887260437,0.9840685725212097,[0.41439793 0.47859848 0.49059618 0.5249184  0.9840686 ],3
5,6,5,,0.5096030831336975,0.6686785817146301,[0.42458168 0.45485124 0.47262672 0.5272771  0.6686786 ],3
6,7,5,,0.5058555006980896,0.7322801351547241,[0.4143861  0.4366427  0.4659242  0.48004445 0.73228014],3
7,8,5,,0.552466094493866,0.6912254691123962,[0.46256876 0.5174406  0.5238106  0.5672852  0.69122547],3
8,9,5,,0.6351357698440552,0.915705680847168,[0.5022999  0.5643868  0.5690544  0.62423205 0.9157057 ],3
9,10,5,,0.5565584301948547,0.6926707625389099,[0.43518633 0.4609852  0.5425515  0.6513981  0.69267076],3
10,11,5,,0.6749745607376099,1.2772760391235352,[0.4152975  0.51253414 0.55570906 0.6140561  1.277276  ],3
0,1,5,,0.4891282618045807,0.6343086957931519,[0.41127083 0.4343861  0.45842186 0.50725377 0.6343087 ],4
1,2,5,,0.6165804862976074,0.7197850942611694,[0.52271706 0.5734814  0.61220646 0.6547123  0.7197851 ],4
2,3,5,,0.6225151419639587,0.8201422691345215,[0.49468246 0.5653435  0.60214806 0.6302596  0.82014227],4
3,4,5,,0.4801355302333832,0.5324689745903015,[0.4352109  0.44396773 0.48125574 0.5077742  0.532469  ],4
4,5,5,,0.5563858151435852,0.8500571250915527,[0.4254512  0.47619438 0.51417345 0.51605284 0.8500571 ],4
5,6,5,,0.519257664680481,0.7047179341316223,[0.42978016 0.4662619  0.477731   0.5177974  0.70471793],4
6,7,5,,0.5239621996879578,0.7939488887786865,[0.41559774 0.44146916 0.47823697 0.49055824 0.7939489 ],4
7,8,5,,0.5429044961929321,0.6753326654434204,[0.46157444 0.48388547 0.521109   0.57262087 0.67533267],4
8,9,5,,0.6287784576416016,0.9066267013549805,[0.4977361  0.54624057 0.5778156  0.61547315 0.9066267 ],4
9,10,5,,0.5621305108070374,0.7307283282279968,[0.42532638 0.45595816 0.55014586 0.6484939  0.7307283 ],4
10,11,5,,0.6938385963439941,1.2976884841918945,[0.4246025  0.50869733 0.5705935  0.66761106 1.2976885 ],4
0,1,5,,0.5054108500480652,0.6393868327140808,[0.43233874 0.4525546  0.47270408 0.53007    0.63938683],5
1,2,5,,0.6301984786987305,0.7175872325897217,[0.52354264 0.5945353  0.64437586 0.67095137 0.71758723],5
