metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
mean_angle,0.489138143658638,0.45462366223335265,0.03451448142528535,0.03169333777576684,0.03723779439181086,0.0,3.3319352511671623,100,100,0,1,0.0
mean_angle,0.6151812183856964,0.6042952573299408,0.010885961055755566,0.00945523892343041,0.012354224786162361,0.0,1.941666977641334,100,100,1,2,0.0
mean_angle,0.6154616278409958,0.5788827866315842,0.03657884120941157,0.034742696061730326,0.038361323937773674,0.0,5.60457660860712,100,100,2,3,0.0
mean_angle,0.49699497640132906,0.4806574431061745,0.016337533295154583,0.01143393644690511,0.021974925637245207,0.0,0.8822549272064483,100,100,3,4,0.0
mean_angle,0.5587331846356391,0.5185680225491524,0.040165162086486794,0.03266099047660821,0.04812325848639012,0.0,1.4409198905269434,100,100,4,5,0.0
mean_angle,0.5174805352091789,0.5411178612709046,-0.02363732606172564,-0.029346508212387566,-0.017511447392404053,0.0,-1.1050603490760116,100,100,5,6,0.0
mean_angle,0.5150506183505058,0.5111216697096824,0.003928948640823382,0.0005941758453846591,0.00722159488499175,0.018,0.3402481148539295,100,100,6,7,0.018
mean_angle,0.5484576046466827,0.5963697606325149,-0.047912155985832205,-0.05084735108911994,-0.045122747749090225,0.0,-4.477500451821982,100,100,7,8,0.0
mean_angle,0.6443956565856933,0.7049535518884659,-0.06055789530277256,-0.06247937113046653,-0.05835460509359831,0.0,-7.726090463825198,100,100,8,9,0.0
mean_angle,0.5618447667360306,0.6009051036834717,-0.039060336947441154,-0.04102071355283255,-0.037145939886569966,0.0,-5.411586220062046,100,100,9,10,0.0
mean_angle,0.6747656553983689,0.7723531019687653,-0.09758744657039642,-0.10233313965797425,-0.09312565508484835,0.0,-6.0464480608219695,100,100,10,11,0.0
max_angle,0.6289523804187774,0.6099909365177154,0.018961443901062025,0.016424179643392635,0.021526795148849403,0.0,2.079704848442834,100,100,0,1,0.0
max_angle,0.7122772771120072,0.7031123220920563,0.009164955019950849,0.006756688997149526,0.011188137337565495,0.0,1.149843212977435,100,100,1,2,0.0
max_angle,0.8064189440011978,0.7786660373210907,0.027752906680107103,0.02513577257096767,0.03050952251255507,0.0,2.7997983846735224,100,100,2,3,0.0
max_angle,0.5865865069627761,0.5788875490427017,0.007698957920074467,-0.01260730262100703,0.03152151703834534,0.57,0.091570003291561,100,100,3,4,0.57
max_angle,0.85687384724617,0.7152947127819062,0.14157913446426384,0.10611113305389876,0.18133906944096084,0.0,1.0110496252806445,100,100,4,5,0.0
max_angle,0.6870686084032058,0.8694989287853241,-0.18243032038211826,-0.20789990268647668,-0.1584576816260814,0.0,-1.9977264369129262,100,100,5,6,0.0
max_angle,0.7463153719902038,0.6153707790374756,0.1309445929527282,0.11723917745053769,0.14616830921173088,0.0,2.359302212443275,100,100,6,7,0.0
max_angle,0.6761933165788651,0.8327572339773178,-0.15656391739845277,-0.16521613362431517,-0.14763697856664657,0.0,-5.058821089782491,100,100,7,8,0.0
max_angle,0.9331423860788345,1.0198400700092316,-0.08669768393039712,-0.09348826630413536,-0.0793309137225151,0.0,-3.325463664863162,100,100,8,9,0.0
max_angle,0.726430801153183,0.8804660367965699,-0.15403523564338684,-0.1620511580705643,-0.14628380525112158,0.0,-5.420034350364898,100,100,9,10,0.0
max_angle,1.2753765213489532,1.3862178993225098,-0.11084137797355664,-0.11510084602236742,-0.10630226784944524,0.0,-6.786445065464585,100,100,10,11,0.0
