metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,q_value
pc1,0.27145936727523806,0.24346748605370522,0.027991881221532844,0.027316735584288845,0.02874673197418451,0.0,10.455779495132772,100,100,0,0.0
pc1,0.28046119153499605,0.290018709897995,-0.009557518362998951,-0.011422144167125203,-0.007509782530367393,0.0,-1.300158906018902,100,100,1,0.0
pc1,0.24874820351600646,0.2561116747558117,-0.0073634712398052415,-0.008358026880770936,-0.006336495526134982,0.0,-2.066382752221629,100,100,2,0.0
pc1,0.24922912284731866,0.25966471433639526,-0.010435591489076607,-0.012267836038023262,-0.0085847819224,0.0,-1.5785929622022195,100,100,3,0.0
pc1,0.25508413061499596,0.2521792194247246,0.0029049111902713642,0.0015465666130185102,0.004353087943047273,0.0,0.5693548994201402,100,100,4,0.0
pc1,0.27153116822242734,0.24191371843218804,0.02961744979023931,0.027649919997900733,0.03184173944965007,0.0,3.931159853958322,100,100,5,0.0
pc1,0.2736942574381828,0.2477201586961746,0.025974098742008206,0.023453941609710455,0.028531279481947405,0.0,2.7480209604944204,100,100,6,0.0
pc1,0.28498557925224305,0.2822090232372284,0.0027765560150146418,-0.0007278049439191663,0.005999183900654335,0.1,0.23032979474674176,100,100,7,0.10000000000000002
pc1,0.2721861010789871,0.3414936316013336,-0.0693075305223465,-0.07403118635714055,-0.0640835097581148,0.0,-3.8878540555865455,100,100,8,0.0
pc1,0.29831198006868365,0.28736054837703706,0.010951431691646585,0.005989024013280868,0.0158502157405019,0.0,0.6114893300959093,100,100,9,0.0
pc1,0.4039406853914261,0.42847620040178297,-0.02453551501035689,-0.037134112343192055,-0.012228300429880637,0.0,-0.53138708191366,100,100,10,0.0
pc1,0.6222998929023743,0.565515538752079,0.05678435415029526,0.04802815758436925,0.06480899725109338,0.0,1.8971356530706855,100,100,11,0.0
pc2,0.18766343966126442,0.22326545268297196,-0.03560201302170754,-0.03604973801970482,-0.035143787983804936,0.0,-21.958155051960592,100,100,0,0.0
pc2,0.19747311219573022,0.19922966703772546,-0.0017565548419952448,-0.0027372251488268413,-0.0008357970193028499,0.0,-0.5041999528142695,100,100,1,0.0
pc2,0.19890211507678032,0.2158548629283905,-0.01695274785161019,-0.017996043901890513,-0.015942884348332874,0.0,-4.453940443570796,100,100,2,0.0
pc2,0.18403572216629982,0.222051450163126,-0.038015727996826176,-0.039344554521143445,-0.03682814248278735,0.0,-8.047561829652206,100,100,3,0.0
pc2,0.17709365025162696,0.22496776059269905,-0.047874110341072085,-0.049008274722844386,-0.046749103445559735,0.0,-10.96578049281876,100,100,4,0.0
pc2,0.1740005373954773,0.21816926181316376,-0.04416872441768646,-0.04542504961043598,-0.04294563490897418,0.0,-10.126222740551352,100,100,5,0.0
pc2,0.1606570856273174,0.20446496725082397,-0.04380788162350657,-0.044692430153489116,-0.042866551160812366,0.0,-13.173127006928658,100,100,6,0.0
pc2,0.16117967158555985,0.2090936131775379,-0.047913941591978065,-0.049299490485340366,-0.046627765141427524,0.0,-9.963711492630674,100,100,7,0.0
pc2,0.1742018848657608,0.1761152696609497,-0.001913384795188905,-0.0034153902418911585,-0.0005190971940755824,0.01,-0.3799316778155797,100,100,8,0.01
pc2,0.16589290916919705,0.24701426759362222,-0.08112135842442517,-0.08486818352714184,-0.0770404916666448,0.0,-5.63491270944483,100,100,9,0.0
pc2,0.12123274438083169,0.18492754355072974,-0.06369479916989805,-0.06734343898668887,-0.06001077392883603,0.0,-4.723285622543442,100,100,10,0.0
pc2,0.08634109303355214,0.11737717688083645,-0.031036083847284304,-0.03402017613127827,-0.02819746572710575,0.0,-2.9285094913474468,100,100,11,0.0
