layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles
0,1,6,0.9,0.48870229721069336,0.6340912580490112,[0.39803582 0.42879963 0.43012947 0.4477369  0.59342074 0.63409126]
1,2,7,0.9,0.6082382202148438,0.7594107985496521,"[0.49590054 0.5206516  0.55378604 0.5867804  0.63242155 0.7087167
 0.7594108 ]"
2,3,7,0.9,0.6023469567298889,0.8022223711013794,"[0.45616657 0.47651598 0.53741914 0.57594204 0.65947896 0.7086838
 0.8022224 ]"
3,4,9,0.9,0.4985177218914032,0.7504991888999939,"[0.3673853  0.4018165  0.4408685  0.4437058  0.4613869  0.51079696
 0.53744984 0.5727506  0.7504992 ]"
4,5,9,0.9,0.5023758411407471,0.7712571620941162,"[0.39525467 0.40001243 0.4177027  0.4373238  0.48117563 0.51034
 0.5423063  0.5660098  0.77125716]"
5,6,9,0.9,0.49474695324897766,0.6580910682678223,"[0.39933017 0.40330547 0.43341935 0.46146736 0.4948896  0.5080353
 0.5161271  0.5780574  0.65809107]"
6,7,11,0.9,0.5642107725143433,1.2978116273880005,"[0.3707271  0.40603203 0.41970628 0.4378147  0.44374827 0.45926845
 0.48120525 0.5471623  0.65844995 0.68439263 1.2978116 ]"
7,8,11,0.9,0.593204915523529,1.1065220832824707,"[0.38619956 0.43762827 0.46497387 0.48554355 0.5127314  0.5281232
 0.56354606 0.58705974 0.66063887 0.7922874  1.1065221 ]"
8,9,13,0.9,0.7039772868156433,1.5237241983413696,"[0.42858455 0.47690034 0.5087082  0.51491237 0.54479843 0.5806111
 0.60070753 0.6207885  0.65795785 0.7552084  0.9294642  1.0093381
 1.5237242 ]"
9,10,14,0.9,0.6249169707298279,1.175604224205017,"[0.39171377 0.39860734 0.42197737 0.43400198 0.479239   0.49658343
 0.51386565 0.5493252  0.57331574 0.6579513  0.7294598  0.8801924
 1.0470003  1.1756042 ]"
10,11,9,0.9,0.6576712727546692,1.4623122215270996,"[0.38370436 0.4104191  0.4477326  0.48508075 0.5418037  0.54612505
 0.63707495 1.004789   1.4623122 ]"
