layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95
0,90,0.27010783553123474,0.18673929572105408,0.15002046525478363,0.12612195312976837,0.09664350003004074,0.07967585325241089,0.04080905020236969,0.015641817823052406,0.010073238052427769,0.004240334965288639,6,6,7
1,90,0.27839577198028564,0.1960718184709549,0.12944865226745605,0.11163967847824097,0.09631559997797012,0.07073329389095306,0.03729570657014847,0.014806527644395828,0.011560051701962948,0.005988068412989378,6,7,10
2,90,0.24576567113399506,0.19714921712875366,0.1428787261247635,0.10981789976358414,0.09254150092601776,0.07747422158718109,0.03864466771483421,0.014874382875859737,0.011900645680725574,0.006652881391346455,6,7,13
3,90,0.24368464946746826,0.18151319026947021,0.14101660251617432,0.10890474170446396,0.08406053483486176,0.07321622967720032,0.038879383355379105,0.02176807075738907,0.015535482205450535,0.010483094491064548,7,9,17
4,90,0.25070059299468994,0.1743716150522232,0.13637758791446686,0.11480969190597534,0.08031003922224045,0.0768311619758606,0.039096198976039886,0.01971724070608616,0.01675412431359291,0.007931835949420929,7,9,18
5,90,0.26641568541526794,0.17162542045116425,0.12496430426836014,0.11204671859741211,0.07995053380727768,0.07271821796894073,0.037985701113939285,0.019212322309613228,0.01568712666630745,0.009149963036179543,7,9,20
6,90,0.2682701349258423,0.1583745926618576,0.1254819631576538,0.10500500351190567,0.08693386614322662,0.07315430790185928,0.037210576236248016,0.019090844318270683,0.014497493393719196,0.009566170163452625,7,11,21
7,90,0.27880796790122986,0.15868914127349854,0.11978615075349808,0.10098960250616074,0.08694618940353394,0.06704329699277878,0.03418535366654396,0.01860055699944496,0.014659777283668518,0.010825512930750847,8,11,23
8,90,0.26540741324424744,0.17164099216461182,0.11534484475851059,0.0952296257019043,0.08960162848234177,0.06498150527477264,0.033344075083732605,0.019066041335463524,0.013266384601593018,0.012574640102684498,8,13,25
9,90,0.2897600829601288,0.1624077707529068,0.11261710524559021,0.0891440361738205,0.0791846290230751,0.05445188283920288,0.03309570625424385,0.020838310942053795,0.015844041481614113,0.011296502314507961,9,14,26
10,90,0.3964497745037079,0.11319788545370102,0.10458999872207642,0.07225296646356583,0.06147409602999687,0.04870821535587311,0.029455265030264854,0.02030032128095627,0.01602405682206154,0.012033619917929173,9,14,25
11,90,0.6169087886810303,0.08359688520431519,0.05795985460281372,0.04342861846089363,0.037403181195259094,0.03162885084748268,0.01845385506749153,0.010418398305773735,0.009815535508096218,0.007410513702780008,6,9,19
