layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,left_out
0,81,0.2694958746433258,0.1863713413476944,0.14977973699569702,0.12618283927440643,0.09660186618566513,0.07977212965488434,0.04078150540590286,0.015648767352104187,0.01008810754865408,0.004553211387246847,6,6,8,sentence.1
1,81,0.27600300312042236,0.19728805124759674,0.12960517406463623,0.112265944480896,0.0960053950548172,0.07078885287046432,0.03732116520404816,0.014883830212056637,0.011548785492777824,0.006366465240716934,6,7,10,sentence.1
2,81,0.24508385360240936,0.19719652831554413,0.14283791184425354,0.10985106974840164,0.09252110868692398,0.0775328055024147,0.03865716606378555,0.014883865602314472,0.011818810366094112,0.006870019715279341,6,7,13,sentence.1
3,81,0.24291223287582397,0.18149906396865845,0.14104124903678894,0.10905314236879349,0.08399458974599838,0.07367413491010666,0.03905210644006729,0.021607786417007446,0.015744876116514206,0.011563404463231564,7,9,16,sentence.1
4,81,0.2502105236053467,0.1741054654121399,0.13580603897571564,0.1152518093585968,0.08004643768072128,0.0772925540804863,0.03902779892086983,0.020060861483216286,0.016919970512390137,0.00864940881729126,7,9,17,sentence.1
5,81,0.26595526933670044,0.17161168158054352,0.1250060647726059,0.1123097613453865,0.07964589446783066,0.07243815809488297,0.03787996619939804,0.019663438200950623,0.015942489728331566,0.009555656462907791,7,9,19,sentence.1
6,81,0.2685236632823944,0.158532053232193,0.1253579556941986,0.10517466068267822,0.08606357872486115,0.07285560667514801,0.03730218857526779,0.019428236410021782,0.014783252961933613,0.010039648041129112,7,11,20,sentence.1
7,81,0.28014057874679565,0.15809471905231476,0.11912164837121964,0.10140497237443924,0.0865025743842125,0.06706546992063522,0.034217942506074905,0.019153544679284096,0.014871387742459774,0.010864248499274254,8,11,22,sentence.1
8,81,0.26643499732017517,0.1697874218225479,0.11527024954557419,0.09584296494722366,0.08945074677467346,0.06536979973316193,0.03323221579194069,0.01999421790242195,0.013843264430761337,0.012570273131132126,8,13,23,sentence.1
9,81,0.2882232964038849,0.16142557561397552,0.11415991932153702,0.08971433341503143,0.07819624990224838,0.05509067326784134,0.03346401825547218,0.02179381251335144,0.017384963110089302,0.011716421693563461,9,13,24,sentence.1
10,81,0.3878752887248993,0.11799482256174088,0.1049366146326065,0.07342024147510529,0.061579518020153046,0.04905139282345772,0.03011537529528141,0.022170817479491234,0.016691097989678383,0.012452304363250732,9,13,24,sentence.1
11,81,0.6150200963020325,0.086454376578331,0.05909678339958191,0.043371494859457016,0.037235062569379807,0.03145439922809601,0.01800120621919632,0.01090588141232729,0.010299121029675007,0.007799691986292601,6,8,17,sentence.1
0,81,0.27048787474632263,0.18768836557865143,0.15042679011821747,0.12601716816425323,0.09654366225004196,0.07975856959819794,0.04089776799082756,0.01569562591612339,0.009672722779214382,0.0034725398290902376,6,6,7,sentence.10
1,81,0.2796766459941864,0.1962074637413025,0.12955135107040405,0.11149303615093231,0.096548892557621,0.07061778008937836,0.03734572231769562,0.014840702526271343,0.010706938803195953,0.005320522002875805,6,7,10,sentence.10
2,81,0.24539341032505035,0.19840198755264282,0.14276444911956787,0.11037629097700119,0.09246606379747391,0.07769607752561569,0.03886009380221367,0.014943219721317291,0.01138025987893343,0.005841742269694805,6,7,13,sentence.10
3,81,0.24305136501789093,0.1825912892818451,0.14167344570159912,0.10955844074487686,0.08432704210281372,0.0732324868440628,0.039071224629879,0.0201351810246706,0.015308289788663387,0.01102575846016407,7,9,16,sentence.10
4,81,0.2524808645248413,0.17523382604122162,0.13662582635879517,0.11469817161560059,0.0807189792394638,0.07645989954471588,0.03918705880641937,0.01807653158903122,0.016827210783958435,0.007891871966421604,7,9,18,sentence.10
5,81,0.2706211805343628,0.1719149798154831,0.1244807317852974,0.11204229295253754,0.07951559126377106,0.0729847326874733,0.03760271891951561,0.01775294356048107,0.015338809229433537,0.009315486997365952,7,9,19,sentence.10
6,81,0.2732020318508148,0.15825419127941132,0.12479491531848907,0.10519924759864807,0.08685664087533951,0.07358947396278381,0.036931805312633514,0.01768278144299984,0.014201806858181953,0.008575872518122196,7,11,21,sentence.10
7,81,0.2834615707397461,0.15931899845600128,0.11957895755767822,0.10051555931568146,0.08636847138404846,0.06670408695936203,0.034218352288007736,0.01736496202647686,0.014331451617181301,0.011517849750816822,7,11,22,sentence.10
8,81,0.2700621485710144,0.17187850177288055,0.1164797991514206,0.09468041360378265,0.08783834427595139,0.06393373012542725,0.03348376974463463,0.018182853236794472,0.013558774255216122,0.012664423324167728,8,12,24,sentence.10
9,81,0.29805487394332886,0.1638593226671219,0.11036965250968933,0.08772047609090805,0.0788683146238327,0.05335359647870064,0.033612288534641266,0.019183386117219925,0.014699689112603664,0.01162769552320242,9,14,24,sentence.10
10,81,0.4102647006511688,0.10814116895198822,0.10568484663963318,0.07186798006296158,0.06133626401424408,0.047004152089357376,0.028987566009163857,0.01932782121002674,0.013892913237214088,0.01151603925973177,8,13,24,sentence.10
11,81,0.6090529561042786,0.0800202414393425,0.061307769268751144,0.04516873508691788,0.039053335785865784,0.032755348831415176,0.019738614559173584,0.010635082609951496,0.009663245640695095,0.007926952093839645,6,9,19,sentence.10
0,81,0.2706276774406433,0.18778696656227112,0.15016338229179382,0.12590110301971436,0.09660549461841583,0.07974687963724136,0.040918003767728806,0.015700893476605415,0.009558415040373802,0.0034565108362585306,6,6,7,sentence.2
1,81,0.2794210612773895,0.19663605093955994,0.12958700954914093,0.11164955794811249,0.09705857187509537,0.07084579765796661,0.037414681166410446,0.014853290282189846,0.010314983315765858,0.005206754431128502,6,7,10,sentence.2
2,81,0.2465483397245407,0.19891178607940674,0.14302949607372284,0.11027321964502335,0.09263847023248672,0.07769738882780075,0.03899442031979561,0.01492912508547306,0.010867579840123653,0.0056677768006920815,6,7,13,sentence.2
3,81,0.2435351312160492,0.18322384357452393,0.14191313087940216,0.10965956002473831,0.0846385583281517,0.07322432845830917,0.039190128445625305,0.02026176080107689,0.015238072723150253,0.011248436756432056,7,9,16,sentence.2
4,81,0.2521536946296692,0.17560222744941711,0.13732121884822845,0.11492261290550232,0.08086023479700089,0.07651915401220322,0.03932337835431099,0.018159683793783188,0.01684393920004368,0.007856342941522598,7,9,17,sentence.2
5,81,0.2698368728160858,0.17219847440719604,0.12602069973945618,0.11143556237220764,0.07924560457468033,0.07348369061946869,0.037819404155015945,0.018005264922976494,0.015570051036775112,0.008850588463246822,7,9,19,sentence.2
6,81,0.27215102314949036,0.15839837491512299,0.1263042390346527,0.105601467192173,0.08594120293855667,0.073638416826725,0.036988887935876846,0.018119826912879944,0.014506416395306587,0.008481034077703953,7,10,21,sentence.2
7,81,0.28299254179000854,0.15933386981487274,0.12111242860555649,0.10057444870471954,0.0856606662273407,0.06693150103092194,0.034026455134153366,0.017859091982245445,0.01445157639682293,0.01154012605547905,7,11,22,sentence.2
8,81,0.27061840891838074,0.17295850813388824,0.11778686940670013,0.09367677569389343,0.08782503753900528,0.06449384987354279,0.0329994261264801,0.01835891231894493,0.01370226126164198,0.012770112603902817,8,12,23,sentence.2
9,81,0.29677456617355347,0.1634000837802887,0.1117658019065857,0.08920317143201828,0.07822884619235992,0.054240137338638306,0.033322013914585114,0.019282564520835876,0.01504488755017519,0.011559486389160156,9,13,24,sentence.2
10,81,0.40751999616622925,0.1089862808585167,0.10512231290340424,0.07292026281356812,0.06105618178844452,0.04779687896370888,0.028847165405750275,0.01972096413373947,0.014962619170546532,0.011876005679368973,8,13,24,sentence.2
11,81,0.6166443228721619,0.08192635327577591,0.058843519538640976,0.04453621432185173,0.03779127076268196,0.0324418731033802,0.018875984475016594,0.010799647308886051,0.00944930873811245,0.00775395380333066,6,8,18,sentence.2
0,81,0.26984941959381104,0.18655137717723846,0.14975357055664062,0.12601201236248016,0.09652212262153625,0.0796646997332573,0.04083220660686493,0.015617684461176395,0.01030981820076704,0.004475794266909361,6,6,8,sentence.3
1,81,0.2778932452201843,0.19573715329170227,0.12903153896331787,0.11234410852193832,0.09535756707191467,0.07083016633987427,0.037195757031440735,0.014833396300673485,0.012280196882784367,0.0064727975986897945,6,7,10,sentence.3
2,81,0.24581316113471985,0.19678819179534912,0.14221122860908508,0.11002223938703537,0.09178929030895233,0.07761559635400772,0.038465503603219986,0.014834762550890446,0.012524127028882504,0.007264527026563883,6,7,13,sentence.3
3,81,0.244404599070549,0.18031255900859833,0.14062382280826569,0.10840149223804474,0.08347882330417633,0.07366981357336044,0.038718074560165405,0.02252482809126377,0.015687813982367516,0.01099971029907465,7,9,16,sentence.3
4,81,0.24950194358825684,0.17365354299545288,0.13678079843521118,0.11407726258039474,0.08025457710027695,0.077399842441082,0.03901785984635353,0.020242840051651,0.016816889867186546,0.008259186521172523,7,9,17,sentence.3
5,81,0.2633977234363556,0.17027518153190613,0.12634460628032684,0.11116847395896912,0.08064140379428864,0.0735219195485115,0.03803260996937752,0.020037062466144562,0.01580052264034748,0.009145318530499935,7,10,19,sentence.3
6,81,0.2637339234352112,0.1575518101453781,0.12713363766670227,0.10473965108394623,0.087506502866745,0.07391005009412766,0.037037599831819534,0.020439621061086655,0.014695310965180397,0.010359522886574268,7,11,21,sentence.3
7,81,0.27328458428382874,0.15772745013237,0.12206286936998367,0.10097544640302658,0.08714321255683899,0.0678623616695404,0.034040529280900955,0.02000589109957218,0.014911793172359467,0.010855576023459435,8,12,22,sentence.3
8,81,0.2597692310810089,0.1693558543920517,0.1176764965057373,0.0947781354188919,0.09084395319223404,0.06608004122972488,0.03311590477824211,0.020486759021878242,0.014062702655792236,0.012810878455638885,8,13,24,sentence.3
9,81,0.28233498334884644,0.16164566576480865,0.11493111401796341,0.09058079868555069,0.07904122769832611,0.0557638555765152,0.032856885343790054,0.022131018340587616,0.015950001776218414,0.01169874519109726,9,14,25,sentence.3
10,81,0.38480129837989807,0.11795027554035187,0.10503891855478287,0.0731642097234726,0.06144321709871292,0.04953734204173088,0.02956267260015011,0.021598663181066513,0.01712103560566902,0.01270431000739336,9,14,24,sentence.3
11,81,0.6186071634292603,0.08552227914333344,0.05532475560903549,0.04338116943836212,0.03693597391247749,0.031380701810121536,0.018263502046465874,0.010872943326830864,0.009520333260297775,0.0075827706605196,6,8,18,sentence.3
0,81,0.2710462808609009,0.1869371235370636,0.15015563368797302,0.1260429173707962,0.0971207246184349,0.07959190011024475,0.04078873619437218,0.015615888871252537,0.010980313643813133,0.0038805820513516665,6,6,7,sentence.4
1,81,0.2789999842643738,0.19618861377239227,0.13019421696662903,0.11173970252275467,0.09759844094514847,0.07077545672655106,0.037445731461048126,0.014928127638995647,0.012587995268404484,0.005613616202026606,6,7,9,sentence.4
2,81,0.24768702685832977,0.1980043202638626,0.14335894584655762,0.110295370221138,0.09418513625860214,0.07739465683698654,0.03875776007771492,0.014922636561095715,0.012809272855520248,0.006818784866482019,6,7,12,sentence.4
3,81,0.24841783940792084,0.18402732908725739,0.14127495884895325,0.1098412349820137,0.08507273346185684,0.07342283427715302,0.038961172103881836,0.02364455536007881,0.015563623048365116,0.008540487848222256,7,8,15,sentence.4
4,81,0.25332149863243103,0.17714792490005493,0.1366877555847168,0.11624891310930252,0.08167147636413574,0.07733209431171417,0.03930496424436569,0.020674321800470352,0.016813036054372787,0.008031151257455349,7,8,15,sentence.4
5,81,0.27000129222869873,0.17362770438194275,0.12462462484836578,0.11417365074157715,0.0807352215051651,0.07370302081108093,0.03817775100469589,0.01991533674299717,0.015837594866752625,0.009322565980255604,7,9,16,sentence.4
6,81,0.27237486839294434,0.15897823870182037,0.12615329027175903,0.1077679693698883,0.08838800340890884,0.07384903728961945,0.037129320204257965,0.01980753242969513,0.0146629698574543,0.009994269348680973,7,10,18,sentence.4
