layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation
0,1,5,,1.086795449256897,"[[-0.8550974  -0.50732565  0.04363451  0.03610857  0.09067196]
 [-0.49110267  0.84617436 -0.12809348  0.10735965  0.12195585]
 [-0.0182422   0.12753797  0.98974484  0.03304293  0.0521027 ]
 [-0.05059258  0.0603558   0.01092225 -0.9673715   0.24056317]
 [-0.1572713   0.08185999  0.04443007 -0.22421102 -0.95724607]]"
1,2,5,,1.3532705307006836,"[[-0.88396955 -0.4287522  -0.05188025 -0.15422483 -0.09106318]
 [-0.43959323  0.85569745 -0.19762559  0.12294772  0.14271535]
 [-0.12650175  0.17616852  0.97297806 -0.06874318 -0.03937256]
 [ 0.09591006  0.21371509 -0.10412242 -0.89864105 -0.35599157]
 [-0.01241812  0.08511133 -0.02692466  0.38576847 -0.91818273]]"
2,3,5,,1.3648914098739624,"[[ 0.98930854  0.06229506  0.0899794  -0.09637318 -0.00197586]
 [ 0.02832393 -0.94410425  0.31991458 -0.02227023  0.07087756]
 [-0.10086436  0.29614305  0.9285861   0.02704795 -0.19779284]
 [ 0.10043097 -0.03182859 -0.02053698  0.9924364  -0.05957111]
 [-0.01436714  0.12677829  0.16390398  0.06748766  0.97585946]]"
3,4,5,,1.0758665800094604,"[[ 0.9481417  -0.2577213   0.1517989   0.10738657 -0.00568545]
 [ 0.2899284   0.93262005 -0.19302891 -0.04434565  0.08327418]
 [-0.08395775  0.22836612  0.96421045 -0.07741789 -0.07144747]
 [-0.0936131   0.09313319  0.04189949  0.9857872  -0.09503061]
 [ 0.03400836  0.05454032 -0.09077231 -0.09344326 -0.9893925 ]]"
4,5,5,,1.311208724975586,"[[ 0.9929087  -0.08613765  0.04864348  0.06427071  0.01468649]
 [ 0.09819768  0.9333666  -0.3311091   0.00676532 -0.0974935 ]
 [-0.02214522  0.33074775  0.9389394   0.08364279 -0.03888641]
 [-0.06243682 -0.03582139 -0.0799397   0.9920375  -0.06549625]
 [ 0.01003744 -0.10358476  0.00173266 -0.06847651 -0.99220836]]"
5,6,5,,1.1357876062393188,"[[ 0.99589247 -0.01403692  0.00259861 -0.0891557   0.00675894]
 [ 0.01619912  0.9952837  -0.04643439  0.01668333 -0.08193556]
 [ 0.011659    0.04076791  0.9872454   0.15021132 -0.03138595]
 [ 0.0873793  -0.04120775 -0.15222098  0.9628658  -0.20096023]
 [ 0.01283446  0.07650622 -0.0035125   0.20518036  0.9756386 ]]"
6,7,5,,1.1495556831359863,"[[ 9.9223471e-01  9.9145651e-02  6.0428027e-02  1.4580041e-02
   4.2146485e-02]
 [-8.0907248e-02  9.7299504e-01 -1.7094299e-01 -2.8001243e-02
  -1.2934104e-01]
 [-6.5337673e-02  1.4060043e-01  9.7056329e-01  6.1593938e-04
  -1.8430644e-01]
 [-2.5739279e-02  4.6578575e-02  1.5825301e-02  9.8978651e-01
   1.3130198e-01]
 [-6.3188724e-02  1.4667222e-01  1.5774430e-01 -1.3901691e-01
   9.6451312e-01]]"
7,8,5,,1.2112812995910645,"[[ 9.93289948e-01 -1.03736743e-01  9.61290963e-04  4.20093425e-02
   2.91225538e-02]
 [ 1.06913708e-01  9.90400493e-01 -1.44704040e-02 -8.61918032e-02
   6.15941361e-03]
 [ 2.99671339e-03  3.58003099e-03  9.91802335e-01 -1.18203305e-01
   4.83134910e-02]
 [-3.64777036e-02  8.97112340e-02  1.09062120e-01  9.77959812e-01
   1.49403691e-01]
 [-2.45966725e-02 -1.68722011e-02 -6.49859011e-02 -1.42929688e-01
   9.87146497e-01]]"
8,9,5,,1.4325135946273804,"[[ 0.9792511  -0.12822571 -0.04038451 -0.00742967  0.15145752]
 [ 0.09599308  0.935652   -0.3290332  -0.01301347  0.08311745]
 [ 0.0488218  -0.0158987  -0.14951669  0.93302715 -0.32321623]
 [-0.17110316 -0.23230673 -0.5210432   0.19172792  0.7800717 ]
 [ 0.01388406 -0.23215148 -0.77218205 -0.30409893 -0.50712097]]"
9,10,5,,1.2494356632232666,"[[ 0.7787733   0.33673805  0.52386147  0.06697751  0.03468213]
 [-0.3652105  -0.43814972  0.8132179   0.1087628  -0.03864514]
 [-0.5074785   0.83154976  0.2238749  -0.02930006 -0.00348129]
 [-0.02533806  0.05113983 -0.11856399  0.990104   -0.0487776 ]
 [-0.04423841 -0.02328114  0.00827545  0.05020103  0.99745286]]"
10,11,5,,1.565604329109192,"[[-0.8679341   0.47806534  0.11988328  0.05992267  0.01345951]
 [ 0.36019254  0.79195356 -0.4596155  -0.16833375 -0.05906117]
 [ 0.29996553  0.33876044  0.8562772  -0.01512084 -0.24864164]
 [ 0.12019875  0.11285777 -0.07094459  0.9837446  -0.00537339]
 [ 0.11191362  0.12948953  0.19009921 -0.00953993  0.9666846 ]]"
