layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,5,,0.3411239683628082,0.39697790145874023,[0.29494756 0.31126675 0.34527487 0.3571528  0.3969779 ],0
1,2,5,,0.35374051332473755,0.41294345259666443,[0.31658033 0.33560008 0.34700587 0.35657284 0.41294345],0
2,3,5,,0.3710222840309143,0.45670127868652344,[0.3112535  0.33353782 0.36264515 0.39097354 0.45670128],0
3,4,5,,0.33816924691200256,0.4067898392677307,[0.27312946 0.3078248  0.3424675  0.36063465 0.40678984],0
4,5,5,,0.33973297476768494,0.40692418813705444,[0.29776007 0.3197497  0.3279902  0.34624058 0.4069242 ],0
5,6,5,,0.35412150621414185,0.41897448897361755,[0.31830847 0.32535073 0.33105764 0.37691614 0.4189745 ],0
6,7,5,,0.34537363052368164,0.3942107856273651,[0.30039904 0.315202   0.34122765 0.37582862 0.3942108 ],0
7,8,5,,0.35124772787094116,0.3955083191394806,[0.29930693 0.33788007 0.34638405 0.3771593  0.39550832],0
8,9,5,,0.3530626893043518,0.40363338589668274,[0.30577502 0.3181012  0.34627375 0.39152998 0.4036334 ],0
9,10,5,,0.37640509009361267,0.4350832402706146,[0.3225139  0.3457013  0.38248977 0.39623728 0.43508324],0
10,11,5,,0.462636798620224,0.6642258763313293,[0.34632102 0.3526021  0.41051695 0.539518   0.6642259 ],0
0,1,5,,0.34344321489334106,0.3997526168823242,[0.29267824 0.31286466 0.3527781  0.3591424  0.39975262],1
1,2,5,,0.3531637489795685,0.41976261138916016,[0.30974844 0.32710278 0.35008985 0.3591151  0.4197626 ],1
2,3,5,,0.36452582478523254,0.4353958070278168,[0.3139896  0.32996094 0.355482   0.38780066 0.4353958 ],1
3,4,5,,0.3348235487937927,0.4080374836921692,[0.2705843  0.31311515 0.3329695  0.34941128 0.40803748],1
4,5,5,,0.3336423933506012,0.39369744062423706,[0.29436076 0.3109628  0.32890302 0.34028792 0.39369744],1
5,6,5,,0.3452723026275635,0.40607911348342896,[0.3094311  0.32262766 0.326889   0.36133468 0.4060791 ],1
6,7,5,,0.3326653242111206,0.3949722349643707,[0.28006247 0.29863912 0.32324165 0.3664111  0.39497223],1
7,8,5,,0.3371191620826721,0.37818360328674316,[0.28601158 0.31827742 0.34062496 0.36249825 0.3781836 ],1
8,9,5,,0.35216349363327026,0.40044093132019043,[0.30235383 0.31404614 0.34539196 0.39858446 0.40044093],1
9,10,5,,0.3749393820762634,0.46038320660591125,[0.30413386 0.33153224 0.37197542 0.40667215 0.4603832 ],1
10,11,5,,0.47136983275413513,0.6749103665351868,[0.33092391 0.34666553 0.42567164 0.5786779  0.67491037],1
0,1,5,,0.34040895104408264,0.39607200026512146,[0.2948565  0.3097011  0.34529722 0.35611784 0.396072  ],2
1,2,5,,0.35496750473976135,0.415903240442276,[0.31608003 0.33436647 0.34914374 0.35934398 0.41590324],2
2,3,5,,0.3723161220550537,0.46062302589416504,[0.30986536 0.33868274 0.36115795 0.39125153 0.46062303],2
3,4,5,,0.3361932337284088,0.4027118384838104,[0.2715775  0.30707538 0.33966735 0.35993403 0.40271184],2
4,5,5,,0.3392138183116913,0.4126165807247162,[0.29548    0.3193993  0.32470566 0.34386748 0.41261658],2
5,6,5,,0.3514726758003235,0.4115915596485138,[0.31753853 0.32752252 0.3279815  0.37272924 0.41159156],2
6,7,5,,0.34614282846450806,0.3990703821182251,[0.30240947 0.31327748 0.33964157 0.37631536 0.39907038],2
7,8,5,,0.3512861132621765,0.3964921832084656,[0.2985662  0.33760452 0.34787887 0.3758887  0.39649218],2
8,9,5,,0.35209718346595764,0.3997141718864441,[0.30723506 0.3171603  0.34835345 0.38802284 0.39971417],2
9,10,5,,0.3750922381877899,0.4387439489364624,[0.3203838  0.34325397 0.3770502  0.39602935 0.43874395],2
10,11,5,,0.45758256316185,0.6731580495834351,[0.33647114 0.34841752 0.39494544 0.5349208  0.67315805],2
0,1,5,,0.3411993384361267,0.3960985839366913,[0.29376006 0.31235787 0.3454622  0.35831782 0.39609858],3
1,2,5,,0.3529755175113678,0.41366395354270935,[0.31387514 0.33504292 0.34802344 0.35427216 0.41366395],3
2,3,5,,0.3684936463832855,0.4493653178215027,[0.3107728  0.32901224 0.3606941  0.3926236  0.44936532],3
3,4,5,,0.33828479051589966,0.40908631682395935,[0.2763632  0.30799353 0.3403267  0.3576542  0.40908632],3
4,5,5,,0.3389672636985779,0.4001729488372803,[0.30259693 0.31734738 0.32822585 0.3464932  0.40017295],3
5,6,5,,0.35549741983413696,0.4184669554233551,[0.32053745 0.32879007 0.3326285  0.37706414 0.41846696],3
6,7,5,,0.34732717275619507,0.3967868685722351,[0.30238825 0.31576562 0.34367347 0.37802166 0.39678687],3
7,8,5,,0.35537952184677124,0.3980545997619629,[0.304408   0.34204444 0.34967566 0.3827149  0.3980546 ],3
8,9,5,,0.3567425310611725,0.4050396978855133,[0.3084696  0.3208411  0.35273102 0.3966312  0.4050397 ],3
9,10,5,,0.3758775293827057,0.43384888768196106,[0.31926906 0.34374014 0.38333735 0.39919218 0.4338489 ],3
10,11,5,,0.45650213956832886,0.6606876254081726,[0.3430281  0.35482192 0.40166223 0.522311   0.6606876 ],3
0,1,5,,0.3403063118457794,0.39669740200042725,[0.29043627 0.3107114  0.34634155 0.3573449  0.3966974 ],4
1,2,5,,0.35284024477005005,0.41700848937034607,[0.31110457 0.3339481  0.34659958 0.3555404  0.4170085 ],4
2,3,5,,0.36088648438453674,0.4348260760307312,[0.30830464 0.32321706 0.35590187 0.38218272 0.43482608],4
3,4,5,,0.3308013081550598,0.4007582366466522,[0.26894245 0.30699667 0.33287886 0.3444303  0.40075824],4
4,5,5,,0.33108752965927124,0.38849925994873047,[0.29557702 0.31215957 0.32226956 0.3369323  0.38849926],4
5,6,5,,0.34779393672943115,0.4167754650115967,[0.3119198  0.32481065 0.32608968 0.35937414 0.41677547],4
6,7,5,,0.3353537917137146,0.3849756419658661,[0.2867035  0.30197346 0.33157948 0.37153682 0.38497564],4
7,8,5,,0.3430120050907135,0.3897104859352112,[0.29334542 0.32870865 0.33775744 0.365538   0.3897105 ],4
8,9,5,,0.35516688227653503,0.41036322712898254,[0.309325   0.31049025 0.34904513 0.39661086 0.41036323],4
9,10,5,,0.37570786476135254,0.4495694637298584,[0.31060436 0.33908096 0.3778105  0.40147406 0.44956946],4
10,11,5,,0.4857596457004547,0.7475963234901428,[0.3384681  0.3512042  0.42958483 0.5619447  0.7475963 ],4
0,1,5,,0.34180521965026855,0.39715224504470825,[0.29455915 0.31129438 0.34928086 0.35673946 0.39715225],5
1,2,5,,0.3532903492450714,0.41479745507240295,[0.31310162 0.32844746 0.35246262 0.35764247 0.41479746],5
2,3,5,,0.3677186369895935,0.4438859820365906,[0.31414664 0.33805823 0.3556392  0.38686317 0.44388598],5
3,4,5,,0.33405670523643494,0.4054267406463623,[0.2689373  0.31045005 0.3293996  0.35606998 0.40542674],5
4,5,5,,0.3345046639442444,0.40218591690063477,[0.29680106 0.30859345 0.32313412 0.34180874 0.40218592],5
5,6,5,,0.3434111475944519,0.402474969625473,[0.30677944 0.3191243  0.3281711  0.36050594 0.40247497],5
6,7,5,,0.3379667401313782,0.3955100178718567,[0.28746256 0.3018492  0.3323931  0.3726189  0.39551002],5
7,8,5,,0.3398010730743408,0.3825075030326843,[0.28764373 0.3207504  0.34136942 0.3667342  0.3825075 ],5
8,9,5,,0.35139864683151245,0.40018826723098755,[0.3030033  0.31876734 0.3461717  0.38886276 0.40018827],5
9,10,5,,0.3744978904724121,0.45864981412887573,[0.30231157 0.33535457 0.37018114 0.40599233 0.4586498 ],5
10,11,5,,0.46640777587890625,0.6748674511909485,[0.33321324 0.34263358 0.40477583 0.57654876 0.67486745],5
0,1,5,,0.3413546085357666,0.3947601020336151,[0.29815233 0.31018636 0.34602305 0.35765114 0.3947601 ],6
1,2,5,,0.35778170824050903,0.4186389744281769,[0.31829858 0.33638918 0.35350126 0.3620807  0.41863897],6
2,3,5,,0.38155415654182434,0.47701576352119446,[0.3150189  0.3505926  0.3685804  0.39656317 0.47701576],6
3,4,5,,0.3418830335140228,0.40577569603919983,[0.27550516 0.3125089  0.34473503 0.3708904  0.4057757 ],6
4,5,5,,0.34618011116981506,0.4281649887561798,[0.30056477 0.3232214  0.32689586 0.35205352 0.428165  ],6
5,6,5,,0.3550540506839752,0.40971702337265015,[0.3198212  0.32992306 0.33263034 0.3831786  0.40971702],6
6,7,5,,0.3498401939868927,0.40384700894355774,[0.30664185 0.31887192 0.34321892 0.37662128 0.403847  ],6
7,8,5,,0.3537675738334656,0.3993585407733917,[0.29772392 0.3394218  0.35412264 0.37821087 0.39935854],6
8,9,5,,0.3542114794254303,0.4036414325237274,[0.31202486 0.3233696  0.35137063 0.3806508  0.40364143],6
9,10,5,,0.37709856033325195,0.43985068798065186,[0.32612687 0.34194472 0.37827963 0.39929092 0.4398507 ],6
10,11,5,,0.4547540545463562,0.6891149282455444,[0.3333304 0.3383744 0.3957754 0.5171752 0.6891149],6
0,1,5,,0.3407978415489197,0.39499035477638245,[0.29521093 0.31089985 0.34581685 0.35707113 0.39499035],7
1,2,5,,0.3524828553199768,0.4117847681045532,[0.3138228  0.330357   0.35124126 0.35520858 0.41178477],7
2,3,5,,0.37258967757225037,0.4600595235824585,[0.31206563 0.33948302 0.36063957 0.39070067 0.46005952],7
3,4,5,,0.3377811312675476,0.40533801913261414,[0.27383786 0.3082995  0.33872724 0.3627031  0.40533802],7
4,5,5,,0.3416770398616791,0.4114474654197693,[0.304848   0.31550658 0.3292022  0.34738111 0.41144747],7
5,6,5,,0.3531237244606018,0.41398516297340393,[0.3150724  0.32420534 0.33342746 0.37892836 0.41398516],7
6,7,5,,0.3485873341560364,0.40647292137145996,[0.30323374 0.3132624  0.3437628  0.37620473 0.40647292],7
7,8,5,,0.3514166474342346,0.3929275870323181,[0.29810953 0.33647728 0.349401   0.38016775 0.3929276 ],7
8,9,5,,0.3535770773887634,0.4033575654029846,[0.30940372 0.3175853  0.35273498 0.38480386 0.40335757],7
9,10,5,,0.3749583959579468,0.44070056080818176,[0.31642175 0.33919886 0.37945893 0.39901194 0.44070056],7
10,11,5,,0.4687187075614929,0.7350451350212097,[0.33750138 0.34343103 0.40266395 0.52495205 0.73504514],7
0,1,5,,0.34205812215805054,0.397220641374588,[0.29616576 0.31081703 0.34755772 0.3585295  0.39722064],8
1,2,5,,0.3552631735801697,0.4168355464935303,[0.315613   0.33210328 0.35075256 0.3610115  0.41683555],8
2,3,5,,0.3747560381889343,0.46782582998275757,[0.31149903 0.34096324 0.36199215 0.39149997 0.46782583],8
3,4,5,,0.3393550217151642,0.4018394947052002,[0.27318513 0.31401855 0.3485856  0.3591463  0.4018395 ],8
4,5,5,,0.3440348505973816,0.4117945730686188,[0.30132303 0.3223689  0.33461177 0.35007593 0.41179457],8
5,6,5,,0.35639524459838867,0.4161694645881653,[0.3193564  0.3288746  0.33406138 0.38351437 0.41616946],8
6,7,5,,0.35026949644088745,0.4091077446937561,[0.30536845 0.3165447  0.3436349  0.3766918  0.40910774],8
7,8,5,,0.35337740182876587,0.39247214794158936,[0.2991757  0.34121823 0.35271135 0.38130963 0.39247215],8
8,9,5,,0.3540709912776947,0.4014754295349121,[0.30898118 0.31918454 0.35435513 0.38635874 0.40147543],8
9,10,5,,0.37695661187171936,0.4353060722351074,[0.32636586 0.3458617  0.37906516 0.39818436 0.43530607],8
10,11,5,,0.47642460465431213,0.753203272819519,[0.33064866 0.3551808  0.40585512 0.537235   0.7532033 ],8
0,1,5,,0.3403790295124054,0.39608946442604065,[0.2951804  0.30973202 0.34500214 0.35589108 0.39608946],9
1,2,5,,0.35315707325935364,0.41150572896003723,[0.3158155  0.33289033 0.34906465 0.35650915 0.41150573],9
2,3,5,,0.3697652518749237,0.460791677236557,[0.30871823 0.3364215  0.35619545 0.38669947 0.46079168],9
3,4,5,,0.3343745768070221,0.401406466960907,[0.26833567 0.30811462 0.33751488 0.35650128 0.40140647],9
4,5,5,,0.3370828628540039,0.40422606468200684,[0.296246   0.3190603  0.32320768 0.34267437 0.40422606],9
5,6,5,,0.3504709303379059,0.41295281052589417,[0.3167585  0.32323885 0.32876956 0.37063494 0.4129528 ],9
6,7,5,,0.3453509211540222,0.397367000579834,[0.30051947 0.31116903 0.3432391  0.37446007 0.397367  ],9
7,8,5,,0.3494507670402527,0.39314591884613037,[0.296809   0.33603778 0.34617928 0.3750819  0.39314592],9
8,9,5,,0.35183149576187134,0.3974356949329376,[0.30749965 0.31553617 0.34762824 0.39105782 0.3974357 ],9
9,10,5,,0.37428349256515503,0.43710362911224365,[0.31791437 0.34542647 0.37603205 0.39494094 0.43710363],9
10,11,5,,0.4662470817565918,0.6875640153884888,[0.34163743 0.35660735 0.40214664 0.5432801  0.687564  ],9
0,1,5,,0.3398452699184418,0.39546701312065125,[0.29406294 0.3094785  0.34446862 0.35574925 0.395467  ],10
1,2,5,,0.3542540669441223,0.4145497977733612,[0.3159341  0.3338299  0.34882057 0.3581359  0.4145498 ],10
2,3,5,,0.36956876516342163,0.45601892471313477,[0.30820346 0.33625805 0.3594182  0.38794518 0.45601892],10
3,4,5,,0.3327309489250183,0.3998458683490753,[0.26936227 0.3042483  0.3343309  0.35586748 0.39984587],10
4,5,5,,0.33650365471839905,0.40686649084091187,[0.29656658 0.31654185 0.321928   0.3406153  0.4068665 ],10
5,6,5,,0.3488380014896393,0.4099906086921692,[0.31450754 0.32412133 0.3284523  0.36711836 0.4099906 ],10
6,7,5,,0.34464284777641296,0.39782050251960754,[0.29930532 0.30958298 0.34005606 0.37644947 0.3978205 ],10
