layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,6,0.9,0.3393312990665436,0.3828476667404175,[0.29427385 0.3088918  0.33807063 0.3520729  0.35983095 0.38284767],0
1,2,6,0.9,0.3606736361980438,0.45459774136543274,[0.29972005 0.32248214 0.3465229  0.34926257 0.39145625 0.45459774],0
2,3,6,0.9,0.3677855432033539,0.43401771783828735,[0.30723643 0.31458652 0.34515208 0.39043733 0.41528317 0.43401772],0
3,4,6,0.9,0.3393270969390869,0.4082450270652771,[0.26844177 0.29253545 0.3399833  0.3524274  0.3743295  0.40824503],0
4,5,6,0.9,0.33569052815437317,0.40083032846450806,[0.29696038 0.30379534 0.31987315 0.34173012 0.3509541  0.40083033],0
5,6,6,0.9,0.3412667214870453,0.3925882577896118,[0.28721544 0.30515683 0.32722205 0.35809425 0.3773232  0.39258826],0
6,7,6,0.9,0.3460787832736969,0.41666901111602783,[0.2984221  0.30033374 0.33448    0.35208118 0.37448663 0.416669  ],0
7,8,6,0.9,0.3488497734069824,0.4069797396659851,[0.29053697 0.31978935 0.34388143 0.35526428 0.37664688 0.40697974],0
8,9,7,0.9,0.35190096497535706,0.41915056109428406,"[0.304958   0.3109998  0.3256253  0.3462634  0.36599445 0.39031503
 0.41915056]",0
9,10,7,0.9,0.3822227120399475,0.5182485580444336,"[0.31424385 0.3396346  0.3507878  0.36160046 0.37587848 0.41516528
 0.51824856]",0
10,11,7,0.9,0.501160740852356,1.112097144126892,"[0.32666022 0.34667397 0.35158393 0.39109644 0.42772406 0.55228966
 1.1120971 ]",0
0,1,6,0.9,0.3409059941768646,0.3891769051551819,[0.29188886 0.3101547  0.3407129  0.35230407 0.36119843 0.3891769 ],1
1,2,6,0.9,0.3587883710861206,0.4448745548725128,[0.2903351  0.3207742  0.34735116 0.34998068 0.39941448 0.44487455],1
2,3,6,0.9,0.36714157462120056,0.4281476140022278,[0.30595395 0.3195515  0.3500634  0.38464585 0.41448703 0.4281476 ],1
3,4,6,0.9,0.3346942663192749,0.4034951329231262,[0.26218492 0.2924168  0.33115333 0.34214395 0.37677148 0.40349513],1
4,5,6,0.9,0.32966679334640503,0.399959921836853,[0.2866915  0.30226934 0.30782124 0.33796674 0.34329206 0.39995992],1
5,6,6,0.9,0.3340553939342499,0.3830995261669159,[0.28703338 0.29972166 0.31991276 0.34690616 0.36765867 0.38309953],1
6,7,6,0.9,0.33811402320861816,0.422396183013916,[0.27863336 0.2872897  0.3185076  0.3534477  0.36840948 0.42239618],1
7,8,7,0.9,0.33876127004623413,0.40662214159965515,"[0.2719124  0.3049806  0.32416812 0.34131885 0.3482516  0.37407514
 0.40662214]",1
8,9,7,0.9,0.34789350628852844,0.4088769257068634,"[0.29329118 0.30453786 0.31926394 0.3469007  0.36919963 0.39318436
 0.40887693]",1
9,10,8,0.9,0.4352494180202484,0.8566855788230896,"[0.29271007 0.32556215 0.34697187 0.36379048 0.36909062 0.42075282
 0.5064316  0.8566856 ]",1
10,11,8,0.9,0.5017773509025574,1.0411711931228638,"[0.30618185 0.31040263 0.33029357 0.37430423 0.42112797 0.48068255
 0.7500548  1.0411712 ]",1
0,1,6,0.9,0.3385474979877472,0.3830258548259735,[0.2939959  0.30708247 0.3375768  0.3501491  0.359455   0.38302585],2
1,2,6,0.9,0.3620564043521881,0.4561021625995636,[0.29769912 0.32439557 0.34741035 0.35273963 0.39399177 0.45610216],2
2,3,6,0.9,0.36807510256767273,0.4365851879119873,[0.30413625 0.3167566  0.3461248  0.39006883 0.41477895 0.4365852 ],2
3,4,6,0.9,0.33751794695854187,0.4046271741390228,[0.267485   0.29217312 0.336141   0.3523856  0.37229592 0.40462717],2
4,5,6,0.9,0.33473947644233704,0.4060653746128082,[0.2942058  0.3008282  0.3194344  0.33912253 0.34878048 0.40606537],2
5,6,6,0.9,0.34019675850868225,0.39124011993408203,[0.28650784 0.30528954 0.32675216 0.35837305 0.37301803 0.39124012],2
6,7,6,0.9,0.34645166993141174,0.41854822635650635,[0.29820183 0.30142605 0.33313048 0.352397   0.37500674 0.41854823],2
7,8,7,0.9,0.35076794028282166,0.415874183177948,"[0.2821669  0.3191511  0.34412605 0.35174087 0.3611652  0.38115135
 0.41587418]",2
8,9,7,0.9,0.3522617816925049,0.42015746235847473,"[0.30619094 0.31141636 0.32424462 0.34754232 0.36994267 0.38633817
 0.42015746]",2
9,10,8,0.9,0.3929470181465149,0.532394289970398,"[0.30914423 0.33737302 0.34827572 0.3610044  0.3681603  0.41300777
 0.4742164  0.5323943 ]",2
10,11,8,0.9,0.4712887704372406,0.9573295712471008,"[0.3055706  0.31555095 0.34815082 0.35632226 0.38328972 0.43136054
 0.6727356  0.9573296 ]",2
0,1,6,0.9,0.33962368965148926,0.3837616741657257,[0.29314333 0.31013402 0.33811808 0.35198906 0.36059597 0.38376167],3
1,2,6,0.9,0.3597981929779053,0.4537931978702545,[0.297128   0.32218128 0.34527293 0.3495389  0.39087483 0.4537932 ],3
2,3,6,0.9,0.3671289384365082,0.43205657601356506,[0.30437243 0.31414124 0.34459692 0.3923166  0.41528967 0.43205658],3
3,4,6,0.9,0.33962681889533997,0.4121025800704956,[0.27036545 0.29149112 0.33861402 0.34904233 0.3761455  0.41210258],3
4,5,6,0.9,0.3361894190311432,0.397786945104599,[0.3019887  0.30496594 0.31661135 0.34383157 0.35195222 0.39778695],3
5,6,6,0.9,0.34248194098472595,0.3916128873825073,[0.28703338 0.3075894  0.32702726 0.36374158 0.37788695 0.3916129 ],3
6,7,6,0.9,0.34922313690185547,0.4212839603424072,[0.3020438  0.30269912 0.33714786 0.35621664 0.37594733 0.42128396],3
7,8,6,0.9,0.3525342643260956,0.40710756182670593,[0.29578155 0.3254585  0.34503615 0.35859695 0.383225   0.40710756],3
8,9,7,0.9,0.35669150948524475,0.4278428852558136,"[0.30617985 0.31451604 0.3279606  0.3545425  0.37072098 0.39507756
 0.4278429 ]",3
9,10,7,0.9,0.3807412087917328,0.5048831105232239,"[0.31382647 0.33937365 0.35627136 0.361377   0.37600642 0.4134504
 0.5048831 ]",3
10,11,7,0.9,0.49171262979507446,1.0869587659835815,"[0.31551448 0.34182402 0.34770608 0.38762978 0.4277209  0.5346344
 1.0869588 ]",3
0,1,6,0.9,0.3385032117366791,0.38473081588745117,[0.28979722 0.30825377 0.33770564 0.35047197 0.36005992 0.38473082],4
1,2,6,0.9,0.35886552929878235,0.44874143600463867,[0.29520538 0.32102364 0.3450515  0.34962434 0.39354685 0.44874144],4
2,3,6,0.9,0.3632220923900604,0.42697134613990784,[0.30044776 0.3150812  0.34406897 0.38003844 0.41272476 0.42697135],4
3,4,6,0.9,0.33232688903808594,0.4045105576515198,[0.26210532 0.2886501  0.3320702  0.33633465 0.37029037 0.40451056],4
4,5,6,0.9,0.32777833938598633,0.3896063268184662,[0.28991672 0.30021122 0.31007326 0.33574936 0.34111312 0.38960633],4
5,6,6,0.9,0.33323538303375244,0.38460707664489746,[0.2830569  0.29691455 0.32004598 0.34697083 0.367817   0.38460708],4
6,7,6,0.9,0.34041765332221985,0.4166455864906311,[0.28580508 0.29301625 0.32436547 0.35112274 0.3715508  0.4166456 ],4
7,8,7,0.9,0.3421737551689148,0.41400012373924255,"[0.2800243  0.30984718 0.3285559  0.3417079  0.348351   0.3727299
 0.41400012]",4
8,9,7,0.9,0.3512779176235199,0.4140247404575348,"[0.2982913  0.30578905 0.32125515 0.35056448 0.36838698 0.40063384
 0.41402474]",4
9,10,8,0.9,0.40705206990242004,0.601771354675293,"[0.29906002 0.33604193 0.35298508 0.35977188 0.36743838 0.42360324
 0.51574475 0.60177135]",4
10,11,8,0.9,0.505866527557373,1.082936406135559,"[0.30815512 0.32538673 0.33960113 0.3725773  0.41537094 0.46834132
 0.7345633  1.0829364 ]",4
0,1,6,0.9,0.3396301567554474,0.386392742395401,[0.29376274 0.3084802  0.33844602 0.3489864  0.36171284 0.38639274],5
1,2,6,0.9,0.3598976135253906,0.4457128643989563,[0.29511687 0.32048976 0.34670168 0.35235193 0.39901242 0.44571286],5
2,3,6,0.9,0.3669936954975128,0.43105366826057434,[0.30780512 0.3165225  0.34824532 0.3854696  0.41286606 0.43105367],5
3,4,6,0.9,0.33498409390449524,0.4035947024822235,[0.262284   0.2924784  0.32919002 0.34156626 0.38079116 0.4035947 ],5
4,5,6,0.9,0.3312802016735077,0.4027653634548187,[0.28630552 0.30516952 0.3080419  0.33931616 0.3460828  0.40276536],5
5,6,6,0.9,0.3338398039340973,0.3783791959285736,[0.28730506 0.29807034 0.3163137  0.35244778 0.3705227  0.3783792 ],5
6,7,6,0.9,0.3435854911804199,0.4242532551288605,[0.2839091  0.29292294 0.32826376 0.35900363 0.3731603  0.42425326],5
7,8,6,0.9,0.3386349380016327,0.39898449182510376,[0.2779712  0.31310782 0.32612073 0.34916833 0.36645716 0.3989845 ],5
8,9,7,0.9,0.34954696893692017,0.411150187253952,"[0.29797068 0.31289235 0.3230793  0.3479717  0.37016648 0.383598
 0.4111502 ]",5
9,10,7,0.9,0.3787984251976013,0.5182966589927673,"[0.29145896 0.33403265 0.34448892 0.36436912 0.37745827 0.4214842
 0.51829666]",5
10,11,7,0.9,0.4980354905128479,1.1134307384490967,"[0.30715445 0.32697642 0.34179184 0.3664121  0.42254663 0.6079363
 1.1134307 ]",5
0,1,6,0.9,0.33961185812950134,0.38282883167266846,[0.29707137 0.30772603 0.33717418 0.35051328 0.36235756 0.38282883],6
1,2,6,0.9,0.36489924788475037,0.45713508129119873,[0.29926872 0.3300211  0.34792346 0.35579595 0.39925107 0.45713508],6
2,3,6,0.9,0.3730565011501312,0.443026065826416,[0.30888474 0.32100192 0.35314366 0.39516225 0.4171203  0.44302607],6
3,4,6,0.9,0.34250667691230774,0.40486055612564087,[0.2726263  0.2961153  0.34306654 0.3606779  0.37769368 0.40486056],6
4,5,6,0.9,0.34057721495628357,0.4186250567436218,[0.29757777 0.30454302 0.32224584 0.345641   0.35483047 0.41862506],6
5,6,6,0.9,0.34534040093421936,0.3939279615879059,[0.29237318 0.31196097 0.3294346  0.36224335 0.3821023  0.39392796],6
6,7,6,0.9,0.34913381934165955,0.4207215905189514,[0.2981998  0.30507153 0.33864272 0.35664985 0.37551737 0.4207216 ],6
7,8,6,0.9,0.35302361845970154,0.40988412499427795,[0.2904369  0.3264341  0.35081604 0.36327922 0.37729135 0.40988412],6
8,9,7,0.9,0.35344403982162476,0.420930951833725,"[0.3092547  0.31943232 0.32732663 0.35035634 0.3671992  0.37960806
 0.42093095]",6
9,10,7,0.9,0.38559430837631226,0.5248520970344543,"[0.31741306 0.33625516 0.35311642 0.370021   0.3774528  0.4200496
 0.5248521 ]",6
10,11,7,0.9,0.48101043701171875,1.0476198196411133,"[0.3138562  0.33076447 0.35053706 0.37750065 0.4171715  0.52962345
 1.0476198 ]",6
0,1,6,0.9,0.33888426423072815,0.3828253149986267,[0.29444623 0.30819246 0.3379716  0.3493747  0.36049545 0.38282531],7
1,2,6,0.9,0.35956165194511414,0.45178696513175964,[0.29579034 0.32005942 0.34520054 0.35140163 0.39313114 0.45178697],7
2,3,6,0.9,0.36854514479637146,0.43859365582466125,[0.30765498 0.31537881 0.34536538 0.3899525  0.41432554 0.43859366],7
3,4,6,0.9,0.3387281000614166,0.40559762716293335,[0.26898462 0.2910893  0.3379022  0.34830105 0.38049403 0.40559763],7
4,5,6,0.9,0.3384416103363037,0.40882056951522827,[0.30293277 0.30608195 0.31424    0.34387508 0.3546994  0.40882057],7
