layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,boot_id
0,90,0.26422905921936035,0.2200813889503479,0.18958507478237152,0.11953973025083542,0.08951741456985474,0.0597401037812233,0.03006133623421192,0.019262967631220818,0.0010033190483227372,0.0007514863973483443,5,6,7,0
1,90,0.2544519007205963,0.22634227573871613,0.18886210024356842,0.12158479541540146,0.08995990455150604,0.0592837929725647,0.031617049127817154,0.019020866602659225,0.0011780423810705543,0.0009073444525711238,5,6,7,0
2,90,0.25180909037590027,0.22573548555374146,0.1864168345928192,0.11499768495559692,0.08842725306749344,0.0638294443488121,0.03146301954984665,0.018923206254839897,0.002315438585355878,0.0019188091391697526,5,6,7,0
3,90,0.24731014668941498,0.22110672295093536,0.1850007325410843,0.11334916949272156,0.08883770555257797,0.06560035794973373,0.03107314743101597,0.018764575943350792,0.00384265324100852,0.003084424417465925,5,6,7,0
4,90,0.25185683369636536,0.22838646173477173,0.17200013995170593,0.11035523563623428,0.0845770612359047,0.0661943331360817,0.030515873804688454,0.017650984227657318,0.005307759158313274,0.004063268657773733,6,6,8,0
5,90,0.25395509600639343,0.232954740524292,0.16900759935379028,0.10553090274333954,0.08732453733682632,0.06201745569705963,0.028665529564023018,0.016743669286370277,0.005646527744829655,0.004329549614340067,6,6,8,0
6,90,0.2609005272388458,0.2310929298400879,0.16965873539447784,0.10269655287265778,0.08703011274337769,0.05856137350201607,0.025408968329429626,0.016202090308070183,0.0060820444487035275,0.005088335834443569,5,6,8,0
7,90,0.2631538510322571,0.21805429458618164,0.17471520602703094,0.10118069499731064,0.0891151949763298,0.05658158287405968,0.024854572489857674,0.01611151359975338,0.0072488486766815186,0.005826262757182121,6,6,9,0
8,90,0.2618715465068817,0.22008362412452698,0.17407843470573425,0.09794006496667862,0.08898813277482986,0.052827272564172745,0.023996680974960327,0.014991394244134426,0.00820059236139059,0.006342408247292042,6,7,11,0
9,90,0.2846660315990448,0.20676761865615845,0.1633678376674652,0.09432972967624664,0.0826510637998581,0.05102575197815895,0.02380218356847763,0.014787419699132442,0.01048275362700224,0.009086661040782928,6,7,12,0
