layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,5,,0.7630507349967957,"[[ 9.8859406e-01  1.2335234e-02  1.4759657e-01 -8.1759421e-03
   2.6039766e-02]
 [ 9.9519026e-03  9.8877448e-01 -1.4518058e-01 -1.7733969e-02
  -2.8880149e-02]
 [-1.4965883e-01  1.4556812e-01  9.7277880e-01 -6.1281905e-02
   7.9738274e-02]
 [-3.4417136e-04  2.5893236e-02  6.1930746e-02  9.9705160e-01
  -3.7177108e-02]
 [-1.3597656e-02  1.7672006e-02 -8.3689570e-02  4.1848794e-02
   9.9536300e-01]]",0
1,2,5,,0.7899919748306274,"[[ 0.9849811  -0.0704306  -0.15750368 -0.00329503 -0.00578598]
 [ 0.09924993  0.97513014  0.18565194 -0.06839974  0.01119902]
 [ 0.1411526  -0.19641632  0.96737576  0.04069526  0.0634384 ]
 [ 0.00409736  0.0746762  -0.03022582  0.99575907  0.04423704]
 [-0.00456222 -0.00217786 -0.06321649 -0.04602565  0.9969252 ]]",0
2,3,5,,0.8320414423942566,"[[ 0.97558606  0.17621583 -0.11909666  0.04987226  0.02255236]
 [-0.17035016  0.97932625  0.00366957 -0.09500293 -0.0534965 ]
 [ 0.11754152  0.01768949  0.98975205 -0.03114697  0.07274424]
 [-0.06019444  0.08370161  0.03963492  0.99318826 -0.03710619]
 [-0.04211087  0.05048954 -0.067988    0.03307865  0.99496776]]",0
3,4,5,,0.7590445280075073,"[[ 9.97098207e-01  5.80114797e-02 -2.35595331e-02  2.88120471e-02
  -3.23223993e-02]
 [-5.54571636e-02  9.90504026e-01  1.09508045e-01 -3.92775312e-02
  -4.78685573e-02]
 [ 3.10235862e-02 -1.05876721e-01  9.92919147e-01  8.45548697e-04
   4.40292992e-02]
 [-3.07908747e-02  3.77077274e-02  3.89718916e-03  9.98792648e-01
   5.30289765e-03]
 [ 2.84467973e-02  5.38938940e-02 -3.93622853e-02 -6.29932480e-03
   9.97345030e-01]]",0
4,5,5,,0.7602619528770447,"[[ 0.91747946  0.3853004   0.08481823  0.04626984 -0.02097495]
 [-0.38692817  0.9220659  -0.00198851 -0.0054065  -0.00691852]
 [-0.07455124 -0.02970748  0.9923216  -0.09410087 -0.00155485]
 [-0.05313111 -0.01697251  0.08927287  0.9903494  -0.09015218]
 [ 0.01171191  0.01294054  0.01140564  0.09045957  0.9956818 ]]",0
5,6,5,,0.7920677661895752,"[[ 0.9920257   0.10948597  0.06213034  0.00588851  0.00172627]
 [-0.11903188  0.9766834   0.17755486  0.01704036  0.01024075]
 [-0.04094326 -0.18285431  0.9778038  -0.04375626  0.08290368]
 [-0.00593534 -0.02575448  0.04962771  0.99092895 -0.12205883]
 [ 0.00220057  0.0018451  -0.07778727  0.12577808  0.9889999 ]]",0
6,7,5,,0.7722680568695068,"[[ 0.9921898   0.07760131  0.07234134 -0.01305555 -0.06429327]
 [-0.09120812  0.97105855  0.22007929 -0.00963901  0.01409702]
 [-0.04958466 -0.22561267  0.96686536 -0.08505791  0.06765251]
 [ 0.00930339 -0.00871127  0.08427507  0.9960314   0.02562547]
 [ 0.06852146  0.00681939 -0.0663399  -0.02057151  0.9952056 ]]",0
7,8,5,,0.7847004532814026,"[[ 0.9733882  -0.22804996 -0.01701473  0.012795   -0.00744659]
 [ 0.21288793  0.9313331  -0.27614722  0.07778687  0.07063493]
 [-0.07838617 -0.26558265 -0.9600368  -0.03402496  0.02220658]
 [-0.03128181 -0.07427981 -0.01385338  0.99382865 -0.074944  ]
 [-0.00843981 -0.06752969  0.03988291  0.07023067  0.99440706]]",0
8,9,5,,0.7898678779602051,"[[ 9.7093701e-01 -2.1805833e-01 -8.0020510e-02  4.7377884e-02
   3.2922886e-02]
 [ 2.0140660e-01  9.5999169e-01 -1.9152035e-01 -3.4153428e-02
   2.2360666e-03]
 [ 1.1627097e-01  1.7159864e-01  9.7708547e-01  3.2204457e-02
   3.6079902e-02]
 [-6.0033344e-04 -2.5005275e-02 -2.7563802e-03 -6.4069480e-01
   7.6738316e-01]
 [ 5.6545492e-02 -2.8201520e-02  4.7042362e-02 -7.6489347e-01
  -6.3932174e-01]]",0
9,10,5,,0.8409850001335144,"[[ 0.9880755  -0.07492342 -0.12155829  0.0144557   0.05574962]
 [ 0.05285719  0.97815925 -0.19146802 -0.05579264 -0.02525363]
 [ 0.12787351  0.18517634  0.96947736 -0.00339163  0.09726339]
 [-0.00219357  0.05447324  0.00644477  0.9899214  -0.1305451 ]
 [-0.06750251  0.01825763 -0.09292798  0.12931517  0.9847599 ]]",0
10,11,5,,1.0570054054260254,"[[ 0.9677074   0.2500727  -0.01858955 -0.01733563  0.01897274]
 [ 0.19319384 -0.78970337 -0.5807977  -0.02256578 -0.03477984]
 [ 0.16076058 -0.5568612   0.81318814  0.01304477 -0.05115208]
 [ 0.01815416 -0.01676687 -0.0198641   0.98410016  0.17476153]
 [-0.00670772 -0.05879465  0.02567004 -0.17483413  0.9824827 ]]",0
0,1,5,,0.7685014605522156,"[[ 0.9897835  -0.04660177  0.13208371  0.00303505  0.02648411]
 [ 0.05970321  0.9931962  -0.09124903 -0.03246389 -0.02482822]
 [-0.1282314   0.09805217  0.9833157  -0.05089566  0.06665109]
 [-0.00711647  0.03684701  0.0488962   0.9977225  -0.02739824]
 [-0.016433    0.02043438 -0.07019188  0.02993929  0.99673927]]",1
1,2,5,,0.7897834181785583,"[[-0.98408765 -0.06379981 -0.1656497  -0.00473815 -0.00621488]
 [-0.1029161   0.9634263   0.24147367 -0.05297031  0.01013372]
 [-0.14469734 -0.2533428   0.95391566  0.03367886  0.06156977]
 [-0.00509131  0.05955693 -0.02267721  0.99719316  0.03897076]
 [ 0.00404536  0.00312623 -0.06149293 -0.04053823  0.9972709 ]]",1
2,3,5,,0.815981388092041,"[[-0.95794916 -0.2650731   0.0905916  -0.05699811 -0.02478005]
 [-0.25115073  0.95916504  0.08355719 -0.08246364 -0.05606897]
 [ 0.11052389 -0.05739111  0.98856    -0.0495231   0.06919079]
 [-0.06979564  0.06098818  0.06203651  0.9936751  -0.01304663]
 [-0.04658103  0.05220551 -0.06092612  0.01039995  0.9956328 ]]",1
3,4,5,,0.7516021132469177,"[[ 0.99011415  0.13049756 -0.01553453  0.02803414 -0.04021408]
 [-0.13067858  0.9898087   0.02745827 -0.03159171 -0.0380787 ]
 [ 0.02123256 -0.02417858  0.9983219  -0.0262887   0.04033443]
 [-0.03009538  0.02860323  0.02609836  0.9980907   0.03754907]
 [ 0.03522176  0.04297106 -0.04095096 -0.03660451  0.99694335]]",1
4,5,5,,0.7462161183357239,"[[ 0.889711    0.44052482  0.10963184  0.04110455 -0.02536568]
 [-0.44502282  0.89540637  0.00866502  0.0091382  -0.00659652]
 [-0.09058774 -0.0536539   0.9859515  -0.12162701 -0.04496383]
 [-0.04418183 -0.03337083  0.11533763  0.9914901  -0.02406004]
 [ 0.01452021  0.01388822  0.05002758  0.01952152  0.99835485]]",1
5,6,5,,0.7719337344169617,"[[ 9.99606490e-01  1.76924858e-02  1.22819487e-02  4.87157889e-03
   1.72947347e-02]
 [-1.97231360e-02  9.81246352e-01  1.91746503e-01  1.28741245e-04
  -5.74686928e-05]
 [-9.30093136e-03 -1.91166788e-01  9.77386415e-01 -6.84346780e-02
   5.83212338e-02]
 [-3.97165027e-03 -1.42680025e-02  7.19135404e-02  9.93518829e-01
  -8.67722258e-02]
 [-1.71880256e-02  9.71612055e-03 -5.12522645e-02  9.06270742e-02
   9.94369268e-01]]",1
