layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,6,0.9,0.8302990794181824,"[[ 9.8845291e-01  1.2282453e-02  1.4727403e-01 -8.0159064e-03
   2.4667321e-02 -2.1158626e-02]
 [ 1.0018318e-02  9.8879975e-01 -1.4499043e-01 -1.7824436e-02
  -2.8071733e-02  6.8355692e-03]
 [-1.5010999e-01  1.4539769e-01  9.7159618e-01 -6.0710520e-02
   7.4708596e-02 -5.5317890e-02]
 [-1.6712067e-04  2.5959969e-02  6.2380910e-02  9.9683285e-01
  -3.5262164e-02  2.2705814e-02]
 [-1.5011337e-02  1.7138084e-02 -8.7394744e-02  4.3638963e-02
   9.7960293e-01 -1.7411737e-01]
 [ 1.0107415e-02  4.0080622e-03  4.1948061e-02 -1.8767232e-02
   1.7932324e-01  9.8265612e-01]]",0
1,2,6,0.9,0.8867377638816833,"[[ 0.98495674 -0.07017137 -0.15777159 -0.00311797 -0.00567212 -0.00157555]
 [ 0.09903736  0.9746157   0.18606003 -0.06859232  0.01106657 -0.02949757]
 [ 0.14146152 -0.19534303  0.9664608   0.04117887  0.06376296  0.04496446]
 [ 0.00388834  0.07386849 -0.02952605  0.9953808   0.04398443 -0.03064207]
 [-0.00468356 -0.00266579 -0.06279141 -0.04625712  0.9967707  -0.0183474 ]
 [-0.00185819  0.03971916 -0.04035768  0.02582593  0.0171221   0.9979128 ]]",0
2,3,6,0.9,0.9031609296798706,"[[ 0.972739    0.1764636  -0.121962    0.04814852  0.01630222  0.07197747]
 [-0.16936283  0.9792353   0.00468703 -0.09438879 -0.05129607 -0.02918971]
 [ 0.11496704  0.01793718  0.98704267 -0.03278323  0.06693306  0.08156462]
 [-0.06109832  0.08378983  0.03867989  0.99261    -0.03915298  0.03070232]
 [-0.04708075  0.05094728 -0.07311277  0.02998749  0.9838901   0.14458   ]
 [-0.07699444  0.00456007 -0.06331211 -0.03903778 -0.1518232   0.9825825 ]]",0
3,4,6,0.9,0.834778368473053,"[[ 0.99685836  0.05789753 -0.02375884  0.02885556 -0.03221485  0.02205593]
 [-0.05563933  0.9904181   0.10933263 -0.03923203 -0.04778487  0.01414838]
 [ 0.03038144 -0.10617727  0.9921768   0.00107074  0.04433494  0.03770873]
 [-0.03050655  0.03784036  0.00424446  0.99868333  0.00516595 -0.01498207]
 [ 0.02861907  0.05397489 -0.03918159 -0.00635015  0.9972645  -0.01247382]
 [ 0.02247312  0.0100583   0.03891017 -0.0147798  -0.01224713 -0.9987549 ]]",0
4,5,6,0.9,0.8225885629653931,"[[ 0.91748923  0.38526258  0.08496192  0.04610518 -0.02091335  0.00217781]
 [-0.38685662  0.92181313 -0.00101555 -0.00655437 -0.00648586  0.02272476]
 [-0.07483809 -0.02870017  0.9884409  -0.08951486 -0.00328443 -0.09239365]
 [-0.05287664 -0.01785104  0.09266529  0.9863186  -0.08863047  0.08728554]
 [ 0.01163904  0.01318678  0.01045187  0.09159989  0.99525046 -0.02583303]
 [-0.00483667  0.02273801 -0.08407763  0.092755   -0.03362887 -0.99129015]]",0
5,6,6,0.9,0.8367589712142944,"[[ 0.99193287  0.10929433  0.06202071  0.00617715  0.0023517  -0.01528791]
 [-0.1193271   0.975965    0.17707023  0.01833552  0.0128745  -0.03738276]
 [-0.04111064 -0.1833283   0.9774413  -0.04278345  0.08480383 -0.01694046]
 [-0.00530491 -0.02408276  0.05084049  0.9876762  -0.12851442  0.06918684]
 [ 0.00378939  0.00597028 -0.0748424   0.11788798  0.9732555   0.18227635]
 [ 0.00988293  0.03636077  0.03495537 -0.09161501 -0.1699844   0.97983176]]",0
6,7,6,0.9,0.8492165803909302,"[[ 0.99219835  0.07748646  0.07198165 -0.01333646 -0.06414124  0.0080643 ]
 [-0.09115126  0.9708813   0.21964638 -0.01003916  0.01434411  0.02301824]
 [-0.04949776 -0.22601907  0.96575093 -0.08600888  0.06820682  0.04172303]
 [ 0.00939643 -0.00901138  0.08353257  0.9953509   0.0260432   0.03809339]
 [ 0.06846599  0.00694172 -0.06608639 -0.02030748  0.9950302  -0.01997997]
 [ 0.002834    0.0130881   0.05053874  0.03446709 -0.01626391 -0.9979048 ]]",0
7,8,6,0.9,0.8548411726951599,"[[ 0.97336906 -0.22808261 -0.01702307  0.0128363  -0.00745067  0.0045685 ]
 [ 0.21278624  0.9311451  -0.27622864  0.07812258  0.07059333  0.01737882]
 [-0.0781698  -0.2651613  -0.9598064  -0.03491666  0.02232566 -0.02515808]
 [-0.03059001 -0.07292656 -0.01310062  0.9909267  -0.07455445 -0.07797582]
 [-0.00848585 -0.06762109  0.03982912  0.0704353   0.9943792   0.00423234]
 [-0.01250493 -0.02730797 -0.02053123  0.07494023 -0.01069088  0.9964668 ]]",0
8,9,7,0.9,0.9316887855529785,"[[ 9.7088104e-01 -2.1803871e-01 -7.9998054e-02  4.7308259e-02
   3.2917246e-02  2.1891131e-03 -1.1090733e-02]
 [ 2.0126827e-01  9.5986760e-01 -1.9148839e-01 -3.3946957e-02
   2.1720014e-03 -1.3783782e-02 -1.1424505e-02]
 [ 1.1635256e-01  1.7153980e-01  9.7696060e-01  3.2485679e-02
   3.6238711e-02 -1.0487814e-02  1.0277076e-02]
 [-8.3375897e-04 -2.5211679e-02 -2.6706068e-03 -6.4039445e-01
   7.6721460e-01 -1.9088523e-02 -1.6399208e-02]
 [ 5.6679480e-02 -2.8389081e-02  4.6773937e-02 -7.6416349e-01
  -6.3898462e-01 -3.4079891e-02  1.9624641e-02]
 [ 3.7044536e-03  1.4016715e-02  9.4429860e-03 -3.8565252e-02
  -6.9956095e-03  9.9905396e-01 -7.4576437e-03]
 [ 1.0778839e-02  7.0368461e-03 -1.4013990e-02  4.0120077e-03
   2.5100276e-02  7.7851121e-03  9.9946547e-01]]",0
9,10,7,0.9,1.0175814628601074,"[[ 9.87620175e-01 -7.52920657e-02 -1.21106908e-01  1.50709199e-02
   5.48098460e-02 -1.52257374e-02 -2.84175146e-02]
 [ 5.24767339e-02  9.77864802e-01 -1.90971196e-01 -5.49642928e-02
  -2.61200909e-02 -1.75873749e-02 -2.33195983e-02]
 [ 1.27880141e-01  1.85065836e-01  9.68517721e-01 -5.95256826e-03
   9.79113132e-02  4.06886190e-02 -9.63817816e-03]
 [-1.77553238e-03  5.44970483e-02  3.54472641e-03  9.82606590e-01
  -1.28050804e-01  1.22244619e-01 -1.25608975e-02]
 [-6.80904984e-02  1.78248566e-02 -9.19438973e-02  1.31144658e-01
   9.83268857e-01 -3.42887565e-02 -3.74154821e-02]
 [ 9.70868301e-03  3.33909877e-03 -4.86830063e-02 -1.16540261e-01
   4.74751629e-02  9.90173936e-01  3.52782607e-02]
 [ 2.76683271e-02  2.37315614e-02 -2.38844441e-04  2.04932969e-02
   3.54737341e-02 -3.52045335e-02  9.97874498e-01]]",0
