layer,level_from,level_to,G,boot_id
0,1,2,0.9879432604426429,0
0,2,3,0.9906670053799947,0
0,3,4,0.9906854941731408,0
0,4,5,0.9905468168712798,0
0,5,6,0.9902917799495515,0
0,6,7,0.9881736409096491,0
0,7,8,0.9904539727029347,0
0,8,9,0.9912964502970377,0
0,9,10,0.9899784723917643,0
1,1,2,0.988729559239887,0
1,2,3,0.9903823733329773,0
1,3,4,0.989116370677948,0
1,4,5,0.9900522941634768,0
1,5,6,0.9893306578908648,0
1,6,7,0.987193451041267,0
1,7,8,0.988724098319099,0
1,8,9,0.9901363963172549,0
1,9,10,0.9881732946350461,0
2,1,2,0.9739366940089634,0
2,2,3,0.9799928977375939,0
2,3,4,0.9756664889199393,0
2,4,5,0.9810012124833607,0
2,5,6,0.9767550230026245,0
2,6,7,0.9755515626498631,0
2,7,8,0.979202926158905,0
2,8,9,0.9798039169538588,0
2,9,10,0.9739660422007242,0
3,1,2,0.9567822019259135,0
3,2,3,0.9653778842517308,0
3,3,4,0.9643493550164359,0
3,4,5,0.9720937723205203,0
3,5,6,0.9615934689839681,0
3,6,7,0.9634339241754442,0
3,7,8,0.9662147306260609,0
3,8,9,0.9679642262912932,0
3,9,10,0.9568008070900327,0
4,1,2,0.9431728266534352,0
4,2,3,0.9560234120913914,0
4,3,4,0.9573554112797692,0
4,4,5,0.9627725822584969,0
4,5,6,0.9509208911941165,0
4,6,7,0.9529722616786048,0
4,7,8,0.9539268101964679,0
4,8,9,0.9566300057229542,0
4,9,10,0.9319012534050715,0
5,1,2,0.9315337709018162,0
5,2,3,0.9385671956198556,0
5,3,4,0.9491257326943534,0
5,4,5,0.9526706508227757,0
5,5,6,0.9449508729435149,0
5,6,7,0.9444503471964881,0
5,7,8,0.9459206887653896,0
5,8,9,0.95155287924267,0
5,9,10,0.9317089603060767,0
6,1,2,0.9263039174534026,0
6,2,3,0.9299167366254897,0
6,3,4,0.943185377688635,0
6,4,5,0.9437871859187171,0
6,5,6,0.9393125091280256,0
6,6,7,0.9403305763290042,0
6,7,8,0.9393193608238584,0
6,8,9,0.9452518593697321,0
6,9,10,0.926466839654105,0
7,1,2,0.9149847655069261,0
7,2,3,0.9231803729420617,0
7,3,4,0.933554592586699,0
7,4,5,0.9326168696085612,0
7,5,6,0.9278603394826254,0
7,6,7,0.9258842808859689,0
7,7,8,0.9299313539550418,0
7,8,9,0.933756152788798,0
7,9,10,0.9199849878038678,0
8,1,2,0.8957862172807965,0
8,2,3,0.9100760732378278,0
8,3,4,0.9185939147358849,0
8,4,5,0.9218166328611828,0
8,5,6,0.9121052935009911,0
8,6,7,0.912950629279727,0
8,7,8,0.9243154043243045,0
8,8,9,0.9215890509741647,0
8,9,10,0.9090749365942818,0
9,1,2,0.8805345438775563,0
9,2,3,0.8841256811505273,0
9,3,4,0.8967310672714597,0
9,4,5,0.905692267985571,0
9,5,6,0.8807677200862339,0
9,6,7,0.8772958403541928,0
9,7,8,0.9090863806860787,0
9,8,9,0.9141099566505069,0
9,9,10,0.8960631716819036,0
10,1,2,0.8597570118449983,0
10,2,3,0.8588331682341439,0
10,3,4,0.8705256297474816,0
10,4,5,0.8777701457341512,0
10,5,6,0.8575672933033535,0
10,6,7,0.8430146433058239,0
10,7,8,0.892171493598393,0
10,8,9,0.9224826097488403,0
10,9,10,0.9037885949725196,0
11,1,2,0.7902162642706008,0
11,2,3,0.802177125499362,0
11,3,4,0.8073543508847555,0
11,4,5,0.8927637821152097,0
11,5,6,0.8295909081186567,0
11,6,7,0.7999891099475679,0
11,7,8,0.8588252663612366,0
11,8,9,0.9119115784054711,0
11,9,10,0.8984422030903044,0
0,1,2,0.9848248660564423,1
0,2,3,0.989434947570165,1
0,3,4,0.9894154767195383,1
0,4,5,0.990145872036616,1
0,5,6,0.9886797666549683,1
0,6,7,0.986225426197052,1
0,7,8,0.9896146158377329,1
0,8,9,0.9900436600049337,1
0,9,10,0.988968551158905,1
1,1,2,0.9868204196294149,1
1,2,3,0.9891743063926697,1
1,3,4,0.9883145491282145,1
1,4,5,0.9893371065457662,1
1,5,6,0.9876639246940613,1
1,6,7,0.9856301446755728,1
1,7,8,0.9874966939290365,1
1,8,9,0.9894236326217651,1
1,9,10,0.9877851704756418,1
2,1,2,0.9684012234210968,1
2,2,3,0.9761477410793304,1
2,3,4,0.9732043345769247,1
2,4,5,0.9774025976657867,1
2,5,6,0.9733382761478424,1
2,6,7,0.9715848664442698,1
2,7,8,0.9754891693592072,1
2,8,9,0.9772190451622009,1
2,9,10,0.9715778231620789,1
3,1,2,0.9483814636866251,1
3,2,3,0.9549915095170339,1
3,3,4,0.9546387493610382,1
3,4,5,0.9667416711648306,1
3,5,6,0.9523840248584747,1
3,6,7,0.9566180010636648,1
3,7,8,0.9591998358567556,1
3,8,9,0.9615361789862314,1
3,9,10,0.9410495261351267,1
4,1,2,0.931779553492864,1
4,2,3,0.9381793836752573,1
4,3,4,0.9394430617491404,1
4,4,5,0.9513724048932394,1
4,5,6,0.9355499943097433,1
4,6,7,0.9405064582824707,1
4,7,8,0.941934198141098,1
4,8,9,0.9504177669684092,1
4,9,10,0.9001264174779257,1
5,1,2,0.9169305165608724,1
5,2,3,0.9098270138104757,1
5,3,4,0.9272491832574209,1
5,4,5,0.9356609880924225,1
5,5,6,0.9225649535655975,1
5,6,7,0.9270678659280142,1
5,7,8,0.9320012231667837,1
5,8,9,0.9420404036839803,1
5,9,10,0.9035982390244802,1
6,1,2,0.9109984040260315,1
6,2,3,0.8953710595766703,1
6,3,4,0.919746458530426,1
6,4,5,0.920922855536143,1
6,5,6,0.9187167286872864,1
6,6,7,0.9231609404087067,1
6,7,8,0.9222190380096436,1
6,8,9,0.9294296900431315,1
6,9,10,0.8988325595855713,1
7,1,2,0.8959070146083832,1
7,2,3,0.8805478016535441,1
7,3,4,0.9109760721524557,1
7,4,5,0.9075800180435181,1
7,5,6,0.899245043595632,1
7,6,7,0.9028751850128174,1
7,7,8,0.9085187117258707,1
7,8,9,0.9152104655901591,1
7,9,10,0.8901329537232717,1
8,1,2,0.86932506163915,1
8,2,3,0.8554973800977071,1
8,3,4,0.8891768654187521,1
8,4,5,0.888716071844101,1
8,5,6,0.8785095711549123,1
8,6,7,0.8838386933008829,1
8,7,8,0.8990660905838013,1
8,8,9,0.8945005039374033,1
8,9,10,0.8787704805533091,1
9,1,2,0.8509678443272909,1
9,2,3,0.8183058202266693,1
9,3,4,0.8612489799658457,1
9,4,5,0.8635193109512329,1
9,5,6,0.8275213340918223,1
9,6,7,0.8334504266579946,1
9,7,8,0.8751615782578787,1
9,8,9,0.8831023077170054,1
9,9,10,0.8673625191052755,1
10,1,2,0.8274892965952555,1
10,2,3,0.7806403835614523,1
10,3,4,0.8263676365216573,1
10,4,5,0.8102882703145345,1
10,5,6,0.7847382922967275,1
10,6,7,0.7835769553979238,1
10,7,8,0.8394618034362793,1
10,8,9,0.8881163994471232,1
10,9,10,0.8762948215007782,1
11,1,2,0.7469134132067362,1
11,2,3,0.6767886281013489,1
11,3,4,0.7382458647092184,1
11,4,5,0.8383976519107819,1
11,5,6,0.7469908197720846,1
11,6,7,0.753649910291036,1
11,7,8,0.7476813197135925,1
11,8,9,0.8746563792228699,1
11,9,10,0.8718025187651316,1
0,1,2,0.9890513334955487,2
0,2,3,0.9915097128777277,2
0,3,4,0.9917462382997785,2
0,4,5,0.991235457715534,2
0,5,6,0.9911158766065326,2
0,6,7,0.9894322014990307,2
0,7,8,0.9910440104348319,2
0,8,9,0.9920475142342704,2
0,9,10,0.9907133068357196,2
1,1,2,0.9891838346208844,2
1,2,3,0.9906740898177737,2
1,3,4,0.9899589759962899,2
1,4,5,0.9903836789585295,2
1,5,6,0.9898326595624288,2
1,6,7,0.9878902633984884,2
1,7,8,0.9889655822799319,2
1,8,9,0.990706858180818,2
1,9,10,0.9887143515405201,2
2,1,2,0.9733243471100217,2
2,2,3,0.9793959657351176,2
2,3,4,0.9758661502883548,2
2,4,5,0.9803692584946042,2
2,5,6,0.9763391784259251,2
2,6,7,0.9751360359646025,2
2,7,8,0.9786158402760824,2
2,8,9,0.9793004280044919,2
2,9,10,0.974300103528159,2
3,1,2,0.9555850937252953,2
3,2,3,0.9632757022267296,2
3,3,4,0.963211769149417,2
3,4,5,0.9708147616613478,2
3,5,6,0.9601024417650132,2
3,6,7,0.9623172964368548,2
3,7,8,0.9642876443408784,2
3,8,9,0.9655947713624864,2
3,9,10,0.9551273442450023,2
4,1,2,0.9413422629946754,2
4,2,3,0.9521120162237258,2
4,3,4,0.9540465105147589,2
4,4,5,0.9600047242073786,2
4,5,6,0.9488417137236822,2
4,6,7,0.9508687428065709,2
4,7,8,0.9514773459661574,2
4,8,9,0.9550869351341611,2
4,9,10,0.9283144928160167,2
5,1,2,0.9302840488297599,2
5,2,3,0.932092255070096,2
5,3,4,0.9451618932542347,2
5,4,5,0.9476669232050577,2
5,5,6,0.9413461855479649,2
5,6,7,0.9427283122425988,2
5,7,8,0.9434937550908044,2
5,8,9,0.9505312215714228,2
5,9,10,0.9283227523167928,2
6,1,2,0.9249152087029957,2
6,2,3,0.9206653492791312,2
6,3,4,0.9403630409921918,2
6,4,5,0.9378172074045453,2
6,5,6,0.9356585116613478,2
6,6,7,0.9378674881798881,2
6,7,8,0.9363244119144621,2
6,8,9,0.9433160679680961,2
6,9,10,0.922878500961122,2
7,1,2,0.9124415999367124,2
7,2,3,0.9106162303969974,2
7,3,4,0.9293641873768398,2
7,4,5,0.9258735321816944,2
7,5,6,0.9238329501379103,2
7,6,7,0.9225310541334606,2
7,7,8,0.9257323259399051,2
7,8,9,0.931313727583204,2
7,9,10,0.9152848635401044,2
8,1,2,0.8926132661955697,2
8,2,3,0.8932855526606241,2
8,3,4,0.9125971084549314,2
8,4,5,0.9118051216715858,2
8,5,6,0.9082147904804775,2
8,6,7,0.9093094638415745,2
8,7,8,0.9199421916689191,2
8,8,9,0.9192563834644499,2
8,9,10,0.9056622584660848,2
9,1,2,0.8774232949529376,2
9,2,3,0.8641105010395959,2
9,3,4,0.8891490868159703,2
9,4,5,0.8942714503833226,2
9,5,6,0.8742028389658246,2
9,6,7,0.8733465245791844,2
9,7,8,0.9023716818718683,2
9,8,9,0.9109531243642172,2
9,9,10,0.8943042811893281,2
10,1,2,0.8570636510848999,2
10,2,3,0.8375875807943798,2
10,3,4,0.863349681808835,2
10,4,5,0.8620190506889707,2
10,5,6,0.8473634208951678,2
10,6,7,0.8362464479037693,2
10,7,8,0.8828115803854806,2
10,8,9,0.9177825308981395,2
10,9,10,0.9030351269812811,2
11,1,2,0.7899173271088373,2
11,2,3,0.7565314642020634,2
11,3,4,0.7920358663513547,2
11,4,5,0.8800222618239266,2
11,5,6,0.8214816791670663,2
11,6,7,0.7961080386525109,2
11,7,8,0.8403538891247341,2
11,8,9,0.9061403700283596,2
11,9,10,0.901334666070484,2
0,1,2,0.98881649573644,3
0,2,3,0.9912498474121094,3
0,3,4,0.990659507115682,3
0,4,5,0.9911548217137655,3
0,5,6,0.9905799984931946,3
0,6,7,0.9886008977890015,3
0,7,8,0.9910880049069722,3
0,8,9,0.9919911543528239,3
0,9,10,0.9900856335957845,3
1,1,2,0.989844024181366,3
1,2,3,0.9915604909261068,3
1,3,4,0.9895739475886027,3
1,4,5,0.9906410177548727,3
1,5,6,0.9897541125615438,3
1,6,7,0.9881081223487854,3
1,7,8,0.9899017333984375,3
1,8,9,0.9908723950386047,3
1,9,10,0.9889195998509724,3
2,1,2,0.9743612090746562,3
2,2,3,0.9808778842290242,3
2,3,4,0.976936419804891,3
2,4,5,0.9823824564615885,3
2,5,6,0.9773809432983398,3
2,6,7,0.9775553901990255,3
2,7,8,0.981007452805837,3
2,8,9,0.980189589659373,3
2,9,10,0.9745334386825562,3
3,1,2,0.9545566876729329,3
3,2,3,0.9645541906356812,3
3,3,4,0.9646757245063782,3
3,4,5,0.9746651490529378,3
3,5,6,0.9632641315460205,3
3,6,7,0.9643344203631083,3
3,7,8,0.9670355200767518,3
3,8,9,0.9666580518086751,3
3,9,10,0.9565938234329223,3
4,1,2,0.9407944520314534,3
4,2,3,0.9560349424680074,3
4,3,4,0.9592179298400879,3
4,4,5,0.9662217974662781,3
4,5,6,0.9537280877431233,3
4,6,7,0.9545338908831279,3
4,7,8,0.9538790424664815,3
4,8,9,0.9560053865114848,3
4,9,10,0.9346026698748271,3
5,1,2,0.9249297022819519,3
5,2,3,0.9360520124435425,3
5,3,4,0.9510565002759298,3
5,4,5,0.9569092313448588,3
5,5,6,0.9485079089800517,3
5,6,7,0.949304195245107,3
5,7,8,0.9456594586372375,3
5,8,9,0.9514408389727275,3
5,9,10,0.934125832716624,3
6,1,2,0.9190637310345967,3
6,2,3,0.9277954618136088,3
6,3,4,0.9461037000020345,3
6,4,5,0.9486427704493204,3
6,5,6,0.9430938561757406,3
6,6,7,0.9458857297897338,3
6,7,8,0.9402848919232686,3
6,8,9,0.9460534771283468,3
6,9,10,0.9299787521362305,3
7,1,2,0.9076233585675557,3
7,2,3,0.9235633969306946,3
7,3,4,0.9369023124376933,3
7,4,5,0.9369812568028768,3
7,5,6,0.9328360358874003,3
7,6,7,0.9343951145807902,3
7,7,8,0.9313401301701864,3
7,8,9,0.934903597831726,3
7,9,10,0.9237504561742147,3
8,1,2,0.888044289747874,3
8,2,3,0.9118330836296081,3
8,3,4,0.9246771772702534,3
8,4,5,0.9276292800903321,3
8,5,6,0.9169022957483928,3
8,6,7,0.922531513373057,3
8,7,8,0.9264727711677552,3
8,8,9,0.923127810160319,3
8,9,10,0.9124465902646383,3
9,1,2,0.8688495596249898,3
9,2,3,0.8842722654342652,3
9,3,4,0.9018606821695964,3
9,4,5,0.9129685123761495,3
9,5,6,0.890709646542867,3
9,6,7,0.8940856575965881,3
9,7,8,0.9133254210154216,3
9,8,9,0.9164220094680786,3
9,9,10,0.8991391499837239,3
10,1,2,0.845301608244578,3
10,2,3,0.8591816902160645,3
10,3,4,0.8767511089642842,3
10,4,5,0.8921045621236166,3
10,5,6,0.8692779382069905,3
10,6,7,0.8623875737190246,3
10,7,8,0.8997296214103698,3
10,8,9,0.9254175027211508,3
10,9,10,0.9064617276191711,3
11,1,2,0.7580002466837565,3
11,2,3,0.8048866391181946,3
11,3,4,0.8210235953330993,3
11,4,5,0.9046759406725565,3
11,5,6,0.8445645133654277,3
11,6,7,0.8133747339248657,3
11,7,8,0.8798958341280619,3
11,8,9,0.9120031754175822,3
11,9,10,0.9018104155858357,3
0,1,2,0.9882239023844401,4
0,2,3,0.9908238093058268,4
0,3,4,0.9900493184725444,4
0,4,5,0.9906894405682881,4
0,5,6,0.990112030506134,4
0,6,7,0.9876334150632222,4
0,7,8,0.9903524160385132,4
0,8,9,0.9914745489756266,4
0,9,10,0.9903475165367126,4
1,1,2,0.9887015581130981,4
1,2,3,0.9908651789029439,4
1,3,4,0.9889592091242473,4
1,4,5,0.9900571425755819,4
1,5,6,0.988921586672465,4
1,6,7,0.9867656230926514,4
1,7,8,0.9886911471684774,4
1,8,9,0.9900522470474243,4
1,9,10,0.9883572022120158,4
2,1,2,0.9721213340759277,4
2,2,3,0.9792032281557719,4
2,3,4,0.9742287635803223,4
2,4,5,0.97956729332606,4
2,5,6,0.9766015251477559,4
2,6,7,0.9751145561536153,4
2,7,8,0.9782563130060832,4
2,8,9,0.9791228771209717,4
2,9,10,0.9732434829076131,4
3,1,2,0.9531359871228536,4
3,2,3,0.9628606120745341,4
3,3,4,0.9611172517140706,4
3,4,5,0.9700369874636332,4
3,5,6,0.9594589630762737,4
3,6,7,0.9614884336789449,4
3,7,8,0.9640685200691224,4
3,8,9,0.9648407936096192,4
3,9,10,0.9528363029162089,4
4,1,2,0.9381874084472657,4
4,2,3,0.9519421378771464,4
4,3,4,0.9538002808888754,4
4,4,5,0.9603561957677206,4
4,5,6,0.9463368932406108,4
4,6,7,0.9488792022069296,4
4,7,8,0.9498318791389465,4
4,8,9,0.952826730410258,4
4,9,10,0.9263567368189494,4
5,1,2,0.920185649394989,4
5,2,3,0.930722713470459,4
5,3,4,0.9446614185969034,4
5,4,5,0.9490971287091573,4
5,5,6,0.9383308211962382,4
5,6,7,0.938842789332072,4
5,7,8,0.9420872728029887,4
5,8,9,0.9473013401031494,4
5,9,10,0.9263662417729696,4
6,1,2,0.9128562609354655,4
6,2,3,0.9196659326553345,4
6,3,4,0.9372382640838623,4
6,4,5,0.9382274667421977,4
6,5,6,0.9322497844696045,4
6,6,7,0.9349008997281393,4
6,7,8,0.9348068197568258,4
6,8,9,0.9397359728813172,4
6,9,10,0.9210240681966145,4
7,1,2,0.9000248074531555,4
7,2,3,0.9143776535987854,4
7,3,4,0.9275364875793457,4
7,4,5,0.9236453930536906,4
7,5,6,0.915378193060557,4
7,6,7,0.9173063357671102,4
7,7,8,0.9240179856618246,4
7,8,9,0.9267890652020773,4
7,9,10,0.9117345452308655,4
8,1,2,0.8778470198313395,4
8,2,3,0.9003487428029379,4
8,3,4,0.9108407139778137,4
8,4,5,0.9110126376152039,4
8,5,6,0.8960808595021565,4
8,6,7,0.9033170580863953,4
8,7,8,0.9177653789520264,4
8,8,9,0.9122904856999715,4
8,9,10,0.8978378097216289,4
9,1,2,0.8576480269432067,4
9,2,3,0.8700916171073914,4
9,3,4,0.885524570941925,4
9,4,5,0.8921757459640502,4
9,5,6,0.8608609596888225,4
