layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,5,,0.3531734347343445,0.4191577136516571,[0.30773783 0.31740946 0.33378223 0.38778    0.4191577 ],0
1,2,5,,0.35222408175468445,0.4288320243358612,[0.28929263 0.31762403 0.32479104 0.40058064 0.42883202],0
2,3,5,,0.38251009583473206,0.5461997389793396,[0.28363279 0.33191842 0.34688738 0.4039121  0.54619974],0
3,4,5,,0.3338717818260193,0.4331381022930145,[0.25398648 0.27489516 0.33248445 0.37485453 0.4331381 ],0
4,5,5,,0.31623587012290955,0.38832834362983704,[0.254193   0.2648603  0.31778696 0.35601082 0.38832834],0
5,6,5,,0.32265034317970276,0.42016974091529846,[0.2613486  0.28871793 0.30365542 0.33936003 0.42016974],0
6,7,5,,0.313027560710907,0.37842532992362976,[0.25276285 0.27709752 0.32481682 0.33203527 0.37842533],0
7,8,5,,0.33986541628837585,0.3984311521053314,[0.2930315  0.3170598  0.3326734  0.35813114 0.39843115],0
8,9,5,,0.33939459919929504,0.41102370619773865,[0.27848682 0.3113391  0.34313565 0.35298765 0.4110237 ],0
9,10,5,,0.37784796953201294,0.44968369603157043,[0.3176227  0.3421505  0.36792806 0.4118549  0.4496837 ],0
10,11,5,,0.5335526466369629,0.9495482444763184,[0.30575085 0.3488961  0.49267256 0.57089543 0.94954824],0
0,1,5,,0.3544689118862152,0.42698198556900024,[0.30725378 0.31806403 0.33092338 0.38912144 0.426982  ],1
1,2,5,,0.35298171639442444,0.43378832936286926,[0.28724974 0.31967083 0.32659557 0.3976041  0.43378833],1
2,3,5,,0.38625258207321167,0.5656411647796631,[0.28539127 0.32797042 0.35443965 0.39782035 0.56564116],1
3,4,5,,0.33173850178718567,0.45392343401908875,[0.2502786  0.2661612  0.32378632 0.36454287 0.45392343],1
4,5,5,,0.309169203042984,0.38327839970588684,[0.24777748 0.25710428 0.3193602  0.33832574 0.3832784 ],1
5,6,5,,0.3546818494796753,0.5764021873474121,[0.26926416 0.28977677 0.29965988 0.33830634 0.5764022 ],1
6,7,5,,0.30820325016975403,0.37884700298309326,[0.24782048 0.27830052 0.3087151  0.3273331  0.378847  ],1
7,8,5,,0.3220277428627014,0.3726193904876709,[0.28219023 0.30928114 0.3165309  0.32951713 0.3726194 ],1
8,9,5,,0.3304554522037506,0.37288355827331543,[0.278146   0.30902785 0.3434135  0.34880644 0.37288356],1
9,10,5,,0.35907599329948425,0.409450888633728,[0.31740734 0.3282793  0.35817927 0.38206315 0.4094509 ],1
10,11,5,,0.5088655352592468,0.9065507650375366,[0.29694614 0.334446   0.44447756 0.5619075  0.90655077],1
0,1,5,,0.3542155623435974,0.4236428141593933,[0.3081618  0.3192791  0.3328535  0.38714066 0.4236428 ],2
1,2,5,,0.35255080461502075,0.4310475289821625,[0.28858978 0.32116225 0.32241046 0.39954397 0.43104753],2
2,3,5,,0.3827889561653137,0.5460227727890015,[0.28412777 0.32847187 0.3488734  0.40644908 0.5460228 ],2
3,4,5,,0.332750529050827,0.43745580315589905,[0.25300634 0.27353904 0.33223855 0.36751288 0.4374558 ],2
4,5,5,,0.3138686716556549,0.38149330019950867,[0.2538683  0.26184988 0.32100946 0.35112238 0.3814933 ],2
5,6,5,,0.3291824758052826,0.4516506791114807,[0.26080063 0.28920132 0.30018663 0.34407303 0.45165068],2
6,7,5,,0.3137969672679901,0.379054993391037,[0.25194597 0.27688676 0.32959965 0.33149746 0.379055  ],2
7,8,5,,0.3332529664039612,0.3838460445404053,[0.2919309  0.31254324 0.32717252 0.350772   0.38384604],2
8,9,5,,0.33498653769493103,0.39476585388183594,[0.27825192 0.30996445 0.34383953 0.348111   0.39476585],2
9,10,5,,0.37030667066574097,0.43042314052581787,[0.32014465 0.33253393 0.37171477 0.39671683 0.43042314],2
10,11,5,,0.522625744342804,0.9204530119895935,[0.30125192 0.3382054  0.49542582 0.5577924  0.920453  ],2
0,1,5,,0.3540307879447937,0.42131298780441284,[0.30719405 0.31944808 0.33181065 0.39038816 0.421313  ],3
1,2,5,,0.35318663716316223,0.43025895953178406,[0.28912753 0.31814006 0.32748583 0.40092078 0.43025896],3
2,3,5,,0.37870851159095764,0.5198070406913757,[0.2827642  0.33655995 0.34798518 0.40642616 0.51980704],3
3,4,5,,0.3367209732532501,0.4384514391422272,[0.2559341  0.27479565 0.33219817 0.38222554 0.43845144],3
4,5,5,,0.31700900197029114,0.38907477259635925,[0.25268063 0.26844805 0.32073298 0.35410854 0.38907477],3
5,6,5,,0.3284415602684021,0.44372522830963135,[0.2633973  0.2898137  0.3031924  0.3420791  0.44372523],3
6,7,5,,0.3266350030899048,0.42143478989601135,[0.2551694  0.28060773 0.32977104 0.3461921  0.4214348 ],3
7,8,5,,0.34265565872192383,0.39954397082328796,[0.29345402 0.31798968 0.33838677 0.36390388 0.39954397],3
8,9,5,,0.34342876076698303,0.42262351512908936,[0.28015798 0.31813398 0.3446172  0.3516111  0.42262352],3
9,10,5,,0.3769918978214264,0.43961194157600403,[0.31798434 0.3500424  0.367295   0.4100259  0.43961194],3
10,11,5,,0.5251954197883606,0.9222904443740845,[0.30881768 0.34120628 0.50270337 0.5509594  0.92229044],3
0,1,5,,0.35344645380973816,0.42461004853248596,[0.3061478  0.31640357 0.32913914 0.3909318  0.42461005],4
1,2,5,,0.3522064983844757,0.42822542786598206,[0.2886218  0.3174631  0.32843843 0.39828366 0.42822543],4
2,3,5,,0.3746775984764099,0.510642945766449,[0.28391358 0.328047   0.3473797  0.40340465 0.51064295],4
3,4,5,,0.332535058259964,0.44677865505218506,[0.24794608 0.2659835  0.328131   0.3738361  0.44677866],4
4,5,5,,0.3083847165107727,0.3846668004989624,[0.2473501  0.25708154 0.3107531  0.34207198 0.3846668 ],4
5,6,5,,0.3475418984889984,0.5605166554450989,[0.26271674 0.28575245 0.29516503 0.33355874 0.56051666],4
6,7,5,,0.32222989201545715,0.42824435234069824,[0.2491329  0.27643964 0.32069063 0.3366419  0.42824435],4
7,8,5,,0.32663390040397644,0.3735804259777069,[0.28487548 0.31197163 0.3202081  0.34253386 0.37358043],4
8,9,5,,0.33159273862838745,0.3857641816139221,[0.2767138  0.3084635  0.33881637 0.34820586 0.38576418],4
9,10,5,,0.3631350100040436,0.411283940076828,[0.31744534 0.33762988 0.35574222 0.39357358 0.41128394],4
10,11,5,,0.5261099934577942,0.9336090087890625,[0.29854774 0.34007517 0.46126798 0.59705013 0.933609  ],4
0,1,5,,0.3532579839229584,0.42682725191116333,[0.30577937 0.31936663 0.33125985 0.3830568  0.42682725],5
1,2,5,,0.353417307138443,0.43627244234085083,[0.2877624  0.31989476 0.32588086 0.3972761  0.43627244],5
2,3,5,,0.3873617649078369,0.5606990456581116,[0.2903178  0.3274708  0.353862   0.40445924 0.56069905],5
3,4,5,,0.32998958230018616,0.44658270478248596,[0.249669   0.27366832 0.3259592  0.35406867 0.4465827 ],5
4,5,5,,0.3149544596672058,0.40086013078689575,[0.2507969  0.26156744 0.3161477  0.3454002  0.40086013],5
5,6,5,,0.3578483760356903,0.570970892906189,[0.26932442 0.29332316 0.30599096 0.3496325  0.5709709 ],5
6,7,5,,0.312425822019577,0.3828693628311157,[0.250164   0.2879029  0.31076714 0.3304257  0.38286936],5
7,8,5,,0.33307531476020813,0.3920553922653198,[0.2840289  0.31629014 0.32317692 0.34982523 0.3920554 ],5
8,9,5,,0.3342330753803253,0.3823968172073364,[0.28610092 0.31029    0.3449683  0.3474093  0.38239682],5
9,10,5,,0.35860058665275574,0.4144684076309204,[0.32239938 0.32735386 0.3571366  0.37164468 0.4144684 ],5
10,11,5,,0.5174214243888855,0.9141155481338501,[0.29727086 0.3441211  0.45512697 0.5764728  0.91411555],5
0,1,5,,0.35530173778533936,0.4225099980831146,[0.30874178 0.3210597  0.33604863 0.38814855 0.42251   ],6
1,2,5,,0.3547983765602112,0.43563979864120483,[0.29112566 0.32202518 0.32447636 0.40072477 0.4356398 ],6
2,3,5,,0.39318275451660156,0.5856581926345825,[0.2852354  0.33533937 0.3530025  0.40667835 0.5856582 ],6
3,4,5,,0.3348608613014221,0.43884986639022827,[0.25585145 0.2808562  0.3317241  0.3670225  0.43884987],6
4,5,5,,0.3205741345882416,0.388611763715744,[0.26025593 0.26757812 0.32966742 0.3567574  0.38861176],6
5,6,5,,0.3334512412548065,0.4507545232772827,[0.26422933 0.29471946 0.30790997 0.34964293 0.45075452],6
6,7,5,,0.31252238154411316,0.3741622269153595,[0.25297537 0.2776739  0.3238545  0.33394593 0.37416223],6
7,8,5,,0.33573073148727417,0.38794422149658203,[0.29235435 0.31561357 0.33067894 0.3520627  0.38794422],6
8,9,5,,0.336780309677124,0.38602215051651,[0.28283018 0.31646886 0.34291944 0.35566092 0.38602215],6
9,10,5,,0.37000858783721924,0.4207039177417755,[0.32333022 0.33310258 0.37510452 0.39780173 0.42070392],6
10,11,5,,0.5222083330154419,0.9331954121589661,[0.30272552 0.33774647 0.4969525  0.5404216  0.9331954 ],6
0,1,5,,0.35398799180984497,0.42330774664878845,[0.3072583  0.31976488 0.33358806 0.38602087 0.42330775],7
1,2,5,,0.35314270853996277,0.4342416226863861,[0.28757524 0.32078308 0.32329008 0.39982352 0.43424162],7
2,3,5,,0.3904525339603424,0.5774621367454529,[0.2860557  0.3323902  0.3508915  0.40546316 0.57746214],7
3,4,5,,0.3331345319747925,0.43412911891937256,[0.25570065 0.27724934 0.33015922 0.3684343  0.43412912],7
4,5,5,,0.31982240080833435,0.39438968896865845,[0.25762248 0.26954478 0.32333735 0.35421768 0.3943897 ],7
5,6,5,,0.3366827070713043,0.4714962840080261,[0.26637074 0.29261336 0.30330998 0.3496231  0.47149628],7
6,7,5,,0.31626322865486145,0.38681134581565857,[0.2539751  0.2821256  0.32595196 0.33245212 0.38681135],7
7,8,5,,0.3418235182762146,0.4015539586544037,[0.2906695  0.3195477  0.33589152 0.36145487 0.40155396],7
8,9,5,,0.33892735838890076,0.3920210599899292,[0.28424323 0.31631717 0.34394985 0.35810548 0.39202106],7
9,10,5,,0.36570990085601807,0.41563186049461365,[0.3209428  0.33577523 0.36533836 0.3908612  0.41563186],7
10,11,5,,0.5195985436439514,0.9244707226753235,[0.3039963  0.34031507 0.50428474 0.524926   0.9244707 ],7
0,1,5,,0.35612961649894714,0.42436936497688293,[0.30953288 0.32010603 0.33579785 0.390842   0.42436936],8
1,2,5,,0.35436031222343445,0.4342876672744751,[0.2888341  0.3230748  0.3244614  0.40114355 0.43428767],8
2,3,5,,0.3945200443267822,0.6014440059661865,[0.28456992 0.33173528 0.3521505  0.40270042 0.601444  ],8
3,4,5,,0.3339214026927948,0.4359069764614105,[0.25769243 0.27248904 0.33123034 0.3722882  0.43590698],8
4,5,5,,0.32037487626075745,0.38712549209594727,[0.2578103  0.27149907 0.3319539  0.3534856  0.3871255 ],8
5,6,5,,0.33671778440475464,0.48285987973213196,[0.26684085 0.29045457 0.29983085 0.34360287 0.48285988],8
6,7,5,,0.3126431107521057,0.37881848216056824,[0.25220573 0.27367228 0.3228823  0.33563682 0.37881848],8
7,8,5,,0.33233198523521423,0.37953823804855347,[0.29125127 0.31270874 0.33256498 0.34559682 0.37953824],8
8,9,5,,0.33626264333724976,0.3877912163734436,[0.28216562 0.31461638 0.34303465 0.35370559 0.38779122],8
9,10,5,,0.36830228567123413,0.41685763001441956,[0.3189972  0.33593637 0.37095916 0.39876103 0.41685763],8
10,11,5,,0.5133293867111206,0.9119389653205872,[0.30681202 0.331587   0.48621938 0.53008944 0.91193897],8
0,1,5,,0.3536590337753296,0.4231742322444916,[0.30703318 0.31869334 0.33388937 0.38550508 0.42317423],9
1,2,5,,0.3523848056793213,0.43009117245674133,[0.28847143 0.32001927 0.32348156 0.3998606  0.43009117],9
2,3,5,,0.3819271922111511,0.5436049103736877,[0.285561   0.32693967 0.34730127 0.40622923 0.5436049 ],9
3,4,5,,0.33242955803871155,0.43944230675697327,[0.2527381  0.27451017 0.330109   0.3653482  0.4394423 ],9
4,5,5,,0.3164542615413666,0.3905875086784363,[0.25641257 0.26429528 0.31838903 0.35258693 0.3905875 ],9
5,6,5,,0.3346191644668579,0.4779825508594513,[0.2624584  0.29127595 0.2976048  0.3437741  0.47798255],9
