layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,6,0.9,0.3539697825908661,0.4312942624092102,[0.29880035 0.30441558 0.33327428 0.3532279  0.40280628 0.43129426],0
1,2,6,0.9,0.35750630497932434,0.4319285750389099,[0.28872296 0.30665547 0.31957787 0.37911248 0.4190404  0.43192858],0
2,3,6,0.9,0.3655848503112793,0.4650980234146118,[0.27079317 0.30626014 0.33914727 0.38977873 0.42243165 0.46509802],0
3,4,6,0.9,0.3327379524707794,0.42768511176109314,[0.2502562  0.25657937 0.32574937 0.35807657 0.3780809  0.4276851 ],0
4,5,7,0.9,0.3176419138908386,0.38661521673202515,"[0.24885087 0.2586969  0.281208   0.33001116 0.35314712 0.36496413
 0.38661522]",0
5,6,7,0.9,0.3055916428565979,0.3603707253932953,"[0.24521627 0.27089053 0.28628293 0.30284464 0.31833532 0.3552012
 0.36037073]",0
6,7,7,0.9,0.30657750368118286,0.3659065067768097,"[0.24739732 0.26323676 0.284783   0.3091262  0.3322221  0.34337085
 0.3659065 ]",0
7,8,7,0.9,0.3302847445011139,0.3923572897911072,"[0.28376418 0.29993397 0.315814   0.3242652  0.3419856  0.3538728
 0.3923573 ]",0
8,9,7,0.9,0.3287639319896698,0.3681119382381439,"[0.27348697 0.2954927  0.3096667  0.34391484 0.34643775 0.36423665
 0.36811194]",0
9,10,8,0.9,0.3703594505786896,0.46446144580841064,"[0.30286503 0.32345456 0.3291085  0.35073626 0.375247   0.39702046
 0.41998237 0.46446145]",0
10,11,8,0.9,0.45556509494781494,0.9424375295639038,"[0.28845173 0.30306882 0.34237784 0.35241893 0.39055118 0.4749059
 0.5503088  0.9424375 ]",0
0,1,6,0.9,0.35426029562950134,0.4366307258605957,[0.30076763 0.30183193 0.32935852 0.35385388 0.40311924 0.43663073],1
1,2,6,0.9,0.3578031063079834,0.4347546100616455,[0.2865789  0.30405185 0.32499197 0.3800783  0.41636315 0.4347546 ],1
2,3,6,0.9,0.36245080828666687,0.4552731215953827,[0.27547514 0.30182052 0.34181583 0.38665837 0.41366172 0.45527312],1
3,4,6,0.9,0.3259405791759491,0.4087073504924774,[0.24606997 0.24796867 0.31634244 0.35117993 0.38537508 0.40870735],1
4,5,7,0.9,0.310029536485672,0.38147297501564026,"[0.24254769 0.25061482 0.27202088 0.3191931  0.34095737 0.3633998
 0.38147298]",1
5,6,7,0.9,0.3102463185787201,0.3808872103691101,"[0.25708482 0.27548477 0.28476244 0.30970758 0.31184676 0.35195068
 0.3808872 ]",1
6,7,7,0.9,0.3038211166858673,0.3687143921852112,"[0.24408257 0.2682635  0.2819249  0.30845642 0.3187782  0.33652782
 0.3687144 ]",1
7,8,7,0.9,0.32221779227256775,0.3803471326828003,"[0.2756574  0.29342023 0.3090602  0.3131347  0.33672562 0.34717953
 0.38034713]",1
8,9,7,0.9,0.3329518139362335,0.37867113947868347,"[0.27433202 0.30256933 0.31854227 0.33789843 0.35191107 0.3667387
 0.37867114]",1
