layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,boot_id
0,90,0.2501412332057953,0.20807960629463196,0.1633962243795395,0.11645497381687164,0.10314668715000153,0.07722015678882599,0.054770078510046005,0.01835375651717186,0.0010776916751638055,0.0009699197253212333,6,6,7,0
1,90,0.26915082335472107,0.20522679388523102,0.1523277908563614,0.12049880623817444,0.09698158502578735,0.07768163830041885,0.04961065202951431,0.019571445882320404,0.0011492257472127676,0.000977448420599103,6,6,7,0
2,90,0.27792274951934814,0.19926877319812775,0.14828985929489136,0.11382821947336197,0.09646838903427124,0.07816096395254135,0.04860494285821915,0.02085707150399685,0.002286170842126012,0.0018969662487506866,6,6,7,0
3,90,0.2687286138534546,0.19939512014389038,0.14850376546382904,0.11457965523004532,0.0917467549443245,0.08118686825037003,0.04583599790930748,0.023402128368616104,0.003097842214629054,0.0027503722812980413,6,6,8,0
4,90,0.263925701379776,0.19318819046020508,0.1464715451002121,0.11997305601835251,0.09160119295120239,0.07714930176734924,0.04937976226210594,0.024293208494782448,0.0039751967415213585,0.0036546967457979918,6,7,8,0
5,90,0.27272936701774597,0.1878572404384613,0.1477760374546051,0.12216022610664368,0.08579558879137039,0.07351003587245941,0.047075942158699036,0.023134006187319756,0.004438191186636686,0.0038505885750055313,6,7,8,0
6,90,0.27248355746269226,0.1898358166217804,0.14810806512832642,0.1240893080830574,0.07914011180400848,0.06959761679172516,0.04513532295823097,0.024845065549016,0.005170663818717003,0.004406075458973646,6,7,8,0
7,90,0.27405691146850586,0.1928727775812149,0.14523132145404816,0.11920258402824402,0.07586732506752014,0.06791630387306213,0.044499341398477554,0.02456926368176937,0.006898042280226946,0.005281212739646435,6,7,9,0
8,90,0.2729054391384125,0.19671224057674408,0.13953930139541626,0.11534977704286575,0.07731839269399643,0.06565774232149124,0.04155084863305092,0.024883434176445007,0.007727350573986769,0.006751467939466238,6,7,11,0
9,90,0.2630193829536438,0.19781289994716644,0.14327067136764526,0.11251991987228394,0.07199167460203171,0.0637822300195694,0.04199104383587837,0.025202998891472816,0.009599306620657444,0.008843837305903435,6,8,12,0
10,90,0.2671670913696289,0.1929771602153778,0.1452840268611908,0.10538830608129501,0.066197469830513,0.05768900737166405,0.043754469603300095,0.02487597055733204,0.011126279830932617,0.010476937517523766,7,8,14,0
11,90,0.39345937967300415,0.17687508463859558,0.10999151319265366,0.08083834499120712,0.05077109485864639,0.04095283895730972,0.037906549870967865,0.02192332223057747,0.010902312584221363,0.010208683088421822,6,8,13,0
0,90,0.25317949056625366,0.2065131664276123,0.16434139013290405,0.11591599136590958,0.10182031989097595,0.07695025205612183,0.0546383298933506,0.018123717978596687,0.0011602506274357438,0.0010252390056848526,6,6,7,1
1,90,0.26965442299842834,0.20646096765995026,0.15378470718860626,0.1193528100848198,0.09589552134275436,0.07765965908765793,0.049231305718421936,0.01951412297785282,0.0013337944401428103,0.0009990299586206675,6,6,7,1
2,90,0.2783704698085785,0.2025780826807022,0.14927342534065247,0.11195754259824753,0.09448565542697906,0.07816272228956223,0.04849046841263771,0.020886169746518135,0.0022909080144017935,0.002187234815210104,6,6,7,1
3,90,0.2663775384426117,0.20243073999881744,0.1494448035955429,0.11287826299667358,0.08850337564945221,0.08277872204780579,0.046413399279117584,0.02379671111702919,0.003795861266553402,0.003374198218807578,6,6,8,1
4,90,0.26187068223953247,0.196434885263443,0.14800193905830383,0.11783871799707413,0.08843103051185608,0.07788277417421341,0.04956692457199097,0.02477143332362175,0.005139742512255907,0.0044396440498530865,6,7,8,1
5,90,0.26913875341415405,0.18868090212345123,0.1494067907333374,0.12020791321992874,0.08326404541730881,0.0763842985033989,0.04717181250452995,0.02384459599852562,0.006095807068049908,0.00496938219293952,6,7,8,1
6,90,0.265099436044693,0.18814443051815033,0.1552707701921463,0.12181896716356277,0.07990246266126633,0.07021009922027588,0.046404317021369934,0.024971207603812218,0.006925533525645733,0.005897378083318472,6,7,8,1
7,90,0.26384201645851135,0.19234421849250793,0.15128660202026367,0.11662406474351883,0.07863953709602356,0.0672801285982132,0.04537305608391762,0.024872271344065666,0.009179573506116867,0.008188281208276749,6,7,10,1
8,90,0.2614977955818176,0.19694609940052032,0.14310383796691895,0.11494206637144089,0.08095374703407288,0.06321702152490616,0.04219455644488335,0.025431081652641296,0.011486910283565521,0.010239080525934696,6,7,10,1
9,90,0.2534888684749603,0.19334451854228973,0.1442786455154419,0.11434196680784225,0.0763932392001152,0.06139940023422241,0.04214369133114815,0.025943106040358543,0.015070716850459576,0.013009455986320972,7,8,12,1
10,90,0.25730180740356445,0.18268859386444092,0.14635784924030304,0.11002324521541595,0.07020583003759384,0.05418134853243828,0.04397595301270485,0.02627858705818653,0.018777960911393166,0.015383707359433174,7,9,13,1
11,90,0.35042208433151245,0.17645597457885742,0.11932798475027084,0.08614243566989899,0.054336342960596085,0.04043581336736679,0.039001841098070145,0.028791960328817368,0.01873805560171604,0.01522471010684967,7,9,12,1
0,90,0.2509404420852661,0.20789675414562225,0.16426528990268707,0.11630704253911972,0.10255570709705353,0.07722119241952896,0.05452582985162735,0.018351513892412186,0.0008970107301138341,0.0008131847716867924,6,6,7,2
1,90,0.269488126039505,0.20508547127246857,0.15335233509540558,0.11999058723449707,0.09665193408727646,0.0777546763420105,0.04938686266541481,0.019587768241763115,0.0009412613580934703,0.000828512420412153,6,6,7,2
2,90,0.2780217230319977,0.19962039589881897,0.1482025682926178,0.11292138695716858,0.09612072259187698,0.07862712442874908,0.048433784395456314,0.020800068974494934,0.001918535097502172,0.0015926714986562729,6,6,7,2
3,90,0.2686110734939575,0.19886451959609985,0.14892254769802094,0.11380724608898163,0.0904507040977478,0.08132905513048172,0.04580870643258095,0.023339655250310898,0.0027041821740567684,0.0024811322800815105,6,6,8,2
4,90,0.26361167430877686,0.19259458780288696,0.14677521586418152,0.11914525926113129,0.09051266312599182,0.07672103494405746,0.049277883023023605,0.024097895249724388,0.0036896001547574997,0.0032309945672750473,6,7,8,2
5,90,0.27232658863067627,0.188130721449852,0.14735764265060425,0.12086276710033417,0.08470864593982697,0.07362573593854904,0.04659759998321533,0.022876854985952377,0.00401854095980525,0.0035939838271588087,6,7,8,2
6,90,0.2720757722854614,0.18972143530845642,0.1474502980709076,0.12263796478509903,0.07886162400245667,0.06921575218439102,0.044804103672504425,0.024386951699852943,0.005512446630746126,0.004039021208882332,6,7,9,2
7,90,0.2735888361930847,0.1928260624408722,0.14435404539108276,0.11740164458751678,0.07592975348234177,0.06716704368591309,0.04447692632675171,0.023848148062825203,0.00583770452067256,0.00525981979444623,6,7,10,2
8,90,0.27322056889533997,0.19560715556144714,0.13803817331790924,0.11337205022573471,0.07771813869476318,0.06437968462705612,0.041608817875385284,0.024161800742149353,0.007167189847677946,0.006337014492601156,6,7,12,2
9,90,0.26506513357162476,0.19588899612426758,0.14013434946537018,0.11124029755592346,0.07226800173521042,0.0620499849319458,0.042060986161231995,0.024304544553160667,0.008596994914114475,0.007820081897079945,7,8,14,2
10,90,0.2702007293701172,0.18880723416805267,0.1414104849100113,0.10496500134468079,0.06599604338407516,0.05601484328508377,0.04381902888417244,0.024068418890237808,0.011167040094733238,0.00944188516587019,7,9,16,2
11,90,0.38697654008865356,0.17213505506515503,0.10970162600278854,0.08144813030958176,0.051166944205760956,0.04100259393453598,0.039182476699352264,0.022447966039180756,0.010431786999106407,0.009369179606437683,7,8,15,2
0,90,0.25042787194252014,0.20878052711486816,0.16307611763477325,0.11625077575445175,0.10300655663013458,0.07730841636657715,0.05511889606714249,0.018383696675300598,0.0010042755166068673,0.0008882173569872975,6,6,7,3
1,90,0.2689081132411957,0.2064325362443924,0.1522597074508667,0.12033949792385101,0.09698912501335144,0.07761102169752121,0.04971971735358238,0.01960708573460579,0.0010552832391113043,0.00094506551977247,6,6,7,3
2,90,0.27759337425231934,0.20099225640296936,0.1486922800540924,0.11335583031177521,0.09635192900896072,0.0778360515832901,0.048700522631406784,0.020951928570866585,0.002090115798637271,0.0019199256785213947,6,6,7,3
3,90,0.26756834983825684,0.20109908282756805,0.14836785197257996,0.11509571969509125,0.09162777662277222,0.08076447993516922,0.04597564786672592,0.023672746494412422,0.0035291281528770924,0.0028263400308787823,6,6,7,3
4,90,0.26369065046310425,0.19380342960357666,0.1471652239561081,0.12099998444318771,0.09088809043169022,0.07679862529039383,0.049572139978408813,0.024591168388724327,0.004448915831744671,0.0035273937974125147,6,7,8,3
5,90,0.2718157172203064,0.1890116184949875,0.14767830073833466,0.12353597581386566,0.085073322057724,0.0730108693242073,0.04745204374194145,0.023589283227920532,0.005222863517701626,0.003788602538406849,6,7,8,3
6,90,0.27073147892951965,0.19104698300361633,0.14859117567539215,0.12507101893424988,0.07824618369340897,0.06929144263267517,0.04580722004175186,0.025492213666439056,0.006325586698949337,0.005445575807243586,6,7,8,3
7,90,0.27258196473121643,0.19477322697639465,0.14518649876117706,0.12010975182056427,0.07541059702634811,0.06820723414421082,0.04501474276185036,0.02497543953359127,0.006661034654825926,0.006244319025427103,6,7,9,3
8,90,0.27180975675582886,0.19777701795101166,0.14089815318584442,0.11647895723581314,0.07695971429347992,0.06541451066732407,0.04207716882228851,0.025578174740076065,0.0077996160835027695,0.007278518285602331,6,7,10,3
9,90,0.26170822978019714,0.19919529557228088,0.14610661566257477,0.11376439779996872,0.07205557823181152,0.06330390274524689,0.04239369183778763,0.026614684611558914,0.0091355936601758,0.00853819865733385,6,8,11,3
10,90,0.2662142515182495,0.19310623407363892,0.14964520931243896,0.1079375296831131,0.06647025048732758,0.05679204687476158,0.04445242881774902,0.027522927150130272,0.011355231516063213,0.010083404369652271,7,8,13,3
11,90,0.3780933618545532,0.18112201988697052,0.11832354217767715,0.0850791335105896,0.050443731248378754,0.04244757443666458,0.03721331059932709,0.026617638766765594,0.012495394796133041,0.009488427080214024,6,8,12,3
0,90,0.2507706582546234,0.20934823155403137,0.1632256954908371,0.11637115478515625,0.10214328020811081,0.07687902450561523,0.05445336177945137,0.01821906864643097,0.0013719431590288877,0.0012073040707036853,6,6,7,4
1,90,0.26879554986953735,0.20722930133342743,0.15241052210330963,0.12025842070579529,0.09598681330680847,0.07710573077201843,0.049167100340127945,0.019474007189273834,0.0016036060405895114,0.001391561352647841,6,6,7,4
2,90,0.27594923973083496,0.20236732065677643,0.1488093137741089,0.11258243769407272,0.09485422074794769,0.07788390666246414,0.0484095960855484,0.020764319226145744,0.0032048316206783056,0.002813052386045456,6,6,7,4
3,90,0.2646954357624054,0.2021263837814331,0.148128479719162,0.11402969807386398,0.08953537791967392,0.08158610761165619,0.04593782499432564,0.023755911737680435,0.004921486135572195,0.004486159887164831,6,6,8,4
4,90,0.2616637945175171,0.19534945487976074,0.14618848264217377,0.11885804682970047,0.08882598578929901,0.0773591548204422,0.04920656234025955,0.02468654327094555,0.006467177998274565,0.005298718810081482,6,7,8,4
5,90,0.26797977089881897,0.19042964279651642,0.1465861052274704,0.1218637153506279,0.08341926336288452,0.07432162761688232,0.04688005894422531,0.0237423162907362,0.00749142887070775,0.005676638800650835,6,7,8,4
6,90,0.2639784812927246,0.19171200692653656,0.1503930687904358,0.12325998395681381,0.07744444161653519,0.06962475925683975,0.045685335993766785,0.02526814118027687,0.008359458297491074,0.006687771063297987,6,7,9,4
7,90,0.2644933760166168,0.19578751921653748,0.1464199721813202,0.11701613664627075,0.0753975585103035,0.06704220920801163,0.04450935125350952,0.024977196007966995,0.011548454873263836,0.008286288008093834,6,7,10,4
8,90,0.2630561888217926,0.19977706670761108,0.14036951959133148,0.11358105391263962,0.07695594429969788,0.06348524242639542,0.04136030375957489,0.025625940412282944,0.01337880827486515,0.010145765729248524,6,8,11,4
