layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,5,,0.7911259531974792,"[[ 9.79926646e-01  1.03492096e-01  1.15802936e-01  1.89915057e-02
  -1.23539895e-01]
 [-1.27231956e-01  9.78105485e-01  1.50919586e-01 -3.75960357e-02
  -5.41433431e-02]
 [-9.69286859e-02 -1.63121790e-01  9.81710136e-01  3.12931347e-03
   1.52138239e-02]
 [-3.23350802e-02  2.97530834e-02 -2.04609372e-04  9.95933533e-01
  -7.86484778e-02]
 [ 1.14520803e-01  7.14497566e-02  7.62026524e-03  7.95770362e-02
   9.87617970e-01]]",0
1,2,5,,0.7919216156005859,"[[ 0.9931144  -0.07290059 -0.03437015  0.07594793  0.03820945]
 [ 0.07428724  0.99493724  0.02816682 -0.03052329  0.0534442 ]
 [ 0.04400635 -0.0309011   0.98846596 -0.11987665 -0.07532024]
 [-0.07825135  0.01132784  0.14237493  0.9225772   0.34975597]
 [-0.01205929 -0.06084589  0.02626203 -0.3574651   0.9314942 ]]",0
2,3,5,,0.8718541860580444,"[[ 0.99649173  0.04954243  0.05833208 -0.02740427 -0.01990153]
 [-0.04726531  0.9966508  -0.04583794  0.01817277 -0.04496416]
 [-0.05795199  0.04362315  0.9947523   0.06106438  0.03844108]
 [ 0.02616364 -0.02932705 -0.04753418  0.9694852  -0.23726422]
 [ 0.02696602  0.03833596 -0.05200713  0.23513466  0.969438  ]]",0
3,4,5,,0.7565419673919678,"[[-9.87532377e-01 -1.40975848e-01  6.79333657e-02 -7.92572461e-03
  -1.50930425e-02]
 [-1.46930560e-01  9.82967734e-01 -7.87381828e-02  6.31644577e-02
   4.46827970e-02]
 [ 5.62321320e-02  8.97103995e-02  9.92866993e-01  1.04602724e-02
  -5.38102165e-02]
 [ 5.09911973e-04 -6.69051111e-02 -9.92335263e-04  9.95688856e-01
   6.42350242e-02]
 [-5.37138293e-03 -3.70963924e-02  5.83039150e-02 -6.66460022e-02
   9.95366275e-01]]",0
4,5,5,,0.7130728960037231,"[[-0.99704015  0.00614712 -0.04541238  0.04882143  0.03777994]
 [ 0.01108769  0.99387425 -0.10695624 -0.01446537  0.02102966]
 [-0.04167774  0.10938632  0.9858641   0.10147901 -0.06380897]
 [ 0.05000176  0.00429    -0.10581272  0.9893216  -0.08676339]
 [ 0.03937995 -0.01387477  0.05808373  0.09138942  0.9932426 ]]",0
5,6,5,,0.7281619906425476,"[[-0.99781483 -0.04773375  0.00932102 -0.02526062 -0.03690578]
 [-0.04831543  0.9981774   0.02651168  0.02394844  0.00556163]
 [ 0.005512   -0.03098665  0.97202474  0.23171324 -0.02205037]
 [-0.02440175 -0.01807181 -0.23286985  0.97119224 -0.0404387 ]
 [-0.03748759 -0.00874259  0.01223463  0.04339399  0.9982412 ]]",0
6,7,5,,0.7036817073822021,"[[ 0.9967179  -0.0652433   0.03416713  0.00166128  0.03356668]
 [ 0.06308255  0.99400085  0.02886406  0.08061544  0.02550956]
 [-0.0331366  -0.01920468  0.9946041  -0.07372875 -0.06212756]
 [-0.00982159 -0.08231043  0.07231266  0.99389184  0.00885762]
 [-0.03714373 -0.02369842  0.05943874 -0.01554078  0.997138  ]]",0
7,8,5,,0.7603616118431091,"[[ 9.88288343e-01 -1.40329674e-01  5.87737709e-02  4.52759117e-03
   1.09051559e-02]
 [ 1.40290692e-01  9.83554542e-01  4.89832927e-03 -1.06539607e-01
  -3.95523645e-02]
 [-5.99513352e-02 -1.30812563e-02  9.83467519e-01 -1.67003676e-01
   3.37051749e-02]
 [-4.36276343e-04 -1.05738044e-01 -1.67470858e-01 -9.80121493e-01
  -1.16021503e-02]
 [-3.21776373e-03  3.97050157e-02 -3.55907679e-02 -1.00207729e-02
   9.98521924e-01]]",0
8,9,5,,0.7613701224327087,"[[-0.9909677  -0.12610497 -0.04236474 -0.01445512  0.00876788]
 [-0.12830351  0.98574764  0.02472918  0.08778934 -0.05933986]
 [-0.03880934 -0.02850911  0.99749637  0.01575928  0.04933187]
 [ 0.00245505  0.08818525  0.0186465  -0.9959085  -0.00599329]
 [ 0.00301359  0.06172227 -0.04740178 -0.00141438  0.99696153]]",0
9,10,5,,0.846103310585022,"[[ 9.60502088e-01  2.21173406e-01  1.62290588e-01 -4.66833711e-02
   7.40419549e-04]
 [-2.49137267e-01  9.53001976e-01  1.64733276e-01 -3.87262851e-02
  -3.28802466e-02]
 [-1.19911373e-01 -1.95722491e-01  9.65745747e-01 -3.52719426e-02
   1.15780428e-01]
 [-3.12850028e-02 -4.37196083e-02 -4.13522050e-02 -9.95598137e-01
  -6.46856502e-02]
 [ 2.98478664e-03  5.14868908e-02 -1.10226884e-01 -6.21386766e-02
   9.90620553e-01]]",0
10,11,5,,1.2665618658065796,"[[-9.15533960e-01  2.51938552e-01  1.22116745e-01  2.82395571e-01
  -6.05374277e-02]
 [ 2.80286521e-01  9.00117755e-01  3.31375241e-01 -3.76563184e-02
  -8.22480361e-05]
 [ 1.20078372e-02 -3.50227147e-01  9.34962451e-01 -5.45982420e-02
  -7.81403668e-03]
 [ 2.65625536e-01 -5.53173348e-02  3.24695483e-02  9.40133989e-01
   2.03658655e-01]
 [-1.11963943e-01  2.44130641e-02  8.30281712e-03 -1.78890571e-01
   9.77137327e-01]]",0
0,1,5,,0.7947129607200623,"[[ 0.98154     0.10405114  0.10585494  0.02486888 -0.11801998]
 [-0.12898286  0.97384846  0.17069669 -0.03440103 -0.06827863]
 [-0.0853474  -0.18278277  0.9794003  -0.00666557  0.00608312]
 [-0.04010415  0.02155145  0.00790155  0.99411607 -0.09796999]
 [ 0.10511892  0.08317873  0.01923768  0.09943359  0.9857861 ]]",1
1,2,5,,0.7938801646232605,"[[ 0.99222744 -0.08099269 -0.04227861  0.07647128  0.03591086]
 [ 0.08238417  0.9950295   0.02786926 -0.02035222  0.04402346]
 [ 0.04932147 -0.03107549  0.9917942  -0.0954596  -0.06191447]
 [-0.07874069  0.00596568  0.11547855  0.9204594   0.36494318]
 [-0.0080552  -0.04852872  0.02108934 -0.3706479   0.92723   ]]",1
2,3,5,,0.8829004764556885,"[[ 0.99706393  0.04991009  0.04335866 -0.0285846  -0.02599205]
 [-0.04834219  0.9974333  -0.04002718  0.02008644 -0.02800552]
 [-0.04221248  0.03678695  0.99482095  0.08237119  0.02027623]
 [ 0.02568024 -0.02813671 -0.07262237  0.96455127 -0.25082988]
 [ 0.03294421  0.02215725 -0.03968824  0.24826445  0.9670643 ]]",1
3,4,5,,0.7553955316543579,"[[ 0.9929516  -0.110113    0.04080066 -0.01583055  0.00265381]
 [ 0.11324859  0.9898546  -0.06670768  0.04978224  0.02084218]
 [-0.03267452  0.07187284  0.9949288   0.00445068 -0.06215743]
 [ 0.00986849 -0.05215742  0.0027665   0.9973239   0.05019693]
 [-0.00754758 -0.01329839  0.06320145 -0.0509557   0.9965818 ]]",1
4,5,5,,0.6974501013755798,"[[ 0.99752903 -0.01413918  0.04226564 -0.04121076 -0.03537304]
 [ 0.0176929   0.9948764  -0.09535046 -0.02407023  0.01538885]
 [-0.03723329  0.09880839  0.9860365   0.118792   -0.04971024]
 [ 0.04344836  0.01259143 -0.12261458  0.9883682  -0.07776637]
 [ 0.03672551 -0.00996918  0.04265719  0.08209147  0.994984  ]]",1
5,6,5,,0.8252779841423035,"[[-0.996218   -0.06993434  0.01650303 -0.02231832 -0.04345503]
 [-0.07003074  0.9973172  -0.01749246  0.00712433 -0.00986059]
 [ 0.00971023  0.01529546  0.96025914  0.27739587 -0.02501452]
 [-0.02377364 -0.01370441 -0.27761692  0.9597895  -0.03130245]
 [-0.0445626   0.00676092  0.01590357  0.03614806  0.9982028 ]]",1
6,7,5,,0.6932668089866638,"[[ 9.9704784e-01 -1.4663850e-02  6.4297363e-02 -3.6639365e-05
   3.9324149e-02]
 [ 1.0890356e-02  9.9532217e-01  5.3960480e-02  7.9096273e-02
   6.8765539e-03]
 [-6.3615374e-02 -4.7046456e-02  9.9364078e-01 -7.4547686e-02
  -2.9334053e-02]
 [-5.0017177e-03 -8.2600988e-02  6.9832377e-02  9.9397099e-01
  -1.7239226e-02]
 [-4.1292112e-02 -9.0843076e-03  2.7489707e-02  1.4425946e-02
   9.9862331e-01]]",1
7,8,5,,0.7198653817176819,"[[ 0.9904318  -0.12802999  0.04884424 -0.00908371  0.0135961 ]
 [ 0.13017988  0.98612475 -0.02458297  0.08569843 -0.0516014 ]
 [-0.04540161  0.02314845  0.9927957   0.10460375  0.02859228]
 [ 0.00247365 -0.08755393 -0.10298046  0.9904508   0.02702621]
 [-0.00552943  0.05445028 -0.02759641 -0.02526892  0.9977998 ]]",1
8,9,5,,0.7390925884246826,"[[-0.97251767 -0.2301254  -0.03088468 -0.0161504   0.00607769]
 [-0.23175324  0.9654934   0.04443265  0.08838397 -0.06577975]
 [-0.02023075 -0.04154312  0.9950696  -0.08581484  0.01836225]
 [ 0.00315576 -0.09401053  0.08175462  0.9922004  -0.00259519]
 [-0.00897548  0.06558195 -0.01498443  0.01008649  0.99764335]]",1
9,10,5,,0.8019728064537048,"[[ 0.9585573   0.25367108  0.1251215   0.03146376  0.01317627]
 [-0.27455536  0.9401318   0.19327933  0.0355979  -0.04634244]
 [-0.07188375 -0.2172233   0.9672251   0.05500135  0.09537975]
 [-0.01564436 -0.03222426 -0.06037891  0.9964023  -0.04747211]
 [-0.01937307  0.05982491 -0.08841813  0.04358948  0.9931404 ]]",1
10,11,5,,1.2113081216812134,"[[-0.90707207  0.26396805  0.2163464   0.2435285  -0.03780479]
 [ 0.3389135   0.816447    0.46607876 -0.0353498   0.00853633]
 [-0.01241282 -0.4827918   0.83470017 -0.26463622 -0.00117384]
 [-0.24033405  0.1734776  -0.19720724 -0.92669874 -0.12034898]
 [-0.06665825  0.02350961 -0.01870368 -0.10315745  0.9919741 ]]",1
0,1,5,,0.7936542630195618,"[[ 9.8032033e-01  1.0001969e-01  1.1527550e-01  1.6980391e-02
  -1.2406181e-01]
 [-1.2546936e-01  9.7631449e-01  1.6248737e-01 -3.5693072e-02
  -5.8235250e-02]
 [-9.5888391e-02 -1.7454538e-01  9.7988445e-01  3.1112845e-03
   1.2495320e-02]
 [-3.1723700e-02  2.6781933e-02 -3.0373354e-04  9.9478036e-01
  -9.3210943e-02]
 [ 1.1414250e-01  7.4984960e-02  1.1653597e-02  9.4021425e-02
   9.8608971e-01]]",2
1,2,5,,0.7927713394165039,"[[ 9.9350268e-01 -6.6814288e-02 -3.3810861e-02  7.7080958e-02
   3.7464362e-02]
 [ 6.6895254e-02  9.9582267e-01  2.0060493e-02 -1.7523974e-02
   5.6148410e-02]
 [ 4.4652633e-02 -2.1103721e-02  9.8827368e-01 -1.2570509e-01
  -7.1232609e-02]
 [-7.9792105e-02 -9.2905672e-04  1.4600681e-01  9.2283827e-01
   3.4739578e-01]
 [-1.0805471e-02 -5.8538523e-02  2.1248274e-02 -3.5541403e-01
   9.3256950e-01]]",2
2,3,5,,0.8725497722625732,"[[ 0.99719214  0.04275139  0.05166963 -0.02725226 -0.01917586]
 [-0.04029301  0.99695873 -0.05346626  0.01439438 -0.03719992]
 [-0.05167107  0.05173236  0.9952973   0.05434728  0.03291586]
 [ 0.02507008 -0.02425568 -0.04235736  0.96886563 -0.24142988]
 [ 0.02618961  0.03132001 -0.04539473  0.23957437  0.9689565 ]]",2
3,4,5,,0.7545138597488403,"[[-9.8803353e-01 -1.3811873e-01  6.6786952e-02 -6.7210482e-03
  -1.4391298e-02]
 [-1.4364895e-01  9.8427701e-01 -7.5549461e-02  5.8558561e-02
   3.7774608e-02]
 [ 5.5790465e-02  8.5205801e-02  9.9376619e-01  1.4506899e-02
  -4.2961240e-02]
 [ 5.6935265e-04 -6.1985899e-02 -6.6893594e-03  9.9628031e-01
   5.9483759e-02]
 [-6.4525013e-03 -3.1932935e-02  4.7071792e-02 -6.1163012e-02
   9.9648482e-01]]",2
4,5,5,,0.7072858214378357,"[[-0.9974355   0.00662573 -0.04268635  0.04690472  0.03250134]
 [ 0.01097169  0.9946705  -0.10049827 -0.01060817  0.01725515]
 [-0.03976938  0.10231763  0.9882062   0.08444281 -0.06532565]
 [ 0.04803774  0.00244231 -0.0879813   0.99222267 -0.07375573]
 [ 0.03335877 -0.0105731   0.06152883  0.07778832  0.99445397]]",2
5,6,5,,0.7469240427017212,"[[-0.9979388  -0.04358843  0.00537325 -0.02750159 -0.03785534]
 [-0.04414371  0.9985699   0.02596532  0.01298379  0.00816474]
 [ 0.0015145  -0.02788893  0.97796404  0.2060505  -0.01869305]
 [-0.02616417 -0.00815556 -0.20684168  0.97716665 -0.04013425]
 [-0.03850533 -0.01067024  0.00998839  0.04199519  0.99826854]]",2
6,7,5,,0.7055732011795044,"[[ 0.9964961  -0.06664831  0.0346154   0.00184698  0.03676809]
 [ 0.0639873   0.993591    0.0440926   0.07925989  0.02136083]
 [-0.03484227 -0.03587355  0.99537116 -0.06113984 -0.05474726]
 [-0.00976612 -0.08157821  0.05847302  0.99483246  0.01178539]
 [-0.03989723 -0.01982501  0.05171814 -0.01687445  0.9975248 ]]",2
7,8,5,,0.7449318766593933,"[[-9.8652536e-01 -1.5141349e-01  6.0596008e-02 -9.3684159e-03
   9.0544261e-03]
 [-1.5266158e-01  9.8272961e-01 -8.4741656e-03  9.3567334e-02
  -4.5937572e-02]
 [ 5.8740944e-02  5.5693076e-03  9.8741192e-01  1.4298764e-01
   3.3025660e-02]
 [-3.4068166e-03 -9.6272483e-02 -1.4139105e-01  9.8513252e-01
  -1.5571765e-02]
 [-7.3612609e-05  4.4911340e-02 -3.5812773e-02  1.5027590e-02
   9.9823570e-01]]",2
8,9,5,,0.7503960132598877,"[[ 9.8762387e-01  1.5235816e-01  3.1950787e-02  1.9110644e-02
  -8.3634506e-05]
 [-1.5431789e-01  9.8119813e-01  3.9388705e-02  8.6361401e-02
  -6.6530481e-02]
 [-2.5987206e-02 -4.3840360e-02  9.9773782e-01  2.4569154e-02
   3.6308367e-02]
 [-4.9551395e-03 -8.6750448e-02 -2.8740430e-02  9.9577355e-01
   7.6602241e-03]
 [-9.2295837e-03  6.7745484e-02 -3.3480097e-02 -2.7807318e-03
   9.9709415e-01]]",2
9,10,5,,0.8279654383659363,"[[ 0.96474504  0.22934128  0.11973924 -0.04630825  0.01369951]
 [-0.24635202  0.95739293  0.13906068 -0.04282835 -0.03920956]
 [-0.08617597 -0.16077039  0.9759393  -0.03418103  0.11445876]
 [-0.03045317 -0.04920833 -0.0386738  -0.9957889  -0.05966685]
 [-0.01496754  0.05032738 -0.11122745 -0.05707525  0.9907644 ]]",2
10,11,5,,1.2393813133239746,"[[-0.92431843  0.22484732  0.13236342  0.27451384 -0.04691683]
 [ 0.25590682  0.9102898   0.32303095 -0.03893191  0.00441143]
 [ 0.01766656 -0.3409112   0.9332474  -0.11183085 -0.00327835]
 [ 0.26777166 -0.06573647  0.08450579  0.9430507   0.16580458]
 [-0.09018526  0.01656328 -0.00626064 -0.1458617   0.9850266 ]]",2
0,1,5,,0.7932664155960083,"[[ 0.97846264  0.1141611   0.11930759  0.02156512 -0.12197854]
 [-0.13630228  0.9792599   0.13567126 -0.03834415 -0.05093969]
 [-0.10043533 -0.14955428  0.9835073  -0.00342483  0.01574483]
 [-0.03599279  0.02904892  0.0054917   0.99569577 -0.08012752]
 [ 0.11247151  0.06933275  0.00649781  0.0815036   0.98785526]]",3
