layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,6,0.9,0.8702431321144104,"[[ 9.79676723e-01  1.02886491e-01  1.15640983e-01  1.84564646e-02
  -1.25028551e-01  1.73866898e-02]
 [-1.27543077e-01  9.77249801e-01  1.50688946e-01 -3.82402875e-02
  -5.63099533e-02  3.70859206e-02]
 [-9.69481468e-02 -1.63186461e-01  9.81692493e-01  3.09128268e-03
   1.50439963e-02  3.88331478e-03]
 [-3.29063386e-02  2.83304732e-02 -5.85846079e-04  9.94717121e-01
  -8.21700990e-02  4.35908958e-02]
 [ 1.13599867e-01  6.88593611e-02  6.92109670e-03  7.76818767e-02
   9.81027901e-01  1.17708832e-01]
 [-2.40750648e-02 -4.71508354e-02 -1.23082679e-02 -5.18737696e-02
  -1.08642034e-01  9.91237462e-01]]",0
1,2,6,0.9,0.8809561729431152,"[[ 0.9930356  -0.07295495 -0.0344882   0.07569727  0.03814508 -0.0135394 ]
 [ 0.07403377  0.9946194   0.02776304 -0.03139702  0.05321135 -0.02575209]
 [ 0.04392111 -0.03096539  0.98833716 -0.12015054 -0.07539093 -0.01348162]
 [-0.07859888  0.01100814  0.1418405   0.9214337   0.34945753 -0.04921117]
 [-0.01201866 -0.06080764  0.02632458 -0.35733113  0.9315292   0.00573341]
 [ 0.01216593  0.02514249  0.0204372   0.04607039  0.01274898  0.9982571 ]]",0
2,3,6,0.9,0.9045095443725586,"[[ 9.9562496e-01  4.9257822e-02  5.6746151e-02 -2.8220279e-02
  -2.8233843e-02 -3.8611811e-02]
 [-4.7478110e-02  9.9654180e-01 -4.6126965e-02  1.8012987e-02
  -4.6881229e-02  3.8466373e-04]
 [-5.8785088e-02  4.3495327e-02  9.9280965e-01  6.0097180e-02
   2.9806305e-02 -6.6943362e-02]
 [ 2.7493808e-02 -2.8902277e-02 -4.5056529e-02  9.7075927e-01
  -2.2439428e-01  6.0433976e-02]
 [ 2.0387642e-02  3.6515277e-02 -6.5093569e-02  2.2846137e-01
   9.0448940e-01 -3.5173595e-01]
 [ 4.3005161e-02  2.0431651e-02  5.2095536e-02  2.6443889e-02
   3.5729927e-01  9.3094420e-01]]",0
3,4,6,0.9,0.8253471851348877,"[[-9.8754185e-01 -1.4088306e-01  6.7849830e-02 -7.9180384e-03
  -1.5267895e-02 -3.7045907e-03]
 [-1.4659540e-01  9.7998649e-01 -7.5952120e-02  6.2766641e-02
   5.0519262e-02  7.6653354e-02]
 [ 5.5923350e-02  9.2396803e-02  9.9033171e-01  1.0863236e-02
  -5.9123565e-02 -6.2967800e-02]
 [ 6.5975345e-04 -6.8040028e-02  1.5336620e-04  9.9537802e-01
   6.6642687e-02  1.2307465e-02]
 [-6.2340545e-03 -2.9602885e-02  5.1225457e-02 -6.5508597e-02
   9.8053145e-01 -1.7529240e-01]
 [ 1.0209154e-02 -7.5733393e-02  7.9036310e-02 -2.8476279e-02
   1.6684088e-01  9.7942162e-01]]",0
4,5,7,0.9,0.8469985127449036,"[[-9.96425450e-01  6.10071095e-03 -4.62075397e-02  4.86625694e-02
   3.70427333e-02 -7.70543644e-04 -3.49753611e-02]
 [ 1.07946023e-02  9.93847966e-01 -1.06545247e-01 -1.44352345e-02
   2.14141235e-02  7.02653732e-03  9.02698189e-03]
 [-4.09364216e-02  1.09374255e-01  9.84819412e-01  1.01519205e-01
  -6.46127909e-02 -1.39041897e-02 -4.26374823e-02]
 [ 4.97624949e-02  3.98126524e-03 -1.04941018e-01  9.87521052e-01
  -8.71174634e-02  6.08602241e-02  2.00389698e-03]
 [ 4.04266678e-02 -1.40542677e-02  5.69704697e-02  9.02804807e-02
   9.91636872e-01  2.24468764e-02 -5.40793091e-02]
 [-3.46195535e-03 -5.12310909e-03  1.70905311e-02 -6.11185618e-02
  -2.08407938e-02  9.96290267e-01 -5.39025255e-02]
 [-3.49501967e-02 -5.16200718e-03  4.57536764e-02  5.79579081e-03
   5.12556285e-02  5.43553010e-02  9.95511532e-01]]",0
5,6,7,0.9,0.8117737770080566,"[[-0.9976599  -0.04766301  0.00938581 -0.02580707 -0.03358208  0.02208253
   0.00577417]
 [-0.04835751  0.9977163   0.02612911  0.02400997  0.00607676  0.00286918
  -0.03032081]
 [ 0.00561293 -0.03157406  0.97149247  0.23125423 -0.01800205  0.02299042
  -0.02902913]
 [-0.02396175 -0.01766081 -0.23248523  0.9696675  -0.03168787  0.05698584
   0.02362289]
 [-0.03922579 -0.00896643  0.01190373  0.04968531  0.95880353 -0.2760124
  -0.01683937]
 [ 0.01329123 -0.00141725 -0.00489895 -0.04891668  0.2795669   0.9581012
   0.03590182]
 [ 0.00389335  0.02998622  0.03487652 -0.01274837  0.00672606 -0.03984303
   0.9980351 ]]",0
6,7,7,0.9,0.8146482706069946,"[[ 9.9661225e-01 -6.5123387e-02  3.4258507e-02  1.4608642e-03
   3.1038960e-02  1.6613649e-02 -1.0378919e-02]
 [ 6.3092656e-02  9.9394751e-01  2.8806329e-02  8.0634810e-02
   2.6193384e-02 -6.9496944e-03 -4.6344209e-03]
 [-3.3121023e-02 -1.9244205e-02  9.9452794e-01 -7.3614143e-02
  -6.1085578e-02 -1.6974375e-02  2.8788692e-03]
 [-9.9134352e-03 -8.2326695e-02  7.2283618e-02  9.9362618e-01
   7.6221218e-03  7.4396203e-03 -2.2197239e-02]
 [-3.7817102e-02 -2.2731792e-02  6.0419891e-02 -1.7151283e-02
   9.7680765e-01  1.8652178e-01 -7.1866997e-02]
 [ 9.6946098e-03 -1.2744639e-02 -4.8053712e-03  4.9067000e-03
   1.8666077e-01 -9.8210251e-01 -1.8135520e-02]
 [ 7.9939896e-03  2.9455221e-04  3.4962050e-03  2.1579076e-02
   7.4602798e-02 -4.0643993e-03  9.9693334e-01]]",0
7,8,7,0.9,0.8741503357887268,"[[ 9.88202155e-01 -1.40061647e-01  5.85861914e-02  4.55380837e-03
   1.20099122e-02 -1.37785990e-02  7.21410709e-03]
 [ 1.40483961e-01  9.82937932e-01  5.31814806e-03 -1.06530204e-01
  -4.20048758e-02  2.52538081e-02 -1.78356469e-02]
 [-6.00735992e-02 -1.26910852e-02  9.83174801e-01 -1.66829735e-01
   3.55654545e-02 -2.23053191e-02  1.67823141e-03]
 [-4.47493221e-04 -1.05694100e-01 -1.67506158e-01 -9.79929805e-01
  -1.11691672e-02 -1.17316041e-02 -1.56656951e-02]
 [-2.08390644e-03  3.60382907e-02 -3.29734199e-02 -1.09729357e-02
   9.82215583e-01  1.77112758e-01 -3.70512232e-02]
 [ 9.32348985e-03 -3.55521478e-02  2.70221699e-02 -1.04009099e-02
  -1.75568432e-01  9.83304620e-01 -9.92777571e-03]
 [-4.51895036e-03  1.79083124e-02 -5.56112593e-03 -1.75323430e-02
   3.36139426e-02  1.67452339e-02  9.98954594e-01]]",0
8,9,7,0.9,0.8702142834663391,"[[-0.99089366 -0.12631062 -0.04226433 -0.01429025  0.00819244  0.00916146
   0.00581804]
 [-0.12813815  0.9852384   0.0249108   0.08798891 -0.06147044  0.02574352
   0.00905972]
 [-0.03888853 -0.02833126  0.9973441   0.0154017   0.04892571 -0.00364923
  -0.01858716]
 [ 0.00265277  0.08771757  0.01900614 -0.9951069  -0.00554569  0.01193663
   0.03906753]
 [ 0.00426327  0.05766299 -0.0462786  -0.00104573  0.973494    0.20810936
  -0.05927817]
 [ 0.01180423 -0.03850022  0.01364365  0.01170449 -0.20291942  0.9769315
   0.04983968]
 [ 0.00578706 -0.00683497  0.01444999  0.03795514  0.06973469 -0.03732361
   0.99599916]]",0
9,10,8,0.9,1.050835371017456,"[[ 9.59778309e-01  2.22452119e-01  1.61373749e-01 -4.63296361e-02
   5.64062828e-03 -3.25886756e-02 -7.41848908e-03 -1.93769403e-03]
 [-2.48332024e-01  9.51380968e-01  1.65810898e-01 -3.90940160e-02
  -3.90205942e-02  5.07790372e-02  5.92188677e-04 -9.07533709e-03]
 [-1.20083019e-01 -1.95366576e-01  9.65368569e-01 -3.52581926e-02
   1.17054343e-01 -1.87730081e-02  5.01209404e-04 -1.33469673e-02]
 [-3.16092819e-02 -4.24365886e-02 -4.17288765e-02 -9.94142234e-01
  -6.29207268e-02 -3.51770222e-02  4.21881676e-02  1.27909342e-02]
 [ 7.27808941e-03  4.43067849e-02 -1.04484633e-01 -6.19623214e-02
   9.57716227e-01  2.28919551e-01  1.13693841e-01 -2.60137599e-02]
 [ 4.02125418e-02 -5.82563244e-02  3.86138186e-02 -2.08435562e-02
  -2.26202011e-01  9.70438302e-01 -6.57162257e-03 -1.01368334e-02]
 [ 8.21005553e-03 -2.99931807e-03  1.36572951e-02  4.80773002e-02
  -1.10023975e-01 -1.96953919e-02  9.90022540e-01 -6.91942796e-02]
 [-4.28601663e-04  7.37705547e-03  1.38960732e-02  1.33444117e-02
   1.70830172e-02  1.50717366e-02  7.10663125e-02  9.96997893e-01]]",0
