layer,level_from,level_to,G,boot_id
0,1,2,0.9899436235427856,0
0,2,3,0.9929979812531244,0
0,3,4,0.9926479089827764,0
0,4,5,0.9897555935950506,0
0,5,6,0.9886915485064188,0
0,6,7,0.9880205733435494,0
0,7,8,0.9900675444375902,0
0,8,9,0.990029616015298,0
0,9,10,0.9861066937446594,0
1,1,2,0.9892292789050511,0
1,2,3,0.9926977980704534,0
1,3,4,0.9906672608284723,0
1,4,5,0.9875518736385164,0
1,5,6,0.9875614075433641,0
1,6,7,0.988435997849419,0
1,7,8,0.9885386512393043,0
1,8,9,0.9904852310816447,0
1,9,10,0.9868159436044239,0
2,1,2,0.9819522102673849,0
2,2,3,0.9867315065293085,0
2,3,4,0.9854901943887983,0
2,4,5,0.9817808980033511,0
2,5,6,0.9773857167788914,0
2,6,7,0.9715331906364078,0
2,7,8,0.9797472073918297,0
2,8,9,0.9811153298332578,0
2,9,10,0.9731511076291403,0
3,1,2,0.9737754237084162,0
3,2,3,0.9777795047987075,0
3,3,4,0.9696892954054332,0
3,4,5,0.9693543087868464,0
3,5,6,0.9581163383665539,0
3,6,7,0.9534380918457395,0
3,7,8,0.9631419607571193,0
3,8,9,0.9690822079068139,0
3,9,10,0.9628531989597139,0
4,1,2,0.9682612844875881,0
4,2,3,0.9741771788824172,0
4,3,4,0.9638492096038092,0
4,4,5,0.960164243266696,0
4,5,6,0.9451610843340555,0
4,6,7,0.9406038522720337,0
4,7,8,0.9494180452255976,0
4,8,9,0.9594980648585728,0
4,9,10,0.9503534464609056,0
5,1,2,0.9592513385273161,0
5,2,3,0.9692899925368172,0
5,3,4,0.9530844432967049,0
5,4,5,0.9520353163991656,0
5,5,6,0.9348426574752444,0
5,6,7,0.9328834613164266,0
5,7,8,0.9351245363553365,0
5,8,9,0.9526397642635164,0
5,9,10,0.9441044217064267,0
6,1,2,0.9526210256985256,0
6,2,3,0.9575229457446507,0
6,3,4,0.9410072990826198,0
6,4,5,0.9425068554424104,0
6,5,6,0.9267122745513916,0
6,6,7,0.9193739295005798,0
6,7,8,0.9215361248879206,0
6,8,9,0.9466437214896792,0
6,9,10,0.9410501718521118,0
7,1,2,0.945382072812035,0
7,2,3,0.9409016768137614,0
7,3,4,0.9300872797057742,0
7,4,5,0.9177963109243483,0
7,5,6,0.9107594773882911,0
7,6,7,0.9045319812638419,0
7,7,8,0.907546375479017,0
7,8,9,0.9403636569068545,0
7,9,10,0.9356060397057306,0
8,1,2,0.9364589254061381,0
8,2,3,0.9223146069617498,0
8,3,4,0.9100580187070937,0
8,4,5,0.9014906088511149,0
8,5,6,0.8928425397191729,0
8,6,7,0.8894067690485999,0
8,7,8,0.8968697190284729,0
8,8,9,0.9306295258658273,0
8,9,10,0.9267656377383641,0
9,1,2,0.921257061617715,0
9,2,3,0.9018898038637071,0
9,3,4,0.8943864646412077,0
9,4,5,0.8816111400013878,0
9,5,6,0.8674298723538717,0
9,6,7,0.863066832224528,0
9,7,8,0.8825019512857709,0
9,8,9,0.9202793410846165,0
9,9,10,0.9043728567305065,0
10,1,2,0.901000474180494,0
10,2,3,0.8816532350721813,0
10,3,4,0.8561242279552278,0
10,4,5,0.8544113948231652,0
10,5,6,0.8393204382487706,0
10,6,7,0.8236925346510751,0
10,7,8,0.8657035572188241,0
10,8,9,0.9093476108142308,0
10,9,10,0.8802141405287243,0
11,1,2,0.8643707235654196,0
11,2,3,0.888051206157321,0
11,3,4,0.8291923091525123,0
11,4,5,0.8242820245879037,0
11,5,6,0.8421131230535961,0
11,6,7,0.7931165553274608,0
11,7,8,0.8348760150727772,0
11,8,9,0.919428410984221,0
11,9,10,0.8652925037202381,0
0,1,2,0.9887682000796,1
0,2,3,0.9915630022684733,1
0,3,4,0.9921655456225077,1
0,4,5,0.9883320232232412,1
0,5,6,0.986579696337382,1
0,6,7,0.9856200118859609,1
0,7,8,0.9888009031613668,1
0,8,9,0.9892758826414744,1
0,9,10,0.9853207866350809,1
1,1,2,0.9882874091466268,1
1,2,3,0.9920217196146647,1
1,3,4,0.9908648530642191,1
1,4,5,0.9870229661464691,1
1,5,6,0.9866297940413157,1
1,6,7,0.9857873817284902,1
1,7,8,0.9867124358812968,1
1,8,9,0.9900279740492502,1
1,9,10,0.9858738084634145,1
2,1,2,0.9796143174171448,1
2,2,3,0.985596219698588,1
2,3,4,0.9839201271533966,1
2,4,5,0.9804105460643768,1
2,5,6,0.9740200936794281,1
2,6,7,0.9672764937082926,1
2,7,8,0.9753208160400391,1
2,8,9,0.9798134466012319,1
2,9,10,0.969808022181193,1
3,1,2,0.9690624872843424,1
3,2,3,0.9761821230252584,1
3,3,4,0.9628420770168304,1
3,4,5,0.9596651395161947,1
3,5,6,0.9489319721857706,1
3,6,7,0.9377398788928986,1
3,7,8,0.9521940151850382,1
3,8,9,0.962671826283137,1
3,9,10,0.9541905025641123,1
4,1,2,0.9627195099989573,1
4,2,3,0.9680352111657461,1
4,3,4,0.9506671726703644,1
4,4,5,0.9519015351931254,1
4,5,6,0.9317360122998556,1
4,6,7,0.9180017411708832,1
4,7,8,0.9315219024817148,1
4,8,9,0.9519717494646708,1
4,9,10,0.9407204588254293,1
5,1,2,0.9543187518914541,1
5,2,3,0.9628722866376241,1
5,3,4,0.9342937370141348,1
5,4,5,0.9414351185162863,1
5,5,6,0.9209524492422739,1
5,6,7,0.9088804026444753,1
5,7,8,0.9173523684342703,1
5,8,9,0.9425201813379923,1
5,9,10,0.9317620595296224,1
6,1,2,0.9470949172973633,1
6,2,3,0.9496336877346039,1
6,3,4,0.9138236741224924,1
6,4,5,0.9300996661186218,1
6,5,6,0.9117563764254252,1
6,6,7,0.8940598865350088,1
6,7,8,0.9044412672519684,1
6,8,9,0.9356668790181478,1
6,9,10,0.9284075697263082,1
7,1,2,0.9369219243526459,1
7,2,3,0.9277653495470682,1
7,3,4,0.8949561814467112,1
7,4,5,0.9015417993068695,1
7,5,6,0.8931457797686259,1
7,6,7,0.8746574620405833,1
7,7,8,0.8890346984068552,1
7,8,9,0.9238085349400839,1
7,9,10,0.9237090051174164,1
8,1,2,0.9263707399368286,1
8,2,3,0.904606282711029,1
8,3,4,0.8709721068541209,1
8,4,5,0.8842663864294688,1
8,5,6,0.8684358100096384,1
8,6,7,0.8467465738455454,1
8,7,8,0.8704647421836853,1
8,8,9,0.9073303540547689,1
8,9,10,0.9115046560764313,1
9,1,2,0.9094704985618591,1
9,2,3,0.8758913775285085,1
9,3,4,0.843423475821813,1
9,4,5,0.8563164671262106,1
9,5,6,0.838397353887558,1
9,6,7,0.80672354499499,1
9,7,8,0.8454255759716034,1
9,8,9,0.8960685928662618,1
9,9,10,0.883756697177887,1
10,1,2,0.8831200301647186,1
10,2,3,0.8451702992121378,1
10,3,4,0.7962399025758108,1
10,4,5,0.8259675403436025,1
10,5,6,0.7980867326259613,1
10,6,7,0.7415758570035299,1
10,7,8,0.8144133190313975,1
10,8,9,0.8819659352302551,1
10,9,10,0.844540556271871,1
11,1,2,0.8447450896104177,1
11,2,3,0.8400820195674896,1
11,3,4,0.7560282051563263,1
11,4,5,0.7705107927322388,1
11,5,6,0.7905461589495341,1
11,6,7,0.6872250239054362,1
11,7,8,0.7621548175811768,1
11,8,9,0.9036724964777628,1
11,9,10,0.8248160084088644,1
0,1,2,0.9905194015729994,2
0,2,3,0.9933867284229824,2
0,3,4,0.9931020055498395,2
0,4,5,0.9903179832867214,2
0,5,6,0.9894494726544335,2
0,6,7,0.9887198578743708,2
0,7,8,0.9912211497624716,2
0,8,9,0.9903654200690133,2
0,9,10,0.9870831994783311,2
1,1,2,0.9893931036903745,2
1,2,3,0.9927562815802438,2
1,3,4,0.9912431949660891,2
1,4,5,0.9883143532843817,2
1,5,6,0.9880793406849816,2
1,6,7,0.9889556623640514,2
1,7,8,0.9889691017922901,2
1,8,9,0.9905701194490705,2
1,9,10,0.987184831074306,2
2,1,2,0.981506381716047,2
2,2,3,0.9863875763756889,2
2,3,4,0.9850071242877415,2
2,4,5,0.9813481654439654,2
2,5,6,0.9771373953138079,2
2,6,7,0.9708561585063026,2
2,7,8,0.9790304700533549,2
2,8,9,0.9802110706056867,2
2,9,10,0.9729368119012742,2
3,1,2,0.972759314945766,2
3,2,3,0.9766378516242618,2
3,3,4,0.9670725408054534,2
3,4,5,0.9669267421676999,2
3,5,6,0.9560351627213615,2
3,6,7,0.9513504618690127,2
3,7,8,0.9608120549292791,2
3,8,9,0.9669298416092282,2
3,9,10,0.9615779462314787,2
4,1,2,0.966886716229575,2
4,2,3,0.9713516462416876,2
4,3,4,0.9588218615168617,2
4,4,5,0.9584329497246515,2
4,5,6,0.9427471586636135,2
4,6,7,0.9369782748676482,2
4,7,8,0.9455453611555553,2
4,8,9,0.956474088487171,2
4,9,10,0.9479736997967675,2
5,1,2,0.95781599907648,2
5,2,3,0.9668429153306144,2
5,3,4,0.9474826228050959,2
5,4,5,0.9506645174253554,2
5,5,6,0.9329380080813453,2
5,6,7,0.9279662171999613,2
5,7,8,0.9307332947140649,2
5,8,9,0.9491267175901503,2
5,9,10,0.9414954157102675,2
6,1,2,0.9513497664814904,2
6,2,3,0.9545027925854638,2
6,3,4,0.9333300874346778,2
6,4,5,0.9407856804983956,2
6,5,6,0.9255714842251369,2
6,6,7,0.9142983328728449,2
6,7,8,0.9168274970281691,2
6,8,9,0.9425321107818967,2
6,9,10,0.9375955235390436,2
7,1,2,0.9428740995270866,2
7,2,3,0.937555608295259,2
7,3,4,0.9220502773920695,2
7,4,5,0.9163302864347186,2
7,5,6,0.9098727220580691,2
7,6,7,0.8991366227467855,2
7,7,8,0.9029276711600167,2
7,8,9,0.9339704400017148,2
7,9,10,0.9326683595066979,2
8,1,2,0.9338750214803786,2
8,2,3,0.9177740954217457,2
8,3,4,0.9023542659623283,2
8,4,5,0.9011816893305097,2
8,5,6,0.8913926794415429,2
8,6,7,0.8789127469062805,2
8,7,8,0.8903211213293529,2
8,8,9,0.9219813914526076,2
8,9,10,0.9228596545401073,2
9,1,2,0.9185212765421186,2
9,2,3,0.8964519018218631,2
9,3,4,0.8843579121998378,2
9,4,5,0.8811295032501221,2
9,5,6,0.8649493143672035,2
9,6,7,0.8495411191667829,2
9,7,8,0.8717505364190965,2
9,8,9,0.9125166478611174,2
9,9,10,0.8997674584388733,2
10,1,2,0.8980767925580343,2
10,2,3,0.8733048155194237,2
10,3,4,0.8467760511807033,2
10,4,5,0.8552587372916085,2
10,5,6,0.836983357157026,2
10,6,7,0.8010328241756984,2
10,7,8,0.8476050070353917,2
10,8,9,0.9017031334695362,2
10,9,10,0.8746320264680045,2
11,1,2,0.8635336728323073,2
11,2,3,0.8773858093080067,2
11,3,4,0.8153739656720843,2
11,4,5,0.8169621740068708,2
11,5,6,0.8392601949828011,2
11,6,7,0.7704549857548305,2
11,7,8,0.8122399562881106,2
11,8,9,0.9178885476929801,2
11,9,10,0.8569683744793847,2
0,1,2,0.9908326784769694,3
0,2,3,0.993410607179006,3
0,3,4,0.9930124322573344,3
0,4,5,0.9914206902186076,3
0,5,6,0.989012070496877,3
0,6,7,0.9894641637802124,3
0,7,8,0.990481420358022,3
0,8,9,0.9907561977704366,3
0,9,10,0.9868058800697327,3
1,1,2,0.9902665813763937,3
1,2,3,0.9928907036781311,3
1,3,4,0.9915044943491618,3
1,4,5,0.9897339463233947,3
1,5,6,0.9883383750915528,3
1,6,7,0.9896306832631429,3
1,7,8,0.9890340765317281,3
1,8,9,0.9913703004519144,3
1,9,10,0.9883424480756123,3
2,1,2,0.9831376949946086,3
2,2,3,0.9874325712521871,3
2,3,4,0.9858947277069092,3
2,4,5,0.98381560643514,3
2,5,6,0.978164800008138,3
2,6,7,0.9746692935625713,3
2,7,8,0.9805727283159892,3
2,8,9,0.9825639406840007,3
2,9,10,0.9760097781817119,3
3,1,2,0.9744590560595194,3
3,2,3,0.9779352148373922,3
3,3,4,0.9690035581588745,3
3,4,5,0.9713824550310771,3
3,5,6,0.9600934823354085,3
3,6,7,0.9556112090746561,3
3,7,8,0.9633049845695496,3
3,8,9,0.9715212027231852,3
3,9,10,0.9676653146743774,3
4,1,2,0.9697793602943421,3
4,2,3,0.9755548636118571,3
4,3,4,0.9630355596542358,3
4,4,5,0.9618394573529562,3
4,5,6,0.949991778532664,3
4,6,7,0.9435234427452087,3
4,7,8,0.9503336389859517,3
4,8,9,0.9631363828976949,3
4,9,10,0.9564703782399495,3
5,1,2,0.9619568745295207,3
5,2,3,0.971775766213735,3
5,3,4,0.9531708240509034,3
5,4,5,0.9537493546803792,3
5,5,6,0.9380769689877828,3
5,6,7,0.9318955500920614,3
5,7,8,0.935646657148997,3
5,8,9,0.9565663933753967,3
5,9,10,0.9496630986531576,3
6,1,2,0.9563688476880391,3
6,2,3,0.9621397455533346,3
6,3,4,0.9394845207532246,3
6,4,5,0.9464420000712077,3
6,5,6,0.9312660535176595,3
6,6,7,0.9156471927960713,3
6,7,8,0.9136965195337932,3
6,8,9,0.9515596350034078,3
6,9,10,0.9460445165634155,3
7,1,2,0.9500165820121765,3
7,2,3,0.9458007891972859,3
7,3,4,0.9255851745605469,3
7,4,5,0.9262624462445577,3
7,5,6,0.9200040698051453,3
7,6,7,0.904073433081309,3
7,7,8,0.9052609443664551,3
7,8,9,0.9460837721824646,3
7,9,10,0.9418093125025432,3
8,1,2,0.9442135254542033,3
8,2,3,0.9294958233833313,3
8,3,4,0.9033761699994405,3
8,4,5,0.9123698592185974,3
8,5,6,0.9051894664764404,3
8,6,7,0.8889549255371094,3
8,7,8,0.8935450593630473,3
8,8,9,0.9371976097424825,3
8,9,10,0.9317432165145874,3
9,1,2,0.9315070947011311,3
9,2,3,0.9118704080581665,3
9,3,4,0.8883943716684978,3
9,4,5,0.8942356030146281,3
9,5,6,0.8853375713030497,3
9,6,7,0.865780508518219,3
9,7,8,0.8818663040796916,3
9,8,9,0.9277067899703979,3
9,9,10,0.9084884921709696,3
10,1,2,0.9109699845314025,3
10,2,3,0.8919746200243632,3
10,3,4,0.8577103853225708,3
10,4,5,0.8724424839019775,3
10,5,6,0.8648793657620748,3
10,6,7,0.8328638911247254,3
10,7,8,0.8650727232297262,3
10,8,9,0.91724005540212,3
10,9,10,0.887300435702006,3
