metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,q_value
G,0.9899739726923761,0.9888969252715034,0.0010770474208726677,0.0008295053604103902,0.0013252314220345035,0.0,1.1555068092345806,100,100,0,0.0
G,0.9876113096092429,0.9888131884005336,-0.0012018787912906337,-0.0014025516592440445,-0.001011329251716997,0.0,-1.6279533396887536,100,100,1,0.0
G,0.9779863515519907,0.972806708862857,0.005179642689133623,0.004768042036595166,0.005597979926329635,0.0,3.4391145759489983,100,100,2,0.0
G,0.9637858395406177,0.9540045908732072,0.00978124866741048,0.008775875458712454,0.010768880727567851,0.0,2.7531366483510924,100,100,3,0.0
G,0.957438404487239,0.9302963070505196,0.02714209743671947,0.02571073608548631,0.02848465326565614,0.0,5.3900130180068775,100,100,4,0.0
G,0.9472517552394716,0.9281849082959077,0.019066846943563864,0.0178405379278438,0.020430704110304784,0.0,4.032725784959406,100,100,5,0.0
G,0.945023920103671,0.9241480498195641,0.020875870284106868,0.019529418354315917,0.02226439998107283,0.0,4.331868209730728,100,100,6,0.0
G,0.9385294140951028,0.9151172882167117,0.023412125878391143,0.022136314492519123,0.02475186336939324,0.0,4.733176118885311,100,100,7,0.0
G,0.9303665563421591,0.9001219049852992,0.030244651356859942,0.02863513078172772,0.0318384413911003,0.0,5.211934396053062,100,100,8,0.0
G,0.9101760524653253,0.8865468839066369,0.02362916855868835,0.021840410427642655,0.02549004432523569,0.0,3.4889578620160524,100,100,9,0.0
G,0.8845697858097061,0.8714835932240601,0.013086192585646028,0.010709987236748545,0.015708847323403073,0.0,1.4586404526827896,100,100,10,0.0
G,0.8468201006442782,0.8552718576613871,-0.008451757017108985,-0.01138760763070874,-0.005496447564081706,0.0,-0.7887545190848316,100,100,11,0.0
