metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
mean_angle,0.3546270525455475,0.341859170794487,0.012767881751060473,0.01242481086403133,0.013133060827851257,0.0,10.082355547561558,100,100,0,1,0.0
mean_angle,0.35320150703191755,0.35435552030801776,-0.0011540132761002075,-0.0016555300131440298,-0.0006346134394407372,0.0,-0.6084838373360049,100,100,1,2,0.0
mean_angle,0.38241597086191176,0.36952338308095933,0.012892587780952425,0.01160516500473025,0.014264016702771153,0.0,2.6879288491287805,100,100,2,3,0.0
mean_angle,0.3330309072136879,0.3354255765676498,-0.0023946693539619313,-0.0032975059896707556,-0.0015143152698874217,0.0,-0.7310394419819954,100,100,3,4,0.0
mean_angle,0.3141008672118187,0.33714984357357025,-0.023048976361751572,-0.024177901469171047,-0.022049482062459012,0.0,-5.712391194400224,100,100,4,5,0.0
mean_angle,0.34273653000593185,0.35059223234653475,-0.0078557023406029,-0.010607715860009151,-0.005358558163046859,0.0,-0.8067505332375743,100,100,5,6,0.0
mean_angle,0.31721888393163683,0.3429349100589752,-0.025716026127338365,-0.02739411082118747,-0.023930684395134433,0.0,-4.14990986883482,100,100,6,7,0.0
mean_angle,0.33375201910734176,0.3483119797706604,-0.01455996066331866,-0.015957946211099607,-0.013224193178117266,0.0,-2.8566186414004697,100,100,7,8,0.0
mean_angle,0.33600439339876176,0.3531379622220993,-0.017133568823337553,-0.018013388082385028,-0.01625731751322742,0.0,-5.477740617244641,100,100,8,9,0.0
mean_angle,0.3675704348087311,0.3755094477534294,-0.007939012944698343,-0.009108073145151139,-0.006699383728206142,0.0,-1.8593884352904784,100,100,9,10,0.0
mean_angle,0.519575622677803,0.4714434513449669,0.04813217133283609,0.044487452097237125,0.0515398051962256,0.0,3.6648155099873256,100,100,10,11,0.0
max_angle,0.4241128003597259,0.3970958152413368,0.027016985118389125,0.026263126827776435,0.02775515023618937,0.0,10.129926299083538,100,100,0,1,0.0
max_angle,0.43298390597105024,0.4159935665130615,0.016990339457988723,0.016302626766264428,0.01770988052338363,0.0,6.505282066578301,100,100,1,2,0.0
max_angle,0.541232727766037,0.45169290065765383,0.08953982710838321,0.08430757238715884,0.09505595573782917,0.0,4.434269834637998,100,100,2,3,0.0
max_angle,0.43914503186941145,0.40464154303073885,0.0345034888386726,0.032042290829122064,0.03682771670818328,0.0,4.094467317723811,100,100,3,4,0.0
max_angle,0.38750479340553284,0.4021881276369095,-0.014683334231376632,-0.017020101547241203,-0.01240829117596146,0.0,-1.7156612295607456,100,100,4,5,0.0
max_angle,0.5108517146110535,0.4119854784011841,0.0988662362098694,0.08706716521084312,0.1112486153542996,0.0,2.177567814735536,100,100,5,6,0.0
max_angle,0.3955164095759392,0.39733761578798293,-0.0018212062120437356,-0.0063694253563880586,0.0030221340358257466,0.466,-0.10486805987924538,100,100,6,7,0.466
max_angle,0.38688274413347246,0.3918770354986191,-0.004994291365146619,-0.007266956247389304,-0.0024752639383077584,0.0,-0.5919420665591267,100,100,7,8,0.0
max_angle,0.3908813264966011,0.4019847112894058,-0.011103384792804705,-0.013375227659940708,-0.0088237495496869,0.0,-1.3281643146178737,100,100,8,9,0.0
max_angle,0.42323053777217867,0.44561458796262743,-0.022384050190448757,-0.02521067374944688,-0.019120146453380567,0.0,-2.0650751440397426,100,100,9,10,0.0
max_angle,0.9179765033721924,0.7210751068592072,0.19690139651298522,0.18250323143601413,0.21140607742965217,0.0,3.8295497578995565,100,100,10,11,0.0
