metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,q_value
pc1,0.25149043291807177,0.2631469801068306,-0.011656547188758803,-0.011890678696334369,-0.011450725786387922,0.0,-13.968599851957846,100,100,0,0.0
pc1,0.2689172071218491,0.2532388323545456,0.015678374767303493,0.01540433102101092,0.01596076706051823,0.0,14.80131596264628,100,100,1,0.0
pc1,0.27751568377017977,0.25069731965661046,0.026818364113569304,0.026478404320776493,0.027150757279247033,0.0,22.609415775612465,100,100,2,0.0
pc1,0.26736937314271925,0.24725492551922798,0.020114447623491266,0.01969700595363972,0.020503064751625034,0.0,13.175020673961301,100,100,3,0.0
pc1,0.2627268272638321,0.2515236921608448,0.011203135102987316,0.01060834360495213,0.011764878734946239,0.0,5.466009886079967,100,100,4,0.0
pc1,0.2702980983257294,0.25350162759423256,0.016796470731496815,0.016232385378330976,0.01742968221753837,0.0,7.777506215055277,100,100,5,0.0
pc1,0.26815922915935514,0.2592479735612869,0.008911255598068213,0.008171867303550245,0.009769702278077623,0.0,2.9823889050745436,100,100,6,0.0
pc1,0.26896033525466917,0.26070279866456986,0.008257536590099313,0.0072580895200371875,0.009246980026364341,0.0,2.20854406645041,100,100,7,0.0
pc1,0.2672916379570961,0.25788054943084715,0.009411088526248945,0.00804355789721017,0.010794742822647115,0.0,1.8768261734928795,100,100,8,0.0
pc1,0.25899857133626936,0.2760117870569229,-0.017013215720653563,-0.018709317080676573,-0.015308961685746893,0.0,-2.816188719689198,100,100,9,0.0
pc1,0.2650510802865028,0.33541098892688753,-0.07035990864038472,-0.0725138626024127,-0.06818474052846434,0.0,-9.550244104945742,100,100,10,0.0
pc1,0.37193301677703855,0.3917305311560631,-0.01979751437902455,-0.023694316580891633,-0.015703820593655084,0.0,-1.3494102973500677,100,100,11,0.0
pc2,0.20742020785808563,0.22040075615048407,-0.012980548292398447,-0.013206555012613513,-0.012742997732013464,0.0,-15.35686790577363,100,100,0,0.0
pc2,0.2058677212893963,0.22580199256539346,-0.019934271275997173,-0.020201205659657717,-0.019668964676558966,0.0,-19.952210934009656,100,100,1,0.0
