metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
residual_fro,0.8734980595111846,0.8317729824781418,0.041725077033042846,0.0409431615918875,0.042531555876135885,0.0,14.304291573792051,100,100,0,1,0.0
residual_fro,0.8823596310615539,0.8874153399467468,-0.005055708885192911,-0.006279670074582061,-0.0038069987446070017,0.0,-1.1137614279307644,100,100,1,2,0.0
residual_fro,0.9021944016218185,0.9033153033256531,-0.0011209017038346092,-0.002739461421966649,0.00042118105292320555,0.182,-0.19764379527407036,100,100,2,3,0.18199999999999997
residual_fro,0.8223684877157211,0.8283885282278061,-0.006020040512084934,-0.008552057594060905,-0.0028252326846122063,0.0,-0.6216031265664457,100,100,3,4,0.0
residual_fro,0.8411444586515426,0.817802472114563,0.02334198653697961,0.020713249027729055,0.025830406367778745,0.0,2.4368294699951876,100,100,4,5,0.0
residual_fro,0.823227443099022,0.8321335232257843,-0.008906080126762306,-0.011728374823927861,-0.00624977205693727,0.0,-0.90461446961092,100,100,5,6,0.0
residual_fro,0.8162557089328766,0.8547204005718231,-0.0384646916389465,-0.04319259381294246,-0.034403952330350845,0.0,-2.386738581631061,100,100,6,7,0.0
residual_fro,0.8688700395822525,0.8960459738969803,-0.027175934314727757,-0.03395897653698931,-0.020077306255698105,0.0,-1.0772207071211062,100,100,7,8,0.0
residual_fro,0.882478397488594,0.9255121487379074,-0.04303375124931341,-0.04881913669407371,-0.03688541918992998,0.0,-2.0815212754737353,100,100,8,9,0.0
residual_fro,1.0380530434846877,1.0814612287282943,-0.04340818524360657,-0.0610605903416872,-0.027313752546906413,0.0,-0.7162161029725587,100,100,9,10,0.0
residual_fro,1.3882412230968475,1.4379107415676118,-0.049669518470764285,-0.06341299176216125,-0.0346319613158703,0.0,-1.0065952342972995,100,100,10,11,0.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,0,1,1.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,1,2,1.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,2,3,1.0
k_used,6.02,6.0,0.019999999999999574,0.0,0.04999999999999982,0.252,0.2010178182781427,100,100,3,4,0.34650000000000003
k_used,6.99,6.0,0.9900000000000002,0.96,1.0,0.0,14.000714267493644,100,100,4,5,0.0
k_used,7.0,6.01,0.9900000000000002,0.9699999999999998,1.0,0.0,14.000714267493644,100,100,5,6,0.0
k_used,7.0,6.08,0.9199999999999999,0.8700000000000001,0.9699999999999998,0.0,4.771792116176059,100,100,6,7,0.0
k_used,7.0,6.63,0.3700000000000001,0.2699999999999996,0.46999999999999975,0.0,1.0783585409580356,100,100,7,8,0.0
k_used,7.11,6.9,0.20999999999999996,0.1299999999999999,0.2902499999999998,0.0,0.6816924747438579,100,100,8,9,0.0
k_used,7.85,7.45,0.39999999999999947,0.29000000000000004,0.5200000000000005,0.0,0.8955586616496397,100,100,9,10,0.0
k_used,8.11,7.58,0.5299999999999994,0.39000000000000057,0.6699999999999999,0.0,1.0531082039999504,100,100,10,11,0.0
