metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,level_from,level_to,q_value
G,0.9904034610915751,0.9876581002847543,0.0027453608068207513,0.0024125385449283556,0.003046898606691431,0.0,2.289076061261719,100,100,0,1,2,0.0
G,0.9929841157245258,0.9909214226513627,0.002062693073163091,0.0018811085348327482,0.002235802869108536,0.0,3.1454376212717325,100,100,0,2,3,0.0
G,0.9927734642889763,0.9907698311455667,0.0020036331434095667,0.001831053278985692,0.002169989639899056,0.0,3.2516019345799054,100,100,0,3,4,0.0
G,0.9903960496333858,0.9909201779422305,-0.0005241283088447402,-0.0007173657396837424,-0.00032470536910838015,0.0,-0.743155019992993,100,100,0,4,5,0.0
G,0.9886798538939349,0.990769181152185,-0.002089327258250173,-0.0023293190965812034,-0.0018400693537340752,0.0,-2.3998256264877655,100,100,0,5,6,0.0
G,0.9883368880422344,0.988863860785015,-0.0005269727427805737,-0.00081881834468433,-0.0002608473881129948,0.0,-0.5043791288353655,100,100,0,6,7,0.0
G,0.990547646423654,0.9906292231026151,-8.157667896113718e-05,-0.00026885848992629356,0.00011345558451518744,0.392,-0.11668573140157126,100,100,0,7,8,0.39199999999999996
G,0.9906785609277466,0.9912860492898358,-0.0006074883620891258,-0.0008040114605119608,-0.0004034012424566108,0.0,-0.8250431147206672,100,100,0,8,9,0.0
G,0.9871144627124545,0.99006402854172,-0.0029495658292655325,-0.0032065935363370657,-0.0026999130581579324,0.0,-3.2672891408455667,100,100,0,9,10,0.0
G,0.9895643847211011,0.9887683766990427,0.0007960080220583698,0.0005404645500557803,0.0010374933511374722,0.0,0.8567268151853998,100,100,1,1,2,0.0
G,0.9929128019601581,0.9906253884155599,0.0022874135445981603,0.0021375386325847485,0.0024393815729823686,0.0,4.066994581056991,100,100,1,2,3,0.0
G,0.9911903483162798,0.9894992712277271,0.0016910770885527615,0.0015130922174876882,0.001870970416116635,0.0,2.600921416091123,100,100,1,3,4,0.0
G,0.9887217917044957,0.9902360014574867,-0.0015142097529909915,-0.001751322758185825,-0.0012785226039118108,0.0,-1.7638598660340044,100,100,1,4,5,0.0
G,0.9878281782018762,0.9893642522172326,-0.0015360740153563812,-0.0017491173888600636,-0.0013346257153011743,0.0,-2.0372075135083754,100,100,1,5,6,0.0
G,0.9885012028226775,0.9876735799866063,0.0008276228360711846,0.000579992776517918,0.0010838816077703122,0.0,0.913860956025083,100,100,1,6,7,0.0
G,0.9888077107322595,0.9890513461482904,-0.00024363541603089622,-0.0004327507296134958,-3.959491757889178e-05,0.016,-0.33658896146346934,100,100,1,7,8,0.016457142857142858
G,0.9910507819855968,0.9905153442228597,0.0005354377627371232,0.0003420043181215332,0.00071801651635843,0.0,0.7727044009089292,100,100,1,8,9,0.0
G,0.9876570163260378,0.9887161159818134,-0.0010590996557756638,-0.0013121915344561947,-0.0008204066980215252,0.0,-1.128863966046668,100,100,1,9,10,0.0
G,0.9823598594036366,0.9725444063643615,0.009815453039275113,0.009392482820957494,0.010243419582432337,0.0,6.138578933545035,100,100,2,1,2,0.0
G,0.9869856636912104,0.9793325053056081,0.007653158385602321,0.0073512561759778525,0.007947709438441322,0.0,6.600854248148981,100,100,2,2,3,0.0
G,0.9855438637842259,0.9763477396473051,0.009196124136920725,0.008843658046980424,0.009530974417416283,0.0,7.147175401991239,100,100,2,3,4,0.0
G,0.9827567135280089,0.9809254940757676,0.001831219452241295,0.0014665585062569237,0.0021901477012249786,0.0,1.3441802003419887,100,100,2,4,5,0.0
G,0.9776709561324308,0.9767668807241651,0.0009040754082657587,0.0005686599377011714,0.0012664842763115995,0.0,0.7017822811097789,100,100,2,5,6,0.0
G,0.972743025993544,0.9757685301332247,-0.0030255041396807236,-0.003539931249996786,-0.0025557291295673495,0.0,-1.6932632058549728,100,100,2,6,7,0.0
G,0.9797524865477805,0.9792754501955848,0.00047703635219564777,0.0001277444537550132,0.0008501362432325936,0.004,0.33834824470323743,100,100,2,7,8,0.004153846153846154
G,0.9819064840083084,0.9794663100157465,0.0024401739925619115,0.0020372108718587053,0.0027891548059407107,0.0,1.8312570194865985,100,100,2,8,9,0.0
G,0.9744084372941464,0.9753150275581413,-0.0009065902639948664,-0.001450423808726778,-0.0003451561553846433,0.0,-0.45992768034726533,100,100,2,9,10,0.0
G,0.9730848407769014,0.9552173519328473,0.01786748884405409,0.01727950697083549,0.018505746045129175,0.0,7.759585695204046,100,100,3,1,2,0.0
G,0.9778785051826447,0.9624889963567256,0.015389508825919163,0.01484544797167171,0.015924297604875407,0.0,7.753708057838794,100,100,3,2,3,0.0
G,0.9688207432651332,0.9636182584105031,0.005202484854630152,0.004558174506456481,0.005880072364305769,0.0,2.1759478391759237,100,100,3,3,4,0.0
G,0.9687220352348827,0.9724043611836811,-0.0036823259487984705,-0.0043351207430279235,-0.003012375260262673,0.0,-1.505737178659729,100,100,3,4,5,0.0
G,0.9574399943427436,0.9611061783390386,-0.003666183996294925,-0.004340784285110958,-0.0029642290245681935,0.0,-1.4270202333065252,100,100,3,5,6,0.0
G,0.9537577161803132,0.962777130383348,-0.009019414203034759,-0.00988728708401274,-0.008126051832262329,0.0,-2.7920237129964125,100,100,3,6,7,0.0
G,0.9616871928771338,0.9650159161601749,-0.003328723283041124,-0.004009934854673131,-0.0026461776065568048,0.0,-1.3507737901152577,100,100,3,7,8,0.0
G,0.9697636203623952,0.9659501659146378,0.0038134544477573806,0.003090787457012456,0.004538797982959466,0.0,1.4741232811378315,100,100,3,8,9,0.0
G,0.9629968511149998,0.9554132456240201,0.007583605490979695,0.0066457187744831505,0.008477569992284554,0.0,2.271246429034716,100,100,3,9,10,0.0
G,0.9683057689548485,0.942564790349158,0.02574097860569058,0.02490595282965475,0.026471421746685243,0.0,8.838419155817556,100,100,4,1,2,0.0
G,0.9737084663690083,0.9513051340906393,0.022403332278368993,0.02147661957500702,0.02333493023229757,0.0,6.98899465210212,100,100,4,2,3,0.0
G,0.961147173128431,0.9544402357117524,0.0067069374166786044,0.005795512319391682,0.007688665144866843,0.0,1.9201376648952377,100,100,4,3,4,0.0
G,0.9604168236312411,0.9618760320350291,-0.0014592084037879927,-0.002203014868214043,-0.000627752683217195,0.0,-0.5090278890050548,100,100,4,4,5,0.0
G,0.9449143397089037,0.9504119019461058,-0.005497562237202103,-0.006533439971411726,-0.004396594771967425,0.0,-1.447218892250485,100,100,4,5,6,0.0
G,0.9410081968283842,0.9518363806165401,-0.010828183788155865,-0.012104878394577634,-0.009522589989314106,0.0,-2.3144567382556307,100,100,4,6,7,0.0
G,0.9476719094301974,0.9516756287718576,-0.004003719341660217,-0.004974533827307498,-0.0030949654382137156,0.0,-1.1126404392181584,100,100,4,7,8,0.0
G,0.9601400472848189,0.9557969807192448,0.00434306656557415,0.0035087119882422995,0.005130856623287577,0.0,1.438512387129552,100,100,4,8,9,0.0
G,0.9504872546465625,0.9286331917359715,0.021854062910591,0.02055067137181735,0.02334387654485926,0.0,4.322288617704142,100,100,4,9,10,0.0
G,0.9603708169422451,0.9292921840132229,0.031078632929022243,0.029921069687202918,0.0322147306590324,0.0,7.494914929312343,100,100,5,1,2,0.0
