layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles
0,1,5,,0.35396212339401245,0.42361974716186523,[0.30675617 0.31967443 0.3309388  0.3888214  0.42361975]
1,2,5,,0.35187506675720215,0.4316727817058563,[0.28772292 0.31914142 0.32278123 0.39805704 0.43167278]
2,3,5,,0.3795769214630127,0.5344875454902649,[0.2839804  0.32873744 0.34777117 0.402908   0.53448755]
3,4,5,,0.33051660656929016,0.43582549691200256,[0.2511538  0.27043286 0.3280816  0.36708927 0.4358255 ]
4,5,5,,0.31140196323394775,0.3847700357437134,[0.24995278 0.260518   0.31512007 0.34664887 0.38477004]
5,6,5,,0.3418378233909607,0.51629638671875,[0.26339364 0.28873134 0.29813895 0.34262878 0.5162964 ]
6,7,5,,0.3165765404701233,0.3978680372238159,[0.24978308 0.27692667 0.3237644  0.3345406  0.39786804]
7,8,5,,0.3312118351459503,0.3823047876358032,[0.2867568  0.31304917 0.32548946 0.3484589  0.3823048 ]
8,9,5,,0.33412450551986694,0.3901030123233795,[0.278997   0.31110576 0.3423677  0.34804913 0.390103  ]
9,10,5,,0.3636862635612488,0.41561001539230347,[0.31793535 0.33194146 0.36213872 0.39080584 0.41561002]
10,11,5,,0.5185969471931458,0.91828852891922,[0.2982414  0.33397922 0.4766637  0.56581175 0.9182885 ]
