layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles
0,1,6,0.9,0.3544149398803711,0.4357900619506836,[0.29974186 0.30278268 0.3298018  0.35429844 0.40407464 0.43579006]
1,2,6,0.9,0.3568094074726105,0.43301454186439514,[0.28717145 0.30461913 0.32021853 0.37925276 0.4165799  0.43301454]
2,3,6,0.9,0.3629099428653717,0.46053624153137207,[0.2723457  0.30292398 0.3380816  0.38731617 0.41625598 0.46053624]
3,4,6,0.9,0.32871749997138977,0.4198623299598694,[0.24699709 0.25129744 0.32100287 0.35268372 0.3804616  0.41986233]
4,5,7,0.9,0.31335902214050293,0.3817194402217865,"[0.24719352 0.25287127 0.27530307 0.32853356 0.3449436  0.3629488
 0.38171944]"
5,6,7,0.9,0.307619571685791,0.3736245036125183,"[0.24803205 0.27212247 0.2843671  0.30700833 0.31567195 0.35251045
 0.3736245 ]"
6,7,7,0.9,0.3048200309276581,0.36513909697532654,"[0.24538782 0.26595354 0.2823058  0.3087769  0.32795578 0.3382212
 0.3651391 ]"
7,8,7,0.9,0.3258347809314728,0.38324108719825745,"[0.2790959  0.29833755 0.3110111  0.3202513  0.34081206 0.3480944
 0.3832411 ]"
8,9,7,0.9,0.32891979813575745,0.37138065695762634,"[0.27396017 0.29651028 0.31043348 0.34239987 0.3489998  0.35875434
 0.37138066]"
9,10,8,0.9,0.3662480115890503,0.4503956735134125,"[0.3042099  0.31490767 0.3229627  0.35346958 0.37649354 0.39455843
 0.41298652 0.45039567]"
10,11,8,0.9,0.44899022579193115,0.942950427532196,"[0.28045723 0.2967338  0.33085257 0.34518328 0.37145966 0.4508209
 0.5734639  0.9429504 ]"
