layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95
0,90,0.2512679100036621,0.20734438300132751,0.1638656109571457,0.1161947101354599,0.10245450586080551,0.0771099328994751,0.0549490824341774,0.01828746125102043,0.0006513153784908354,0.0006108841043896973,6,6,7
1,90,0.2686038017272949,0.20579636096954346,0.1533028930425644,0.11981537938117981,0.0967002883553505,0.07763859629631042,0.049560144543647766,0.01957523077726364,0.0007745344773866236,0.0006414805538952351,6,6,7
2,90,0.27702561020851135,0.2007398158311844,0.14909657835960388,0.11269014328718185,0.09572680294513702,0.0781865045428276,0.04868273064494133,0.020931534469127655,0.0015555525897070765,0.001310288324020803,6,6,7
3,90,0.2665654420852661,0.20024533569812775,0.14894026517868042,0.11381421238183975,0.09012345969676971,0.0816083699464798,0.04601381719112396,0.02364896610379219,0.0032222510781139135,0.002295249607414007,6,6,8
4,90,0.26194751262664795,0.1935080736875534,0.14749658107757568,0.11897272616624832,0.08984445780515671,0.07718531787395477,0.04941517114639282,0.024528706446290016,0.003969553858041763,0.0030083523597568274,6,7,8
5,90,0.26915737986564636,0.18798550963401794,0.14818136394023895,0.1214536800980568,0.08428509533405304,0.07413465529680252,0.04702350124716759,0.023540539667010307,0.004945112392306328,0.003324853489175439,6,7,8
6,90,0.2665666341781616,0.18903538584709167,0.15042151510715485,0.12303709238767624,0.0783453956246376,0.06967894732952118,0.045705609023571014,0.025156091898679733,0.005499646998941898,0.004947489593178034,6,7,9
7,90,0.2669929563999176,0.19261443614959717,0.14667056500911713,0.11764030158519745,0.07625579833984375,0.06770811229944229,0.04503202438354492,0.024756839498877525,0.006502105388790369,0.005037190858274698,6,7,11
8,90,0.2648041248321533,0.19630496203899384,0.14033950865268707,0.11455899477005005,0.07825671881437302,0.06440079212188721,0.04198235645890236,0.02535325288772583,0.007673532236367464,0.0060373758897185326,6,7,12
9,90,0.25617194175720215,0.19583311676979065,0.14273196458816528,0.11278016865253448,0.07331838458776474,0.061946216970682144,0.04206454008817673,0.026010597124695778,0.00891104619950056,0.0076998500153422356,7,8,15
10,90,0.26208212971687317,0.1874191015958786,0.14400839805603027,0.10705699026584625,0.06725125014781952,0.05525639280676842,0.043912604451179504,0.026342540979385376,0.010797526687383652,0.00965906772762537,7,9,18
11,90,0.3660025894641876,0.17709137499332428,0.11489106714725494,0.08401870727539062,0.05226453021168709,0.04122281074523926,0.03858435899019241,0.025974301621317863,0.011645283550024033,0.009944964200258255,7,8,16
