layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,left_out
0,81,0.2518610954284668,0.20688316226005554,0.1641794890165329,0.11618997901678085,0.1022493988275528,0.07715772837400436,0.05493441969156265,0.018273184075951576,0.0005638623260892928,0.0005394424661062658,6,6,7,sentence.1
1,81,0.26872754096984863,0.20582732558250427,0.1537783443927765,0.11951097100973129,0.09665413945913315,0.07779230922460556,0.04953690990805626,0.019559601321816444,0.0006858455599285662,0.0006101313047111034,6,6,7,sentence.1
2,81,0.277111291885376,0.20117142796516418,0.1496286392211914,0.11236753314733505,0.09556026756763458,0.07836700230836868,0.04873557761311531,0.020971858873963356,0.0014763374347239733,0.0011192571837455034,6,6,7,sentence.1
3,81,0.26648250222206116,0.20091816782951355,0.1495862603187561,0.11330705136060715,0.0897168293595314,0.0819331556558609,0.04608093947172165,0.023701261729002,0.003141269786283374,0.0021637624595314264,6,6,8,sentence.1
4,81,0.26142874360084534,0.19414778053760529,0.14856098592281342,0.11844024062156677,0.08956592530012131,0.07749161869287491,0.04952633008360863,0.024623092263936996,0.003813980845734477,0.002897123107686639,6,7,8,sentence.1
5,81,0.26870816946029663,0.18806560337543488,0.14950376749038696,0.12085400521755219,0.08409135788679123,0.074552521109581,0.04716308414936066,0.023673299700021744,0.00485097523778677,0.0033113600220531225,6,7,8,sentence.1
6,81,0.26569974422454834,0.18859609961509705,0.15256889164447784,0.12248183786869049,0.0783746987581253,0.06982843577861786,0.04606126993894577,0.02520114555954933,0.005399208515882492,0.004814557731151581,6,7,9,sentence.1
7,81,0.26576751470565796,0.19215704500675201,0.14886127412319183,0.11719878762960434,0.07669174671173096,0.06766960024833679,0.04541756212711334,0.02484390139579773,0.006389040965586901,0.004882059060037136,6,7,11,sentence.1
8,81,0.26261183619499207,0.19604501128196716,0.14244718849658966,0.11472225934267044,0.0789501890540123,0.06415638327598572,0.04238612577319145,0.025542374700307846,0.007499127648770809,0.006104647647589445,6,7,12,sentence.1
9,81,0.25445523858070374,0.1956186294555664,0.1446790248155594,0.11326880753040314,0.07391919195652008,0.06151363253593445,0.0424443781375885,0.026180410757660866,0.008570879697799683,0.007525436580181122,7,8,15,sentence.1
10,81,0.2609950304031372,0.1871565729379654,0.1453380584716797,0.10794773697853088,0.06771360337734222,0.05486195906996727,0.04438912123441696,0.026495201513171196,0.010491974651813507,0.009540567174553871,7,9,17,sentence.1
11,81,0.359891414642334,0.179305762052536,0.11679191142320633,0.08526147902011871,0.05279550701379776,0.0413435734808445,0.039000626653432846,0.026544595137238503,0.011502595618367195,0.009823964908719063,7,8,16,sentence.1
