layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation
0,1,5,,0.7932748198509216,"[[ 9.79417741e-01  1.12439506e-01  1.14664711e-01  2.26142872e-02
  -1.20161727e-01]
 [-1.36265635e-01  9.76371050e-01  1.53439164e-01 -3.59554589e-02
  -5.74006103e-02]
 [-9.41576883e-02 -1.66603997e-01  9.81429756e-01 -6.85683553e-05
   1.31591680e-02]
 [-3.77703160e-02  2.54468955e-02  2.03870470e-03  9.94437635e-01
  -9.49505717e-02]
 [ 1.08996771e-01  7.51827359e-02  1.00001153e-02  9.63830426e-02
   9.86446917e-01]]"
1,2,5,,0.7914083003997803,"[[ 0.99289083 -0.07679291 -0.03562153  0.07411589  0.03884062]
 [ 0.07806408  0.9951571   0.02104063 -0.02946715  0.04751085]
 [ 0.04518833 -0.02448468  0.989108   -0.11746692 -0.07228588]
 [-0.07659467  0.013505    0.13912615  0.9218931   0.35313994]
 [-0.01284795 -0.05461934  0.02444413 -0.36049005  0.93075293]]"
2,3,5,,0.863728940486908,"[[ 0.99690646  0.04934429  0.04783862 -0.03108821 -0.02208127]
 [-0.04737367  0.99718076 -0.0447742   0.01787538 -0.03258877]
 [-0.04722879  0.04229343  0.9955268   0.0633995   0.02979407]
 [ 0.02830482 -0.02651743 -0.05147006  0.96551704 -0.25223678]
 [ 0.03002443  0.02652894 -0.04454264  0.24994278  0.96640533]]"
3,4,5,,0.749879777431488,"[[ 0.98915344 -0.13448071  0.05763634 -0.009637   -0.00869628]
 [ 0.1390929   0.9855799  -0.07404709  0.05466749  0.02852921]
 [-0.04710054  0.08232968  0.993988    0.00996903 -0.05377573]
 [ 0.00251506 -0.05738283 -0.00219321  0.9968739   0.05420842]
 [ 0.00197119 -0.02182278  0.05637475 -0.05533253  0.99663436]]"
4,5,5,,0.7023669481277466,"[[ 0.99719787 -0.00607518  0.0488404  -0.04599063 -0.03254046]
 [ 0.01050642  0.9947265  -0.09875891 -0.01988501  0.01613148]
 [-0.04269671  0.10168828  0.9821579   0.14228463 -0.05438234]
 [ 0.0496774   0.00609487 -0.14593574  0.9840461  -0.08860614]
 [ 0.03456983 -0.01023628  0.04393091  0.09432817  0.9939177 ]]"
5,6,5,,0.7854527831077576,"[[-0.9974986  -0.0503699   0.01091435 -0.02728992 -0.03994437]
 [-0.05091076  0.9984522   0.01223688  0.01851095  0.00300094]
 [ 0.00513103 -0.01625327  0.9667617   0.25451854 -0.01736728]
 [-0.02681286 -0.01602426 -0.25505406  0.96560997 -0.0396133 ]
 [-0.04073557 -0.00593566  0.00709808  0.04159801  0.99826074]]"
6,7,5,,0.7136356830596924,"[[ 9.9699223e-01 -5.0288346e-02  4.6334248e-02 -4.8110210e-03
   3.6161408e-02]
 [ 4.8151091e-02  9.9452943e-01  3.7168063e-02  8.2790837e-02
   1.8891612e-02]
 [-4.6279192e-02 -2.7314773e-02  9.9419850e-01 -8.0652960e-02
  -4.6654582e-02]
 [-2.9600903e-03 -8.5364461e-02  7.7873744e-02  9.9328613e-01
  -4.7329017e-03]
 [-3.9211243e-02 -1.8684274e-02  4.4460777e-02 -4.5270135e-04
   9.9806637e-01]]"
7,8,5,,0.7405852675437927,"[[ 9.8634744e-01 -1.5466988e-01  5.4312080e-02  7.2839302e-03
   1.3897596e-02]
 [ 1.5611088e-01  9.8214477e-01 -1.3993140e-02 -9.3685895e-02
  -4.5257628e-02]
 [-5.2161794e-02  1.1028064e-02  9.8935348e-01 -1.3252424e-01
   2.7831987e-02]
 [-5.1636045e-04 -9.6043549e-02 -1.3104281e-01 -9.8670882e-01
  -2.9792078e-03]
 [-5.2002873e-03  4.6075743e-02 -2.9358640e-02 -3.5978879e-03
   9.9848646e-01]]"
8,9,5,,0.7480652332305908,"[[-0.9786766  -0.20043306 -0.03983651 -0.0206369   0.00242124]
 [-0.20244409  0.9730156   0.03207916  0.08031946 -0.06911462]
 [-0.032857   -0.03572982  0.9980016  -0.01696665  0.03672661]
 [ 0.00446719  0.08348107 -0.01372547 -0.99640256 -0.00212429]
 [-0.0104381   0.06943784 -0.03447472  0.00412034  0.9969273 ]]"
9,10,5,,0.8125179409980774,"[[ 0.96178603  0.23234588  0.13566741 -0.0482105   0.01591135]
 [-0.25637785  0.94637305  0.18873687 -0.03625232 -0.0413836 ]
 [-0.08846883 -0.2138448   0.9665358  -0.04181506  0.10248716]
 [-0.0327138  -0.0390676  -0.04991734 -0.9964127  -0.04553498]
 [-0.01847063  0.05601359 -0.09638193 -0.04212672  0.99270195]]"
10,11,5,,1.2325074672698975,"[[-9.20917809e-01  1.99126825e-01  1.91424116e-01  2.71726251e-01
  -4.21961881e-02]
 [ 2.65048623e-01  8.84087801e-01  3.84346843e-01 -2.03839745e-02
  -1.89747399e-04]
 [ 3.91804613e-02 -4.04154181e-01  8.92166615e-01 -1.97422773e-01
   1.36816036e-02]
 [ 2.69423574e-01 -1.19039744e-01  1.37435138e-01  9.30097282e-01
   1.71088159e-01]
 [-8.68067741e-02  3.50172110e-02 -2.80104913e-02 -1.47284389e-01
   9.84256685e-01]]"
