layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation
0,1,6,0.9,0.8718670010566711,"[[ 9.7917044e-01  1.1184459e-01  1.1459277e-01  2.2155697e-02
  -1.2180361e-01  1.6047053e-02]
 [-1.3656336e-01  9.7554165e-01  1.5333368e-01 -3.6470775e-02
  -5.9750482e-02  3.5461180e-02]
 [-9.4106026e-02 -1.6647893e-01  9.8144484e-01  2.6937998e-05
   1.3504733e-02 -3.5234643e-03]
 [-3.8287841e-02  2.4175324e-02  1.8835950e-03  9.9348414e-01
  -9.8475337e-02  3.5183176e-02]
 [ 1.0790431e-01  7.2094522e-02  9.6055362e-03  9.4505787e-02
   9.7767639e-01  1.3521957e-01]
 [-2.4706764e-02 -4.8083160e-02 -5.2387426e-03 -4.7295507e-02
  -1.2594795e-01  9.8941922e-01]]"
1,2,6,0.9,0.8794315457344055,"[[ 0.9928058  -0.07681257 -0.0357548   0.07386953  0.03879539 -0.01401229]
 [ 0.07786869  0.9950145   0.0206975  -0.03007536  0.04739906 -0.01740908]
 [ 0.04504502 -0.02454441  0.98887336 -0.11789359 -0.07236426 -0.0190424 ]
 [-0.07692014  0.01337477  0.13859513  0.9209264   0.35296243 -0.04480976]
 [-0.01278289 -0.05459043  0.02455138 -0.36029553  0.9307887   0.00856058]
 [ 0.01280635  0.01687009  0.02472647  0.04268019  0.00785043  0.9985273 ]]"
2,3,6,0.9,0.8973838686943054,"[[ 0.99591327  0.04919106  0.04641399 -0.03176401 -0.03049216 -0.04054496]
 [-0.04756817  0.9971128  -0.04495312  0.01778022 -0.03411761  0.0015866 ]
 [-0.04786669  0.04232401  0.99425447  0.06282511  0.02392296 -0.05344259]
 [ 0.02994806 -0.02628204 -0.0490567   0.9666599  -0.23823074  0.06943085]
 [ 0.02295043  0.02574083 -0.05557625  0.24476105  0.90521276 -0.34118006]
 [ 0.04668057  0.01420428  0.04228037  0.01971392  0.34809467  0.9350257 ]]"
3,4,6,0.9,0.8157858848571777,"[[ 0.9891578  -0.1344036   0.05757378 -0.00963723 -0.00886295 -0.00403933]
 [ 0.13890287  0.98323363 -0.07199176  0.05443814  0.03404707  0.06820526]
 [-0.04693637  0.08426739  0.99226946  0.01019583 -0.05839719 -0.05082465]
 [ 0.00241519 -0.0582938  -0.00131626  0.9966366   0.05659513  0.01032624]
 [ 0.00259977 -0.01449103  0.04984882 -0.05442679  0.979074   -0.18907717]
 [-0.00756207 -0.06691796  0.06646167 -0.02434663  0.1832024   0.97820836]]"
4,5,7,0.9,0.8359037637710571,"[[ 9.9662310e-01 -6.0690371e-03  4.9481418e-02 -4.5791071e-02
  -3.1839654e-02  3.7650534e-04  3.3858620e-02]
 [ 1.0200917e-02  9.9468726e-01 -9.8395243e-02 -1.9820977e-02
   1.6533824e-02  5.9297979e-03  1.0503707e-02]
 [-4.2109270e-02  1.0171727e-01  9.8140883e-01  1.4232500e-01
  -5.4985486e-02 -1.3013752e-02 -3.5609700e-02]
 [ 4.9424198e-02  5.8135930e-03 -1.4503236e-01  9.8225868e-01
  -8.9069977e-02  6.0980964e-02  2.1912204e-03]
 [ 3.5544440e-02 -1.0342387e-02  4.3149669e-02  9.3061529e-02
   9.9228096e-01  2.7031217e-02 -5.2489635e-02]
 [-3.1173113e-03 -4.2570387e-03  1.9006262e-02 -6.1005440e-02
  -2.5026057e-02  9.9617171e-01 -5.3897917e-02]
 [-3.3900633e-02 -7.4358811e-03  3.8069136e-02  6.2969700e-03
   5.0082684e-02  5.4662667e-02  9.9589676e-01]]"
5,6,7,0.9,0.8175702095031738,"[[-9.97329772e-01 -5.02411239e-02  1.10319564e-02 -2.77973022e-02
  -3.40232588e-02 -2.69128438e-02  5.73397847e-03]
 [-5.09495065e-02  9.97859955e-01  1.18265515e-02  1.84194110e-02
   3.80975078e-03 -1.06653746e-03 -3.44239958e-02]
 [ 5.20985527e-03 -1.69057976e-02  9.66285288e-01  2.54035503e-01
  -1.20731052e-02 -1.90543048e-02 -3.06100883e-02]
 [-2.64327154e-02 -1.56413410e-02 -2.54705846e-01  9.64492619e-01
  -2.67990306e-02 -5.52048162e-02  1.30356187e-02]
 [-4.30729203e-02 -6.97495509e-03  5.89501671e-03  4.89555895e-02
   9.12800372e-01  4.02480930e-01 -2.16628835e-02]
 [ 1.20869819e-02 -1.69965933e-04 -1.24468480e-03 -4.13304605e-02
   4.05810237e-01 -9.12517309e-01  2.78239120e-02]
 [ 3.20515269e-03  3.42395641e-02  3.34642753e-02 -1.79595605e-03
   8.80439766e-03  3.44241560e-02  9.98214304e-01]]"
6,7,7,0.9,0.8097761273384094,"[[ 0.9968406  -0.05018136  0.0465014  -0.00516438  0.03263551  0.02045287
  -0.01087555]
 [ 0.04817415  0.9944762   0.03709855  0.08283211  0.01973618 -0.00598159
  -0.0058007 ]
 [-0.0462319  -0.02736514  0.9940646  -0.08047569 -0.04480793 -0.02141443
   0.00257919]
 [-0.00308181 -0.08535281  0.07794204  0.9929455  -0.00711867  0.0147393
  -0.0205355 ]
 [-0.04031605 -0.01773666  0.04618226 -0.00331026  0.96778965  0.23200932
  -0.07396823]
 [-0.01200579  0.01210393  0.00895111 -0.01536842 -0.23223253  0.97212976
   0.0206106 ]
 [ 0.00846939  0.00198576  0.00299888  0.02116307  0.07706089 -0.00233682
   0.99675655]]"
7,8,7,0.9,0.8622316718101501,"[[ 9.8620653e-01 -1.5433912e-01  5.4083604e-02  7.2294720e-03
   1.5042538e-02 -1.6539773e-02  9.9535584e-03]
 [ 1.5632038e-01  9.8165387e-01 -1.3671591e-02 -9.3547948e-02
  -4.6874233e-02  2.1850888e-02 -1.7519040e-02]
 [-5.2282017e-02  1.1314500e-02  9.8909807e-01 -1.3238570e-01
   2.9116003e-02 -2.1139292e-02 -1.7483133e-03]
 [-4.3351116e-04 -9.6229807e-02 -1.3093896e-01 -9.8650938e-01
  -3.4272769e-03 -2.0654397e-03 -1.9439371e-02]
 [-4.0623597e-03  4.3373212e-02 -2.7382689e-02 -3.6003138e-03
   9.8830026e-01  1.3882649e-01 -3.6458675e-02]
 [ 1.2628400e-02 -3.0664017e-02  2.5949419e-02 -1.7676681e-03
  -1.3742030e-01  9.8950988e-01 -1.4477960e-02]
 [-7.1511241e-03  1.8041378e-02 -2.2192448e-03 -2.1301037e-02
   3.3094402e-02  1.9880952e-02  9.9883646e-01]]"
8,9,7,0.9,0.8705188035964966,"[[-9.78456020e-01 -2.00749069e-01 -3.97482365e-02 -2.04077121e-02
   9.90815694e-04  1.79844070e-02  1.69644365e-03]
 [-2.02198029e-01  9.72640693e-01  3.22038457e-02  8.06045160e-02
  -7.05182180e-02  2.18237527e-02  1.01444898e-02]
 [-3.29543278e-02 -3.54928635e-02  9.97727990e-01 -1.73383318e-02
   3.62982899e-02 -3.39924288e-03 -2.37359945e-02]
 [ 4.74684173e-03  8.29474404e-02 -1.32999355e-02 -9.95733798e-01
  -2.51716212e-03  2.20953319e-02  3.06584798e-02]
 [-8.51083361e-03  6.69574961e-02 -3.43273766e-02  5.41191315e-03
   9.81477261e-01  1.66041255e-01 -5.80443926e-02]
 [ 2.36117449e-02 -3.14580053e-02  1.03771230e-02  2.10758243e-02
  -1.61178783e-01  9.84713614e-01  4.75549735e-02]
 [ 1.17073266e-03 -7.55679049e-03  2.14222409e-02  2.87491903e-02
   6.65277839e-02 -3.83392721e-02  9.96373594e-01]]"
9,10,8,0.9,1.0385452508926392,"[[ 0.96105605  0.23341441  0.13517258 -0.0480343   0.0183328  -0.0303904
  -0.00505905 -0.00497809]
 [-0.2554267   0.9449182   0.18933524 -0.03631019 -0.04505907  0.05125796
   0.00776627 -0.00158684]
 [-0.08862714 -0.21354997  0.96617    -0.04190409  0.10276942 -0.01475881
   0.00648846 -0.02190311]
 [-0.03282158 -0.03852677 -0.04989514 -0.99546564 -0.04571424 -0.01887862
   0.03379072  0.02022357]
 [-0.01566109  0.05223039 -0.09497406 -0.04163643  0.980819    0.1291755
   0.08571976 -0.01525987]
 [ 0.04292547 -0.05260916  0.01992363 -0.01356628 -0.125778    0.9893606
   0.00144113 -0.0123336 ]
 [ 0.00970794 -0.00785536  0.00186422  0.03693663 -0.08353924 -0.012934
   0.99486524 -0.03966513]
 [ 0.00378242 -0.00140232  0.02204665  0.01960794  0.01331669  0.01366881
   0.04029109  0.9985618 ]]"
