layer,level_from,level_to,G
0,1,2,0.9905383043819004
0,2,3,0.9930950535668267
0,3,4,0.9928736196623908
0,4,5,0.9905349784427219
0,5,6,0.9888495392269558
0,6,7,0.9885464376873441
0,7,8,0.9907340182198419
0,8,9,0.9908008774121603
0,9,10,0.9872967097494337
1,1,2,0.9896842903561063
1,2,3,0.9929933667182922
1,3,4,0.9912851691246033
1,4,5,0.9888531393475003
1,5,6,0.9879599663946363
1,6,7,0.9887183758947584
1,7,8,0.9890172375573052
1,8,9,0.9911376741197374
1,9,10,0.9878056049346924
2,1,2,0.9825495958328248
2,2,3,0.9871039470036824
2,3,4,0.9856755256652832
2,4,5,0.982919286357032
2,5,6,0.9778406461079915
2,6,7,0.9730778521961636
2,7,8,0.980037342177497
2,8,9,0.9820513857735528
2,9,10,0.9747225589222378
3,1,2,0.9733538958761427
3,2,3,0.9779619521564907
3,3,4,0.9691677014033
3,4,5,0.9692258887820774
3,5,6,0.9577630917231242
3,6,7,0.9546380427148607
3,7,8,0.9622441967328389
3,8,9,0.9701847897635566
3,9,10,0.9635108444425795
4,1,2,0.9686062786314222
4,2,3,0.97392737865448
4,3,4,0.9616276780764262
4,4,5,0.9608768860499064
4,5,6,0.9454753412140741
4,6,7,0.94205801486969
4,7,8,0.9485135952631633
4,8,9,0.9606205211745368
4,9,10,0.9508976287311978
5,1,2,0.9607426391707526
5,2,3,0.9697835021548801
5,3,4,0.9508815262052748
5,4,5,0.9523040148946974
5,5,6,0.9350895961125691
5,6,7,0.9319402588738336
5,7,8,0.9341910865571764
5,8,9,0.953076426188151
5,9,10,0.9440674026807149
6,1,2,0.9545398632685343
6,2,3,0.9589514745606317
6,3,4,0.9358682076136271
6,4,5,0.9430171171824138
6,5,6,0.9272615724139743
6,6,7,0.9171102669503953
6,7,8,0.9167935993936327
6,8,9,0.9474319895108541
6,9,10,0.9411530123816596
7,1,2,0.947261291080051
7,2,3,0.9424200031492446
7,3,4,0.9232517997423808
7,4,5,0.9207565334108141
7,5,6,0.912589242723253
7,6,7,0.9032712631755405
7,7,8,0.9049351281589932
7,8,9,0.9402614249123468
7,9,10,0.9369953592618306
8,1,2,0.9395036260286967
8,2,3,0.9247527705298529
8,3,4,0.9029160473081801
8,4,5,0.9069498923089769
8,5,6,0.8948761873775058
8,6,7,0.8850525538126628
8,7,8,0.8919072985649109
8,8,9,0.929635230700175
8,9,10,0.9272348271475898
9,1,2,0.9258905185593499
9,2,3,0.9059798492325677
9,3,4,0.8842185590002272
9,4,5,0.8892114122708639
9,5,6,0.8714612616433037
9,6,7,0.8580464111434088
9,7,8,0.8753199881977505
9,8,9,0.9206202732192146
9,9,10,0.905018048816257
10,1,2,0.9072099857860141
10,2,3,0.8854478902286953
10,3,4,0.8476358625623915
10,4,5,0.8650791883468628
10,5,6,0.8466006901529101
10,6,7,0.8157455987400479
10,7,8,0.853652544816335
10,8,9,0.9106247239642673
10,9,10,0.8811092231008741
11,1,2,0.8667449937926398
11,2,3,0.8831794659296671
11,3,4,0.8265199886427985
11,4,5,0.8319922142558628
11,5,6,0.8440941188070509
11,6,7,0.7909008555942112
11,7,8,0.8190302756097582
11,8,9,0.9243052747514513
11,9,10,0.8625268750720554
