layer,G,boot_id
0,0.991261397089277,0
1,0.9890106888044448,0
2,0.977269763038272,0
3,0.9646332491011846,0
4,0.9550241629282633,0
5,0.9479757518995375,0
6,0.9478103376570202,0
7,0.9354869155656724,0
8,0.927250243368603,0
9,0.9223848013650804,0
10,0.9087989897955031,0
11,0.8853241318748111,0
0,0.9914373556772867,1
1,0.9900351564089457,1
2,0.9809412658214569,1
3,0.9701391657193502,1
4,0.9624922275543213,1
5,0.9554063181082407,1
6,0.9520123998324076,1
7,0.9373723268508911,1
8,0.9310877422491709,1
9,0.9236094156901041,1
10,0.9142425060272217,1
11,0.8571198880672455,1
0,0.9908075957071214,2
1,0.9889297485351562,2
2,0.9785305318378267,2
3,0.9678517352967035,2
4,0.9591137227557954,2
5,0.9523887605894179,2
6,0.9509284013793582,2
7,0.9384422529311407,2
8,0.9302428563435873,2
9,0.9234255495525542,2
10,0.9115998177301317,2
11,0.8813850226856413,2
0,0.9914831479390462,3
1,0.988614579041799,3
2,0.9743107080459594,3
3,0.9620343605677287,3
4,0.9476172606150309,3
5,0.9406489292780559,3
6,0.9384461522102356,3
7,0.9275606751441956,3
8,0.9185418009757995,3
9,0.9102545857429505,3
10,0.8927342414855957,3
11,0.8597610592842102,3
0,0.9917674938837687,4
1,0.9885753750801086,4
2,0.9736660520235697,4
3,0.9597884972890218,4
4,0.9459434151649475,4
5,0.9407256960868835,4
6,0.9384416699409485,4
7,0.9265244245529175,4
8,0.9182550509770712,4
9,0.9089389681816101,4
10,0.8917464137077331,4
11,0.8555515686670939,4
0,0.9918310483296712,5
1,0.9900301814079284,5
2,0.9786338965098064,5
3,0.9709834575653076,5
4,0.9606484691301982,5
5,0.9552699486414592,5
6,0.9507773995399476,5
7,0.9389354507128398,5
8,0.9296301166216533,5
9,0.9192415515581767,5
10,0.9039421200752258,5
11,0.8641357541084289,5
0,0.9905534426371256,6
1,0.9888450980186463,6
2,0.977936327457428,6
3,0.9659635901451111,6
4,0.9574875156084697,6
5,0.9507288376490275,6
6,0.9503376046816508,6
7,0.9380166053771972,6
8,0.9318925420443217,6
9,0.9268709222475687,6
10,0.9150684436162313,6
11,0.878130332628886,6
0,0.9909495484261286,7
1,0.9886307120323181,7
2,0.976684780347915,7
3,0.9678761959075928,7
4,0.9562064579554966,7
5,0.9486148215475536,7
6,0.9436744820503962,7
7,0.9299074893906003,7
8,0.9205451096807208,7
9,0.9100766550926935,7
10,0.8930017380487352,7
11,0.8521961882000878,7
0,0.9903950035572052,8
1,0.9885863780975341,8
2,0.9762825429439544,8
3,0.9639763772487641,8
4,0.9554834127426147,8
5,0.950066739320755,8
6,0.9489426970481872,8
7,0.934863018989563,8
8,0.9299451053142548,8
9,0.92338547706604,8
10,0.9118789553642273,8
11,0.8735018253326416,8
0,0.9914815028508505,9
1,0.9896545132001241,9
2,0.979559846719106,9
3,0.9685858289400736,9
4,0.9593397418657938,9
5,0.9532850384712219,9
6,0.9522669712702433,9
7,0.9409980773925781,9
8,0.9312042554219564,9
9,0.9240492026011149,9
10,0.9139504114786784,9
11,0.8834882219632466,9
0,0.9913736752101353,10
1,0.9889846387363616,10
2,0.9757084165300641,10
3,0.9646227615220206,10
4,0.9524112627619788,10
5,0.9471064749218169,10
6,0.9442610286530995,10
7,0.9333689666929699,10
8,0.9234559223765418,10
9,0.9132358034451803,10
10,0.8993887787773496,10
11,0.862227303641183,10
0,0.9912842767579215,11
1,0.9889100506192162,11
2,0.9755895393235343,11
3,0.96417954989842,11
4,0.9504497420220148,11
5,0.9438500290825254,11
6,0.9417672043754941,11
7,0.9314560918580919,11
8,0.9229469157400585,11
9,0.9140609956922985,11
10,0.8986781296275911,11
11,0.8617953260739645,11
0,0.9921821866716657,12
1,0.9897116486515317,12
2,0.9764741446290698,12
3,0.9640870200736182,12
4,0.9511807518345969,12
5,0.9447223714419773,12
6,0.9422283662217004,12
7,0.9307897176061358,12
8,0.9213967770338058,12
9,0.9139825595276696,12
10,0.899130044238908,12
11,0.8673355068479266,12
0,0.992189864317576,13
1,0.9904731426920209,13
2,0.9810102099464053,13
3,0.970223761740185,13
4,0.9609641234079996,13
5,0.9539041036651248,13
6,0.952757940405891,13
7,0.9408720930417379,13
8,0.9315564859481085,13
9,0.9251875309717088,13
10,0.9137047869818551,13
11,0.8829377918016343,13
0,0.991618017355601,14
