layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,boot_id
0,90,0.26108676195144653,0.21856218576431274,0.1913110315799713,0.12071572989225388,0.09055500477552414,0.0604209378361702,0.030415469780564308,0.019482960924506187,0.0007047228282317519,0.0006185517413541675,5,6,7,0
1,90,0.2514810860157013,0.2239418923854828,0.1913398653268814,0.12242530286312103,0.0912015363574028,0.0592300109565258,0.032410189509391785,0.01917254365980625,0.0010020906338468194,0.0008692765841260552,5,6,7,0
2,90,0.2491367608308792,0.2276485562324524,0.18563877046108246,0.1143135279417038,0.09123099595308304,0.06313642114400864,0.0324440523982048,0.018896620720624924,0.002107626758515835,0.0018495204858481884,5,6,7,0
3,90,0.24746373295783997,0.22436392307281494,0.18048277497291565,0.11328446120023727,0.090507872402668,0.066181980073452,0.03160607069730759,0.018522026017308235,0.0033890833146870136,0.003083682619035244,5,6,7,0
4,90,0.2543220520019531,0.22851519286632538,0.1685500591993332,0.11003456264734268,0.08460477739572525,0.06526772677898407,0.03232981637120247,0.017724180594086647,0.0053083635866642,0.004357988480478525,6,6,8,0
5,90,0.2607654929161072,0.22793695330619812,0.16300863027572632,0.10801652073860168,0.08729276061058044,0.06209136173129082,0.028989024460315704,0.016836458817124367,0.005523324478417635,0.004942976403981447,6,6,8,0
6,90,0.2669849097728729,0.22472767531871796,0.16626226902008057,0.10427949577569962,0.08647750318050385,0.05774184316396713,0.025660445913672447,0.015908701345324516,0.005872767884284258,0.0052252220921218395,6,6,9,0
7,90,0.265580415725708,0.21334141492843628,0.17214162647724152,0.10437940806150436,0.08570448309183121,0.05675105005502701,0.025568701326847076,0.01539547648280859,0.0070318072102963924,0.005852966569364071,6,7,10,0
8,90,0.2651696503162384,0.2137441486120224,0.17101286351680756,0.10119779407978058,0.08537854999303818,0.05342061445116997,0.02405335195362568,0.01440459955483675,0.008301977068185806,0.006888627074658871,6,7,12,0
9,90,0.28070005774497986,0.20356665551662445,0.16359485685825348,0.09151358902454376,0.08815330266952515,0.052072979509830475,0.024213142693042755,0.014322496950626373,0.008721361868083477,0.00813780166208744,6,7,13,0
10,90,0.33445513248443604,0.1823713630437851,0.14907678961753845,0.08563421666622162,0.07803208380937576,0.04527873545885086,0.02183491736650467,0.01340559497475624,0.010995835065841675,0.00920846313238144,6,8,13,0
11,90,0.387290358543396,0.15217261016368866,0.13461069762706757,0.07337134331464767,0.06990424543619156,0.04169895872473717,0.03627535700798035,0.015377444215118885,0.011518437415361404,0.009661903604865074,6,8,13,0
0,90,0.2622903883457184,0.22235721349716187,0.18968012928962708,0.11951225250959396,0.0893801748752594,0.05921360105276108,0.030200351029634476,0.01932486891746521,0.001246280618943274,0.001028314814902842,5,6,7,1
1,90,0.25233110785484314,0.22735071182250977,0.18937784433364868,0.12206655740737915,0.09099065512418747,0.05846173316240311,0.03216010332107544,0.019076144322752953,0.0013697678223252296,0.0010826357174664736,5,6,7,1
2,90,0.24940745532512665,0.22951474785804749,0.1855996698141098,0.11516349017620087,0.0910472422838211,0.0629911944270134,0.032105255872011185,0.018946930766105652,0.0029573319479823112,0.0020877241622656584,5,6,7,1
3,90,0.24419963359832764,0.22858142852783203,0.18270428478717804,0.11336451023817062,0.0906897634267807,0.06606408953666687,0.03192130848765373,0.018536951392889023,0.004408474080264568,0.003053578780964017,5,6,7,1
4,90,0.25115251541137695,0.23249691724777222,0.1725391447544098,0.1105906143784523,0.08658519387245178,0.06644981354475021,0.032068684697151184,0.01784881018102169,0.005463378503918648,0.003920987714082003,5,6,7,1
5,90,0.26077336072921753,0.23043623566627502,0.16863568127155304,0.10686220228672028,0.08992969989776611,0.06255258619785309,0.02945314347743988,0.017262833192944527,0.005627462640404701,0.004526629112660885,5,6,8,1
6,90,0.26956483721733093,0.22944185137748718,0.17042897641658783,0.10294236242771149,0.08842121809720993,0.058555956929922104,0.0259532667696476,0.016706226393580437,0.006530026439577341,0.004731548950076103,5,6,8,1
7,90,0.274519681930542,0.21676287055015564,0.17690803110599518,0.09988895803689957,0.0900745764374733,0.0568225234746933,0.025192823261022568,0.016016313806176186,0.007247359491884708,0.005846552550792694,5,6,8,1
8,90,0.2693856358528137,0.22367215156555176,0.17699287831783295,0.09679751843214035,0.09006787836551666,0.053585659712553024,0.02376013994216919,0.015002988278865814,0.008594637736678123,0.006557635962963104,5,6,9,1
9,90,0.2823210060596466,0.22120867669582367,0.16778604686260223,0.09271349012851715,0.08474212139844894,0.05366303026676178,0.02354736253619194,0.014696094207465649,0.00980659481137991,0.008745230734348297,6,6,9,1
10,90,0.34554561972618103,0.2007783204317093,0.15052896738052368,0.08812574297189713,0.06868244707584381,0.04824213683605194,0.02120424620807171,0.014142172411084175,0.010187916457653046,0.008653301745653152,5,6,10,1
11,90,0.4053329825401306,0.18561743199825287,0.1305619180202484,0.06770569086074829,0.057168398052453995,0.049913983792066574,0.028708739206194878,0.015304410830140114,0.008745687082409859,0.007759228814393282,6,7,10,1
0,90,0.2609272599220276,0.21859966218471527,0.19127313792705536,0.1199469044804573,0.09059251844882965,0.06000718101859093,0.03026845119893551,0.019419752061367035,0.0011499534593895078,0.0006573966820724308,5,6,7,2
1,90,0.250367134809494,0.22449740767478943,0.19154734909534454,0.12184564024209976,0.0915101021528244,0.0590098612010479,0.03221426531672478,0.019168799743056297,0.0012513933470472693,0.0008447308791801333,5,6,7,2
2,90,0.24774685502052307,0.22743655741214752,0.1862633228302002,0.11414656788110733,0.09083973616361618,0.06287739425897598,0.032196711748838425,0.019007086753845215,0.0029576290398836136,0.001870536245405674,5,6,7,2
3,90,0.2446826696395874,0.2256735861301422,0.18190690875053406,0.11210073530673981,0.08994507789611816,0.06590981781482697,0.03131241723895073,0.01848425716161728,0.004168301355093718,0.0028092784341424704,5,6,7,2
4,90,0.2507716715335846,0.2298276275396347,0.17002689838409424,0.10903105139732361,0.0844518393278122,0.06589727848768234,0.031683847308158875,0.017763745039701462,0.005608235951513052,0.0038124467246234417,6,6,8,2
5,90,0.25907135009765625,0.22634226083755493,0.16522376239299774,0.10638929158449173,0.08737220615148544,0.062309619039297104,0.028946561738848686,0.016906222328543663,0.005750162061303854,0.0044128731824457645,6,6,8,2
