layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,5,,0.76498943567276,"[[ 0.986897   -0.06712931  0.14411424  0.00267777  0.02742176]
 [ 0.08052202  0.99195    -0.08296593 -0.04242937 -0.02945789]
 [-0.13871172  0.09314328  0.982973   -0.04869419  0.05896199]
 [-0.00523583  0.04569221  0.04693817  0.99687946 -0.043738  ]
 [-0.0167997   0.02766525 -0.06252036  0.04530835  0.9964892 ]]",0
1,2,5,,0.7985926866531372,"[[-0.9849481  -0.05941094 -0.1618693  -0.0106152  -0.00576768]
 [-0.09144651  0.974531    0.20105892 -0.03831447  0.0058466 ]
 [-0.14632627 -0.21155918  0.96338254  0.03398142  0.06760631]
 [-0.00874431  0.04432889 -0.03021186  0.9973178   0.04901892]
 [ 0.00519333  0.00611095 -0.06599163 -0.05120255  0.9964733 ]]",0
2,3,5,,0.8340036273002625,"[[-0.9430459  -0.31654224  0.08293542 -0.05527813 -0.02305557]
 [-0.30539316  0.9450553   0.0674509  -0.07744572 -0.05530071]
 [ 0.10189743 -0.03870608  0.9901776  -0.05835944  0.06527797]
 [-0.07319991  0.05688205  0.06385991  0.9914687   0.06571062]
 [-0.04072113  0.04402173 -0.06357886 -0.06730843  0.99389696]]",0
3,4,5,,0.7555469870567322,"[[ 0.9827451   0.17991002 -0.02671128  0.02656124 -0.02062614]
 [-0.17913078  0.9826033   0.03155717 -0.02051907 -0.03140068]
 [ 0.03324807 -0.0245359   0.9974142  -0.01726293  0.05620914]
 [-0.02861746  0.01657828  0.01605649  0.99827224  0.04583508]
 [ 0.01413549  0.03530251 -0.05654871 -0.04503247  0.99665856]]",0
4,5,5,,0.7538337707519531,"[[ 0.9286547   0.3503787   0.10539     0.06042946 -0.00874571]
 [-0.35816404  0.93236744  0.04246426  0.02266468 -0.00962024]
 [-0.07786936 -0.07272635  0.9867101  -0.11027706 -0.05375355]
 [-0.05685664 -0.0499476   0.10639414  0.9886178   0.07475135]
 [ 0.00476112  0.01190984  0.04661828 -0.07942585  0.9956675 ]]",0
5,6,5,,0.7880520820617676,"[[ 0.99872684  0.04878421 -0.00620351 -0.00470924  0.01021466]
 [-0.04705362  0.9860119   0.1586587   0.01960686 -0.00308048]
 [ 0.01296046 -0.1566696   0.9847164  -0.04961376  0.05620148]
 [ 0.00805291 -0.02845233  0.05436132  0.98441344 -0.16462302]
 [-0.00990085  0.00676375 -0.04655373  0.1675176   0.9846963 ]]",0
6,7,5,,0.7786855101585388,"[[ 0.98851633  0.08312125  0.10708157  0.03227367 -0.05846571]
 [-0.10223199  0.9804861   0.16568467  0.01138426 -0.02479339]
 [-0.08372954 -0.1702403   0.9725803  -0.12225059  0.05612424]
 [-0.03275683 -0.02932999  0.10730285  0.98282987  0.14352092]
 [ 0.06557757  0.04354251 -0.06046278 -0.13389933  0.98601156]]",0
7,8,5,,0.8016782999038696,"[[ 0.9878243  -0.15278986  0.02924391 -0.00121432  0.00132325]
 [ 0.14269547  0.96304655  0.20975216  0.04369806  0.07920743]
 [-0.06015304 -0.20174022  0.97709197 -0.02958879 -0.00991476]
 [-0.00744969 -0.05198918  0.01945675  0.997473    0.04371202]
 [-0.01293418 -0.07612187 -0.00784808 -0.04755185  0.9958491 ]]",0
8,9,5,,0.8131393194198608,"[[ 0.96723044 -0.23417652 -0.07859042 -0.02069545 -0.05497173]
 [ 0.22494711  0.96925336 -0.08926384 -0.03129498 -0.03161135]
 [-0.09720122 -0.06922232 -0.9924655  -0.02467476  0.01279187]
 [-0.00875015  0.01155442 -0.02792209  0.87058353 -0.4910138 ]
 [ 0.06587441  0.02800033 -0.00938896  0.48996714  0.8687466 ]]",0
9,10,5,,0.8491044640541077,"[[ 9.74084675e-01 -1.88659757e-01 -1.06723905e-01 -5.25606461e-02
   3.76007967e-02]
 [ 1.61458150e-01  9.58788693e-01 -2.32741460e-01  8.92962795e-03
  -2.01805253e-02]
 [ 1.44748673e-01  2.10630476e-01  9.61722791e-01  3.88076007e-02
   9.09171775e-02]
 [-3.21663730e-02 -6.18480030e-04 -9.66168940e-02  2.84261018e-01
   9.53323543e-01]
 [ 5.57076819e-02 -2.76806951e-02 -1.39981769e-02  9.56476450e-01
  -2.84758151e-01]]",0
