layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,5,,0.35408034920692444,0.42453640699386597,[0.2875643  0.3447488  0.34623355 0.36731872 0.4245364 ],0
1,2,5,,0.36003464460372925,0.40827715396881104,[0.3046426  0.31609213 0.37873706 0.39242417 0.40827715],0
2,3,5,,0.35103678703308105,0.4060973525047302,[0.27565762 0.32890356 0.35436046 0.3901649  0.40609735],0
3,4,5,,0.3198579251766205,0.3738643229007721,[0.25622448 0.30197567 0.31811205 0.34911326 0.37386432],0
4,5,5,,0.30594441294670105,0.3548009693622589,[0.26063022 0.28292394 0.2947437  0.3366233  0.35480097],0
5,6,5,,0.3342262804508209,0.41473621129989624,[0.27783802 0.29198682 0.3168502  0.36972022 0.4147362 ],0
6,7,5,,0.3207664489746094,0.3577289581298828,[0.2701996  0.30127344 0.33495083 0.3396795  0.35772896],0
7,8,5,,0.3621470332145691,0.491366446018219,[0.29114163 0.32265455 0.3399263  0.36564636 0.49136645],0
8,9,5,,0.340352326631546,0.38547179102897644,[0.2771093  0.34134057 0.3461343  0.35170558 0.3854718 ],0
9,10,5,,0.3793272376060486,0.4492042064666748,[0.32246464 0.3534689  0.3726086  0.3988898  0.4492042 ],0
10,11,5,,0.4622724652290344,0.760200023651123,[0.31853047 0.3457998  0.3788984  0.5079335  0.7602    ],0
0,1,5,,0.3504335582256317,0.41338005661964417,[0.28479087 0.34115428 0.34648165 0.36636102 0.41338006],1
1,2,5,,0.35486191511154175,0.40364569425582886,[0.2965317  0.31268257 0.37491006 0.38653964 0.4036457 ],1
2,3,5,,0.3519805073738098,0.40048617124557495,[0.28414565 0.32398596 0.36570355 0.38558102 0.40048617],1
3,4,5,,0.32542887330055237,0.3667295575141907,[0.26952484 0.30356172 0.33264858 0.35467964 0.36672956],1
4,5,5,,0.3120853304862976,0.35289937257766724,[0.2676381  0.2934845  0.29861704 0.34778777 0.35289937],1
5,6,5,,0.3275461792945862,0.3764849603176117,[0.27159417 0.3109579  0.326658   0.3520359  0.37648496],1
6,7,5,,0.3072132468223572,0.3407084345817566,[0.27512804 0.29595554 0.3076282  0.3166462  0.34070843],1
7,8,5,,0.33112186193466187,0.3923552632331848,[0.2874981  0.31140798 0.32564095 0.33870715 0.39235526],1
8,9,5,,0.3858458399772644,0.6076809763908386,[0.27346468 0.33169794 0.3374319  0.37895367 0.607681  ],1
9,10,5,,0.3697752058506012,0.45675331354141235,[0.31552485 0.34302756 0.3583049  0.3752654  0.4567533 ],1
10,11,5,,0.4826423227787018,0.8450095653533936,[0.3231923  0.33673462 0.37035197 0.53792316 0.84500957],1
0,1,5,,0.3517580032348633,0.41789188981056213,[0.28745037 0.3432182  0.34621897 0.36401054 0.4178919 ],2
1,2,5,,0.35886308550834656,0.40972015261650085,[0.3009993  0.31468996 0.3783658  0.3905402  0.40972015],2
2,3,5,,0.34872710704803467,0.40359774231910706,[0.27517936 0.32152346 0.35694337 0.38639164 0.40359774],2
3,4,5,,0.32241782546043396,0.37614306807518005,[0.26114368 0.30221847 0.32114622 0.35143766 0.37614307],2
4,5,5,,0.30807578563690186,0.34938064217567444,[0.265585   0.28638527 0.29815194 0.34087607 0.34938064],2
5,6,5,,0.3282018005847931,0.38538429141044617,[0.27397758 0.29981753 0.32003233 0.3617972  0.3853843 ],2
6,7,5,,0.3114023804664612,0.3417228162288666,[0.272079   0.30249912 0.3078167  0.33289418 0.34172282],2
7,8,5,,0.3488055467605591,0.42812004685401917,[0.29274517 0.32883123 0.33809796 0.35623342 0.42812005],2
8,9,5,,0.34851837158203125,0.39762258529663086,[0.27670833 0.34254396 0.34894595 0.376771   0.3976226 ],2
9,10,5,,0.373308926820755,0.44297656416893005,[0.32218486 0.3542452  0.36618575 0.3809523  0.44297656],2
10,11,5,,0.4627833366394043,0.7566870450973511,[0.31810042 0.3454291  0.38365516 0.51004505 0.75668705],2
0,1,5,,0.35435569286346436,0.42388081550598145,[0.28788337 0.3450254  0.34858963 0.3663993  0.42388082],3
1,2,5,,0.3590549826622009,0.4084869623184204,[0.30740076 0.31028846 0.3766054  0.39249337 0.40848696],3
2,3,5,,0.3449540138244629,0.40694767236709595,[0.26427382 0.32059306 0.35101494 0.38194066 0.40694767],3
3,4,5,,0.3146948218345642,0.3728380799293518,[0.24730505 0.29657453 0.30611718 0.35063946 0.37283808],3
4,5,5,,0.3080565929412842,0.3651357591152191,[0.25966647 0.276458   0.294065   0.34495774 0.36513576],3
5,6,5,,0.32920584082603455,0.4005773067474365,[0.27318358 0.28947124 0.31325755 0.36953956 0.4005773 ],3
6,7,5,,0.32149067521095276,0.36426809430122375,[0.2708767  0.29967624 0.33088046 0.3417518  0.3642681 ],3
7,8,5,,0.35295888781547546,0.43158045411109924,[0.29331243 0.3230684  0.34466025 0.37217298 0.43158045],3
