layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,6,0.9,0.3477473556995392,0.40901049971580505,[0.2765822  0.32448608 0.34609213 0.3598821  0.37043133 0.4090105 ],0
1,2,6,0.9,0.35931944847106934,0.434491902589798,[0.29537642 0.31085253 0.33987176 0.38625005 0.389074   0.4344919 ],0
2,3,6,0.9,0.34496259689331055,0.4194546341896057,[0.27320126 0.30098665 0.33612943 0.3415517  0.39845204 0.41945463],0
3,4,6,0.9,0.3193107545375824,0.37775444984436035,[0.2529649  0.2850343  0.30213997 0.33012667 0.3678442  0.37775445],0
4,5,6,0.9,0.31066057085990906,0.3879012167453766,[0.25886112 0.27521205 0.28670898 0.31157583 0.34370425 0.38790122],0
5,6,6,0.9,0.3237220346927643,0.3835389018058777,[0.27705154 0.29186568 0.30119166 0.31799752 0.3706871  0.3835389 ],0
6,7,7,0.9,0.31972265243530273,0.39311107993125916,"[0.26133454 0.2849794  0.29906103 0.31844518 0.33421314 0.3469142
 0.39311108]",0
7,8,7,0.9,0.3415384590625763,0.4068554937839508,"[0.28875643 0.29956013 0.31592354 0.3417552  0.36300334 0.3749151
 0.4068555 ]",0
8,9,7,0.9,0.3460195064544678,0.3939867913722992,"[0.27220762 0.32299182 0.3302752  0.34885424 0.3648517  0.38896915
 0.3939868 ]",0
9,10,7,0.9,0.36437052488327026,0.41500595211982727,"[0.31170568 0.33736995 0.35224482 0.35826564 0.37589458 0.40010703
 0.41500595]",0
10,11,8,0.9,0.4577295184135437,1.0063831806182861,"[0.30545983 0.32868907 0.33872542 0.35405147 0.3830201  0.4017796
 0.5437274  1.0063832 ]",0
0,1,6,0.9,0.34629026055336,0.4083113670349121,[0.27413878 0.3252726  0.3433767  0.35985127 0.3667909  0.40831137],1
1,2,6,0.9,0.3578014671802521,0.43284276127815247,[0.29182878 0.30851218 0.34645075 0.38094988 0.38622457 0.43284276],1
2,3,6,0.9,0.34644415974617004,0.4201212227344513,[0.28243417 0.3024643  0.33449703 0.3418875  0.3972607  0.42012122],1
3,4,6,0.9,0.3261844217777252,0.3749035596847534,[0.2678384  0.29312724 0.31851867 0.34087357 0.36184502 0.37490356],1
4,5,6,0.9,0.316915363073349,0.3833693861961365,[0.2672858  0.28186148 0.29501992 0.3248568  0.34909862 0.3833694 ],1
5,6,6,0.9,0.3234913945198059,0.3799894154071808,[0.27002627 0.2933318  0.3046992  0.32028326 0.3726184  0.37998942],1
6,7,6,0.9,0.30618372559547424,0.34068936109542847,[0.26716843 0.28555784 0.2996504  0.3135659  0.33047032 0.34068936],1
7,8,7,0.9,0.3351241946220398,0.3990838825702667,"[0.2847162  0.29217935 0.3109061  0.33542484 0.34892538 0.3746334
 0.39908388]",1
8,9,7,0.9,0.3365049958229065,0.39582133293151855,"[0.26631162 0.30739957 0.31796947 0.3400723  0.34953696 0.3784239
 0.39582133]",1
