layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,5,,0.7933741807937622,"[[ 0.98592263  0.12900445  0.05455238 -0.06502629 -0.06411   ]
 [-0.14054964  0.9817093   0.10261414 -0.07326324 -0.02440074]
 [-0.05492472 -0.12076186  0.97304344 -0.09582443 -0.1624931 ]
 [ 0.042442    0.06721665  0.08460132  0.9836395  -0.13775514]
 [ 0.05817528  0.0224303   0.18034267  0.11694019  0.9746353 ]]",0
1,2,5,,0.8058107495307922,"[[ 9.9554211e-01 -1.1885096e-03 -8.7342523e-02 -2.6098812e-02
   2.4177490e-02]
 [-3.2200580e-04  9.9908477e-01 -2.3078045e-02 -1.2002028e-02
  -3.3952743e-02]
 [ 8.5540123e-02  2.1517979e-02  9.9307030e-01 -7.6047786e-02
  -1.5746199e-02]
 [-3.1525295e-02 -1.5187737e-02 -7.3905885e-02 -9.9566072e-01
  -4.4419233e-02]
 [-2.4181925e-02  3.3681359e-02  1.3709546e-02 -4.5290157e-02
   9.9801886e-01]]",0
2,3,5,,0.7873667478561401,"[[ 9.4144392e-01 -3.2978797e-01 -1.8128026e-02  1.1266825e-02
  -6.6840574e-02]
 [ 3.3026862e-01  9.2034101e-01  2.0178185e-01  1.2221967e-03
   5.6370180e-02]
 [-4.7723975e-02 -2.0026420e-01  9.7724158e-01  1.5134738e-03
   5.1120263e-02]
 [ 8.2386089e-03  7.6491630e-04  5.1075704e-03 -9.9830413e-01
  -5.7396132e-02]
 [ 4.7545172e-02 -6.4077280e-02 -6.2675975e-02 -5.7080090e-02
   9.9320042e-01]]",0
3,4,5,,0.7175893187522888,"[[ 0.9976695   0.03047006  0.0444664  -0.01994873  0.03676846]
 [ 0.02525652 -0.9938869   0.09646352  0.02905761  0.03743506]
 [-0.04603619  0.09078696  0.99077076 -0.06621728 -0.06022377]
 [ 0.01752196  0.03416714  0.06198149  0.9966144  -0.03799787]
 [-0.03989127  0.04302033  0.05700042  0.03365899  0.99608034]]",0
4,5,5,,0.6856525540351868,"[[ 0.9872855  -0.12793602 -0.04884287  0.08014599  0.00952377]
 [ 0.13867295  0.9677395   0.19172099 -0.0373462  -0.07809263]
 [-0.01585738  0.1841147  -0.9739149  -0.0932362  -0.09299007]
 [-0.07546197  0.07670002 -0.09025129  0.9821388   0.125222  ]
 [ 0.00954841  0.08562467 -0.06482257 -0.13744862  0.98462343]]",0
5,6,5,,0.7520671486854553,"[[ 0.99072003  0.09211092 -0.08329711  0.04430377 -0.03298717]
 [-0.11140271  0.9683182  -0.21491393  0.03816649 -0.04800664]
 [-0.06310196 -0.22629938 -0.96820426 -0.00273916 -0.08590483]
 [-0.03419295 -0.03423149 -0.01174815  0.974987    0.21661323]
 [ 0.03020307  0.03862986 -0.09651931 -0.21441376  0.9707246 ]]",0
6,7,5,,0.7174130082130432,"[[ 0.9956231  -0.08649888 -0.00243259  0.01442209  0.03222858]
 [ 0.08652025  0.99093014 -0.0845671   0.04348811 -0.03910011]
 [ 0.01112668  0.08777616  0.9922124  -0.08747161  0.00588812]
 [-0.01985596 -0.03032654  0.08967969  0.99072516  0.09543197]
 [-0.02703392  0.04416986 -0.01773288 -0.09334431  0.99412805]]",0
7,8,5,,0.8189333081245422,"[[ 0.99890065 -0.0117587  -0.03496838  0.01576312  0.02424879]
 [ 0.00515494  0.9795991  -0.19520685  0.02893059 -0.03763376]
 [ 0.03552347  0.19780363  0.9771875  -0.03046671  0.06154732]
 [-0.0090521  -0.02688224  0.04912162  0.9772106  -0.2045529 ]
 [-0.02875945  0.01995918 -0.05799177  0.20747466  0.97589225]]",0
8,9,5,,0.7612398862838745,"[[ 9.97838080e-01 -5.22399656e-02 -1.58812618e-03  3.32289189e-02
   2.19873656e-02]
 [ 5.20687774e-02  9.93927896e-01 -9.66715962e-02 -9.51516151e-04
  -7.06572644e-03]
 [ 1.08652115e-02  9.49476212e-02  9.79566276e-01 -1.67659864e-01
   5.66307902e-02]
 [-3.34288292e-02  1.90295782e-02  1.61416113e-01  9.82037127e-01
   8.98236185e-02]
 [-1.92988217e-02  1.09164428e-03 -7.10413903e-02 -7.99260661e-02
   9.94078159e-01]]",0
9,10,5,,0.8481731414794922,"[[ 0.99707234 -0.0666222  -0.00870825  0.03362064  0.01421497]
 [ 0.06399122  0.9828993  -0.17111339  0.01353934 -0.01873119]
 [ 0.01929037  0.17092584  0.98394907  0.00139839  0.04748252]
 [-0.03105755 -0.01329403  0.01094788  0.98010874 -0.19525814]
 [-0.02037631  0.00882873 -0.0486706   0.19511864  0.9793195 ]]",0
10,11,5,,1.0788676738739014,"[[ 0.95803016 -0.16349094 -0.19746806  0.09050547  0.0909066 ]
 [ 0.17169678  0.9540456   0.00360022 -0.21151666  0.12475932]
 [ 0.17443655  0.05698412  0.9117907   0.35187855 -0.10556433]
 [-0.13655153  0.01781682 -0.05959067  0.47873387  0.8650428 ]
 [-0.06019919  0.24393241 -0.35507748  0.770756   -0.46554077]]",0
