layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,6,0.9,0.8530662059783936,"[[ 0.98569983  0.12895547  0.05470489 -0.06563715 -0.06507409 -0.01518809]
 [-0.14026383  0.98177665  0.10242425 -0.07239677 -0.02304803  0.01331802]
 [-0.05353297 -0.12043808  0.97210586 -0.09173559 -0.1560872   0.06971756]
 [ 0.04021058  0.06668943  0.08609304  0.97692853 -0.14824304 -0.10078862]
 [ 0.05363548  0.02136024  0.18338057  0.1033308   0.95335966 -0.20848693]
 [ 0.03690956  0.00871531 -0.0220557   0.13026331  0.20000118  0.9701063 ]]",0
1,2,6,0.9,0.8829094767570496,"[[ 9.9519473e-01 -9.6844701e-04 -8.6658239e-02 -2.6972124e-02
   2.2499373e-02 -2.9036108e-02]
 [-3.1435487e-04  9.9903488e-01 -2.2995608e-02 -1.2118432e-02
  -3.4156166e-02  9.3240570e-03]
 [ 8.6564220e-02  2.0948712e-02  9.9088043e-01 -7.3232964e-02
  -1.0373735e-02  6.8942569e-02]
 [-3.0248672e-02 -1.5889712e-02 -7.6651894e-02 -9.9212933e-01
  -3.7682038e-02  8.4949858e-02]
 [-2.6398733e-02  3.4906588e-02  1.8463841e-02 -5.1402997e-02
   9.8635435e-01 -1.4901875e-01]
 [ 2.1956122e-02 -4.3122657e-03 -6.2458765e-02  8.2460307e-02
   1.5461150e-01  9.8229009e-01]]",0
2,3,6,0.9,0.8494670391082764,"[[ 9.4144762e-01 -3.2978106e-01 -1.8122658e-02  1.1292090e-02
  -6.6819005e-02 -2.6862041e-04]
 [ 3.2984740e-01  9.1982001e-01  2.0123734e-01 -2.4132417e-03
   5.2861147e-02 -4.2840440e-02]
 [-4.7933776e-02 -2.0051722e-01  9.7697121e-01 -3.1675192e-04
   4.9345821e-02 -2.4234913e-02]
 [ 9.2451302e-03  1.8850459e-03  6.3806386e-03 -9.8924750e-01
  -4.8505303e-02  1.3750276e-01]
 [ 4.6835907e-02 -6.4825423e-02 -6.3563943e-02 -6.3583836e-02
   9.8676872e-01 -1.0866576e-01]
 [ 1.7329810e-02  2.7615314e-02  2.4924895e-02  1.3119899e-01
   1.1933402e-01  9.8329145e-01]]",0
3,4,6,0.9,0.7859633564949036,"[[ 0.99766356  0.03045562  0.04449594 -0.01982858  0.03686801 -0.00274846]
 [ 0.0252908  -0.99380195  0.09628644  0.02835904  0.03687162  0.01683069]
 [-0.04603808  0.09078516  0.9907645  -0.06618323 -0.0601564   0.00502663]
 [ 0.01770439  0.03461586  0.06105497  0.99290556 -0.04102764  0.08494684]
 [-0.03966151  0.0435756   0.05588418  0.02900937  0.9921596   0.09045897]
 [ 0.00466842  0.00954673 -0.01685305 -0.08786059 -0.08716907  0.99211144]]",0
4,5,6,0.9,0.7651134729385376,"[[ 0.98731804 -0.12793322 -0.04868509  0.07978806  0.00926667 -0.0037463 ]
 [ 0.13850228  0.9677544   0.19093657 -0.03552828 -0.07676504  0.02562448]
 [-0.01567623  0.18408231 -0.97310704 -0.0951307  -0.09438604 -0.03117917]
 [-0.07486313  0.07651264 -0.08770362  0.9760479   0.12067047 -0.1166985 ]
 [ 0.0098189   0.08550929 -0.06371862 -0.14013433  0.98259175 -0.058374  ]
 [-0.00858276 -0.00567071 -0.04983748  0.10495059  0.07116618  0.99062157]]",0
5,6,6,0.9,0.7951768636703491,"[[ 0.9903038   0.09185179 -0.08398228  0.0431701  -0.03023242  0.03210825]
 [-0.11183053  0.9680046  -0.2156379   0.03693682 -0.04498343  0.02394846]
 [-0.06267996 -0.2260344  -0.9675087  -0.00158662 -0.08870711 -0.03217307]
 [-0.03463455 -0.0345216  -0.01248148  0.97376317  0.21959825  0.03185781]
 [ 0.03327421  0.0406866  -0.0914033  -0.2058507   0.94980973 -0.2106415 ]
 [-0.02359661 -0.02432485 -0.04317209 -0.07861535  0.19705744  0.97569233]]",0
6,7,7,0.9,0.8486868739128113,"[[ 0.99548    -0.08655245 -0.00234457  0.01470087  0.03303093  0.01393273
   0.00462769]
 [ 0.08603527  0.99056673 -0.08428543  0.04445708 -0.0359118   0.03154251
  -0.00321208]
 [ 0.01137911  0.0879439   0.99202734 -0.08799018  0.00411373 -0.01411321
  -0.0077301 ]
 [-0.01892435 -0.02974533  0.08911673  0.98887753  0.08946575 -0.0692271
  -0.01183499]
 [-0.02461253  0.04600568 -0.01899908 -0.0980847   0.9778731  -0.17608748
   0.00731945]
 [-0.02249721 -0.02318441  0.01990551  0.04928387  0.18252885  0.9812283
   0.00232583]
 [-0.00423456  0.00362786  0.00855729  0.01170295 -0.00676061 -0.00188515
   0.99985474]]",0
7,8,7,0.9,0.9050039052963257,"[[ 0.99792403 -0.01181148 -0.03521117  0.0156947   0.02752665 -0.0127224
   0.04003163]
 [ 0.0048993   0.9787274  -0.1964414   0.02802361 -0.03113008 -0.04062587
  -0.00863373]
 [ 0.03492179  0.19680637  0.9757052  -0.03147778  0.06976222 -0.04655635
  -0.00468542]
 [-0.00969181 -0.02905132  0.04606926  0.9749136  -0.18818481 -0.10447104
  -0.01247207]
 [-0.02520583  0.02672523 -0.04814832  0.21457618  0.9202352   0.32095864
  -0.02102212]
 [-0.02501473 -0.03902063 -0.06071599 -0.03413     0.33340514 -0.9380007
   0.04467843]
 [-0.03936032  0.01181329  0.00657433  0.01769911  0.00106068  0.04739488
   0.9978513 ]]",0
8,9,7,0.9,0.9164586663246155,"[[ 9.97760475e-01 -5.24611548e-02 -1.55063556e-03  3.28469723e-02
   2.13447120e-02  1.18856477e-02  6.61432557e-03]
 [ 5.18643633e-02  9.93294835e-01 -9.69934016e-02 -1.93841546e-03
  -8.68784823e-03  3.28223892e-02  1.05496310e-02]
 [ 1.07428068e-02  9.46916863e-02  9.78727281e-01 -1.67879462e-01
   5.61374053e-02  2.49978900e-02 -3.24235111e-02]
 [-3.37146558e-02  1.81543380e-02  1.60884470e-01  9.80646014e-01
   8.75807554e-02  5.55150211e-02  1.52015928e-02]
 [-1.97575781e-02 -3.11080978e-04 -7.12212399e-02 -8.22672471e-02
   9.90248978e-01  7.44051188e-02  4.04984355e-02]
 [-1.02437455e-02 -3.50841470e-02 -2.67073140e-02 -4.37258035e-02
  -7.81614855e-02  9.93428051e-01 -5.50497212e-02]
 [-6.06815517e-03 -9.28479992e-03  3.18330601e-02 -1.96830053e-02
  -4.41019200e-02  5.13734929e-02  9.96941328e-01]]",0
9,10,7,0.9,0.9624347686767578,"[[ 9.9655753e-01 -6.6777676e-02 -9.3897376e-03  3.6008332e-02
   1.1739073e-02 -2.9827518e-02 -1.2595118e-03]
 [ 6.4118564e-02  9.8260385e-01 -1.7018247e-01  1.4030293e-02
  -1.8434273e-02  6.8719327e-03 -2.8854067e-02]
 [ 1.8330155e-02  1.7122117e-01  9.8130602e-01  3.9870655e-03
   4.3360107e-02 -5.9791900e-02  4.3756858e-02]
 [-2.7722852e-02 -1.2093074e-02  1.5067736e-02  9.6343577e-01
  -1.7832270e-01  1.8626611e-01  6.4463906e-02]
 [-2.2788117e-02  8.4827486e-03 -5.2836843e-02  2.0547181e-01
   9.6758157e-01 -1.3484824e-01 -5.0488656e-04]
 [ 3.3473931e-02  5.1821675e-03  5.0793145e-02 -1.5546979e-01
   1.7183501e-01  9.7085845e-01 -2.8775595e-03]
 [ 4.1897148e-03  2.1649644e-02 -4.8882235e-02 -6.2390726e-02
   1.0098928e-02 -6.5274066e-03  9.9653745e-01]]",0
