layer,level_from,level_to,G,boot_id
0,1,2,0.9911399881045023,0
0,2,3,0.9863116230283465,0
0,3,4,0.9884763331640334,0
0,4,5,0.9869962022418067,0
0,5,6,0.9896350985481626,0
0,6,7,0.9909339433624631,0
0,7,8,0.9915324988819304,0
0,8,9,0.990357293969109,0
0,9,10,0.9931983692305428,0
1,1,2,0.9885607276644025,0
1,2,3,0.9878577022325425,0
1,3,4,0.9874553311438787,0
1,4,5,0.9853776182447161,0
1,5,6,0.9861119559832981,0
1,6,7,0.9910851149331956,0
1,7,8,0.99095219373703,0
1,8,9,0.9868825617290679,0
1,9,10,0.9904665663128808,0
2,1,2,0.978132406870524,0
2,2,3,0.9757660371916634,0
2,3,4,0.9748904846963429,0
2,4,5,0.9643730237370446,0
2,5,6,0.9661362965901693,0
2,6,7,0.9832718060130164,0
2,7,8,0.9812394408952623,0
2,8,9,0.9667508006095886,0
2,9,10,0.9790311512492952,0
3,1,2,0.9663369967823937,0
3,2,3,0.9538261634962899,0
3,3,4,0.9630989829699198,0
3,4,5,0.9471052828289214,0
3,5,6,0.9272418249221075,0
3,6,7,0.9708475442159743,0
3,7,8,0.968757172425588,0
3,8,9,0.9496760368347168,0
3,9,10,0.9640913889521644,0
4,1,2,0.9500839199338641,0
4,2,3,0.9416001439094543,0
4,3,4,0.9572739487602597,0
4,4,5,0.9226427787826175,0
4,5,6,0.9050204299745106,0
4,6,7,0.959772683325268,0
4,7,8,0.9468616928373065,0
4,8,9,0.9272424323218209,0
4,9,10,0.9529582347188678,0
5,1,2,0.9409337923640296,0
5,2,3,0.9393226475942702,0
5,3,4,0.9543933130445934,0
5,4,5,0.9116301224345252,0
5,5,6,0.892928713843936,0
5,6,7,0.9516693438802447,0
5,7,8,0.9427112397693452,0
5,8,9,0.909074706690652,0
5,9,10,0.9462286035219828,0
6,1,2,0.9335989384424119,0
6,2,3,0.9374571442604065,0
6,3,4,0.9477292583102271,0
6,4,5,0.9030676824705941,0
6,5,6,0.8781270867302304,0
6,6,7,0.940600764183771,0
6,7,8,0.9381854704448155,0
6,8,9,0.8964781307038807,0
6,9,10,0.9384645110084897,0
7,1,2,0.9288761871201652,0
7,2,3,0.9287891529855274,0
7,3,4,0.9399660967645191,0
7,4,5,0.8910231845719474,0
7,5,6,0.8579947040194557,0
7,6,7,0.9305633164587475,0
7,7,8,0.9302545502072289,0
7,8,9,0.8884408672650655,0
7,9,10,0.9315340944698879,0
8,1,2,0.913456244128091,0
8,2,3,0.9242668151855469,0
8,3,4,0.9317847603843326,0
8,4,5,0.8689581297692799,0
8,5,6,0.8354149602708363,0
8,6,7,0.9168141682942709,0
8,7,8,0.9189631229355222,0
8,8,9,0.8654127518335978,0
8,9,10,0.9184628753435045,0
9,1,2,0.8940097490946451,0
9,2,3,0.9072930500620887,0
9,3,4,0.9215508415585473,0
9,4,5,0.851461390654246,0
9,5,6,0.8080330831663949,0
9,6,7,0.8939649576232547,0
9,7,8,0.9007160323006767,0
9,8,9,0.83207806235268,0
9,9,10,0.9089885893322173,0
10,1,2,0.8709663720357985,0
10,2,3,0.890182029633295,0
10,3,4,0.9054843158948989,0
10,4,5,0.8180143350646609,0
10,5,6,0.7660746829850333,0
10,6,7,0.8635827898979187,0
10,7,8,0.8784609493755159,0
10,8,9,0.7905923780940828,0
10,9,10,0.888913943654015,0
11,1,2,0.8490393161773682,0
11,2,3,0.8721120158831278,0
11,3,4,0.881537411894117,0
11,4,5,0.7263174170539493,0
11,5,6,0.7099748381546566,0
11,6,7,0.8243688799086071,0
11,7,8,0.8814613052776882,0
11,8,9,0.7077457024937585,0
11,9,10,0.8547425553912208,0
0,1,2,0.9893339375654856,1
0,2,3,0.9829450945059458,1
0,3,4,0.9865964154402415,1
0,4,5,0.983722448348999,1
0,5,6,0.987980306148529,1
0,6,7,0.9902958770593008,1
0,7,8,0.9887570738792419,1
0,8,9,0.9888902207215627,1
0,9,10,0.9932462573051453,1
1,1,2,0.9876682360967001,1
1,2,3,0.9868395725886027,1
1,3,4,0.9881820778052012,1
1,4,5,0.9847464561462402,1
1,5,6,0.9855924447377523,1
1,6,7,0.9907061656316122,1
1,7,8,0.9891853531201681,1
1,8,9,0.9875746667385101,1
1,9,10,0.9911518593629202,1
2,1,2,0.9786998629570007,1
2,2,3,0.9736416240533193,1
2,3,4,0.9768983324368795,1
2,4,5,0.964851458867391,1
2,5,6,0.965658704439799,1
2,6,7,0.9809343814849854,1
2,7,8,0.978779802719752,1
2,8,9,0.9698174198468527,1
2,9,10,0.9813418885072073,1
3,1,2,0.9639727572600046,1
3,2,3,0.9498537679513296,1
3,3,4,0.9615924457708994,1
3,4,5,0.9485322336355845,1
3,5,6,0.9375759164492289,1
