metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
mean_angle,0.35330237716436386,0.3407360112667084,0.012566365897655474,0.012080693401396322,0.013081774793565273,0.0,7.199465325638807,100,100,0,1,0.0
mean_angle,0.36044818699359893,0.35458731234073637,0.005860874652862558,0.0046572161167859946,0.007111968226730834,0.0,1.3223510609913538,100,100,1,2,0.0
mean_angle,0.34502408862113954,0.37132709205150605,-0.02630300343036651,-0.02750486295670274,-0.025121291540563105,0.0,-6.06996193606809,100,100,2,3,0.0
mean_angle,0.32085470646619796,0.33626076579093933,-0.015406059324741372,-0.016886963032186036,-0.01376544528454539,0.0,-2.780147138477469,100,100,3,4,0.0
mean_angle,0.30829937547445296,0.3380842101573944,-0.029784834682941463,-0.03114148713648315,-0.028521777071058758,0.0,-6.279269553394497,100,100,4,5,0.0
mean_angle,0.3290962475538254,0.3502116107940674,-0.02111536324024199,-0.02212851274758581,-0.02005044783651831,0.0,-5.386087154379912,100,100,5,6,0.0
mean_angle,0.3131707462668419,0.3464569526910782,-0.0332862064242363,-0.03441520781069998,-0.032268701821565625,0.0,-8.522708838486686,100,100,6,7,0.0
mean_angle,0.34408760488033296,0.3548333233594894,-0.010745718479156452,-0.013502963095903413,-0.007468577608466195,0.0,-0.9407963611391065,100,100,7,8,0.0
mean_angle,0.3396745812892914,0.35829699128866194,-0.018622409999370537,-0.021084839366376416,-0.015788591124117395,0.0,-1.8611087030645594,100,100,8,9,0.0
mean_angle,0.37320912301540377,0.3782295149564743,-0.005020391941070512,-0.006316043563187082,-0.003774220764636959,0.0,-1.0594053680485949,100,100,9,10,0.0
mean_angle,0.47676767826080324,0.4722757986187935,0.004491879642009755,-0.0009924000948667785,0.009901689186692271,0.1,0.2322500956993258,100,100,10,11,0.1
max_angle,0.4206556335091591,0.39479417592287064,0.02586145758628844,0.024903664529323577,0.026886943161487584,0.0,6.801523921789328,100,100,0,1,0.0
max_angle,0.41468656063079834,0.4123953020572662,0.002291258573532129,-0.0008049649968743397,0.005546472996473297,0.162,0.1958947239549257,100,100,1,2,0.198
max_angle,0.40112406104803083,0.46256271868944165,-0.06143865764141082,-0.06328803234547374,-0.05951579011231659,0.0,-8.896251428608474,100,100,2,3,0.0
max_angle,0.37385884165763855,0.4148532849550247,-0.04099444329738616,-0.04401223970204596,-0.038090827785432345,0.0,-3.7930264476618945,100,100,3,4,0.0
max_angle,0.3560334128141403,0.39199107080698015,-0.03595765799283984,-0.038774276472628114,-0.033186109095811864,0.0,-3.5209195087492446,100,100,4,5,0.0
max_angle,0.390990169942379,0.40422303348779676,-0.01323286354541775,-0.015801153175532823,-0.010477406516671157,0.0,-1.3696350348040385,100,100,5,6,0.0
max_angle,0.34605515718460084,0.40958471536636354,-0.0635295581817627,-0.06566786374151706,-0.06109973387420175,0.0,-7.980556083013515,100,100,6,7,0.0
max_angle,0.41794381946325304,0.4126512187719345,0.005292600691318539,-0.005985478498041649,0.020752353444695476,0.518,0.10540415970151883,100,100,7,8,0.518
max_angle,0.40388543516397474,0.4075181403756142,-0.003632705211639442,-0.011599433504044996,0.0058985788226127754,0.372,-0.10570500893327078,100,100,8,9,0.40919999999999995
max_angle,0.4421290570497513,0.4523152446746826,-0.010186187624931287,-0.014261279381811608,-0.005457827344536801,0.0,-0.5813041203888223,100,100,9,10,0.0
max_angle,0.8218816536664962,0.7776128846406937,0.04426876902580257,0.0210702250301838,0.06403520913422107,0.0,0.5791808550406112,100,100,10,11,0.0
