metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
mean_angle,0.34777862936258314,0.3395179584622383,0.008260670900344824,0.007928329356014731,0.00858078366518018,0.0,7.299818088681571,100,100,0,1,0.0
mean_angle,0.35782811641693113,0.36043098717927935,-0.0026028707623482195,-0.0033117250576615506,-0.0018874160274863592,0.0,-0.9669708231852795,100,100,1,2,0.0
mean_angle,0.340181970000267,0.3701813271641731,-0.029999357163906115,-0.03127449112385515,-0.028820807293057474,0.0,-7.047681847190202,100,100,2,3,0.0
mean_angle,0.31968952536582945,0.33488391757011415,-0.015194392204284701,-0.016313007913529895,-0.014088661164045344,0.0,-3.9738064093473713,100,100,3,4,0.0
mean_angle,0.3141170832514763,0.33466912657022474,-0.020552043318748436,-0.021713572122156626,-0.01941791646182539,0.0,-4.893760511713131,100,100,4,5,0.0
mean_angle,0.3247798144817352,0.34406369298696515,-0.019283878505229946,-0.020147204943001294,-0.018413874939084047,0.0,-5.891137013698656,100,100,5,6,0.0
mean_angle,0.3164007240533829,0.35164301306009293,-0.03524228900671006,-0.036126872271299404,-0.03430214376002552,0.0,-10.319460418556384,100,100,6,7,0.0
mean_angle,0.33912557184696196,0.35495789259672167,-0.01583232074975971,-0.016884606078267115,-0.014710182838141968,0.0,-3.9360530139747816,100,100,7,8,0.0
mean_angle,0.3550406685471535,0.3621251401305199,-0.007084471583366392,-0.01362581573426724,-0.00028566019237043065,0.042,-0.2914402852659891,100,100,8,9,0.042
mean_angle,0.38330217242240905,0.3932885357737541,-0.009986363351345062,-0.015316421948373298,-0.004372264176607172,0.0,-0.5102886966079505,100,100,9,10,0.0
mean_angle,0.4549324202537537,0.48195119738578795,-0.027018777132034266,-0.031879328325390796,-0.022043835878372237,0.0,-1.5213255423445435,100,100,10,11,0.0
max_angle,0.41022207975387576,0.3871483588218689,0.02307372093200688,0.022668800495564915,0.023488056264817713,0.0,15.382398988804383,100,100,0,1,0.0
max_angle,0.43394892901182175,0.4441714006662369,-0.010222471654415144,-0.011627326317131531,-0.008888214439153662,0.0,-2.004460777165011,100,100,1,2,0.0
max_angle,0.41122746616601946,0.44879487216472624,-0.03756740599870678,-0.03902424968779089,-0.035967859767377396,0.0,-6.746748188068617,100,100,2,3,0.0
max_angle,0.37829041719436646,0.40847596526145935,-0.030185548067092893,-0.03144033133238556,-0.02891399442404512,0.0,-6.609364358833194,100,100,3,4,0.0
max_angle,0.39517138779163363,0.4025863927602768,-0.0074150049686431685,-0.010163680501282201,-0.004745623372495173,0.0,-0.733522940114951,100,100,4,5,0.0
max_angle,0.40145873963832857,0.394993696808815,0.006465042829513545,0.003265401005744975,0.009345025174319756,0.0,0.59404458604726,100,100,5,6,0.0
max_angle,0.38001481890678407,0.43468663215637204,-0.054671813249587975,-0.05761246712505817,-0.05220471309870478,0.0,-5.790636451292708,100,100,6,7,0.0
max_angle,0.400534111559391,0.4262087607383728,-0.025674649178981823,-0.027541649512946603,-0.023706238403916367,0.0,-3.709729759078415,100,100,7,8,0.0
max_angle,0.5045387813448906,0.4584298968315125,0.046108884513378134,-8.049130439758651e-05,0.09384956490248436,0.052,0.25703478742895847,100,100,8,9,0.057199999999999994
max_angle,0.5514477673172951,0.5653287920355797,-0.013881024718284674,-0.054546415165066656,0.030417197242379172,0.506,-0.09299418457690324,100,100,9,10,0.506
max_angle,0.9750800794363021,1.0964365422725677,-0.12135646283626556,-0.15054042895138264,-0.08925723582506184,0.0,-1.1407370983679856,100,100,10,11,0.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,0,1,1.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,1,2,1.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,2,3,1.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,3,4,1.0
k_used,6.55,6.29,0.2599999999999998,0.1200000000000001,0.3899999999999997,0.0,0.5433318764904064,100,100,4,5,0.0
k_used,6.83,6.45,0.3799999999999999,0.2597499999999998,0.5,0.0,0.8577580323126748,100,100,5,6,0.0
k_used,6.92,6.54,0.3799999999999999,0.2699999999999996,0.5,0.0,0.942297970834337,100,100,6,7,0.0
k_used,6.97,6.81,0.16000000000000014,0.08000000000000007,0.25,0.0,0.5262923204430952,100,100,7,8,0.0
k_used,7.33,7.07,0.2599999999999998,0.1200000000000001,0.39000000000000057,0.002,0.5246847793171233,100,100,8,9,0.0036666666666666666
k_used,7.86,7.66,0.20000000000000018,0.03000000000000025,0.35999999999999943,0.012,0.3560344974581563,100,100,9,10,0.018857142857142857
k_used,8.82,8.04,0.7800000000000011,0.5899999999999999,0.9602500000000006,0.0,1.1405693701485036,100,100,10,11,0.0
